date_collected,plot,subplot,plant,plantid,temp,VWC,per_us,wet_weight_g,dry_weight_g,trichomes_RT,leaf_area_cm2,notes,trichome_density,sla,water_content
2021-06-25,1,B,661,1B661,control,14.4,,0.02705,0.01020,182,1.543,Collected on 7/15 or 7/1?,118,151,62%
2021-06-25,1,B,659,1B659,control,10.2,,0.01706,0.00552,54,1.072,,50,194,68%
2021-06-25,1,B,674,1B674,control,12.9,,0.01553,0.00390,37,0.668,,55,171,75%
2021-06-25,1,B,669,1B669,control,10.9,,0.05172,0.02352,491,2.323,,211,99,55%
2021-06-25,1,B,920,1B920,OTC,5.0,,0.01876,0.00754,62,0.854,,73,113,60%
2021-06-25,1,C,48,1C48,control,10.6,,0.04079,0.01587,186,2.106,,88,133,61%
2021-06-25,1,C,73,1C73,control,15.6,,0.02057,0.00656,109,0.904,,121,138,68%
2021-06-25,1,C,71,1C71,control,17.1,,0.02279,0.01100,258,1.069,,241,97,52%
2021-06-25,1,C,55,1C55,control,8.4,,0.02402,0.00873,146,0.979,,149,112,64%
2021-06-25,1,B,919,1B919,OTC,6.0,,0.02325,0.00694,71,1.056,,67,152,70%
2021-06-25,2,A,99,2A99,control,10.5,,0.03774,0.01152,196,1.784,,110,155,69%
2021-06-25,2,A,176,2A176,control,4.8,,0.04291,0.01749,76,1.946,,39,111,59%
2021-06-25,2,A,923,2A923,control,7.1,,0.01575,0.00511,48,0.725,,66,142,68%
2021-06-25,2,A,95,2A95,control,10.7,,0.02374,0.00995,107,1.221,,88,123,58%
2021-06-25,2,A,922,2A922,OTC,5.2,,0.02951,0.00975,211,1.244,,170,128,67%
2021-06-25,2,B,185,2B185,OTC,12.9,,0.01320,0.00383,82,0.801,,102,209,71%
2021-06-25,2,B,926,2B926,control,16.5,,0.03385,0.00935,318,1.356,,235,145,72%
2021-06-25,2,B,924,2B924,control,10.7,,0.06241,0.01728,311,2.829,,110,164,72%
2021-06-25,2,B,87,2B87,control,7.8,,0.01230,0.00431,41,0.583,,70,135,65%
2021-06-25,2,B,925,2B925,control,19.1,,0.04030,0.01338,264,1.898,,139,142,67%
2021-06-25,2,B,137,2B137,OTC,4.5,,0.02436,0.00702,106,0.913,,116,130,71%
