observer,date,vial,plot,subplot,plant,plantid,bag,pump,end,flowers,buds,pump_id,VWC,temp,notes
DH,2021-07-08,,1,C,951,1C951,09:53,10:27,10:42,1,2,DRC10,5.5,OTC,
DH,2021-07-08,,1,C,948,1C948,09:15,09:49,10:04,1,0,DRC10,6.6,control,
DH,2021-07-08,,1,C,57,1C57,09:22,09:57,10:12,1,1,DRC3,17.9,control,inner container dropped
DH,2021-07-08,,1,B,666,1B666,10:02,10:35,10:50,1,0,DRC3,11.9,control,
DH,2021-07-08,,2,A,903,2A903,10:10,10:40,10:55,1,1,DRC6,7.7,control,
DH,2021-07-08,,3,B,952,3B952,10:47,11:32,11:47,1,1,DRC10,4.2,control,in bag too long
DH,2021-07-08,,3,B,623,3B623,11:02,11:36,11:51,1,0,DRC3,4.9,control,flowerr knocked out of bag when pumping
DH,2021-07-08,,3,B,624,3B624,11:04,11:39,11:54,1,2,DRC6,6.6,control,
JP,2021-07-08,,1,C,949,1C949,09:08,09:40,09:55,1,1,DRC7,5.9,control,
JP,2021-07-08,,1,C,901,1C901,09:15,09:47,10:02,1,0,DRC8,5.6,OTC,
JP,2021-07-08,,1,B,677,1B677,09:20,09:52,10:08,1,0,,6.9,OTC,second moisture reading: 4.6%
JP,2021-07-08,,1,C,53,1C53,09:39,10:17,10:31,1,0,,6.2,OTC,Flower fell out while pumping
JP,2021-07-08,,1,B,950,1B950,09:54,10:27,10:44,1,0,DRC8,7.1,control,
JP,2021-07-08,,2,A,902,2A902,10:01,10:36,10:51,1,0,DRC5,4.7,OTC,
JP,2021-07-08,,2,B,184,2B184,10:20,10:56,11:16,1,0,,6.6,OTC,
JP,2021-07-08,A,2,B,905,2B905,10:38,11:09,11:24,1,0,,6.7,control,Sample A
JP,2021-07-08,,2,B,93,2B93,10:40,11:23,11:38,1,0,DRC5,4.1,control,"Trap touching flower, battery dying? turned up pump"
JP,2021-07-08,B,2,B,905,2B905,10:59,11:29,11:44,1,0,,6.7,control,"Smaller flower, Sample B"
CW,2021-07-08,,3,D,888,3D888,11:07,11:37,,1,0,DRC9,4.3,,trap blew out. Discarded sample
CW,2021-07-08,,3,D,air,3Dair,11:20,11:50,12:05,,,,,,Times made up; no entry in datasheet
CW,2021-07-08,,3,D,891,3D891,11:14,11:45,12:00,1,0,DRC9,4.2,,Changed plant ID from 3D887
KW,2021-07-08,,3,B,906,3B906,11:08,11:39,11:54,1,0,DRC8,6.1,OTC,
KW,2021-07-08,,3,B,821,3B821,,,,,,,,,no open flowers
KW,2021-07-08,,3,D,858,3D858,11:13,11:47,12:02,1,0,DRC7,5.3,control,
KW,2021-07-08,,3,D,255,3D255,11:16,11:50,12:05,1,0,DRC4,5.7,control,
CW,2021-07-09,25,5,B,air,5Bair,09:01,09:31,09:46,,,DRC7,,,
CW,2021-07-09,27,5,B,908,5B908,09:05,09:35,09:50,1,0,CW2,4.6,OTC,
CW,2021-07-09,24,5,B,907,5B907,09:10,09:40,09:55,1,0,CW1,6,control,
CW,2021-07-09,20,6,A,131,6A131,09:37,10:07,10:22,1,0,DRC7,6.2,control,
CW,2021-07-09,26,4,C,190,4C190,09:45,10:15,10:30,1,0,CW1,6.4,control,
CW,2021-07-09,22,4,C,120,4C120,09:55,10:25,10:40,1,0,CW2,4.1,control,Sad flower. Plant wilty
