observer	date	time	vial	lost	chamber	location	plant	bag	pump	end	equil	pumping	flowers	buds	pump_id	VWC	notes	location_time
CW	2021-07-13	day	13		I	inside	227	9:45	10:15	10:30	0:30	0:15	1	0	DRC7	1.3	JP: changed bag from 9:04 to 9:45	inside_day
CW	2021-07-13	day	19		I		air	9:47	10:47	11:02	1:00	0:15			DRC7			air_day
CW	2021-07-13	day	14		XI	outside	185	9:50	10:20	10:35	0:30	0:15	1	0	DRC7	4.7	JP: moved 1 flower 0 buds to this line from air line	outside_day
CW	2021-07-13	day	15		I	inside	196	9:53	10:23	10:56	0:30	0:33	1	0	CW1	1.9	long pump time	inside_day
CW	2021-07-13	day	17		XI	outside	139	9:56	10:30	10:45	0:34	0:15	1	0	DRC7	3.5		outside_day
CW	2021-07-13	day	18		I	inside	192	10:11	10:41	10:56	0:30	0:15	1	0	CW2	2.9		inside_day
CW	2021-07-13	day	20		XB	outside	193	10:33	11:03	11:18	0:30	0:15	1	0	CW1	3.4		outside_day
CW	2021-07-13	day	21		XB	outside	172	10:50	11:20	11:35	0:30	0:15	1	0	CW2	2.1	trap blew out ~2 min?	outside_day
CW	2021-07-13	day	22		G	inside	99	11:07	11:37	11:52	0:30	0:15	1	0	CW1	3.5		inside_day
CW	2021-07-13	day	23		XF	outside	184	11:10	11:40	11:55	0:30	0:15	1	1	DRC7	3		outside_day
CW	2021-07-13	day	24		G	inside	93	11:24	11:54	12:09	0:30	0:15	1	0	CW2	4.4		inside_day
CW	2021-07-13	day	35		F	inside	220	11:42	12:12	12:27	0:30	0:15	1	0	DRC7	3.2		inside_day
CW	2021-07-13	day	26		F	inside	208	11:49	12:20	12:35	0:31	0:15	1	0	CW1	2.5		inside_day
CW	2021-07-13	day	27		XF	outside	221	11:58	12:28	12:43	0:30	0:15	1	0	CW2	3.6		outside_day
CW	2021-07-13	day	28		D	inside	12	12:02	12:32	12:47	0:30	0:15	1	0	DRC7	6.3		inside_day
CW	2021-07-13	day	29		XD	outside	264	12:12	12:42	12:59	0:30	0:17	1	0	CW1	3.7	very pale! trap blew out <1min each of 2x	outside_day
CW	2021-07-13	day	30		XG	outside	5	12:24	12:54	13:09	0:30	0:15	1	0	DRC7	3.8		outside_day
CW	2021-07-13	day	36		D	inside	156	12:31	13:01	13:16	0:30	0:15	1	1	CW2	4.6		inside_day
JP	2021-07-13	day	1		H	inside	557	9:45	10:15	10:30	0:30	0:15	1	1	JMP2	2.8		inside_day
JP	2021-07-13	day	2		H	inside	743	9:49	10:19	10:35	0:30	0:16	1	0	JMP3	1.4		inside_day
JP	2021-07-13	day	3		XH	outside	188	9:52	10:22	10:39	0:30	0:17	1	0	DRC1	3.4	JP: changed end from 10:29 to 10:39	outside_day
JP	2021-07-13	day	4		XH	outside	air	9:55	10:46	11:01	0:51	0:15			JMP3			air_day
JP	2021-07-13	day	5		XH	outside	105	10:11	10:43	10:58	0:32	0:15	1	0	DRC1	4.2	newly tagged, white flowers	outside_day
JP	2021-07-13	day	6		H	inside	200	10:29	10:59	11:18	0:30	0:19	1	0	JMP2	2.2		inside_day
JP	2021-07-13	day	7		B	inside	294	10:34	11:06	11:21	0:32	0:15	1	0		1.9		inside_day
JP	2021-07-13	day	8		B	inside	238	10:52	11:24	11:39	0:32	0:15	1	0		3.2		inside_day
JP	2021-07-13	day	9		XA	outside	191	11:11	11:46	12:01	0:35	0:15	1	0	DRC1	3		outside_day
JP	2021-07-13	day	10		XA	outside	186	11:13	11:49	12:04	0:36	0:15	1	0	JMP3	2.4		outside_day
JP	2021-07-13	day	11		A	inside	19	11:17	11:52	12:07	0:35	0:15	1	0	JMP2	2.9		inside_day
JP	2021-07-13	day	12		E	inside	16	11:58	12:28	12:43	0:30	0:15	1	0	JMP3	5.8		inside_day
JP	2021-07-13	day	31		E	inside	6	11:59	12:30	12:45	0:31	0:15	1	0	DRC1	4.6		inside_day
JP	2021-07-13	day	32		XE	outside	27	12:00	12:32	12:47	0:32	0:15	1	0	JMP2	5.9		outside_day
JP	2021-07-13	day	33		XD	outside	71	12:21	12:51	13:06	0:30	0:15	1	0	DRC1	4.1		outside_day
JP	2021-07-13	day	34		XC	outside	187	12:22	12:53	13:08	0:31	0:15	1	0	JMP2	3.1		outside_day
JP	2021-07-13	day	35		C	inside	189	12:25	12:55	13:10	0:30	0:15	1	0	JMP3	4.9		inside_day
DH	2021-07-15	night	74		H	inside	557	19:46	20:16	20:31	0:30	0:15	1	0	DRC7	2		inside_night
DH	2021-07-15	night	75		XH	outside	188	19:49	20:19	20:34	0:30	0:15	1	0	JMP3	3.3		outside_night
DH	2021-07-15	night	76		H	inside	743	19:53	20:24	20:39	0:31	0:15	1	0	JMP2	3.5		inside_night
DH	2021-07-15	night	77		XH	outside	105	20:17	20:47	21:02	0:30	0:15	1	0	DRC7	8.2		outside_night
DH	2021-07-15	night	78		H	inside	200	20:26	20:56	21:12	0:30	0:16	1	0	JMP3	2.9		inside_night
DH	2021-07-15	night	83		XC	outside	187	20:52	21:22	21:37	0:30	0:15	1	0	DRC7	6.5		outside_night
DH	2021-07-15	night	81		C	inside	189	20:55	21:25	21:40	0:30	0:15	1	0	JMP2	4.8		inside_night
DH	2021-07-15	night	82		D	inside	12	21:11	21:41	21:56	0:30	0:15	1	0	JMP3	6.7		inside_night
DH	2021-07-15	night	84		F	inside	208	21:30	22:00	22:15	0:30	0:15	1	0	DRC4	3.1		inside_night
DH	2021-07-15	night	88				air	21:38	22:04	22:14	0:26	0:10					JP: short pumping, check end time	air_night
CW	2021-07-15	night	56	1	XI	outside	185	19:46	20:16	20:31	0:30	0:15	1	1	DRC4	7.5		outside_night
CW	2021-07-15	night	59	1	I	inside	196	19:48	20:18	20:33	0:30	0:15	1	0	CW2	5.6	JP: changed pump from 20:28 to 20:18	inside_night
CW	2021-07-15	night	58	1	I	inside	227	19:50	20:20	20:35	0:30	0:15	1	0	DRC3	5.3		inside_night
CW	2021-07-15	night	57	1	XI	outside	139	19:55	20:25	20:40	0:30	0:15	1	0	DRC8	9.7		outside_night
CW	2021-07-15	night	60	1	I	inside	192	20:17	20:47	21:02	0:30	0:15	1	0	CW2	4.9		inside_night
CW	2021-07-15	night	62	1	XG	outside	5	20:27	20:57	21:12	0:30	0:15	1	0	DRC8	9.8		outside_night
CW	2021-07-15	night	61	1	G	inside	99	20:29	20:59	21:14	0:30	0:15	1	0	DRC3	4		inside_night
CW	2021-07-15	night	63	1	I		air	20:36	21:06	21:21	0:30	0:15			CW2			air_night
CW	2021-07-15	night	64		F	inside	220	20:44	21:14	21:29	0:30	0:15	1	0	DRC4			inside_night
CW	2021-07-15	night	65		G	inside	93	20:52	21:22	21:37	0:30	0:15	1	0	DRC3	5.5		inside_night
CW	2021-07-15	night	72		XF	outside	221	21:10	21:40	21:55	0:30	0:15	1	0	DRC8	7.3		outside_night
CW	2021-07-15	night	79		XF	outside	184	21:26	21:56	22:11	0:30	0:15	1	0	CW2	8.2		outside_night
JP	2021-07-15	night	50	1	B	inside	294	19:44	20:18	20:33	0:34	0:15	1	0	CW1	4.6		inside_night
JP	2021-07-15	night	51		B	inside	238	19:46	20:20	20:35	0:34	0:15	1	0	DRC1	7.6		inside_night
JP	2021-07-15	night	52		XB	outside	193	19:47	20:22	20:37	0:35	0:15	1	0	DRC10	11.2		outside_night
JP	2021-07-15	night	53		XB	outside	172	19:48	20:23	20:38	0:35	0:15	1	0	DRC9	4.5		outside_night
JP	2021-07-15	night	66		A	inside	19	20:08	20:43	21:00	0:35	0:17	1	0	DRC10	2.8		inside_night
JP	2021-07-15	night	67		A	inside	170	20:09	20:45	21:00	0:36	0:15	1	0	DRC1	2.6		inside_night
JP	2021-07-15	night	68		XA	outside	186	20:11	20:47	21:02	0:36	0:15	1	0	DRC9	6.2		outside_night
JP	2021-07-15	night	69		XA	outside	191	20:12	20:49	21:04	0:37	0:15	1	0	CW1	4.5		outside_night
JP	2021-07-15	night	70		E	inside	6	20:55	21:29	21:47	0:34	0:18	1	0		9.4		inside_night
JP	2021-07-15	night	71		E	inside	16	20:57	21:32	21:47	0:35	0:15	1	0		7.6		inside_night
JP	2021-07-15	night	72		XE	outside	27	20:59	21:35	21:51	0:36	0:16	1	0		11.2		outside_night
JP	2021-07-15	night	85		D	inside	156	21:23	21:54	22:09	0:31	0:15	1	0	CW1	4.3		inside_night
JP	2021-07-15	night	86		XD	outside	71	21:26	21:58	22:15	0:32	0:17	1	0	DRC9	10.9		outside_night
JP	2021-07-15	night	87		XE	outside	air	21:44	22:13	22:28	0:29	0:15			CW1			air_night
JP	2021-07-15	night	91		XE	outside	Artemisia	21:45	22:15	22:30	0:30	0:15			DRC9		A few leaves of the locally abundant Artemisia tridentata	
JP	2021-07-15	night	54		XD	outside	264	22:22	22:56	23:11	0:34	0:15	1	0	CW1	6.9		outside_night
JP	2021-07-15	night	55		C	inside	207	22:24	22:56	23:11	0:32	0:15	1	0	DRC9	3.3		inside_night
