n,Year,Date,DN,Site,PlantType,Tissue,OI,Sample,Sample2,nomatch,Bag,Pump,End,Equil,Duration,NumFlrs,NumBuds,NumLeaf,PumpID,SoilVWC,SoilDepth,Comments,Collector,LeafDryWtGrams
174,2018,2018-07-25,day,GNA,agg,air,air,AIR-E,Air2redo,,10:37,11:07,11:22,0:30,0:15,,,,DRC4,,,,Jocelyn,
178,2018,2018-07-25,day,GNA,agg,air,air,AIR-N,AirN,,13:44,14:14,14:29,0:30,0:15,,,,DRC4,,,,Jocelyn,
196,2018,2018-07-25,day,GNA,agg,flower,out,CW-370,370,,9:50,10:20,10:35,0:30,0:15,1,2,,DRC8,3.8,1.173,,Amanda,
194,2018,2018-07-25,day,GNA,agg,flower,out,CW-394,394,,8:47,9:17,9:32,0:30,0:15,1,0,,DRC8,4.9,1.194,,Amanda,
180,2018,2018-07-25,day,GNA,agg,flower,in,CW-A1,A1,,8:42,9:12,9:27,0:30,0:15,1,0,,DRC6,3.9,1.177,,Rachel,
163,2018,2018-07-25,day,GNA,agg,flower,in,CW-A2,A2,,9:20,9:50,10:05,0:30,0:15,1,0,,DRC2,3.3,1.163,,Alex,
181,2018,2018-07-25,day,GNA,agg,flower,in,CW-C1,C1,,9:19,9:51,10:04,0:32,0:13,1,0,,DRC6,1.9,1.136,,Rachel,
182,2018,2018-07-25,day,GNA,agg,flower,in,CW-C2,C2,,9:47,10:20,10:35,0:33,0:15,1,0,,DRC6,3.7,1.171,,Rachel,
187,2018,2018-07-25,day,GNA,agg,flower,in,CW-C3,C3,,12:52,13:23,13:38,0:31,0:15,1,0,,DRC4,2.3,1.145,,Rachel,
165,2018,2018-07-25,day,GNA,agg,flower,in,CW-D1,D1,,10:15,10:45,11:00,0:30,0:15,1,0,,DRC2,,,,Alex,
166,2018,2018-07-25,day,GNA,agg,flower,in,CW-D2,D2,,10:20,10:50,11:05,0:30,0:15,1,0,,DRC3,,,,Alex,
169,2018,2018-07-25,day,GNA,agg,flower,in,CW-D3,D3,,11:20,11:50,12:05,0:30,0:15,1,0,,DRC2,,,"flr fell off when pump started, also needed to retie bag",Alex,
197,2018,2018-07-25,day,GNA,agg,flower,in,CW-E1,E1,,10:10,10:40,10:55,0:30,0:15,1,1,,DRC1,3.9,1.174,,Amanda,
199,2018,2018-07-25,day,GNA,agg,flower,in,CW-E2,E2,,11:05,11:35,11:50,0:30,0:15,1,1,,DRC1,3.5,1.168,,Amanda,
200,2018,2018-07-25,day,GNA,agg,flower,in,CW-E3,E3,,11:09,11:39,11:55,0:30,0:16,1,1,,DRC8,4.4,1.184,,Amanda,
183,2018,2018-07-25,day,GNA,agg,flower,in,KM10-A1,KM10A1,,9:41,10:12,10:27,0:31,0:15,1,0,,DRC5,4.2,1.182,,Rachel,
184,2018,2018-07-25,day,GNA,agg,flower,in,KM10-B1,KM10B1,0,10:13,10:43,10:58,0:30,0:15,1,0,,DRC5,3.7,1.171,,Rachel,
185,2018,2018-07-25,day,GNA,agg,flower,in,KM10-B2,KM10B2,,10:26,10:56,11:09,0:30,0:13,1,0,,DRC6,2.6,1.149,,Rachel,
188,2018,2018-07-25,day,GNA,agg,flower,in,KM10-C1,KM10C1,,12:58,13:28,13:43,0:30,0:15,1,0,,DRC5,4.5,1.186,,Rachel,
186,2018,2018-07-25,day,GNA,agg,flower,in,KM10-C2,KM10C2,,10:55,11:22,11:37,0:27,0:15,1,0,,DRC5,5.4,1.204,,Rachel,
177,2018,2018-07-25,day,GNA,agg,flower,in,KM10-D1,KM10D1,,13:32,14:02,14:17,0:30,0:15,1,0,,DRC4,2.7,1.153,,Jocelyn,
189,2018,2018-07-25,day,GNA,agg,flower,in,KM14-A1,KM14A1,,13:18,13:49,14:04,0:31,0:15,1,0,,DRC4,1.3,1.125,,Rachel,
191,2018,2018-07-25,day,GNA,agg,flower,in,KM14-C1,KM14C1,,13:58,14:28,14:44,0:30,0:16,1,0,,DRC4,2.1,1.139,,Rachel,
192,2018,2018-07-25,day,GNA,agg,flower,in,CW-X02,X02,,14:04,14:34,14:49,0:30,0:15,1,0,,DRC4,3.1,1.159,,Rachel,
161,2018,2018-07-25,day,GNA,agg,air,air,AIR1,Air1,,8:45,9:15,9:30,0:30,0:15,,,,DRC2,,,outside A,Alex,
164,2018,2018-07-25,day,GNA,agg,air,air,AIR2,Air2,,9:40,10:10,10:25,0:30,0:15,,,,DRC3,,,outside A,Alex,
168,2018,2018-07-25,day,GNA,agg,air,air,AIR3,Air3,,11:13,11:43,11:58,0:30,0:15,,,,DRC3,,,outside D & E,Alex,
175,2018,2018-07-25,day,GNA,agg,flower,out,CW-112,112,,10:57,11:27,11:42,0:30,0:15,1,0,,DRC4,4.6,1.188,near KM10,Jocelyn,
176,2018,2018-07-25,day,GNA,agg,flower,out,CW-114,114,,13:02,13:32,13:47,0:30,0:15,1,0,,DRC4,4.8,1.191,near KM10,Jocelyn,
160,2018,2018-07-25,day,GNA,agg,flower,out,CW-116,116,,8:40,9:10,9:25,0:30,0:15,1,0,,DRC3,3.7,1.171,outside A,Alex,
170,2018,2018-07-25,day,GNA,agg,flower,out,CW-120,120,,9:09,9:39,9:54,0:30,0:15,1,0,,DRC5,2.4,1.147,outside C,Jocelyn,
171,2018,2018-07-25,day,GNA,agg,flower,out,CW-136,136,,9:29,9:59,10:14,0:30,0:15,1,0,,DRC4,4.7,1.189,outside C,Jocelyn,
167,2018,2018-07-25,day,GNA,agg,flower,out,CW-20,20,,10:40,11:10,11:25,0:30,0:15,1,0,,DRC2,2.7,1.152,outside D & E,Alex,
198,2018,2018-07-25,day,GNA,agg,flower,out,CW-219,219,,10:20,10:50,11:05,0:30,0:15,1,1,,DRC8,4.1,1.179,outside E,Amanda,
162,2018,2018-07-25,day,GNA,agg,flower,out,CW-320,320,,9:08,9:38,9:53,0:30,0:15,1,0,,DRC3,4.2,1.181,outside A,Alex,
172,2018,2018-07-25,day,GNA,agg,flower,out,CW-69,69,,9:55,10:25,10:40,0:30,0:15,1,0,,DRC4,5.6,1.206,near KM10,Jocelyn,
