n,Year,Date,DN,Temp,PlantType,Tissue,Sample,Sample2,nomatch,Bag,Pump,End ,Equil,Duration,NumFlrs,NumBuds,PumpID,Comments,Collector,LeafDryWtGrams
119,2018,2018-08-10,day,cool,agg,flower,A117D,A117,,9:27,9:57,10:12,0:30,0:15,1,0,DRC3,,Carrie,
126,2018,2018-08-10,day,cool,agg,flower,A139D,A139,,12:25,12:55,13:10,0:30,0:15,1,0,CWU1,,Carrie,
121,2018,2018-08-10,day,cool,agg,flower,A179D,A179,,10:27,10:57,11:12,0:30,0:15,1,0,DRC3,,Carrie,
124,2018,2018-08-10,day,cool,agg,flower,A188D,A188,,11:25,11:56,12:11,0:31,0:15,1,0,.,,Carrie,
123,2018,2018-08-10,day,cool,agg,flower,A200D,A200,,11:17,11:47,12:02,0:30,0:15,1,0,.,,Carrie,
107,2018,2018-08-10,day,warm,agg,flower,A128D,A128,,9:34,10:04,10:19,0:30,0:15,1,0,DRC2,,Carrie,
111,2018,2018-08-10,day,warm,agg,flower,A141D,A141,,11:09,11:39,11:54,0:30,0:15,1,0,DRC2,flower faded; trap fell out during pumping,Carrie,
113,2018,2018-08-10,day,warm,agg,flower,A141Dredo,A141redo,,12:00,12:35,12:50,0:35,0:15,1,0,.,,Carrie,
108,2018,2018-08-10,day,warm,agg,flower,A198D,A198,,10:10,10:40,10:55,0:30,0:15,1,0,DRC2,,Carrie,
114,2018,2018-08-10,day,warm,agg,flower,A74D,A74,,12:42,13:12,13:27,0:30,0:15,1,0,CWU2,very pale flowers; plant looks stressed/dying,Carrie,
118,2018,2018-08-10,day,cool,air,air,AirC1,AirC1,,9:17,9:47,10:02,0:30,0:15,,,CWU1,,Carrie,
128,2018,2018-08-10,day,cool,air,air,AirC2,AirC2,,13:15,13:45,14:00,0:30,0:15,,,CWU1,,Carrie,
106,2018,2018-08-10,day,warm,air,air,AirW1,AirW1,,9:20,9:51,10:05,0:31,0:14,,,CWU2,,Carrie,
116,2018,2018-08-10,day,warm,air,air,AirW2,AirW2,,13:20,13:50,14:05,0:30,0:15,,,DRC2,,Carrie,
120,2018,2018-08-10,day,cool,ten,flower,T119D,T119,,9:46,10:16,10:31,0:30,0:15,1,0,DRC3,,Carrie,
125,2018,2018-08-10,day,cool,ten,flower,T186D,T186,,12:17,12:47,13:02,0:30,0:15,1,0,DRC3,,Carrie,
122,2018,2018-08-10,day,cool,ten,flower,T196D,T196,,10:36,11:06,11:21,0:30,0:15,1,0,CWU1,,Carrie,
127,2018,2018-08-10,day,cool,ten,flower,T72D,T72,,13:07,13:37,13:52,0:30,0:15,1,0,DRC3,,Carrie,
112,2018,2018-08-10,day,warm,ten,flower,T132D,T132,,11:33,12:07,12:22,0:34,0:15,1,0,.,,Carrie,
110,2018,2018-08-10,day,warm,ten,flower,T145D,T145,,10:44,11:11,11:30,0:27,0:19,1,0,CWU2,,Carrie,
115,2018,2018-08-10,day,warm,ten,flower,T153D,T153,,12:58,13:29,13:44,0:31,0:15,1,0,CWU2,,Carrie,
109,2018,2018-08-10,day,warm,ten,flower,T167D,T167,,10:22,10:52,11:02,0:30,0:10,1,0,CWU2,,Carrie,
117,2018,2018-08-10,day,warm,ten,flower,T174D,T174,,13:23,13:53,14:08,0:30,0:15,1,0,CWU2,flower fell off plant when starting to pump.  Sampled anyway.,Carrie,
138,2018,2018-08-10,night,cool,agg,flower,A117N,A117,,21:48,22:18,22:33,0:30,0:15,1,0,DRC6,,Heather,
130,2018,2018-08-10,night,cool,agg,flower,A118N,A188,,20:36,21:07,21:22,0:31,0:15,1,0,DRC6,,Heather,
137,2018,2018-08-10,night,cool,agg,flower,A139N,A139,,21:46,22:16,22:31,0:30,0:15,1,1,DRC1,,Heather,
135,2018,2018-08-10,night,cool,agg,flower,A179N,A179,,21:25,21:55,22:10,0:30,0:15,1,0,DRC1,,Heather,
136,2018,2018-08-10,night,cool,agg,flower,A200N,A200,,21:37,22:09,22:22,0:32,0:13,1,0,DRC2,,Heather,
145,2018,2018-08-10,night,warm,agg,flower,A128N,A128,,21:09,21:40,21:55,0:31,0:15,1,0,CWU1,,Carrie,
146,2018,2018-08-10,night,warm,agg,flower,A141N,A141,,21:16,21:46,22:01,0:30,0:15,1,0,CWU2,,Carrie,
144,2018,2018-08-10,night,warm,agg,flower,A198N,A198,,20:49,21:20,21:35,0:31,0:15,1,0,CWU2,,Carrie,
142,2018,2018-08-10,night,warm,agg,flower,A74N,A74,,20:37,21:07,21:22,0:30,0:15,1,0,DRC3,,Carrie,
129,2018,2018-08-10,night,cool,air,air,AirC3,AirC3,,19:57,20:42,20:57,0:45,0:15,,,DRC2,,Heather,
