"","expt","n","Year","Date","DN","Site","PlantType","Tissue","OI","Sample","Sample2","nomatch","Bag","Pump","End","NumFlrs","NumBuds","NumLeaf","PumpID","SoilVWC","SoilDepth","Comments","Collector","LeafDryWtGrams","n.f","Filename","Lead","Year.f","Expt","Temp","PlantType.f","Type","Sample.f","nomatch.f","DNLeaf","SampleDate_text","SampleDate_format","RunDate_text","RunDate","GCOrder","vial","lost","chamber","plant","Equil","Duration","location_time","Temp.f","Total","Pump_datehour","year","time","mean_temp_C_control","mean_temp_C_OTC","mean_intensity_lux_control","mean_intensity_lux_OTC","OTC_diff_C","OTC_diff_lux","mean_temp_C_treatment"
"1","otc",174,2018,2018-07-25,"day","GNA","air","air","air","AIR-E","Air2redo",NA,10:37:00,11:07:00,11:22:00,NA,NA,NA,"DRC4",NA,NA,NA,"Jocelyn",NA,38,"Air2July25redo_08312018.qgd","Air2July25redo",2018,"otc",NA,"agg","Air","2redo",NA,NA,"July25redo","Jul 25 2018",8312018,2018-08-31,NA,NA,NA,NA,NA,1800,900,NA,NA,2700,2018-07-25 11:00:00,2018,17,26.50325,31.4414,8037.06666666667,6785.62,4.93815,-1251.44666666667,26.50325
"2","otc",178,2018,2018-07-25,"day","GNA","air","air","air","AIR-N","AirN",NA,13:44:00,14:14:00,14:29:00,NA,NA,NA,"DRC4",NA,NA,NA,"Jocelyn",NA,54,"AirNrenamedJuly25_08312018.qgd","AirNrenamedJuly25",2018,"otc",NA,"agg","Air","N",NA,NA,"July25","Jul 25 2018",8312018,2018-08-31,NA,NA,NA,NA,NA,1800,900,NA,NA,2700,2018-07-25 14:00:00,2018,20,11.56125,12.4164,215.266666666667,254.02,0.855149999999998,38.7533333333333,11.56125
"3","otc",196,2018,2018-07-25,"day","GNA","agg","flower","out","CW-370","370",NA,09:50:00,10:20:00,10:35:00,1,2,NA,"DRC8",3.8,1.173,NA,"Amanda",NA,110,"NatArea370DJul25_08302018.qgd","NatArea370DJul25",2018,"otc",NA,"agg","NatArea","370D",NA,"day","Jul25","Jul 25 2018",8302018,2018-08-30,NA,NA,NA,NA,NA,1800,900,NA,NA,2700,2018-07-25 10:00:00,2018,16,19.16425,21.6946,1725.8,1997.8,2.53035,272,19.16425
"4","otc",194,2018,2018-07-25,"day","GNA","agg","flower","out","CW-394","394",NA,08:47:00,09:17:00,09:32:00,1,0,NA,"DRC8",4.9,1.194,NA,"Amanda",NA,111,"NatArea394DJul25_08302018.qgd","NatArea394DJul25",2018,"otc",NA,"agg","NatArea","394D",NA,"day","Jul25","Jul 25 2018",8302018,2018-08-30,NA,NA,NA,NA,NA,1800,900,NA,NA,2700,2018-07-25 09:00:00,2018,15,27.4855,34.1296,5740.76666666667,5683.34,6.64410000000001,-57.4266666666663,27.4855
"5","otc",180,2018,2018-07-25,"day","GNA","agg","flower","in","CW-A1","A1",NA,08:42:00,09:12:00,09:27:00,1,0,NA,"DRC6",3.9,1.177,NA,"Rachel",NA,114,"NatAreaA1DJul25_08302018.qgd","NatAreaA1DJul25",2018,"otc",NA,"agg","NatArea","A1D",NA,"day","Jul25","Jul 25 2018",8302018,2018-08-30,NA,NA,NA,NA,NA,1800,900,NA,NA,2700,2018-07-25 09:00:00,2018,15,27.4855,34.1296,5740.76666666667,5683.34,6.64410000000001,-57.4266666666663,34.1296
"6","otc",163,2018,2018-07-25,"day","GNA","agg","flower","in","CW-A2","A2",NA,09:20:00,09:50:00,10:05:00,1,0,NA,"DRC2",3.3,1.163,NA,"Alex",NA,115,"NatAreaA2DJul25_08302018.qgd","NatAreaA2DJul25",2018,"otc",NA,"agg","NatArea","A2D",NA,"day","Jul25","Jul 25 2018",8302018,2018-08-30,NA,NA,NA,NA,NA,1800,900,NA,NA,2700,2018-07-25 10:00:00,2018,16,19.16425,21.6946,1725.8,1997.8,2.53035,272,21.6946
"7","otc",181,2018,2018-07-25,"day","GNA","agg","flower","in","CW-C1","C1",NA,09:19:00,09:51:00,10:04:00,1,0,NA,"DRC6",1.9,1.136,NA,"Rachel",NA,118,"NatAreaC1DJul25_08302018.qgd","NatAreaC1DJul25",2018,"otc",NA,"agg","NatArea","C1D",NA,"day","Jul25","Jul 25 2018",8302018,2018-08-30,NA,NA,NA,NA,NA,1920,780,NA,NA,2700,2018-07-25 10:00:00,2018,16,19.16425,21.6946,1725.8,1997.8,2.53035,272,21.6946
"8","otc",182,2018,2018-07-25,"day","GNA","agg","flower","in","CW-C2","C2",NA,09:47:00,10:20:00,10:35:00,1,0,NA,"DRC6",3.7,1.171,NA,"Rachel",NA,119,"NatAreaC2DJul25_08302018.qgd","NatAreaC2DJul25",2018,"otc",NA,"agg","NatArea","C2D",NA,"day","Jul25","Jul 25 2018",8302018,2018-08-30,NA,NA,NA,NA,NA,1980,900,NA,NA,2880,2018-07-25 10:00:00,2018,16,19.16425,21.6946,1725.8,1997.8,2.53035,272,21.6946
"9","otc",187,2018,2018-07-25,"day","GNA","agg","flower","in","CW-C3","C3",NA,12:52:00,13:23:00,13:38:00,1,0,NA,"DRC4",2.3,1.145,NA,"Rachel",NA,120,"NatAreaC3DJuly25_08312018.qgd","NatAreaC3DJuly25",2018,"otc",NA,"agg","NatArea","C3D",NA,"day","July25","Jul 25 2018",8312018,2018-08-31,NA,NA,NA,NA,NA,1860,900,NA,NA,2760,2018-07-25 13:00:00,2018,19,16.33075,17.5024,879.066666666667,964.48,1.17165,85.4133333333334,17.5024
"10","otc",187,2018,2018-07-25,"day","GNA","agg","flower","in","CW-C3","C3",NA,12:52:00,13:23:00,13:38:00,1,0,NA,"DRC4",2.3,1.145,NA,"Rachel",NA,121,"NatAreaC3DJuly25redo_08312018.qgd","NatAreaC3DJuly25redo",2018,"otc",NA,"agg","NatArea","C3D",NA,"day","July25redo","Jul 25 2018",8312018,2018-08-31,NA,NA,NA,NA,NA,1860,900,NA,NA,2760,2018-07-25 13:00:00,2018,19,16.33075,17.5024,879.066666666667,964.48,1.17165,85.4133333333334,17.5024
