"Filename","Lead","Year","Type","Sample","DNLeaf","SampleDate","RunDate_text","RunDate","GCOrder"
"A117DAug16_09012018.qgd","A117DAug16",2018,"A","117D",,"Aug16",9012018,2018-09-01,
"A117DCoolAug10_08292018.qgd","A117DCoolAug10",2018,"A","117DCool",,"Aug10",8292018,2018-08-29,
"A117NAug10_08302018.qgd","A117NAug10",2018,"A","117N",,"Aug10",8302018,2018-08-30,
"A128DAug16_09012018.qgd","A128DAug16",2018,"A","128D",,"Aug16",9012018,2018-09-01,
"A128DWarmAug10_08292018.qgd","A128DWarmAug10",2018,"A","128DWarm",,"Aug10",8292018,2018-08-29,
"A128NAug10_08292018.qgd","A128NAug10",2018,"A","128N",,"Aug10",8292018,2018-08-29,
"A128NAug15_09012018.qgd","A128NAug15",2018,"A","128N",,"Aug15",9012018,2018-09-01,
"A139DAug16_09012018.qgd","A139DAug16",2018,"A","139D",,"Aug16",9012018,2018-09-01,
"A139DCoolAug10_08292018.qgd","A139DCoolAug10",2018,"A","139DCool",,"Aug10",8292018,2018-08-29,
"A139NAug10_08302018.qgd","A139NAug10",2018,"A","139N",,"Aug10",8302018,2018-08-30,
"A139NAug15_09012018.qgd","A139NAug15",2018,"A","139N",,"Aug15",9012018,2018-09-01,
"A141DWarmAug10_08292018.qgd","A141DWarmAug10",2018,"A","141DWarm",,"Aug10",8292018,2018-08-29,
"A141NAug10_08302018.qgd","A141NAug10",2018,"A","141N",,"Aug10",8302018,2018-08-30,
"A141redoDWarmAug10_08292018.qgd","A141redoDWarmAug10",2018,"A","141redoDWarm",,"Aug10",8292018,2018-08-29,
"A150DAug16_09012018.qgd","A150DAug16",2018,"A","150D",,"Aug16",9012018,2018-09-01,
"A150NAug15_09012018.qgd","A150NAug15",2018,"A","150N",,"Aug15",9012018,2018-09-01,
"A179DAug15_09012018.qgd","A179DAug15",2018,"A","179D",,"Aug15",9012018,2018-09-01,
"A179DCoolAug10_08292018.qgd","A179DCoolAug10",2018,"A","179DCool",,"Aug10",8292018,2018-08-29,
"A179NAug10_08302018.qgd","A179NAug10",2018,"A","179N",,"Aug10",8302018,2018-08-30,
"A179NAug15_09012018.qgd","A179NAug15",2018,"A","179N",,"Aug15",9012018,2018-09-01,
"A188DAug16_09012018.qgd","A188DAug16",2018,"A","188D",,"Aug16",9012018,2018-09-01,
"A188DCoolAug10_08292018.qgd","A188DCoolAug10",2018,"A","188DCool",,"Aug10",8292018,2018-08-29,
"A188DredoAug16renamed_09022018.qgd","A188DredoAug16renamed",2018,"A","188Dredo",,"Aug16renamed",9022018,2018-09-02,
"A188NAug10_08292018.qgd","A188NAug10",2018,"A","188N",,"Aug10",8292018,2018-08-29,
"A188NAug15_09012018.qgd","A188NAug15",2018,"A","188N",,"Aug15",9012018,2018-09-01,
"A198DAug16_09012018.qgd","A198DAug16",2018,"A","198D",,"Aug16",9012018,2018-09-01,
"A198DWarmAug10_08292018.qgd","A198DWarmAug10",2018,"A","198DWarm",,"Aug10",8292018,2018-08-29,
"A198NAug10_08292018.qgd","A198NAug10",2018,"A","198N",,"Aug10",8292018,2018-08-29,
"A198NAug15_09012018.qgd","A198NAug15",2018,"A","198N",,"Aug15",9012018,2018-09-01,
"A200DAug16_09012018.qgd","A200DAug16",2018,"A","200D",,"Aug16",9012018,2018-09-01,
"A200DCoolAug10_08292018.qgd","A200DCoolAug10",2018,"A","200DCool",,"Aug10",8292018,2018-08-29,
"A200NAug10_08302018.qgd","A200NAug10",2018,"A","200N",,"Aug10",8302018,2018-08-30,
"A200NAug15_09012018.qgd","A200NAug15",2018,"A","200N",,"Aug15",9012018,2018-09-01,
"A74DWarmAug10_08292018.qgd","A74DWarmAug10",2018,"A","74DWarm",,"Aug10",8292018,2018-08-29,
"A74NAug10_08292018.qgd","A74NAug10",2018,"A","74N",,"Aug10",8292018,2018-08-29,
"Air1July27redo_09022018.qgd","Air1July27redo",2018,"Air","1",,"July27redo",9022018,2018-09-02,
"Air1renamedJuly25_08312018.qgd","Air1renamedJuly25",2018,"Air","1renamed",,"July25",8312018,2018-08-31,
"Air2July25redo_08312018.qgd","Air2July25redo",2018,"Air","2",,"July25redo",8312018,2018-08-31,
"Air2renamedJuly25_08312018.qgd","Air2renamedJuly25",2018,"Air","2renamed",,"July25",8312018,2018-08-31,
"Air2renamedJuly27_09022018.qgd","Air2renamedJuly27",2018,"Air","2renamed",,"July27",9022018,2018-09-02,
"Air3July27_09022018.qgd","Air3July27",2018,"Air","3",,"July27",9022018,2018-09-02,
"Air3renamedJuly25_08312018.qgd","Air3renamedJuly25",2018,"Air","3renamed",,"July25",8312018,2018-08-31,
"Air4July27_09022018.qgd","Air4July27",2018,"Air","4",,"July27",9022018,2018-09-02,
"AirC11Aug15_09012018.qgd","AirC11Aug15",2018,"Air","C11",,"Aug15",9012018,2018-09-01,
"AirC12Aug15_09012018.qgd","AirC12Aug15",2018,"Air","C12",,"Aug15",9012018,2018-09-01,
"AirC13Aug16_08312018.qgd","AirC13Aug16",2018,"Air","C13",,"Aug16",8312018,2018-08-31,
"AirC14DAug16_09012018.qgd","AirC14DAug16",2018,"Air","C14D",,"Aug16",9012018,2018-09-01,
"AirC1Aug10_08292018.qgd","AirC1Aug10",2018,"Air","C1",,"Aug10",8292018,2018-08-29,
"AirC2Aug10_08292018.qgd","AirC2Aug10",2018,"Air","C2",,"Aug10",8292018,2018-08-29,
