name,class,mean,max,match.var,match,RT.var,RT,filter_RT,filter_match,filter_contaminant,filter_area,filter_ambient_ratio,ambient_ratio,filters_passed,filter_final
"(1R)-2,6,6-Trimethylbicyclo[3.1.1]hept-2-ene",cyclic monoterpene,1752216,20896189,0.001492253521,0.96,0.3094890141,7.189,OK,OK,OK,OK,AmRatioFail,2.64,4,TRUE
(E)-4-Oxohex-2-enal,aliphatic,48975,411665,0.004312121212,0.86,1.77E-04,7.576,OK,OK,OK,Low,AmRatioFail,1.60,3,TRUE
.beta.-Myrcene,acyclic monoterpene,158497,1181608,7.27E-04,0.88,7.38E-05,8.1525,OK,OK,OK,Low,OK,Inf,4,TRUE
.beta.-Ocimene,acyclic monoterpene,85567,576606,0.002979892038,0.87,7.18E-05,9.125,OK,OK,OK,Low,AmRatioFail,0.74,3,TRUE
"1-Butanol, 3-methyl-",aliphatic,15451,88627,0.003544946237,0.88,0.001179658065,3.679,Low,OK,OK,Low,AmRatioFail,0.72,2,TRUE
1-Pentanol,aliphatic,24024,221726,0.001230769231,0.89,0.03817397436,3.669,Low,OK,OK,Low,OK,Inf,3,TRUE
1-Penten-3-ol,aliphatic,9047,135538,8.55E-04,0.89,5.03E-04,2.9415,Low,OK,OK,Low,OK,Inf,3,TRUE
2-Oxepanone,aliphatic,101369,588477,0.00492695122,0.85,8.46E-05,10.674,OK,OK,OK,Low,AmRatioFail,1.11,3,TRUE
"2,4,6-Octatriene, 2,6-dimethyl-, (E,Z)-",aliphatic,410,24991,NA,0.75,NA,14.909,OK,Low,OK,Low,OK,Inf,3,TRUE
"3-Hexen-1-ol, (E)-",aliphatic,205296,3622767,0.002017320261,0.93,0.001331310458,5.7445,OK,OK,OK,OK,AmRatioFail,0.99,4,TRUE
"3-Hexen-1-ol, acetate, (E)-",aliphatic,140995,1992488,0.002833603239,0.91,9.23E-05,8.411,OK,OK,OK,Low,AmRatioFail,1.91,3,TRUE
"3,7,7-Trimethylbicyclo[4.1.0]hept-3-ene-2,5-dione",cyclic monoterpene,15488,222102,0.001161904762,0.84,8.62E-06,13.369,OK,OK,OK,Low,OK,Inf,4,TRUE
Acetoin,aliphatic,128813,1072481,0.00315708502,0.9,0.3641464453,3.295,Low,OK,OK,Low,AmRatioFail,2.01,2,TRUE
"Benzoic acid, methyl ester",benzenoid,8424,455418,8.00E-04,0.92,1.28E-04,9.932,OK,OK,OK,Low,OK,Inf,4,TRUE
Benzophenone,benzenoid,407460,3932609,0.001139759615,0.93,3.21E-05,17.34,High,OK,OK,OK,AmRatioFail,2.62,3,TRUE
Benzyl alcohol,benzenoid,89131,1247616,0.003238235294,0.88,5.83E-05,8.8995,OK,OK,OK,Low,OK,Inf,4,TRUE
"Bicyclo[3.1.1]hept-3-en-2-one, 4,6,6-trimethyl-",cyclic monoterpene,4566,265102,0,0.78,1.45E-04,11.7755,OK,Low,OK,Low,OK,Inf,3,TRUE
"E-11,13-Tetradecadien-1-ol",aliphatic,106999,1579278,8.33E-04,0.85,1.254083909,13.958,OK,OK,OK,Low,AmRatioFail,0.54,3,TRUE
Indole,nitrogen,49954,2117026,9.33E-04,0.91,2.63E-05,12.969,OK,OK,OK,Low,OK,Inf,4,TRUE
L-.alpha.-Terpineol,aliphatic,59268,497329,0.001640952381,0.86,3.58E-05,11.465,OK,OK,OK,Low,AmRatioFail,1.77,3,TRUE
Linalool,acyclic monoterpene,150275,6292599,0.006197712418,0.895,0.6361645752,9.976,OK,OK,OK,OK,OK,5.13,5,TRUE
trans-.beta.-Ocimene,acyclic monoterpene,850,51865,NA,0.88,NA,8.96,OK,OK,OK,Low,OK,Inf,4,TRUE
.alpha.-Copaene,sesquiterpene,75123,1526232,0.001786764706,0.9,0.05936222059,14.182,OK,OK,OK,Low,AmRatioFail,1.22,3,TRUE
.alpha.-Farnesene,sesquiterpene,28076,1064917,1.33E-04,0.9,3.73E-05,15.746,High,OK,OK,Low,OK,Inf,3,TRUE
"1-Heptanol, 2,4-diethyl-",aliphatic,28918,1652712,0.00605,0.835,6.027392,11.442,OK,OK,OK,Low,OK,Inf,4,TRUE
1-Tridecene,aliphatic,168578,3014326,2.57E-04,0.9,0.02877736667,11.2265,OK,OK,OK,OK,OK,Inf,5,TRUE
"1,4,7,-Cycloundecatriene, 1,5,9,9-tetramethyl-, Z,Z,Z-",aliphatic,42169,975949,0.002186666667,0.89,3.11E-05,15.2435,High,OK,OK,Low,OK,Inf,3,TRUE
"2-Hexenal, (E)-",aliphatic,149418,1171784,4.57E-04,0.91,3.90E-04,5.684,OK,OK,OK,Low,OK,3.11,4,TRUE
"2,6-Dimethyl-1,3,5,7-octatetraene, E,E-",aliphatic,466,28396,NA,0.84,NA,10.492,OK,OK,OK,Low,OK,Inf,4,TRUE
"2,6-Octadien-1-ol, 2,7-dimethyl-",aliphatic,113440,1598128,4.25E-04,0.84,0.2688447292,8.1565,OK,OK,OK,Low,AmRatioFail,1.61,3,TRUE
"4-Hexen-1-ol, (Z)-",aliphatic,357874,6901599,0.002847435897,0.93,0.1241171026,5.736,OK,OK,OK,OK,OK,Inf,5,TRUE
"Bicyclo[3.1.1]hept-3-en-2-one, 4,6,6-trimethyl-, (1S)-",cyclic monoterpene,9657,192013,0.002395555556,0.87,5.13E-05,11.7865,OK,OK,OK,Low,AmRatioFail,0.56,3,TRUE
"Bicyclo[3.1.1]heptane, 6,6-dimethyl-2-methylene-, (1S)-",cyclic monoterpene,27002,1647105,NA,0.84,NA,7.956,OK,OK,OK,Low,OK,Inf,4,TRUE
"Butanoic acid, 2-methyl-, methyl ester",aliphatic,13815,342490,0.005427272727,0.83,7.40E-04,4.365,OK,OK,OK,Low,OK,Inf,4,TRUE
Caryophyllene,sesquiterpene,729969,6278167,0.002038530612,0.94,0.4186580657,14.803,OK,OK,OK,OK,AmRatioFail,1.53,4,TRUE
Longifolene,sesquiterpene,164803,6230881,0.002332631579,0.885,2.41E-05,14.6575,OK,OK,OK,OK,AmRatioFail,1.61,4,TRUE
Methyl salicylate,benzenoid,117484,2383635,0.00319625,0.895,7.72E-05,11.522,OK,OK,OK,Low,AmRatioFail,1.30,3,TRUE
Petasitene,sesquiterpene,119528,1754593,6.58E-04,0.95,4.97E-05,14.5,OK,OK,OK,Low,AmRatioFail,1.20,3,TRUE
"Acetic acid, (1,2-dimethyl-1-propenyl) ester",aliphatic,7077,162003,0.001033333333,0.77,2.61E-04,2.919,Low,Low,OK,Low,OK,Inf,2,TRUE
"Butanoic acid, 3-hexenyl ester, (E)-",aliphatic,8522,456917,0.0072,0.81,0.2251205,10.9705,OK,OK,OK,Low,OK,Inf,4,TRUE
cis-3-Hexenyl iso-butyrate,aliphatic,11582,474899,0.00132,0.83,0.0878917,10.65,OK,OK,OK,Low,AmRatioFail,0.54,3,TRUE
Copaene,sesquiterpene,26399,1154395,4.50E-04,0.885,0.154568,14.449,OK,OK,OK,Low,OK,Inf,4,TRUE
"3-Hexen-1-ol, acetate, (Z)-",aliphatic,36671,925480,0.002536363636,0.93,3.63E-05,8.416,OK,OK,OK,Low,AmRatioFail,0.22,3,TRUE
"Butanoic acid, 3-hexenyl ester, (Z)-",aliphatic,22864,488637,0.002641818182,0.84,0.1178344909,11.288,OK,OK,OK,Low,AmRatioFail,1.68,3,TRUE
d-Menthol,aliphatic,50689,833970,4.70E-04,0.9,1.87E-05,11.184,OK,OK,OK,Low,OK,Inf,4,TRUE
cis-3-Hexenyl-.alpha.-methylbutyrate,aliphatic,3095,188822,NA,0.87,NA,11.988,OK,OK,OK,Low,OK,Inf,4,TRUE
.beta.-copaene,sesquiterpene,12290,643428,0.001433333333,0.82,0.1516623333,14.914,OK,OK,OK,Low,AmRatioFail,1.01,3,TRUE
"Bicyclo[7.2.0]undec-4-ene, 4,11,11-trimethyl-8-methylene-,[1R-(1R*,4Z,9S*)]-",sesquiterpene,12038,537991,0.002533333333,0.8,0.009108333333,14.659,OK,OK,OK,Low,OK,Inf,4,TRUE
(Dimethylamino)ethyl methacrylate,,2014,122833,NA,0.84,NA,7.106,OK,OK,OK,Low,OK,Inf,4,FALSE
"(E)-1,3-Butadien-1-ol",,14246,284269,6.54E-04,0.82,1.813544944,2.628,Low,OK,OK,Low,AmRatioFail,1.31,2,FALSE
"(E)-4,8-Dimethylnona-1,3,7-triene",,12329,323777,0.001366666667,0.8,0.024503,10.2265,OK,OK,OK,Low,OK,Inf,4,FALSE
(E)-Hexadec-2-enal,,189594,2547416,0.002754285714,0.8,4.70303494,16.465,High,OK,OK,Low,AmRatioFail,1.17,2,FALSE
(E)-Tetradec-2-enal,,280831,3730664,0.003235846373,0.86,4.233820475,15.202,High,OK,OK,OK,OK,4.31,4,FALSE
"(R)-(-)-2-Methyl-2,4-pentanediol",,64219,349525,0.00322195122,0.85,1.38E-04,6.927,OK,OK,OK,Low,AmRatioFail,1.56,3,FALSE
(S)-(+)-1-Cyclohexylethylamine,,615,37511,0.005,0.76,0.056448,0.691,Low,Low,OK,Low,AmRatioFail,0.34,1,FALSE
(S)-5-Hydroxymethyl-2[5H]-furanone,,14587,190183,0.003100584795,0.81,0.003143812865,3.885,Low,OK,OK,Low,OK,24.95,3,FALSE
.alpha.-Amino-.gamma.-butyrolactone,,5959,319306,0.0018,0.79,0.207368,10.209,OK,Low,OK,Low,OK,Inf,3,FALSE
.alpha.-Methylstyrene,,11431,664838,2.00E-04,0.82,1.13E-04,8.0345,OK,OK,OK,Low,OK,Inf,4,FALSE
.alpha.-Terpineol,,2541,155029,NA,0.77,NA,7.47,OK,Low,OK,Low,OK,Inf,3,FALSE
.beta.-Elemenone,,6123,373479,NA,0.75,NA,18.21,High,Low,OK,Low,OK,Inf,2,FALSE
.gamma.-Chlorobutyrophenone,,816011,4994320,3.67E-04,0.9,7.48E-05,9.464,OK,OK,OK,OK,AmRatioFail,2.42,4,FALSE
"[1,1'-Bicyclopentyl]-2-one",,1342502,11103868,9.73E-04,0.91,2.28E-04,12.888,OK,OK,OK,OK,AmRatioFail,1.87,4,FALSE
"[1,1':3',1''-Terphenyl]-2'-ol",,258872,4965590,0.004958333333,0.835,2.69E-05,21.978,High,OK,OK,OK,OK,Inf,4,FALSE
"1-Adamantanecarboxylic acid, 2-tridecyl ester",,16474,471306,2.00E-04,0.785,1.00E-05,18.1415,High,Low,OK,Low,AmRatioFail,0.27,1,FALSE
"1-Adamantanecarboxylic acid, 5-tetradecyl ester",,35221,877425,2.50E-05,0.74,2.56E-05,15.4935,High,Low,OK,Low,OK,Inf,2,FALSE
1-Chloro-3-methoxypropan-2-yl acetate,,8578,152478,0.001746666667,0.76,1.78E-04,2.902,Low,Low,OK,Low,OK,Inf,2,FALSE
1-Decanol,,39339,601572,0.003318181818,0.855,0.2696323333,12.7015,OK,OK,OK,Low,OK,3.14,4,FALSE
"1-Decene, 4-methyl-",,3890,130638,0.0061,0.83,8.787697,7.141,OK,OK,OK,Low,OK,Inf,4,FALSE
"1-Docosanol, methyl ether",,44043,1398763,0.00125,0.755,0,22.079,High,Low,OK,Low,OK,Inf,2,FALSE
1-Dodecanol,,265790,3482800,4.19E-04,0.94,1.04133401,15.278,High,OK,OK,OK,AmRatioFail,1.29,3,FALSE
1-Heneicosyl formate,,74863,1446512,0.001085714286,0.75,8.648263982,20.7745,High,Low,OK,Low,AmRatioFail,0.92,1,FALSE
1-Heptacosanol,,417038,3649727,0.003896551724,0.9,2.745560975,22.086,High,OK,OK,OK,AmRatioFail,2.10,3,FALSE
1-Heptanol,,208667,1043029,0.001286234818,0.87,1.22E-04,7.775,OK,OK,OK,Low,AmRatioFail,2.33,3,FALSE
1-Hexadecanol,,67594,3013914,0.00435,0.885,1.954924,18.67,High,OK,OK,OK,OK,Inf,4,FALSE
"1-Hexadecanol, 2-methyl-",,17517,878245,9.17E-05,0.845,7.127160667,13.6905,OK,OK,OK,Low,AmRatioFail,0.10,3,FALSE
1-Hexanol,,49657,1121276,0.001448888889,0.885,1.847841122,6.008,OK,OK,OK,Low,OK,Inf,4,FALSE
"1-Hexanol, 2-ethyl-",,63859,758871,3.35E-05,0.95,6.39E-05,8.7895,OK,OK,OK,Low,AmRatioFail,2.18,3,FALSE
"1-Hexene, 1-butoxy-2-ethyl-",,10067,237500,0.00213,0.81,1.74E-04,7.505,OK,OK,OK,Low,OK,Inf,4,FALSE
