"Plot Title: HOBO#1-S/N10369064"
"#","Date Time, GMT-06:00","Intensity, Lux (LGR S/N: 10369064, SEN S/N: 10369064)","Avg: Hourly Temperature, °C (LGR S/N: 10369064)","Max: Daily Temperature, °C (LGR S/N: 10369064)","Min: Daily Temperature, °C (LGR S/N: 10369064)"
1,07/09/18 12:00:00 AM,,,31.778,25.222
2,07/09/18 03:00:00 PM,21.5,29.453,,
3,07/09/18 03:30:00 PM,10.8,,,
4,07/09/18 04:00:00 PM,10.8,31.523,,
5,07/09/18 04:30:00 PM,0.0,,,
6,07/09/18 05:00:00 PM,0.0,31.676,,
7,07/09/18 05:30:00 PM,0.0,,,
8,07/09/18 06:00:00 PM,0.0,31.115,,
9,07/09/18 06:30:00 PM,0.0,,,
10,07/09/18 07:00:00 PM,0.0,30.457,,
11,07/09/18 07:30:00 PM,0.0,,,
12,07/09/18 08:00:00 PM,419.8,26.394,,
13,07/09/18 08:30:00 PM,10.8,,,
14,07/09/18 09:00:00 PM,64.6,26.098,,
15,07/09/18 09:30:00 PM,21.5,,,
16,07/09/18 10:00:00 PM,21.5,26.146,,
17,07/09/18 10:30:00 PM,10.8,,,
18,07/09/18 11:00:00 PM,0.0,25.610,,
19,07/09/18 11:30:00 PM,0.0,,,
20,07/10/18 12:00:00 AM,0.0,25.319,47.109,7.280
21,07/10/18 12:30:00 AM,0.0,,,
22,07/10/18 01:00:00 AM,0.0,24.834,,
23,07/10/18 01:30:00 AM,0.0,,,
24,07/10/18 02:00:00 AM,0.0,24.351,,
25,07/10/18 02:30:00 AM,0.0,,,
26,07/10/18 03:00:00 AM,0.0,23.822,,
27,07/10/18 03:30:00 AM,0.0,,,
28,07/10/18 04:00:00 AM,0.0,23.244,,
29,07/10/18 04:30:00 AM,0.0,,,
30,07/10/18 05:00:00 AM,0.0,22.812,,
31,07/10/18 05:30:00 AM,0.0,,,
32,07/10/18 06:00:00 AM,0.0,22.429,,
33,07/10/18 06:30:00 AM,0.0,,,
34,07/10/18 07:00:00 AM,0.0,22.190,,
35,07/10/18 07:30:00 AM,64.6,,,
36,07/10/18 08:00:00 AM,75.3,22.142,,
37,07/10/18 08:30:00 AM,0.0,,,
38,07/10/18 09:00:00 AM,0.0,18.854,,
39,07/10/18 09:30:00 AM,10333.4,,,
40,07/10/18 10:00:00 AM,15844.5,35.456,,
41,07/10/18 10:30:00 AM,16533.4,,,
42,07/10/18 11:00:00 AM,18600.1,43.069,,
43,07/10/18 11:30:00 AM,20666.8,,,
44,07/10/18 12:00:00 PM,9300.1,37.146,,
45,07/10/18 12:30:00 PM,17222.3,,,
46,07/10/18 01:00:00 PM,5511.1,41.325,,
47,07/10/18 01:30:00 PM,27555.7,,,
48,07/10/18 02:00:00 PM,7577.8,31.489,,
49,07/10/18 02:30:00 PM,5338.9,,,
50,07/10/18 03:00:00 PM,1151.7,20.718,,
51,07/10/18 03:30:00 PM,419.8,,,
52,07/10/18 04:00:00 PM,193.8,13.124,,
53,07/10/18 04:30:00 PM,1313.2,,,
54,07/10/18 05:00:00 PM,2583.4,14.804,,
55,07/10/18 05:30:00 PM,3616.7,,,
56,07/10/18 06:00:00 PM,1184.0,12.979,,
57,07/10/18 06:30:00 PM,1722.2,,,
58,07/10/18 07:00:00 PM,2927.8,13.314,,
59,07/10/18 07:30:00 PM,2669.5,,,
