"Plot Title: HOBO#10-10542020"
"#","Date Time, GMT-06:00","Intensity, Lux (LGR S/N: 10542020, SEN S/N: 10542020)","Avg: Hourly Temperature, °C (LGR S/N: 10542020)","Max: Daily Temperature, °C (LGR S/N: 10542020)","Min: Daily Temperature, °C (LGR S/N: 10542020)"
1,07/09/18 12:00:00 AM,,,30.862,24.351
2,07/09/18 03:00:00 PM,0.0,29.052,,
3,07/09/18 03:30:00 PM,0.0,,,
4,07/09/18 04:00:00 PM,0.0,29.903,,
5,07/09/18 04:30:00 PM,0.0,,,
6,07/09/18 05:00:00 PM,0.0,30.760,,
7,07/09/18 05:30:00 PM,0.0,,,
8,07/09/18 06:00:00 PM,0.0,30.811,,
9,07/09/18 06:30:00 PM,0.0,,,
10,07/09/18 07:00:00 PM,0.0,30.457,,
11,07/09/18 07:30:00 PM,0.0,,,
12,07/09/18 08:00:00 PM,355.2,26.304,,
13,07/09/18 08:30:00 PM,21.5,,,
14,07/09/18 09:00:00 PM,86.1,25.466,,
15,07/09/18 09:30:00 PM,32.3,,,
16,07/09/18 10:00:00 PM,32.3,26.194,,
17,07/09/18 10:30:00 PM,32.3,,,
18,07/09/18 11:00:00 PM,0.0,25.610,,
19,07/09/18 11:30:00 PM,0.0,,,
20,07/10/18 12:00:00 AM,0.0,25.367,47.109,7.179
21,07/10/18 12:30:00 AM,0.0,,,
22,07/10/18 01:00:00 AM,0.0,24.883,,
23,07/10/18 01:30:00 AM,0.0,,,
24,07/10/18 02:00:00 AM,0.0,24.448,,
25,07/10/18 02:30:00 AM,0.0,,,
26,07/10/18 03:00:00 AM,0.0,23.965,,
27,07/10/18 03:30:00 AM,0.0,,,
28,07/10/18 04:00:00 AM,0.0,23.436,,
29,07/10/18 04:30:00 AM,0.0,,,
30,07/10/18 05:00:00 AM,0.0,22.956,,
31,07/10/18 05:30:00 AM,0.0,,,
32,07/10/18 06:00:00 AM,0.0,22.621,,
33,07/10/18 06:30:00 AM,0.0,,,
34,07/10/18 07:00:00 AM,0.0,22.285,,
35,07/10/18 07:30:00 AM,53.8,,,
36,07/10/18 08:00:00 AM,53.8,22.333,,
37,07/10/18 08:30:00 AM,0.0,,,
38,07/10/18 09:00:00 AM,32.3,18.663,,
39,07/10/18 09:30:00 AM,3272.2,,,
40,07/10/18 10:00:00 AM,3788.9,23.726,,
41,07/10/18 10:30:00 AM,3444.5,,,
42,07/10/18 11:00:00 AM,17222.3,43.992,,
43,07/10/18 11:30:00 AM,31689.1,,,
44,07/10/18 12:00:00 PM,10333.4,38.441,,
45,07/10/18 12:30:00 PM,5511.1,,,
46,07/10/18 01:00:00 PM,5166.7,40.609,,
47,07/10/18 01:30:00 PM,26178.0,,,
48,07/10/18 02:00:00 PM,7577.8,30.650,,
49,07/10/18 02:30:00 PM,4650.0,,,
50,07/10/18 03:00:00 PM,861.1,19.999,,
51,07/10/18 03:30:00 PM,344.4,,,
52,07/10/18 04:00:00 PM,204.5,12.787,,
53,07/10/18 04:30:00 PM,1356.3,,,
54,07/10/18 05:00:00 PM,2669.5,14.469,,
55,07/10/18 05:30:00 PM,3444.5,,,
56,07/10/18 06:00:00 PM,1334.7,12.594,,
57,07/10/18 06:30:00 PM,1808.3,,,
58,07/10/18 07:00:00 PM,3100.0,13.218,,
59,07/10/18 07:30:00 PM,2238.9,,,
60,07/10/18 08:00:00 PM,215.3,12.351,,
61,07/10/18 08:30:00 PM,10.8,,,
62,07/10/18 09:00:00 PM,0.0,10.992,,
63,07/10/18 09:30:00 PM,0.0,,,
64,07/10/18 10:00:00 PM,0.0,9.521,,
65,07/10/18 10:30:00 PM,0.0,,,
66,07/10/18 11:00:00 PM,0.0,7.730,,
67,07/10/18 11:30:00 PM,0.0,,,
68,07/11/18 12:00:00 AM,0.0,6.267,48.288,3.049
69,07/11/18 12:30:00 AM,0.0,,,
70,07/11/18 01:00:00 AM,0.0,4.830,,
71,07/11/18 01:30:00 AM,0.0,,,
72,07/11/18 02:00:00 AM,0.0,4.154,,
73,07/11/18 02:30:00 AM,0.0,,,
74,07/11/18 03:00:00 AM,0.0,3.683,,
75,07/11/18 03:30:00 AM,0.0,,,
76,07/11/18 04:00:00 AM,0.0,3.366,,
77,07/11/18 04:30:00 AM,0.0,,,
78,07/11/18 05:00:00 AM,0.0,3.208,,
79,07/11/18 05:30:00 AM,0.0,,,
