"Plot Title: Hobo13-10542014"
"#","Date Time, GMT-06:00","Intensity, Lux (LGR S/N: 10542014, SEN S/N: 10542014)","Avg: Hourly Temperature, °C (LGR S/N: 10542014)","Max: Daily Temperature, °C (LGR S/N: 10542014)","Min: Daily Temperature, °C (LGR S/N: 10542014)"
1,07/09/18 12:00:00 AM,,,30.659,24.255
2,07/09/18 03:00:00 PM,0.0,28.854,,
3,07/09/18 03:30:00 PM,0.0,,,
4,07/09/18 04:00:00 PM,0.0,30.004,,
5,07/09/18 04:30:00 PM,0.0,,,
6,07/09/18 05:00:00 PM,0.0,30.659,,
7,07/09/18 05:30:00 PM,0.0,,,
8,07/09/18 06:00:00 PM,0.0,30.457,,
9,07/09/18 06:30:00 PM,0.0,,,
10,07/09/18 07:00:00 PM,0.0,30.104,,
11,07/09/18 07:30:00 PM,0.0,,,
12,07/09/18 08:00:00 PM,355.2,26.355,,
13,07/09/18 08:30:00 PM,10.8,,,
14,07/09/18 09:00:00 PM,53.8,25.902,,
15,07/09/18 09:30:00 PM,10.8,,,
16,07/09/18 10:00:00 PM,10.8,26.146,,
17,07/09/18 10:30:00 PM,10.8,,,
18,07/09/18 11:00:00 PM,0.0,25.561,,
19,07/09/18 11:30:00 PM,0.0,,,
20,07/10/18 12:00:00 AM,0.0,25.222,47.760,7.882
21,07/10/18 12:30:00 AM,0.0,,,
22,07/10/18 01:00:00 AM,0.0,24.738,,
23,07/10/18 01:30:00 AM,0.0,,,
24,07/10/18 02:00:00 AM,0.0,24.351,,
25,07/10/18 02:30:00 AM,0.0,,,
26,07/10/18 03:00:00 AM,0.0,23.822,,
27,07/10/18 03:30:00 AM,0.0,,,
28,07/10/18 04:00:00 AM,0.0,23.244,,
29,07/10/18 04:30:00 AM,0.0,,,
30,07/10/18 05:00:00 AM,0.0,22.812,,
31,07/10/18 05:30:00 AM,0.0,,,
32,07/10/18 06:00:00 AM,0.0,22.429,,
33,07/10/18 06:30:00 AM,0.0,,,
34,07/10/18 07:00:00 AM,0.0,22.142,,
35,07/10/18 07:30:00 AM,64.6,,,
36,07/10/18 08:00:00 AM,53.8,21.998,,
37,07/10/18 08:30:00 AM,0.0,,,
38,07/10/18 09:00:00 AM,10.8,18.901,,
39,07/10/18 09:30:00 AM,3272.2,,,
40,07/10/18 10:00:00 AM,17222.3,36.305,,
41,07/10/18 10:30:00 AM,24800.2,,,
42,07/10/18 11:00:00 AM,26178.0,44.837,,
43,07/10/18 11:30:00 AM,27555.7,,,
44,07/10/18 12:00:00 PM,18600.1,36.715,,
45,07/10/18 12:30:00 PM,6544.5,,,
46,07/10/18 01:00:00 PM,5511.1,41.384,,
47,07/10/18 01:30:00 PM,26178.0,,,
48,07/10/18 02:00:00 PM,6544.5,30.952,,
49,07/10/18 02:30:00 PM,4994.5,,,
50,07/10/18 03:00:00 PM,990.3,19.857,,
51,07/10/18 03:30:00 PM,419.8,,,
52,07/10/18 04:00:00 PM,226.0,12.979,,
53,07/10/18 04:30:00 PM,1463.9,,,
54,07/10/18 05:00:00 PM,2755.6,14.517,,
55,07/10/18 05:30:00 PM,3444.5,,,
56,07/10/18 06:00:00 PM,1184.0,12.787,,
57,07/10/18 06:30:00 PM,1808.3,,,
58,07/10/18 07:00:00 PM,2927.8,13.171,,
59,07/10/18 07:30:00 PM,2411.1,,,
60,07/10/18 08:00:00 PM,279.9,12.158,,
61,07/10/18 08:30:00 PM,10.8,,,
62,07/10/18 09:00:00 PM,0.0,11.188,,
63,07/10/18 09:30:00 PM,0.0,,,
64,07/10/18 10:00:00 PM,0.0,9.718,,
65,07/10/18 10:30:00 PM,0.0,,,
66,07/10/18 11:00:00 PM,0.0,8.330,,
67,07/10/18 11:30:00 PM,0.0,,,
68,07/11/18 12:00:00 AM,0.0,6.521,45.326,3.683
69,07/11/18 12:30:00 AM,0.0,,,
70,07/11/18 01:00:00 AM,0.0,5.294,,
71,07/11/18 01:30:00 AM,0.0,,,
72,07/11/18 02:00:00 AM,0.0,4.622,,
73,07/11/18 02:30:00 AM,0.0,,,
74,07/11/18 03:00:00 AM,0.0,4.258,,
75,07/11/18 03:30:00 AM,0.0,,,
76,07/11/18 04:00:00 AM,0.0,3.997,,
77,07/11/18 04:30:00 AM,0.0,,,
78,07/11/18 05:00:00 AM,0.0,3.945,,
79,07/11/18 05:30:00 AM,0.0,,,
80,07/11/18 06:00:00 AM,118.4,4.415,,
81,07/11/18 06:30:00 AM,322.9,,,
82,07/11/18 07:00:00 AM,462.9,7.944,,
83,07/11/18 07:30:00 AM,6200.0,,,
84,07/11/18 08:00:00 AM,8611.2,15.423,,
85,07/11/18 08:30:00 AM,10677.8,,,
86,07/11/18 09:00:00 AM,12400.1,22.529,,
87,07/11/18 09:30:00 AM,14466.8,,,
88,07/11/18 10:00:00 AM,21355.7,32.962,,
89,07/11/18 10:30:00 AM,24800.2,,,
90,07/11/18 11:00:00 AM,26178.0,42.255,,
91,07/11/18 11:30:00 AM,26178.0,,,
92,07/11/18 12:00:00 PM,5511.1,41.630,,
93,07/11/18 12:30:00 PM,26178.0,,,
94,07/11/18 01:00:00 PM,5511.1,31.225,,
95,07/11/18 01:30:00 PM,6200.0,,,
96,07/11/18 02:00:00 PM,4822.3,23.966,,
97,07/11/18 02:30:00 PM,1894.5,,,
98,07/11/18 03:00:00 PM,3272.2,18.711,,
99,07/11/18 03:30:00 PM,5511.1,,,
100,07/11/18 04:00:00 PM,11022.3,23.292,,
101,07/11/18 04:30:00 PM,3788.9,,,
102,07/11/18 05:00:00 PM,14466.8,27.127,,
103,07/11/18 05:30:00 PM,10677.8,,,
104,07/11/18 06:00:00 PM,8611.2,23.778,,
105,07/11/18 06:30:00 PM,5166.7,,,
106,07/11/18 07:00:00 PM,753.5,14.516,,
107,07/11/18 07:30:00 PM,527.4,,,
108,07/11/18 08:00:00 PM,495.1,12.931,,
109,07/11/18 08:30:00 PM,21.5,,,
110,07/11/18 09:00:00 PM,0.0,11.915,,
111,07/11/18 09:30:00 PM,0.0,,,
112,07/11/18 10:00:00 PM,0.0,10.208,,
113,07/11/18 10:30:00 PM,0.0,,,
114,07/11/18 11:00:00 PM,0.0,9.521,,
115,07/11/18 11:30:00 PM,0.0,,,
116,07/12/18 12:00:00 AM,0.0,8.680,40.645,4.831
117,07/12/18 12:30:00 AM,0.0,,,
118,07/12/18 01:00:00 AM,0.0,7.881,,
119,07/12/18 01:30:00 AM,0.0,,,
120,07/12/18 02:00:00 AM,0.0,7.932,,
121,07/12/18 02:30:00 AM,0.0,,,
122,07/12/18 03:00:00 AM,0.0,7.832,,
123,07/12/18 03:30:00 AM,0.0,,,
124,07/12/18 04:00:00 AM,0.0,6.926,,
125,07/12/18 04:30:00 AM,0.0,,,
126,07/12/18 05:00:00 AM,0.0,6.419,,
127,07/12/18 05:30:00 AM,0.0,,,
128,07/12/18 06:00:00 AM,150.7,4.934,,
129,07/12/18 06:30:00 AM,796.5,,,
130,07/12/18 07:00:00 AM,1345.5,8.473,,
131,07/12/18 07:30:00 AM,2583.4,,,
132,07/12/18 08:00:00 AM,8266.7,18.378,,
133,07/12/18 08:30:00 AM,8266.7,,,
134,07/12/18 09:00:00 AM,10333.4,24.021,,
135,07/12/18 09:30:00 AM,10677.8,,,
136,07/12/18 10:00:00 AM,24800.2,28.090,,
137,07/12/18 10:30:00 AM,14466.8,,,
138,07/12/18 11:00:00 AM,11711.2,32.868,,
139,07/12/18 11:30:00 AM,23422.4,,,
140,07/12/18 12:00:00 PM,24800.2,40.244,,
141,07/12/18 12:30:00 PM,20666.8,,,
142,07/12/18 01:00:00 PM,8611.2,33.538,,
143,07/12/18 01:30:00 PM,8611.2,,,
144,07/12/18 02:00:00 PM,37200.2,35.724,,
145,07/12/18 02:30:00 PM,41333.6,,,
146,07/12/18 03:00:00 PM,1313.2,15.325,,
147,07/12/18 03:30:00 PM,2411.1,,,
148,07/12/18 04:00:00 PM,8611.2,18.854,,
149,07/12/18 04:30:00 PM,8266.7,,,
150,07/12/18 05:00:00 PM,5166.7,23.300,,
151,07/12/18 05:30:00 PM,14466.8,,,
152,07/12/18 06:00:00 PM,5511.1,20.092,,
153,07/12/18 06:30:00 PM,3100.0,,,
154,07/12/18 07:00:00 PM,1022.6,13.797,,
155,07/12/18 07:30:00 PM,462.9,,,
156,07/12/18 08:00:00 PM,64.6,12.594,,
157,07/12/18 08:30:00 PM,0.0,,,
158,07/12/18 09:00:00 PM,0.0,11.673,,
159,07/12/18 09:30:00 PM,0.0,,,
160,07/12/18 10:00:00 PM,0.0,10.454,,
161,07/12/18 10:30:00 PM,0.0,,,
162,07/12/18 11:00:00 PM,0.0,8.928,,
163,07/12/18 11:30:00 PM,0.0,,,
164,07/13/18 12:00:00 AM,0.0,7.280,46.337,3.578
165,07/13/18 12:30:00 AM,0.0,,,
166,07/13/18 01:00:00 AM,0.0,6.012,,
167,07/13/18 01:30:00 AM,0.0,,,
168,07/13/18 02:00:00 AM,0.0,5.501,,
169,07/13/18 02:30:00 AM,0.0,,,
170,07/13/18 03:00:00 AM,0.0,6.318,,
171,07/13/18 03:30:00 AM,0.0,,,
172,07/13/18 04:00:00 AM,0.0,5.294,,
173,07/13/18 04:30:00 AM,0.0,,,
174,07/13/18 05:00:00 AM,0.0,4.154,,
175,07/13/18 05:30:00 AM,0.0,,,
176,07/13/18 06:00:00 AM,107.6,3.683,,
177,07/13/18 06:30:00 AM,247.6,,,
178,07/13/18 07:00:00 AM,355.2,7.334,,
179,07/13/18 07:30:00 AM,6544.5,,,
180,07/13/18 08:00:00 AM,8611.2,16.900,,
181,07/13/18 08:30:00 AM,10677.8,,,
182,07/13/18 09:00:00 AM,12400.1,24.746,,
183,07/13/18 09:30:00 AM,17911.2,,,
184,07/13/18 10:00:00 AM,28933.5,27.884,,
185,07/13/18 10:30:00 AM,10677.8,,,
186,07/13/18 11:00:00 AM,7233.4,34.770,,
187,07/13/18 11:30:00 AM,30311.3,,,
188,07/13/18 12:00:00 PM,9300.1,41.813,,
189,07/13/18 12:30:00 PM,26178.0,,,
190,07/13/18 01:00:00 PM,28933.5,46.146,,
191,07/13/18 01:30:00 PM,7233.4,,,
192,07/13/18 02:00:00 PM,10677.8,28.720,,
193,07/13/18 02:30:00 PM,6544.5,,,
194,07/13/18 03:00:00 PM,7233.4,26.892,,
195,07/13/18 03:30:00 PM,7577.8,,,
196,07/13/18 04:00:00 PM,7577.8,26.293,,
197,07/13/18 04:30:00 PM,7233.4,,,
198,07/13/18 05:00:00 PM,3272.2,20.996,,
199,07/13/18 05:30:00 PM,13777.9,,,
