"Plot Title: Hobo#17-10542018"
"#","Date Time, GMT-06:00","Intensity, Lux (LGR S/N: 10542018, SEN S/N: 10542018)","Avg: Hourly Temperature, °C (LGR S/N: 10542018)","Max: Daily Temperature, °C (LGR S/N: 10542018)","Min: Daily Temperature, °C (LGR S/N: 10542018)"
1,07/09/18 12:00:00 AM,,,35.435,25.125
2,07/09/18 03:00:00 PM,53.8,30.375,,
3,07/09/18 03:30:00 PM,107.6,,,
4,07/09/18 04:00:00 PM,53.8,35.115,,
5,07/09/18 04:30:00 PM,32.3,,,
6,07/09/18 05:00:00 PM,21.5,34.744,,
7,07/09/18 05:30:00 PM,10.8,,,
8,07/09/18 06:00:00 PM,21.5,33.171,,
9,07/09/18 06:30:00 PM,21.5,,,
10,07/09/18 07:00:00 PM,10.8,31.728,,
11,07/09/18 07:30:00 PM,10.8,,,
12,07/09/18 08:00:00 PM,279.9,27.669,,
13,07/09/18 08:30:00 PM,32.3,,,
14,07/09/18 09:00:00 PM,43.1,25.708,,
15,07/09/18 09:30:00 PM,10.8,,,
16,07/09/18 10:00:00 PM,21.5,26.243,,
17,07/09/18 10:30:00 PM,21.5,,,
18,07/09/18 11:00:00 PM,0.0,25.610,,
19,07/09/18 11:30:00 PM,0.0,,,
20,07/10/18 12:00:00 AM,0.0,25.319,38.379,7.582
21,07/10/18 12:30:00 AM,0.0,,,
22,07/10/18 01:00:00 AM,0.0,24.834,,
23,07/10/18 01:30:00 AM,0.0,,,
24,07/10/18 02:00:00 AM,0.0,24.448,,
25,07/10/18 02:30:00 AM,0.0,,,
26,07/10/18 03:00:00 AM,0.0,23.965,,
27,07/10/18 03:30:00 AM,0.0,,,
28,07/10/18 04:00:00 AM,0.0,23.436,,
29,07/10/18 04:30:00 AM,0.0,,,
30,07/10/18 05:00:00 AM,0.0,22.908,,
31,07/10/18 05:30:00 AM,0.0,,,
32,07/10/18 06:00:00 AM,0.0,22.621,,
33,07/10/18 06:30:00 AM,0.0,,,
34,07/10/18 07:00:00 AM,10.8,22.381,,
35,07/10/18 07:30:00 AM,107.6,,,
36,07/10/18 08:00:00 AM,96.9,22.429,,
37,07/10/18 08:30:00 AM,0.0,,,
38,07/10/18 09:00:00 AM,32.3,19.092,,
39,07/10/18 09:30:00 AM,2238.9,,,
40,07/10/18 10:00:00 AM,23422.4,31.480,,
41,07/10/18 10:30:00 AM,30311.3,,,
42,07/10/18 11:00:00 AM,39955.8,36.680,,
43,07/10/18 11:30:00 AM,44089.2,,,
44,07/10/18 12:00:00 PM,34444.7,30.576,,
45,07/10/18 12:30:00 PM,10677.8,,,
46,07/10/18 01:00:00 PM,8266.7,34.216,,
47,07/10/18 01:30:00 PM,41333.6,,,
48,07/10/18 02:00:00 PM,9644.5,26.765,,
49,07/10/18 02:30:00 PM,5511.1,,,
50,07/10/18 03:00:00 PM,1184.0,19.141,,
51,07/10/18 03:30:00 PM,527.4,,,
52,07/10/18 04:00:00 PM,301.4,12.110,,
53,07/10/18 04:30:00 PM,1894.5,,,
54,07/10/18 05:00:00 PM,3788.9,13.220,,
55,07/10/18 05:30:00 PM,4133.4,,,
56,07/10/18 06:00:00 PM,1808.3,12.110,,
57,07/10/18 06:30:00 PM,2669.5,,,
58,07/10/18 07:00:00 PM,3788.9,12.447,,
59,07/10/18 07:30:00 PM,2927.8,,,
60,07/10/18 08:00:00 PM,301.4,11.624,,
61,07/10/18 08:30:00 PM,21.5,,,
62,07/10/18 09:00:00 PM,0.0,10.699,,
63,07/10/18 09:30:00 PM,0.0,,,
64,07/10/18 10:00:00 PM,0.0,9.175,,
65,07/10/18 10:30:00 PM,0.0,,,
66,07/10/18 11:00:00 PM,0.0,7.982,,
67,07/10/18 11:30:00 PM,0.0,,,
68,07/11/18 12:00:00 AM,0.0,6.217,38.490,3.367
69,07/11/18 12:30:00 AM,0.0,,,
70,07/11/18 01:00:00 AM,0.0,5.192,,
71,07/11/18 01:30:00 AM,0.0,,,
72,07/11/18 02:00:00 AM,0.0,4.622,,
73,07/11/18 02:30:00 AM,0.0,,,
74,07/11/18 03:00:00 AM,0.0,3.997,,
75,07/11/18 03:30:00 AM,0.0,,,
76,07/11/18 04:00:00 AM,0.0,3.997,,
77,07/11/18 04:30:00 AM,0.0,,,
78,07/11/18 05:00:00 AM,0.0,3.839,,
79,07/11/18 05:30:00 AM,0.0,,,
80,07/11/18 06:00:00 AM,161.5,4.362,,
81,07/11/18 06:30:00 AM,409.0,,,
82,07/11/18 07:00:00 AM,570.5,7.300,,
83,07/11/18 07:30:00 AM,8611.2,,,
84,07/11/18 08:00:00 AM,11711.2,13.555,,
85,07/11/18 08:30:00 AM,13777.9,,,
86,07/11/18 09:00:00 AM,15844.5,19.711,,
87,07/11/18 09:30:00 AM,18600.1,,,
88,07/11/18 10:00:00 AM,22044.6,29.189,,
89,07/11/18 10:30:00 AM,30311.3,,,
90,07/11/18 11:00:00 AM,39955.8,36.200,,
91,07/11/18 11:30:00 AM,44089.2,,,
92,07/11/18 12:00:00 PM,7577.8,35.493,,
93,07/11/18 12:30:00 PM,46844.8,,,
94,07/11/18 01:00:00 PM,8611.2,26.882,,
95,07/11/18 01:30:00 PM,8266.7,,,
96,07/11/18 02:00:00 PM,6200.0,22.046,,
97,07/11/18 02:30:00 PM,2325.0,,,
98,07/11/18 03:00:00 PM,3444.5,18.235,,
99,07/11/18 03:30:00 PM,6544.5,,,
100,07/11/18 04:00:00 PM,15844.5,21.950,,
101,07/11/18 04:30:00 PM,5166.7,,,
102,07/11/18 05:00:00 PM,27555.7,26.979,,
103,07/11/18 05:30:00 PM,21355.7,,,
104,07/11/18 06:00:00 PM,15844.5,23.200,,
105,07/11/18 06:30:00 PM,9300.1,,,
106,07/11/18 07:00:00 PM,1141.0,14.277,,
107,07/11/18 07:30:00 PM,775.0,,,
108,07/11/18 08:00:00 PM,796.5,12.883,,
109,07/11/18 08:30:00 PM,21.5,,,
110,07/11/18 09:00:00 PM,0.0,11.817,,
111,07/11/18 09:30:00 PM,0.0,,,
112,07/11/18 10:00:00 PM,0.0,9.914,,
113,07/11/18 10:30:00 PM,0.0,,,
114,07/11/18 11:00:00 PM,0.0,9.226,,
115,07/11/18 11:30:00 PM,0.0,,,
116,07/12/18 12:00:00 AM,0.0,8.232,33.430,4.519
117,07/12/18 12:30:00 AM,0.0,,,
118,07/12/18 01:00:00 AM,0.0,7.430,,
119,07/12/18 01:30:00 AM,0.0,,,
120,07/12/18 02:00:00 AM,0.0,7.531,,
121,07/12/18 02:30:00 AM,0.0,,,
122,07/12/18 03:00:00 AM,0.0,7.481,,
123,07/12/18 03:30:00 AM,0.0,,,
124,07/12/18 04:00:00 AM,0.0,6.522,,
125,07/12/18 04:30:00 AM,0.0,,,
126,07/12/18 05:00:00 AM,0.0,6.012,,
127,07/12/18 05:30:00 AM,0.0,,,
128,07/12/18 06:00:00 AM,204.5,4.519,,
129,07/12/18 06:30:00 AM,958.0,,,
130,07/12/18 07:00:00 AM,1722.2,7.574,,
131,07/12/18 07:30:00 AM,3272.2,,,
132,07/12/18 08:00:00 AM,11022.3,16.566,,
133,07/12/18 08:30:00 AM,9300.1,,,
134,07/12/18 09:00:00 AM,12400.1,21.047,,
135,07/12/18 09:30:00 AM,13777.9,,,
136,07/12/18 10:00:00 AM,28933.5,23.833,,
137,07/12/18 10:30:00 AM,18600.1,,,
138,07/12/18 11:00:00 AM,15844.5,28.418,,
139,07/12/18 11:30:00 AM,35822.5,,,
140,07/12/18 12:00:00 PM,44089.2,32.861,,
141,07/12/18 12:30:00 PM,33066.9,,,
142,07/12/18 01:00:00 PM,10677.8,28.476,,
143,07/12/18 01:30:00 PM,11022.3,,,
144,07/12/18 02:00:00 PM,46844.8,28.580,,
145,07/12/18 02:30:00 PM,49600.3,,,
146,07/12/18 03:00:00 PM,1980.6,13.503,,
147,07/12/18 03:30:00 PM,2927.8,,,
148,07/12/18 04:00:00 PM,12400.1,16.903,,
149,07/12/18 04:30:00 PM,10677.8,,,
150,07/12/18 05:00:00 PM,7577.8,22.923,,
151,07/12/18 05:30:00 PM,26178.0,,,
152,07/12/18 06:00:00 PM,9644.5,19.092,,
153,07/12/18 06:30:00 PM,3961.1,,,
154,07/12/18 07:00:00 PM,1001.0,13.027,,
155,07/12/18 07:30:00 PM,549.0,,,
156,07/12/18 08:00:00 PM,107.6,12.013,,
157,07/12/18 08:30:00 PM,10.8,,,
158,07/12/18 09:00:00 PM,0.0,11.090,,
159,07/12/18 09:30:00 PM,0.0,,,
160,07/12/18 10:00:00 PM,0.0,9.816,,
161,07/12/18 10:30:00 PM,0.0,,,
162,07/12/18 11:00:00 PM,0.0,8.381,,
163,07/12/18 11:30:00 PM,0.0,,,
164,07/13/18 12:00:00 AM,0.0,6.926,38.826,3.261
165,07/13/18 12:30:00 AM,0.0,,,
166,07/13/18 01:00:00 AM,0.0,5.603,,
167,07/13/18 01:30:00 AM,0.0,,,
168,07/13/18 02:00:00 AM,0.0,5.089,,
169,07/13/18 02:30:00 AM,0.0,,,
170,07/13/18 03:00:00 AM,0.0,5.910,,
171,07/13/18 03:30:00 AM,0.0,,,
172,07/13/18 04:00:00 AM,0.0,5.089,,
173,07/13/18 04:30:00 AM,0.0,,,
174,07/13/18 05:00:00 AM,0.0,3.892,,
175,07/13/18 05:30:00 AM,0.0,,,
176,07/13/18 06:00:00 AM,150.7,3.366,,
177,07/13/18 06:30:00 AM,312.2,,,
178,07/13/18 07:00:00 AM,441.3,6.386,,
179,07/13/18 07:30:00 AM,8611.2,,,
180,07/13/18 08:00:00 AM,11022.3,14.701,,
181,07/13/18 08:30:00 AM,13777.9,,,
182,07/13/18 09:00:00 AM,15844.5,21.715,,
183,07/13/18 09:30:00 AM,21355.7,,,
184,07/13/18 10:00:00 AM,30311.3,24.363,,
185,07/13/18 10:30:00 AM,11711.2,,,
186,07/13/18 11:00:00 AM,10333.4,30.263,,
187,07/13/18 11:30:00 AM,49600.3,,,
188,07/13/18 12:00:00 PM,12400.1,36.188,,
189,07/13/18 12:30:00 PM,26178.0,,,
190,07/13/18 01:00:00 PM,49600.3,37.777,,
191,07/13/18 01:30:00 PM,10333.4,,,
192,07/13/18 02:00:00 PM,14466.8,25.857,,
193,07/13/18 02:30:00 PM,10333.4,,,
194,07/13/18 03:00:00 PM,9300.1,25.182,,
195,07/13/18 03:30:00 PM,10333.4,,,
196,07/13/18 04:00:00 PM,11022.3,24.399,,
197,07/13/18 04:30:00 PM,10333.4,,,
198,07/13/18 05:00:00 PM,4650.0,20.329,,
199,07/13/18 05:30:00 PM,24800.2,,,
200,07/13/18 06:00:00 PM,4133.4,19.282,,
201,07/13/18 06:30:00 PM,2066.7,,,
202,07/13/18 07:00:00 PM,1377.8,16.427,,
203,07/13/18 07:30:00 PM,1808.3,,,
204,07/13/18 08:00:00 PM,1097.9,13.939,,
205,07/13/18 08:30:00 PM,107.6,,,
206,07/13/18 09:00:00 PM,0.0,12.110,,
207,07/13/18 09:30:00 PM,0.0,,,
208,07/13/18 10:00:00 PM,0.0,10.748,,
209,07/13/18 10:30:00 PM,0.0,,,
210,07/13/18 11:00:00 PM,0.0,9.570,,
211,07/13/18 11:30:00 PM,0.0,,,
212,07/14/18 12:00:00 AM,0.0,9.619,40.415,3.998
213,07/14/18 12:30:00 AM,0.0,,,
214,07/14/18 01:00:00 AM,0.0,6.875,,
215,07/14/18 01:30:00 AM,0.0,,,
216,07/14/18 02:00:00 AM,0.0,6.420,,
217,07/14/18 02:30:00 AM,0.0,,,
218,07/14/18 03:00:00 AM,0.0,6.775,,
219,07/14/18 03:30:00 AM,0.0,,,
220,07/14/18 04:00:00 AM,0.0,5.294,,
221,07/14/18 04:30:00 AM,0.0,,,
222,07/14/18 05:00:00 AM,0.0,4.415,,
223,07/14/18 05:30:00 AM,0.0,,,
224,07/14/18 06:00:00 AM,129.2,4.311,,
225,07/14/18 06:30:00 AM,624.3,,,
226,07/14/18 07:00:00 AM,764.2,7.756,,
227,07/14/18 07:30:00 AM,8611.2,,,
228,07/14/18 08:00:00 AM,11022.3,17.282,,
229,07/14/18 08:30:00 AM,13777.9,,,
230,07/14/18 09:00:00 AM,16533.4,24.942,,
231,07/14/18 09:30:00 AM,19289.0,,,
232,07/14/18 10:00:00 AM,23422.4,30.307,,
233,07/14/18 10:30:00 AM,34444.7,,,
234,07/14/18 11:00:00 AM,46844.8,32.035,,
235,07/14/18 11:30:00 AM,13089.0,,,
236,07/14/18 12:00:00 PM,46844.8,38.212,,
237,07/14/18 12:30:00 PM,42711.4,,,
