"Plot Title: HOBO#2 - S/N10369061"
"#","Date Time, GMT-06:00","Intensity, Lux (LGR S/N: 10369061, SEN S/N: 10369061)","Avg: Hourly Temperature, °C (LGR S/N: 10369061)","Max: Daily Temperature, °C (LGR S/N: 10369061)","Min: Daily Temperature, °C (LGR S/N: 10369061)"
1,07/09/18 12:00:00 AM,,,29.953,24.738
2,07/09/18 03:00:00 PM,0.0,28.655,,
3,07/09/18 03:30:00 PM,0.0,,,
4,07/09/18 04:00:00 PM,0.0,28.953,,
5,07/09/18 04:30:00 PM,0.0,,,
6,07/09/18 05:00:00 PM,0.0,29.752,,
7,07/09/18 05:30:00 PM,0.0,,,
8,07/09/18 06:00:00 PM,0.0,29.953,,
9,07/09/18 06:30:00 PM,0.0,,,
10,07/09/18 07:00:00 PM,0.0,29.802,,
11,07/09/18 07:30:00 PM,0.0,,,
12,07/09/18 08:00:00 PM,441.3,26.547,,
13,07/09/18 08:30:00 PM,21.5,,,
14,07/09/18 09:00:00 PM,43.1,25.418,,
15,07/09/18 09:30:00 PM,21.5,,,
16,07/09/18 10:00:00 PM,21.5,25.951,,
17,07/09/18 10:30:00 PM,21.5,,,
18,07/09/18 11:00:00 PM,0.0,25.367,,
19,07/09/18 11:30:00 PM,0.0,,,
20,07/10/18 12:00:00 AM,0.0,25.125,47.109,7.079
21,07/10/18 12:30:00 AM,0.0,,,
22,07/10/18 01:00:00 AM,0.0,24.642,,
23,07/10/18 01:30:00 AM,0.0,,,
24,07/10/18 02:00:00 AM,0.0,24.255,,
25,07/10/18 02:30:00 AM,0.0,,,
26,07/10/18 03:00:00 AM,0.0,23.773,,
27,07/10/18 03:30:00 AM,0.0,,,
28,07/10/18 04:00:00 AM,0.0,23.244,,
29,07/10/18 04:30:00 AM,0.0,,,
30,07/10/18 05:00:00 AM,0.0,22.812,,
31,07/10/18 05:30:00 AM,0.0,,,
32,07/10/18 06:00:00 AM,0.0,22.429,,
33,07/10/18 06:30:00 AM,0.0,,,
34,07/10/18 07:00:00 AM,10.8,22.142,,
35,07/10/18 07:30:00 AM,86.1,,,
36,07/10/18 08:00:00 AM,86.1,22.381,,
37,07/10/18 08:30:00 AM,0.0,,,
38,07/10/18 09:00:00 AM,86.1,18.711,,
39,07/10/18 09:30:00 AM,3100.0,,,
40,07/10/18 10:00:00 AM,11022.3,27.275,,
41,07/10/18 10:30:00 AM,12400.1,,,
42,07/10/18 11:00:00 AM,42711.4,41.901,,
43,07/10/18 11:30:00 AM,46844.8,,,
44,07/10/18 12:00:00 PM,10677.8,37.483,,
45,07/10/18 12:30:00 PM,8266.7,,,
46,07/10/18 01:00:00 PM,7233.4,41.006,,
47,07/10/18 01:30:00 PM,34444.7,,,
