"Plot Title: Hobo#22-10793186"
"#","Date Time, GMT-06:00","Avg: Hourly Temperature, °C (LGR S/N: 10793186)","Max: Daily Temperature, °C (LGR S/N: 10793186)","Min: Daily Temperature, °C (LGR S/N: 10793186)"
1,07/09/18 12:00:00 AM,,30.659,23.773
2,07/09/18 03:00:00 PM,28.903,,
3,07/09/18 04:00:00 PM,29.703,,
4,07/09/18 05:00:00 PM,30.558,,
5,07/09/18 06:00:00 PM,30.508,,
6,07/09/18 07:00:00 PM,30.255,,
7,07/09/18 08:00:00 PM,25.966,,
8,07/09/18 09:00:00 PM,25.031,,
9,07/09/18 10:00:00 PM,25.707,,
10,07/09/18 11:00:00 PM,25.076,,
11,07/10/18 12:00:00 AM,24.544,34.163,7.381
12,07/10/18 01:00:00 AM,24.062,,
13,07/10/18 02:00:00 AM,23.628,,
14,07/10/18 03:00:00 AM,23.052,,
15,07/10/18 04:00:00 AM,22.477,,
16,07/10/18 05:00:00 AM,22.094,,
17,07/10/18 06:00:00 AM,21.807,,
18,07/10/18 07:00:00 AM,21.521,,
19,07/10/18 08:00:00 AM,21.377,,
20,07/10/18 09:00:00 AM,18.806,,
21,07/10/18 10:00:00 AM,27.917,,
22,07/10/18 11:00:00 AM,33.279,,
23,07/10/18 12:00:00 PM,27.817,,
24,07/10/18 01:00:00 PM,31.012,,
25,07/10/18 02:00:00 PM,25.038,,
26,07/10/18 03:00:00 PM,18.950,,
27,07/10/18 04:00:00 PM,11.964,,
28,07/10/18 05:00:00 PM,12.931,,
29,07/10/18 06:00:00 PM,11.819,,
30,07/10/18 07:00:00 PM,12.205,,
31,07/10/18 08:00:00 PM,11.381,,
32,07/10/18 09:00:00 PM,10.553,,
33,07/10/18 10:00:00 PM,9.274,,
34,07/10/18 11:00:00 PM,7.682,,
35,07/11/18 12:00:00 AM,6.013,38.490,3.472
36,07/11/18 01:00:00 AM,4.934,,
37,07/11/18 02:00:00 AM,4.467,,
38,07/11/18 03:00:00 AM,3.892,,
39,07/11/18 04:00:00 AM,3.525,,
40,07/11/18 05:00:00 AM,3.630,,
41,07/11/18 06:00:00 AM,4.414,,
42,07/11/18 07:00:00 AM,6.856,,
43,07/11/18 08:00:00 AM,12.640,,
44,07/11/18 09:00:00 AM,18.997,,
45,07/11/18 10:00:00 AM,27.030,,
46,07/11/18 11:00:00 AM,33.692,,
47,07/11/18 12:00:00 PM,34.727,,
48,07/11/18 01:00:00 PM,26.247,,
49,07/11/18 02:00:00 PM,21.855,,
50,07/11/18 03:00:00 PM,18.473,,
51,07/11/18 04:00:00 PM,21.712,,
52,07/11/18 05:00:00 PM,25.708,,
53,07/11/18 06:00:00 PM,20.233,,
54,07/11/18 07:00:00 PM,13.893,,
55,07/11/18 08:00:00 PM,12.159,,
56,07/11/18 09:00:00 PM,11.526,,
57,07/11/18 10:00:00 PM,9.816,,
58,07/11/18 11:00:00 PM,8.978,,
59,07/12/18 12:00:00 AM,8.082,31.778,4.519
60,07/12/18 01:00:00 AM,7.330,,
61,07/12/18 02:00:00 AM,7.631,,
62,07/12/18 03:00:00 AM,7.481,,
63,07/12/18 04:00:00 AM,6.572,,
64,07/12/18 05:00:00 AM,5.808,,
65,07/12/18 06:00:00 AM,4.519,,
66,07/12/18 07:00:00 AM,7.223,,
67,07/12/18 08:00:00 AM,15.419,,
68,07/12/18 09:00:00 AM,20.521,,
69,07/12/18 10:00:00 AM,24.024,,
70,07/12/18 11:00:00 AM,25.385,,
71,07/12/18 12:00:00 PM,31.269,,
72,07/12/18 01:00:00 PM,25.711,,
73,07/12/18 02:00:00 PM,28.360,,
74,07/12/18 03:00:00 PM,13.889,,
75,07/12/18 04:00:00 PM,17.142,,
76,07/12/18 05:00:00 PM,23.403,,
77,07/12/18 06:00:00 PM,18.712,,
78,07/12/18 07:00:00 PM,12.835,,
79,07/12/18 08:00:00 PM,11.819,,
80,07/12/18 09:00:00 PM,11.041,,
81,07/12/18 10:00:00 PM,9.618,,
82,07/12/18 11:00:00 PM,8.332,,
83,07/13/18 12:00:00 AM,6.775,34.903,3.155
84,07/13/18 01:00:00 AM,5.654,,
85,07/13/18 02:00:00 AM,5.141,,
86,07/13/18 03:00:00 AM,5.808,,
87,07/13/18 04:00:00 AM,4.881,,
88,07/13/18 05:00:00 AM,3.736,,
89,07/13/18 06:00:00 AM,3.208,,
90,07/13/18 07:00:00 AM,5.933,,
91,07/13/18 08:00:00 AM,13.548,,
92,07/13/18 09:00:00 AM,20.809,,
93,07/13/18 10:00:00 AM,24.315,,
94,07/13/18 11:00:00 AM,28.457,,
95,07/13/18 12:00:00 PM,33.223,,
96,07/13/18 01:00:00 PM,34.903,,
97,07/13/18 02:00:00 PM,25.614,,
98,07/13/18 03:00:00 PM,24.890,,
99,07/13/18 04:00:00 PM,24.883,,
100,07/13/18 05:00:00 PM,20.568,,
101,07/13/18 06:00:00 PM,19.044,,
102,07/13/18 07:00:00 PM,16.188,,
103,07/13/18 08:00:00 PM,13.699,,
104,07/13/18 09:00:00 PM,11.916,,
105,07/13/18 10:00:00 PM,10.601,,
106,07/13/18 11:00:00 PM,9.472,,
107,07/14/18 12:00:00 AM,9.521,39.389,3.998
108,07/14/18 01:00:00 AM,6.825,,
109,07/14/18 02:00:00 AM,6.268,,
110,07/14/18 03:00:00 AM,6.572,,
111,07/14/18 04:00:00 AM,5.398,,
112,07/14/18 05:00:00 AM,4.311,,
113,07/14/18 06:00:00 AM,4.154,,
114,07/14/18 07:00:00 AM,7.106,,
115,07/14/18 08:00:00 AM,15.755,,
116,07/14/18 09:00:00 AM,23.541,,
117,07/14/18 10:00:00 AM,29.705,,
118,07/14/18 11:00:00 AM,31.589,,
119,07/14/18 12:00:00 PM,37.173,,
120,07/14/18 01:00:00 PM,38.884,,
121,07/14/18 02:00:00 PM,38.492,,
122,07/14/18 03:00:00 PM,32.258,,
123,07/14/18 04:00:00 PM,31.793,,
124,07/14/18 05:00:00 PM,27.845,,
125,07/14/18 06:00:00 PM,21.474,,
126,07/14/18 07:00:00 PM,19.235,,
127,07/14/18 08:00:00 PM,16.331,,
128,07/14/18 09:00:00 PM,15.282,,
129,07/14/18 10:00:00 PM,14.133,,
130,07/14/18 11:00:00 PM,13.269,,
131,07/15/18 12:00:00 AM,12.110,42.401,7.079
132,07/15/18 01:00:00 AM,10.650,,
133,07/15/18 02:00:00 AM,10.748,,
134,07/15/18 03:00:00 AM,10.406,,
135,07/15/18 04:00:00 AM,10.308,,
136,07/15/18 05:00:00 AM,9.324,,
137,07/15/18 06:00:00 AM,9.570,,
138,07/15/18 07:00:00 AM,10.748,,
139,07/15/18 08:00:00 AM,12.255,,
140,07/15/18 09:00:00 AM,15.662,,
141,07/15/18 10:00:00 AM,15.281,,
142,07/15/18 11:00:00 AM,17.425,,
143,07/15/18 12:00:00 PM,22.047,,
144,07/15/18 01:00:00 PM,26.537,,
145,07/15/18 02:00:00 PM,37.500,,
146,07/15/18 03:00:00 PM,28.508,,
147,07/15/18 04:00:00 PM,19.668,,
148,07/15/18 05:00:00 PM,12.303,,
149,07/15/18 06:00:00 PM,12.059,,
150,07/15/18 07:00:00 PM,12.012,,
151,07/15/18 08:00:00 PM,11.721,,
152,07/15/18 09:00:00 PM,9.124,,
153,07/15/18 10:00:00 PM,7.732,,
154,07/15/18 11:00:00 PM,7.330,,
155,07/16/18 12:00:00 AM,6.164,39.276,2.943
156,07/16/18 01:00:00 AM,6.571,,
157,07/16/18 02:00:00 AM,5.808,,
158,07/16/18 03:00:00 AM,4.623,,
159,07/16/18 04:00:00 AM,3.839,,
160,07/16/18 05:00:00 AM,3.155,,
161,07/16/18 06:00:00 AM,3.102,,
162,07/16/18 07:00:00 AM,5.577,,
163,07/16/18 08:00:00 AM,13.313,,
164,07/16/18 09:00:00 AM,19.235,,
165,07/16/18 10:00:00 AM,24.305,,
166,07/16/18 11:00:00 AM,31.697,,
167,07/16/18 12:00:00 PM,31.787,,
