"Plot Title: HOBO#4 - S/N10369048"
"#","Date Time, GMT-06:00","Intensity, Lux (LGR S/N: 10369048, SEN S/N: 10369048)","Max: Daily Temperature, °C (LGR S/N: 10369048)","Min: Daily Temperature, °C (LGR S/N: 10369048)","Avg: Hourly Temperature, °C (LGR S/N: 10369048)"
1,07/09/18 12:00:00 AM,,30.154,24.062,
2,07/09/18 03:00:00 PM,0.0,,,28.954
3,07/09/18 03:30:00 PM,0.0,,,
4,07/09/18 04:00:00 PM,0.0,,,29.053
5,07/09/18 04:30:00 PM,0.0,,,
6,07/09/18 05:00:00 PM,0.0,,,29.953
7,07/09/18 05:30:00 PM,0.0,,,
8,07/09/18 06:00:00 PM,0.0,,,30.154
9,07/09/18 06:30:00 PM,0.0,,,
10,07/09/18 07:00:00 PM,0.0,,,30.003
11,07/09/18 07:30:00 PM,0.0,,,
12,07/09/18 08:00:00 PM,355.2,,,25.814
13,07/09/18 08:30:00 PM,32.3,,,
14,07/09/18 09:00:00 PM,53.8,,,25.515
15,07/09/18 09:30:00 PM,32.3,,,
16,07/09/18 10:00:00 PM,43.1,,,26.194
17,07/09/18 10:30:00 PM,32.3,,,
18,07/09/18 11:00:00 PM,0.0,,,25.659
19,07/09/18 11:30:00 PM,0.0,,,
20,07/10/18 12:00:00 AM,0.0,48.955,7.179,25.270
21,07/10/18 12:30:00 AM,0.0,,,
22,07/10/18 01:00:00 AM,0.0,,,24.786
23,07/10/18 01:30:00 AM,0.0,,,
24,07/10/18 02:00:00 AM,0.0,,,24.351
25,07/10/18 02:30:00 AM,0.0,,,
26,07/10/18 03:00:00 AM,0.0,,,23.822
27,07/10/18 03:30:00 AM,0.0,,,
28,07/10/18 04:00:00 AM,0.0,,,23.340
29,07/10/18 04:30:00 AM,0.0,,,
30,07/10/18 05:00:00 AM,0.0,,,22.812
31,07/10/18 05:30:00 AM,0.0,,,
32,07/10/18 06:00:00 AM,0.0,,,22.525
33,07/10/18 06:30:00 AM,0.0,,,
34,07/10/18 07:00:00 AM,0.0,,,22.190
35,07/10/18 07:30:00 AM,64.6,,,
36,07/10/18 08:00:00 AM,64.6,,,21.998
37,07/10/18 08:30:00 AM,0.0,,,
38,07/10/18 09:00:00 AM,10.8,,,19.044
39,07/10/18 09:30:00 AM,10677.8,,,
40,07/10/18 10:00:00 AM,20666.8,,,34.963
41,07/10/18 10:30:00 AM,26178.0,,,
42,07/10/18 11:00:00 AM,28933.5,,,45.899
43,07/10/18 11:30:00 AM,33066.9,,,
44,07/10/18 12:00:00 PM,22044.6,,,37.267
45,07/10/18 12:30:00 PM,9300.1,,,
46,07/10/18 01:00:00 PM,6200.0,,,42.302
47,07/10/18 01:30:00 PM,33066.9,,,
48,07/10/18 02:00:00 PM,7577.8,,,30.922
49,07/10/18 02:30:00 PM,5511.1,,,
50,07/10/18 03:00:00 PM,1302.4,,,20.287
51,07/10/18 03:30:00 PM,527.4,,,
52,07/10/18 04:00:00 PM,247.6,,,13.028
53,07/10/18 04:30:00 PM,1636.1,,,
54,07/10/18 05:00:00 PM,3100.0,,,14.708
55,07/10/18 05:30:00 PM,3961.1,,,
56,07/10/18 06:00:00 PM,1313.2,,,12.835
57,07/10/18 06:30:00 PM,1980.6,,,
58,07/10/18 07:00:00 PM,3272.2,,,13.506
59,07/10/18 07:30:00 PM,2927.8,,,
60,07/10/18 08:00:00 PM,355.2,,,12.399
61,07/10/18 08:30:00 PM,10.8,,,
62,07/10/18 09:00:00 PM,0.0,,,11.041
63,07/10/18 09:30:00 PM,0.0,,,
64,07/10/18 10:00:00 PM,0.0,,,9.521
65,07/10/18 10:30:00 PM,0.0,,,
66,07/10/18 11:00:00 PM,0.0,,,7.581
67,07/10/18 11:30:00 PM,0.0,,,
68,07/11/18 12:00:00 AM,0.0,49.768,3.049,5.910
69,07/11/18 12:30:00 AM,0.0,,,
70,07/11/18 01:00:00 AM,0.0,,,4.519
71,07/11/18 01:30:00 AM,0.0,,,
