"Plot Title: HOBO#8-10542007"
"#","Date Time, GMT-06:00","Intensity, Lux (LGR S/N: 10542007, SEN S/N: 10542007)","Avg: Hourly Temperature, °C (LGR S/N: 10542007)","Max: Daily Temperature, °C (LGR S/N: 10542007)","Min: Daily Temperature, °C (LGR S/N: 10542007)"
1,07/09/18 12:00:00 AM,,,31.574,24.351
2,07/09/18 03:00:00 PM,0.0,29.853,,
3,07/09/18 03:30:00 PM,10.8,,,
4,07/09/18 04:00:00 PM,0.0,31.217,,
5,07/09/18 04:30:00 PM,0.0,,,
6,07/09/18 05:00:00 PM,0.0,31.523,,
7,07/09/18 05:30:00 PM,0.0,,,
8,07/09/18 06:00:00 PM,0.0,31.166,,
9,07/09/18 06:30:00 PM,0.0,,,
10,07/09/18 07:00:00 PM,0.0,30.558,,
11,07/09/18 07:30:00 PM,0.0,,,
12,07/09/18 08:00:00 PM,355.2,26.057,,
13,07/09/18 08:30:00 PM,10.8,,,
14,07/09/18 09:00:00 PM,21.5,25.418,,
15,07/09/18 09:30:00 PM,21.5,,,
16,07/09/18 10:00:00 PM,21.5,25.416,,
17,07/09/18 10:30:00 PM,21.5,,,
18,07/09/18 11:00:00 PM,0.0,24.980,,
19,07/09/18 11:30:00 PM,0.0,,,
20,07/10/18 12:00:00 AM,0.0,24.931,36.187,7.280
21,07/10/18 12:30:00 AM,0.0,,,
22,07/10/18 01:00:00 AM,0.0,24.544,,
23,07/10/18 01:30:00 AM,0.0,,,
24,07/10/18 02:00:00 AM,0.0,24.159,,
25,07/10/18 02:30:00 AM,0.0,,,
26,07/10/18 03:00:00 AM,0.0,23.628,,
27,07/10/18 03:30:00 AM,0.0,,,
28,07/10/18 04:00:00 AM,0.0,23.148,,
29,07/10/18 04:30:00 AM,0.0,,,
30,07/10/18 05:00:00 AM,0.0,22.669,,
31,07/10/18 05:30:00 AM,0.0,,,
32,07/10/18 06:00:00 AM,0.0,22.333,,
33,07/10/18 06:30:00 AM,10.8,,,
34,07/10/18 07:00:00 AM,21.5,22.094,,
35,07/10/18 07:30:00 AM,150.7,,,
36,07/10/18 08:00:00 AM,150.7,22.238,,
37,07/10/18 08:30:00 AM,0.0,,,
38,07/10/18 09:00:00 AM,64.6,18.711,,
39,07/10/18 09:30:00 AM,2325.0,,,
40,07/10/18 10:00:00 AM,4305.6,27.667,,
41,07/10/18 10:30:00 AM,4477.8,,,
42,07/10/18 11:00:00 AM,13777.9,31.986,,
43,07/10/18 11:30:00 AM,15844.5,,,
44,07/10/18 12:00:00 PM,6200.0,26.784,,
45,07/10/18 12:30:00 PM,4650.0,,,
46,07/10/18 01:00:00 PM,4305.6,31.680,,
47,07/10/18 01:30:00 PM,34444.7,,,
48,07/10/18 02:00:00 PM,6544.5,24.849,,
49,07/10/18 02:30:00 PM,3788.9,,,
50,07/10/18 03:00:00 PM,699.7,19.045,,
51,07/10/18 03:30:00 PM,279.9,,,
52,07/10/18 04:00:00 PM,150.7,11.964,,
53,07/10/18 04:30:00 PM,1033.3,,,
54,07/10/18 05:00:00 PM,1980.6,12.690,,
55,07/10/18 05:30:00 PM,2755.6,,,
56,07/10/18 06:00:00 PM,947.2,12.255,,
57,07/10/18 06:30:00 PM,1367.0,,,
58,07/10/18 07:00:00 PM,2411.1,12.737,,
59,07/10/18 07:30:00 PM,1722.2,,,
60,07/10/18 08:00:00 PM,172.2,11.722,,
61,07/10/18 08:30:00 PM,10.8,,,
62,07/10/18 09:00:00 PM,0.0,10.601,,
63,07/10/18 09:30:00 PM,0.0,,,
64,07/10/18 10:00:00 PM,0.0,9.225,,
65,07/10/18 10:30:00 PM,0.0,,,
66,07/10/18 11:00:00 PM,0.0,7.880,,
67,07/10/18 11:30:00 PM,0.0,,,
68,07/11/18 12:00:00 AM,0.0,5.756,36.295,2.943
69,07/11/18 12:30:00 AM,0.0,,,
70,07/11/18 01:00:00 AM,0.0,4.467,,
71,07/11/18 01:30:00 AM,0.0,,,
72,07/11/18 02:00:00 AM,0.0,3.892,,
73,07/11/18 02:30:00 AM,0.0,,,
74,07/11/18 03:00:00 AM,0.0,3.313,,
75,07/11/18 03:30:00 AM,0.0,,,
76,07/11/18 04:00:00 AM,0.0,3.049,,
77,07/11/18 04:30:00 AM,0.0,,,
78,07/11/18 05:00:00 AM,0.0,3.208,,
79,07/11/18 05:30:00 AM,0.0,,,
80,07/11/18 06:00:00 AM,75.3,3.892,,
81,07/11/18 06:30:00 AM,193.8,,,
82,07/11/18 07:00:00 AM,290.6,5.292,,
83,07/11/18 07:30:00 AM,505.9,,,
84,07/11/18 08:00:00 AM,1808.3,12.234,,
85,07/11/18 08:30:00 AM,8266.7,,,
86,07/11/18 09:00:00 AM,8611.2,22.148,,
87,07/11/18 09:30:00 AM,10677.8,,,
88,07/11/18 10:00:00 AM,11711.2,29.362,,
89,07/11/18 10:30:00 AM,12400.1,,,
90,07/11/18 11:00:00 AM,11022.3,34.801,,
91,07/11/18 11:30:00 AM,15844.5,,,
