"Plot Title: HOBO#19-10542012"
"#","Date Time, GMT-06:00","Intensity, Lux (LGR S/N: 10542012, SEN S/N: 10542012)","Avg: Hourly Temperature, °C (LGR S/N: 10542012)","Max: Daily Temperature, °C (LGR S/N: 10542012)","Min: Daily Temperature, °C (LGR S/N: 10542012)","Coupler Attached (LGR S/N: 10542012)","Coupler Detached (LGR S/N: 10542012)","Host Connected (LGR S/N: 10542012)","Stopped (LGR S/N: 10542012)","End Of File (LGR S/N: 10542012)"
1,07/09/18 12:00:00 AM,,,31.574,24.448,,,,,
2,07/09/18 03:00:00 PM,43.1,29.752,,,,,,,
3,07/09/18 03:30:00 PM,32.3,,,,,,,,
4,07/09/18 04:00:00 PM,32.3,31.217,,,,,,,
5,07/09/18 04:30:00 PM,10.8,,,,,,,,
6,07/09/18 05:00:00 PM,0.0,31.523,,,,,,,
7,07/09/18 05:30:00 PM,10.8,,,,,,,,
8,07/09/18 06:00:00 PM,10.8,31.014,,,,,,,
9,07/09/18 06:30:00 PM,10.8,,,,,,,,
10,07/09/18 07:00:00 PM,0.0,30.406,,,,,,,
11,07/09/18 07:30:00 PM,0.0,,,,,,,,
12,07/09/18 08:00:00 PM,376.7,26.452,,,,,,,
13,07/09/18 08:30:00 PM,10.8,,,,,,,,
14,07/09/18 09:00:00 PM,64.6,25.370,,,,,,,
15,07/09/18 09:30:00 PM,32.3,,,,,,,,
16,07/09/18 10:00:00 PM,43.1,25.659,,,,,,,
17,07/09/18 10:30:00 PM,32.3,,,,,,,,
18,07/09/18 11:00:00 PM,0.0,25.173,,,,,,,
19,07/09/18 11:30:00 PM,0.0,,,,,,,,
20,07/10/18 12:00:00 AM,0.0,24.834,45.577,8.082,,,,,
21,07/10/18 12:30:00 AM,0.0,,,,,,,,
22,07/10/18 01:00:00 AM,0.0,24.351,,,,,,,
23,07/10/18 01:30:00 AM,0.0,,,,,,,,
24,07/10/18 02:00:00 AM,0.0,23.965,,,,,,,
25,07/10/18 02:30:00 AM,0.0,,,,,,,,
26,07/10/18 03:00:00 AM,0.0,23.436,,,,,,,
27,07/10/18 03:30:00 AM,0.0,,,,,,,,
28,07/10/18 04:00:00 AM,0.0,22.860,,,,,,,
29,07/10/18 04:30:00 AM,0.0,,,,,,,,
30,07/10/18 05:00:00 AM,0.0,22.381,,,,,,,
31,07/10/18 05:30:00 AM,0.0,,,,,,,,
32,07/10/18 06:00:00 AM,0.0,22.046,,,,,,,
33,07/10/18 06:30:00 AM,0.0,,,,,,,,
34,07/10/18 07:00:00 AM,10.8,21.951,,,,,,,
35,07/10/18 07:30:00 AM,269.1,,,,,,,,
36,07/10/18 08:00:00 AM,129.2,21.855,,,,,,,
37,07/10/18 08:30:00 AM,0.0,,,,,,,,
38,07/10/18 09:00:00 AM,96.9,18.711,,,,,,,
39,07/10/18 09:30:00 AM,8266.7,,,,,,,,
40,07/10/18 10:00:00 AM,2755.6,24.159,,,,,,,
41,07/10/18 10:30:00 AM,2755.6,,,,,,,,
42,07/10/18 11:00:00 AM,1894.5,21.529,,,,,,,
43,07/10/18 11:30:00 AM,3788.9,,,,,,,,
44,07/10/18 12:00:00 PM,4822.3,30.386,,,,,,,
45,07/10/18 12:30:00 PM,17222.3,,,,,,,,
46,07/10/18 01:00:00 PM,26178.0,43.459,,,,,,,
47,07/10/18 01:30:00 PM,21355.7,,,,,,,,
48,07/10/18 02:00:00 PM,5166.7,27.043,,,,,,,
49,07/10/18 02:30:00 PM,3788.9,,,,,,,,
50,07/10/18 03:00:00 PM,495.1,17.802,,,,,,,
51,07/10/18 03:30:00 PM,559.7,,,,,,,,
52,07/10/18 04:00:00 PM,452.1,12.739,,,,,,,
53,07/10/18 04:30:00 PM,1808.3,,,,,,,,
54,07/10/18 05:00:00 PM,3100.0,13.702,,,,,,,
55,07/10/18 05:30:00 PM,3616.7,,,,,,,,
56,07/10/18 06:00:00 PM,2066.7,14.037,,,,,,,
57,07/10/18 06:30:00 PM,2755.6,,,,,,,,
58,07/10/18 07:00:00 PM,3272.2,14.948,,,,,,,
