"Plot Title: Hobo27-#10793179"
"#","Date Time, GMT-06:00","Intensity, Lux (LGR S/N: 10793179, SEN S/N: 10793179)","Avg: Hourly Temperature, °C (LGR S/N: 10793179)","Max: Daily Temperature, °C (LGR S/N: 10793179)","Min: Daily Temperature, °C (LGR S/N: 10793179)",Coupler Attached (LGR S/N: 10793179),Host Connected (LGR S/N: 10793179),Stopped (LGR S/N: 10793179),End Of File (LGR S/N: 10793179)
1,7/9/18 0:00:00,,,32.497,24.545,,,,
2,7/9/18 15:00:00,0,27.863,,,,,,
3,7/9/18 15:30:00,0,,,,,,,
4,7/9/18 16:00:00,0,30.763,,,,,,
5,7/9/18 16:30:00,0,,,,,,,
6,7/9/18 17:00:00,0,32.343,,,,,,
7,7/9/18 17:30:00,0,,,,,,,
8,7/9/18 18:00:00,0,32.085,,,,,,
9,7/9/18 18:30:00,0,,,,,,,
10,7/9/18 19:00:00,0,31.217,,,,,,
11,7/9/18 19:30:00,0,,,,,,,
12,7/9/18 20:00:00,301.4,26.898,,,,,,
13,7/9/18 20:30:00,21.5,,,,,,,
14,7/9/18 21:00:00,43.1,25.32,,,,,,
15,7/9/18 21:30:00,21.5,,,,,,,
16,7/9/18 22:00:00,21.5,26.098,,,,,,
17,7/9/18 22:30:00,21.5,,,,,,,
18,7/9/18 23:00:00,0,25.561,,,,,,
19,7/9/18 23:30:00,0,,,,,,,
20,7/10/18 0:00:00,0,25.27,43.844,8.082,,,,
21,7/10/18 0:30:00,0,,,,,,,
22,7/10/18 1:00:00,0,24.834,,,,,,
23,7/10/18 1:30:00,0,,,,,,,
24,7/10/18 2:00:00,0,24.4,,,,,,
25,7/10/18 2:30:00,0,,,,,,,
26,7/10/18 3:00:00,0,23.918,,,,,,
27,7/10/18 3:30:00,0,,,,,,,
28,7/10/18 4:00:00,0,23.388,,,,,,
29,7/10/18 4:30:00,0,,,,,,,
30,7/10/18 5:00:00,0,22.908,,,,,,
31,7/10/18 5:30:00,0,,,,,,,
32,7/10/18 6:00:00,0,22.525,,,,,,
33,7/10/18 6:30:00,0,,,,,,,
34,7/10/18 7:00:00,0,22.238,,,,,,
35,7/10/18 7:30:00,64.6,,,,,,,
36,7/10/18 8:00:00,64.6,22.285,,,,,,
37,7/10/18 8:30:00,0,,,,,,,
38,7/10/18 9:00:00,43.1,18.949,,,,,,
39,7/10/18 9:30:00,3616.7,,,,,,,
40,7/10/18 10:00:00,8266.7,24.546,,,,,,
