"Plot Title: Hobo29-#10793181"
"#","Date Time, GMT-06:00","Intensity, Lux (LGR S/N: 10793181, SEN S/N: 10793181)","Avg: Hourly Temperature, °C (LGR S/N: 10793181)","Max: Daily Temperature, °C (LGR S/N: 10793181)","Min: Daily Temperature, °C (LGR S/N: 10793181)",Coupler Attached (LGR S/N: 10793181),Host Connected (LGR S/N: 10793181),Stopped (LGR S/N: 10793181),End Of File (LGR S/N: 10793181)
1,7/9/18 0:00:00,,,31.574,24.255,,,,
2,7/9/18 15:00:00,32.3,29.352,,,,,,
3,7/9/18 15:30:00,21.5,,,,,,,
4,7/9/18 16:00:00,21.5,31.217,,,,,,
5,7/9/18 16:30:00,10.8,,,,,,,
6,7/9/18 17:00:00,0,31.472,,,,,,
7,7/9/18 17:30:00,0,,,,,,,
8,7/9/18 18:00:00,10.8,30.912,,,,,,
9,7/9/18 18:30:00,10.8,,,,,,,
10,7/9/18 19:00:00,0,30.255,,,,,,
11,7/9/18 19:30:00,0,,,,,,,
12,7/9/18 20:00:00,301.4,25.764,,,,,,
13,7/9/18 20:30:00,32.3,,,,,,,
14,7/9/18 21:00:00,64.6,25.418,,,,,,
15,7/9/18 21:30:00,32.3,,,,,,,
16,7/9/18 22:00:00,32.3,26.048,,,,,,
17,7/9/18 22:30:00,32.3,,,,,,,
18,7/9/18 23:00:00,0,25.513,,,,,,
19,7/9/18 23:30:00,0,,,,,,,
20,7/10/18 0:00:00,0,25.173,40.3,7.28,,,,
21,7/10/18 0:30:00,0,,,,,,,
22,7/10/18 1:00:00,0,24.738,,,,,,
23,7/10/18 1:30:00,0,,,,,,,
24,7/10/18 2:00:00,0,24.351,,,,,,
25,7/10/18 2:30:00,0,,,,,,,
26,7/10/18 3:00:00,0,23.869,,,,,,
27,7/10/18 3:30:00,0,,,,,,,
28,7/10/18 4:00:00,0,23.34,,,,,,
29,7/10/18 4:30:00,0,,,,,,,
30,7/10/18 5:00:00,0,22.908,,,,,,
31,7/10/18 5:30:00,0,,,,,,,
32,7/10/18 6:00:00,0,22.525,,,,,,
33,7/10/18 6:30:00,0,,,,,,,
34,7/10/18 7:00:00,0,22.238,,,,,,
35,7/10/18 7:30:00,75.3,,,,,,,
36,7/10/18 8:00:00,75.3,22.333,,,,,,
37,7/10/18 8:30:00,0,,,,,,,
38,7/10/18 9:00:00,21.5,18.52,,,,,,
39,7/10/18 9:30:00,2927.8,,,,,,,
40,7/10/18 10:00:00,12400.1,24.593,,,,,,
41,7/10/18 10:30:00,12400.1,,,,,,,
42,7/10/18 11:00:00,2497.2,20.86,,,,,,
43,7/10/18 11:30:00,2669.5,,,,,,,
44,7/10/18 12:00:00,7577.8,31.893,,,,,,
45,7/10/18 12:30:00,35822.5,,,,,,,
46,7/10/18 13:00:00,30311.3,39.173,,,,,,
47,7/10/18 13:30:00,33066.9,,,,,,,
48,7/10/18 14:00:00,5511.1,23.97,,,,,,
49,7/10/18 14:30:00,4822.3,,,,,,,
50,7/10/18 15:00:00,602.8,16.559,,,,,,
51,7/10/18 15:30:00,710.4,,,,,,,
52,7/10/18 16:00:00,721.2,12.061,,,,,,
53,7/10/18 16:30:00,2755.6,,,,,,,
54,7/10/18 17:00:00,3788.9,13.124,,,,,,
55,7/10/18 17:30:00,3961.1,,,,,,,
56,7/10/18 18:00:00,2238.9,13.605,,,,,,
57,7/10/18 18:30:00,2927.8,,,,,,,
58,7/10/18 19:00:00,3616.7,14.181,,,,,,
59,7/10/18 19:30:00,1894.5,,,,,,,
60,7/10/18 20:00:00,247.6,11.625,,,,,,
61,7/10/18 20:30:00,21.5,,,,,,,
62,7/10/18 21:00:00,0,10.845,,,,,,
63,7/10/18 21:30:00,0,,,,,,,
64,7/10/18 22:00:00,0,9.62,,,,,,
65,7/10/18 22:30:00,0,,,,,,,
66,7/10/18 23:00:00,0,7.581,,,,,,
67,7/10/18 23:30:00,0,,,,,,,
68,7/11/18 0:00:00,0,6.977,40.876,1.872,,,,
69,7/11/18 0:30:00,0,,,,,,,
70,7/11/18 1:00:00,0,5.089,,,,,,
71,7/11/18 1:30:00,0,,,,,,,
72,7/11/18 2:00:00,0,4.466,,,,,,
73,7/11/18 2:30:00,0,,,,,,,
74,7/11/18 3:00:00,0,4.727,,,,,,
75,7/11/18 3:30:00,0,,,,,,,
76,7/11/18 4:00:00,0,3.997,,,,,,
77,7/11/18 4:30:00,0,,,,,,,
78,7/11/18 5:00:00,0,2.407,,,,,,
79,7/11/18 5:30:00,0,,,,,,,
80,7/11/18 6:00:00,139.9,2.357,,,,,,
81,7/11/18 6:30:00,409,,,,,,,
82,7/11/18 7:00:00,688.9,3.312,,,,,,
83,7/11/18 7:30:00,861.1,,,,,,,
84,7/11/18 8:00:00,2066.7,10.204,,,,,,
85,7/11/18 8:30:00,17222.3,,,,,,,
86,7/11/18 9:00:00,23422.4,21.291,,,,,,
87,7/11/18 9:30:00,28933.5,,,,,,,
88,7/11/18 10:00:00,33066.9,30.375,,,,,,
