"Plot Title: 2006529"
"#","Date Time, GMT-06:00","Intensity, Lux (LGR S/N: 2006529, SEN S/N: 2006529)","Avg: Hourly Temperature, °C (LGR S/N: 2006529)","Max: Daily Temperature, °C (LGR S/N: 2006529)","Min: Daily Temperature, °C (LGR S/N: 2006529)"
1,07/09/18 12:00:00 AM,,,31.574,24.545
2,07/09/18 03:00:00 PM,0.0,29.953,,
3,07/09/18 03:30:00 PM,0.0,,,
4,07/09/18 04:00:00 PM,0.0,31.166,,
5,07/09/18 04:30:00 PM,0.0,,,
6,07/09/18 05:00:00 PM,0.0,31.523,,
7,07/09/18 05:30:00 PM,0.0,,,
8,07/09/18 06:00:00 PM,0.0,31.166,,
9,07/09/18 06:30:00 PM,0.0,,,
10,07/09/18 07:00:00 PM,0.0,30.608,,
11,07/09/18 07:30:00 PM,0.0,,,
12,07/09/18 08:00:00 PM,312.2,26.302,,
13,07/09/18 08:30:00 PM,10.8,,,
14,07/09/18 09:00:00 PM,53.8,25.757,,
15,07/09/18 09:30:00 PM,10.8,,,
16,07/09/18 10:00:00 PM,21.5,26.195,,
17,07/09/18 10:30:00 PM,21.5,,,
18,07/09/18 11:00:00 PM,0.0,25.561,,
19,07/09/18 11:30:00 PM,0.0,,,
20,07/10/18 12:00:00 AM,0.0,25.319,43.723,7.782
21,07/10/18 12:30:00 AM,0.0,,,
22,07/10/18 01:00:00 AM,0.0,24.834,,
23,07/10/18 01:30:00 AM,0.0,,,
24,07/10/18 02:00:00 AM,0.0,24.448,,
25,07/10/18 02:30:00 AM,0.0,,,
26,07/10/18 03:00:00 AM,0.0,23.918,,
27,07/10/18 03:30:00 AM,0.0,,,
28,07/10/18 04:00:00 AM,0.0,23.388,,
29,07/10/18 04:30:00 AM,0.0,,,
30,07/10/18 05:00:00 AM,0.0,22.908,,
31,07/10/18 05:30:00 AM,0.0,,,
32,07/10/18 06:00:00 AM,0.0,22.525,,
33,07/10/18 06:30:00 AM,0.0,,,
34,07/10/18 07:00:00 AM,0.0,22.190,,
35,07/10/18 07:30:00 AM,75.3,,,
36,07/10/18 08:00:00 AM,64.6,22.190,,
37,07/10/18 08:30:00 AM,0.0,,,
38,07/10/18 09:00:00 AM,0.0,19.139,,
