"Plot Title: HOBO31-10793176"
"#","Date Time, GMT-06:00","Intensity, Lux (LGR S/N: 10793176, SEN S/N: 10793176)","Avg: Hourly Temperature, °C (LGR S/N: 10793176)","Max: Daily Temperature, °C (LGR S/N: 10793176)","Min: Daily Temperature, °C (LGR S/N: 10793176)"
1,07/09/19 12:00:00 AM,,,26.195,1.221
2,07/09/19 04:00:00 PM,28933.5,25.951,,
3,07/09/19 04:30:00 PM,24800.2,,,
4,07/09/19 05:00:00 PM,18600.1,24.399,,
5,07/09/19 05:30:00 PM,15155.7,,,
6,07/09/19 06:00:00 PM,12400.1,23.052,,
7,07/09/19 06:30:00 PM,8266.7,,,
8,07/09/19 07:00:00 PM,592.0,12.072,,
9,07/09/19 07:30:00 PM,452.1,,,
10,07/09/19 08:00:00 PM,247.6,5.905,,
11,07/09/19 08:30:00 PM,64.6,,,
12,07/09/19 09:00:00 PM,0.0,3.418,,
13,07/09/19 09:30:00 PM,0.0,,,
14,07/09/19 10:00:00 PM,0.0,2.356,,
15,07/09/19 10:30:00 PM,0.0,,,
16,07/09/19 11:00:00 PM,0.0,1.384,,
17,07/09/19 11:30:00 PM,0.0,,,
18,07/10/19 12:00:00 AM,0.0,0.948,36.620,-1.456
19,07/10/19 12:30:00 AM,0.0,,,
20,07/10/19 01:00:00 AM,0.0,0.287,,
21,07/10/19 01:30:00 AM,0.0,,,
22,07/10/19 02:00:00 AM,0.0,-0.158,,
23,07/10/19 02:30:00 AM,0.0,,,
24,07/10/19 03:00:00 AM,0.0,-0.438,,
25,07/10/19 03:30:00 AM,0.0,,,
26,07/10/19 04:00:00 AM,0.0,-0.887,,
27,07/10/19 04:30:00 AM,0.0,,,
28,07/10/19 05:00:00 AM,0.0,-1.171,,
29,07/10/19 05:30:00 AM,0.0,,,
30,07/10/19 06:00:00 AM,129.2,-1.228,,
31,07/10/19 06:30:00 AM,247.6,,,
32,07/10/19 07:00:00 AM,344.4,3.012,,
33,07/10/19 07:30:00 AM,9644.5,,,
34,07/10/19 08:00:00 AM,11711.2,17.184,,
35,07/10/19 08:30:00 AM,13089.0,,,
36,07/10/19 09:00:00 AM,14466.8,25.278,,
37,07/10/19 09:30:00 AM,15844.5,,,
38,07/10/19 10:00:00 AM,16533.4,28.360,,
39,07/10/19 10:30:00 AM,16533.4,,,
40,07/10/19 11:00:00 AM,18600.1,33.748,,
41,07/10/19 11:30:00 AM,23422.4,,,
42,07/10/19 12:00:00 PM,31689.1,36.134,,
43,07/10/19 12:30:00 PM,39955.8,,,
44,07/10/19 01:00:00 PM,49600.3,34.534,,
45,07/10/19 01:30:00 PM,52355.9,,,
46,07/10/19 02:00:00 PM,46844.8,32.962,,
47,07/10/19 02:30:00 PM,37200.2,,,
48,07/10/19 03:00:00 PM,30311.3,30.608,,
49,07/10/19 03:30:00 PM,30311.3,,,
50,07/10/19 04:00:00 PM,28933.5,29.102,,
51,07/10/19 04:30:00 PM,24800.2,,,
52,07/10/19 05:00:00 PM,19289.0,28.011,,
53,07/10/19 05:30:00 PM,15844.5,,,
54,07/10/19 06:00:00 PM,12400.1,26.201,,
55,07/10/19 06:30:00 PM,6544.5,,,
56,07/10/19 07:00:00 PM,570.5,14.349,,
57,07/10/19 07:30:00 PM,430.6,,,
58,07/10/19 08:00:00 PM,290.6,7.979,,
59,07/10/19 08:30:00 PM,139.9,,,
60,07/10/19 09:00:00 PM,0.0,5.449,,
61,07/10/19 09:30:00 PM,0.0,,,
62,07/10/19 10:00:00 PM,0.0,4.414,,
63,07/10/19 10:30:00 PM,0.0,,,
64,07/10/19 11:00:00 PM,0.0,3.472,,
65,07/10/19 11:30:00 PM,0.0,,,
66,07/11/19 12:00:00 AM,0.0,2.837,37.384,0.121
67,07/11/19 12:30:00 AM,0.0,,,
68,07/11/19 01:00:00 AM,0.0,2.302,,
69,07/11/19 01:30:00 AM,0.0,,,
70,07/11/19 02:00:00 AM,0.0,1.872,,
71,07/11/19 02:30:00 AM,0.0,,,
72,07/11/19 03:00:00 AM,0.0,1.384,,
73,07/11/19 03:30:00 AM,0.0,,,
74,07/11/19 04:00:00 AM,0.0,0.948,,
75,07/11/19 04:30:00 AM,0.0,,,
76,07/11/19 05:00:00 AM,0.0,0.453,,
77,07/11/19 05:30:00 AM,0.0,,,
78,07/11/19 06:00:00 AM,150.7,0.287,,
79,07/11/19 06:30:00 AM,269.1,,,
80,07/11/19 07:00:00 AM,376.7,4.643,,
81,07/11/19 07:30:00 AM,9644.5,,,
82,07/11/19 08:00:00 AM,11711.2,18.044,,
83,07/11/19 08:30:00 AM,13089.0,,,
84,07/11/19 09:00:00 AM,14466.8,25.225,,
85,07/11/19 09:30:00 AM,15155.7,,,
86,07/11/19 10:00:00 AM,15844.5,28.258,,
87,07/11/19 10:30:00 AM,16533.4,,,
88,07/11/19 11:00:00 AM,17911.2,33.413,,
89,07/11/19 11:30:00 AM,23422.4,,,
90,07/11/19 12:00:00 PM,33066.9,37.111,,
91,07/11/19 12:30:00 PM,39955.8,,,
92,07/11/19 01:00:00 PM,49600.3,35.328,,
93,07/11/19 01:30:00 PM,55111.5,,,
94,07/11/19 02:00:00 PM,49600.3,31.948,,
95,07/11/19 02:30:00 PM,30311.3,,,
96,07/11/19 03:00:00 PM,34444.7,33.483,,
97,07/11/19 03:30:00 PM,33066.9,,,
98,07/11/19 04:00:00 PM,34444.7,31.829,,
99,07/11/19 04:30:00 PM,24800.2,,,
100,07/11/19 05:00:00 PM,5166.7,23.967,,
101,07/11/19 05:30:00 PM,4133.4,,,
102,07/11/19 06:00:00 PM,5511.1,20.043,,
103,07/11/19 06:30:00 PM,4994.5,,,
104,07/11/19 07:00:00 PM,3444.5,17.046,,
105,07/11/19 07:30:00 PM,1722.2,,,
106,07/11/19 08:00:00 PM,1345.5,11.711,,
