"Plot Title: HOBO32-10793182"
"#","Date Time, GMT-06:00","Intensity, Lux (LGR S/N: 10793182, SEN S/N: 10793182)","Avg: Hourly Temperature, °C (LGR S/N: 10793182)","Max: Daily Temperature, °C (LGR S/N: 10793182)","Min: Daily Temperature, °C (LGR S/N: 10793182)"
1,07/09/19 12:00:00 AM,,,33.848,1.764
2,07/09/19 04:00:00 PM,23422.4,33.069,,
3,07/09/19 04:30:00 PM,20666.8,,,
4,07/09/19 05:00:00 PM,16533.4,29.904,,
5,07/09/19 05:30:00 PM,14466.8,,,
6,07/09/19 06:00:00 PM,10677.8,26.148,,
7,07/09/19 06:30:00 PM,8611.2,,,
8,07/09/19 07:00:00 PM,6200.0,16.349,,
9,07/09/19 07:30:00 PM,301.4,,,
10,07/09/19 08:00:00 PM,183.0,6.619,,
11,07/09/19 08:30:00 PM,43.1,,,
12,07/09/19 09:00:00 PM,0.0,3.943,,
13,07/09/19 09:30:00 PM,0.0,,,
14,07/09/19 10:00:00 PM,0.0,2.889,,
15,07/09/19 10:30:00 PM,0.0,,,
16,07/09/19 11:00:00 PM,0.0,1.979,,
17,07/09/19 11:30:00 PM,0.0,,,
18,07/10/19 12:00:00 AM,0.0,1.384,44.952,-0.662
19,07/10/19 12:30:00 AM,0.0,,,
20,07/10/19 01:00:00 AM,0.0,0.838,,
21,07/10/19 01:30:00 AM,0.0,,,
22,07/10/19 02:00:00 AM,0.0,0.287,,
23,07/10/19 02:30:00 AM,0.0,,,
24,07/10/19 03:00:00 AM,0.0,-0.046,,
25,07/10/19 03:30:00 AM,0.0,,,
26,07/10/19 04:00:00 AM,0.0,-0.381,,
27,07/10/19 04:30:00 AM,0.0,,,
28,07/10/19 05:00:00 AM,0.0,-0.662,,
29,07/10/19 05:30:00 AM,0.0,,,
30,07/10/19 06:00:00 AM,64.6,-0.549,,
31,07/10/19 06:30:00 AM,150.7,,,
32,07/10/19 07:00:00 AM,226.0,0.451,,
33,07/10/19 07:30:00 AM,1377.8,,,
34,07/10/19 08:00:00 AM,6200.0,14.922,,
35,07/10/19 08:30:00 AM,7577.8,,,
36,07/10/19 09:00:00 AM,9300.1,26.847,,
37,07/10/19 09:30:00 AM,10677.8,,,
38,07/10/19 10:00:00 AM,12400.1,34.021,,
39,07/10/19 10:30:00 AM,13089.0,,,
40,07/10/19 11:00:00 AM,14466.8,41.179,,
41,07/10/19 11:30:00 AM,15844.5,,,
42,07/10/19 12:00:00 PM,17222.3,44.520,,
43,07/10/19 12:30:00 PM,27555.7,,,
44,07/10/19 01:00:00 PM,17911.2,42.832,,
45,07/10/19 01:30:00 PM,15844.5,,,
46,07/10/19 02:00:00 PM,16533.4,41.404,,
47,07/10/19 02:30:00 PM,22044.6,,,
48,07/10/19 03:00:00 PM,30311.3,40.139,,
49,07/10/19 03:30:00 PM,27555.7,,,
50,07/10/19 04:00:00 PM,24800.2,36.194,,
51,07/10/19 04:30:00 PM,22044.6,,,
52,07/10/19 05:00:00 PM,17222.3,32.503,,
53,07/10/19 05:30:00 PM,14466.8,,,
54,07/10/19 06:00:00 PM,10677.8,28.460,,
55,07/10/19 06:30:00 PM,9300.1,,,
56,07/10/19 07:00:00 PM,6200.0,18.232,,
57,07/10/19 07:30:00 PM,279.9,,,
58,07/10/19 08:00:00 PM,204.5,8.378,,
59,07/10/19 08:30:00 PM,107.6,,,
60,07/10/19 09:00:00 PM,0.0,5.756,,
61,07/10/19 09:30:00 PM,0.0,,,
62,07/10/19 10:00:00 PM,0.0,4.726,,
63,07/10/19 10:30:00 PM,0.0,,,
64,07/10/19 11:00:00 PM,0.0,3.893,,
65,07/10/19 11:30:00 PM,0.0,,,
66,07/11/19 12:00:00 AM,0.0,3.155,45.076,0.343
67,07/11/19 12:30:00 AM,0.0,,,
68,07/11/19 01:00:00 AM,0.0,2.571,,
69,07/11/19 01:30:00 AM,0.0,,,
70,07/11/19 02:00:00 AM,0.0,2.196,,
71,07/11/19 02:30:00 AM,0.0,,,
72,07/11/19 03:00:00 AM,0.0,1.601,,
73,07/11/19 03:30:00 AM,0.0,,,
74,07/11/19 04:00:00 AM,0.0,1.111,,
75,07/11/19 04:30:00 AM,0.0,,,
76,07/11/19 05:00:00 AM,0.0,0.618,,
77,07/11/19 05:30:00 AM,0.0,,,
78,07/11/19 06:00:00 AM,75.3,0.564,,
79,07/11/19 06:30:00 AM,161.5,,,
80,07/11/19 07:00:00 AM,247.6,1.975,,
81,07/11/19 07:30:00 AM,1377.8,,,
82,07/11/19 08:00:00 AM,6200.0,16.462,,
83,07/11/19 08:30:00 AM,7233.4,,,
84,07/11/19 09:00:00 AM,9300.1,27.434,,
85,07/11/19 09:30:00 AM,10677.8,,,
86,07/11/19 10:00:00 AM,11711.2,34.121,,
87,07/11/19 10:30:00 AM,13089.0,,,
88,07/11/19 11:00:00 AM,14466.8,40.740,,
89,07/11/19 11:30:00 AM,15155.7,,,
90,07/11/19 12:00:00 PM,17911.2,44.828,,
91,07/11/19 12:30:00 PM,28933.5,,,
92,07/11/19 01:00:00 PM,18600.1,43.543,,
93,07/11/19 01:30:00 PM,16533.4,,,
94,07/11/19 02:00:00 PM,17222.3,40.268,,
95,07/11/19 02:30:00 PM,18600.1,,,
96,07/11/19 03:00:00 PM,33066.9,41.003,,
