"Plot Title: HOBO#7-10542008"
"#","Date Time, GMT-06:00","Intensity, Lux (LGR S/N: 10542008, SEN S/N: 10542008)","Avg: Hourly Temperature, °C (LGR S/N: 10542008)","Max: Daily Temperature, °C (LGR S/N: 10542008)","Min: Daily Temperature, °C (LGR S/N: 10542008)"
1,07/09/19 12:00:00 AM,,,32.291,1.330
2,07/09/19 04:00:00 PM,22044.6,31.374,,
3,07/09/19 04:30:00 PM,17222.3,,,
4,07/09/19 05:00:00 PM,14466.8,29.053,,
5,07/09/19 05:30:00 PM,11022.3,,,
6,07/09/19 06:00:00 PM,8266.7,25.222,,
7,07/09/19 06:30:00 PM,5511.1,,,
8,07/09/19 07:00:00 PM,4305.6,14.514,,
9,07/09/19 07:30:00 PM,226.0,,,
10,07/09/19 08:00:00 PM,139.9,6.007,,
11,07/09/19 08:30:00 PM,32.3,,,
12,07/09/19 09:00:00 PM,0.0,3.418,,
13,07/09/19 09:30:00 PM,0.0,,,
14,07/09/19 10:00:00 PM,0.0,2.462,,
15,07/09/19 10:30:00 PM,0.0,,,
16,07/09/19 11:00:00 PM,0.0,1.493,,
17,07/09/19 11:30:00 PM,0.0,,,
18,07/10/19 12:00:00 AM,0.0,0.948,38.046,-1.228
19,07/10/19 12:30:00 AM,0.0,,,
20,07/10/19 01:00:00 AM,0.0,0.398,,
21,07/10/19 01:30:00 AM,0.0,,,
22,07/10/19 02:00:00 AM,0.0,-0.101,,
23,07/10/19 02:30:00 AM,0.0,,,
24,07/10/19 03:00:00 AM,0.0,-0.493,,
25,07/10/19 03:30:00 AM,0.0,,,
26,07/10/19 04:00:00 AM,0.0,-0.774,,
27,07/10/19 04:30:00 AM,0.0,,,
28,07/10/19 05:00:00 AM,0.0,-1.115,,
29,07/10/19 05:30:00 AM,0.0,,,
30,07/10/19 06:00:00 AM,53.8,-1.057,,
31,07/10/19 06:30:00 AM,118.4,,,
32,07/10/19 07:00:00 AM,172.2,0.392,,
33,07/10/19 07:30:00 AM,925.7,,,
34,07/10/19 08:00:00 AM,6544.5,15.591,,
35,07/10/19 08:30:00 AM,8266.7,,,
36,07/10/19 09:00:00 AM,9300.1,25.860,,
37,07/10/19 09:30:00 AM,10677.8,,,
38,07/10/19 10:00:00 AM,11022.3,29.657,,
39,07/10/19 10:30:00 AM,12400.1,,,
40,07/10/19 11:00:00 AM,13777.9,35.925,,
41,07/10/19 11:30:00 AM,14466.8,,,
42,07/10/19 12:00:00 PM,16533.4,37.880,,
43,07/10/19 12:30:00 PM,19289.0,,,
44,07/10/19 01:00:00 PM,23422.4,36.840,,
45,07/10/19 01:30:00 PM,28933.5,,,
46,07/10/19 02:00:00 PM,34444.7,36.303,,
47,07/10/19 02:30:00 PM,34444.7,,,
48,07/10/19 03:00:00 PM,30311.3,37.604,,
49,07/10/19 03:30:00 PM,26178.0,,,
50,07/10/19 04:00:00 PM,22044.6,34.111,,
51,07/10/19 04:30:00 PM,13089.0,,,
52,07/10/19 05:00:00 PM,14466.8,30.817,,
53,07/10/19 05:30:00 PM,11022.3,,,
54,07/10/19 06:00:00 PM,8266.7,27.224,,
55,07/10/19 06:30:00 PM,6200.0,,,
56,07/10/19 07:00:00 PM,4305.6,16.595,,
57,07/10/19 07:30:00 PM,215.3,,,
58,07/10/19 08:00:00 PM,161.5,8.079,,
59,07/10/19 08:30:00 PM,86.1,,,
60,07/10/19 09:00:00 PM,0.0,5.448,,
61,07/10/19 09:30:00 PM,0.0,,,
62,07/10/19 10:00:00 PM,0.0,4.467,,
63,07/10/19 10:30:00 PM,0.0,,,
64,07/10/19 11:00:00 PM,0.0,3.630,,
65,07/10/19 11:30:00 PM,0.0,,,
66,07/11/19 12:00:00 AM,0.0,2.837,39.615,0.232
67,07/11/19 12:30:00 AM,0.0,,,
68,07/11/19 01:00:00 AM,0.0,2.357,,
69,07/11/19 01:30:00 AM,0.0,,,
70,07/11/19 02:00:00 AM,0.0,1.872,,
71,07/11/19 02:30:00 AM,0.0,,,
72,07/11/19 03:00:00 AM,0.0,1.330,,
73,07/11/19 03:30:00 AM,0.0,,,
74,07/11/19 04:00:00 AM,0.0,0.893,,
75,07/11/19 04:30:00 AM,0.0,,,
76,07/11/19 05:00:00 AM,0.0,0.342,,
77,07/11/19 05:30:00 AM,0.0,,,
78,07/11/19 06:00:00 AM,64.6,0.342,,
79,07/11/19 06:30:00 AM,129.2,,,
80,07/11/19 07:00:00 AM,183.0,1.865,,
81,07/11/19 07:30:00 AM,1022.6,,,
82,07/11/19 08:00:00 AM,7233.4,17.082,,
83,07/11/19 08:30:00 AM,8266.7,,,
84,07/11/19 09:00:00 AM,9300.1,26.542,,
85,07/11/19 09:30:00 AM,10677.8,,,
86,07/11/19 10:00:00 AM,11711.2,29.752,,
87,07/11/19 10:30:00 AM,12400.1,,,
88,07/11/19 11:00:00 AM,13089.0,34.456,,
89,07/11/19 11:30:00 AM,14466.8,,,
90,07/11/19 12:00:00 PM,16533.4,37.001,,
91,07/11/19 12:30:00 PM,19977.9,,,
92,07/11/19 01:00:00 PM,24800.2,36.578,,
93,07/11/19 01:30:00 PM,22044.6,,,
94,07/11/19 02:00:00 PM,26178.0,34.280,,
95,07/11/19 02:30:00 PM,24800.2,,,
96,07/11/19 03:00:00 PM,33066.9,38.775,,
97,07/11/19 03:30:00 PM,28933.5,,,
98,07/11/19 04:00:00 PM,24800.2,36.674,,
99,07/11/19 04:30:00 PM,20666.8,,,
