"Plot Title: Hobo#12-10542013"
"#","Date Time, GMT-06:00","Intensity, Lux (LGR S/N: 10542013, SEN S/N: 10542013)","Avg: Hourly Temperature, °C (LGR S/N: 10542013)","Max: Daily Temperature, °C (LGR S/N: 10542013)","Min: Daily Temperature, °C (LGR S/N: 10542013)"
1,07/09/19 12:00:00 AM,,,30.558,1.764
2,07/09/19 04:00:00 PM,15844.5,29.556,,
3,07/09/19 04:30:00 PM,14466.8,,,
4,07/09/19 05:00:00 PM,12400.1,26.732,,
5,07/09/19 05:30:00 PM,10333.4,,,
6,07/09/19 06:00:00 PM,8266.7,24.062,,
7,07/09/19 06:30:00 PM,6200.0,,,
8,07/09/19 07:00:00 PM,355.2,11.935,,
9,07/09/19 07:30:00 PM,279.9,,,
10,07/09/19 08:00:00 PM,172.2,6.466,,
11,07/09/19 08:30:00 PM,43.1,,,
12,07/09/19 09:00:00 PM,0.0,3.891,,
13,07/09/19 09:30:00 PM,0.0,,,
14,07/09/19 10:00:00 PM,0.0,3.048,,
15,07/09/19 10:30:00 PM,0.0,,,
16,07/09/19 11:00:00 PM,0.0,1.979,,
17,07/09/19 11:30:00 PM,0.0,,,
18,07/10/19 12:00:00 AM,0.0,1.601,36.946,-0.774
19,07/10/19 12:30:00 AM,0.0,,,
20,07/10/19 01:00:00 AM,0.0,0.729,,
21,07/10/19 01:30:00 AM,0.0,,,
22,07/10/19 02:00:00 AM,0.0,0.342,,
23,07/10/19 02:30:00 AM,0.0,,,
24,07/10/19 03:00:00 AM,0.0,-0.046,,
25,07/10/19 03:30:00 AM,0.0,,,
26,07/10/19 04:00:00 AM,0.0,-0.213,,
27,07/10/19 04:30:00 AM,0.0,,,
28,07/10/19 05:00:00 AM,0.0,-0.661,,
29,07/10/19 05:30:00 AM,0.0,,,
30,07/10/19 06:00:00 AM,96.9,-0.661,,
31,07/10/19 06:30:00 AM,172.2,,,
32,07/10/19 07:00:00 AM,236.8,2.776,,
33,07/10/19 07:30:00 AM,4650.0,,,
34,07/10/19 08:00:00 AM,6200.0,16.037,,
35,07/10/19 08:30:00 AM,8611.2,,,
36,07/10/19 09:00:00 AM,10677.8,25.088,,
37,07/10/19 09:30:00 AM,12400.1,,,
38,07/10/19 10:00:00 AM,14466.8,29.157,,
39,07/10/19 10:30:00 AM,16533.4,,,
40,07/10/19 11:00:00 AM,18600.1,34.691,,
41,07/10/19 11:30:00 AM,18600.1,,,
42,07/10/19 12:00:00 PM,17222.3,34.533,,
43,07/10/19 12:30:00 PM,16533.4,,,
44,07/10/19 01:00:00 PM,15844.5,33.953,,
45,07/10/19 01:30:00 PM,16533.4,,,
46,07/10/19 02:00:00 PM,17222.3,35.765,,
47,07/10/19 02:30:00 PM,18600.1,,,
48,07/10/19 03:00:00 PM,18600.1,35.382,,
49,07/10/19 03:30:00 PM,17911.2,,,
50,07/10/19 04:00:00 PM,16533.4,33.067,,
51,07/10/19 04:30:00 PM,14466.8,,,
52,07/10/19 05:00:00 PM,12400.1,29.907,,
53,07/10/19 05:30:00 PM,10677.8,,,
54,07/10/19 06:00:00 PM,8611.2,26.687,,
55,07/10/19 06:30:00 PM,6200.0,,,
56,07/10/19 07:00:00 PM,333.7,14.307,,
57,07/10/19 07:30:00 PM,269.1,,,
58,07/10/19 08:00:00 PM,204.5,8.627,,
59,07/10/19 08:30:00 PM,107.6,,,
60,07/10/19 09:00:00 PM,0.0,6.164,,
61,07/10/19 09:30:00 PM,0.0,,,
62,07/10/19 10:00:00 PM,0.0,5.088,,
63,07/10/19 10:30:00 PM,0.0,,,
64,07/10/19 11:00:00 PM,0.0,4.154,,
65,07/10/19 11:30:00 PM,0.0,,,
66,07/11/19 12:00:00 AM,0.0,3.472,37.165,0.674
67,07/11/19 12:30:00 AM,0.0,,,
68,07/11/19 01:00:00 AM,0.0,2.784,,
69,07/11/19 01:30:00 AM,0.0,,,
70,07/11/19 02:00:00 AM,0.0,2.357,,
71,07/11/19 02:30:00 AM,0.0,,,
72,07/11/19 03:00:00 AM,0.0,1.872,,
73,07/11/19 03:30:00 AM,0.0,,,
74,07/11/19 04:00:00 AM,0.0,1.438,,
75,07/11/19 04:30:00 AM,0.0,,,
76,07/11/19 05:00:00 AM,0.0,0.948,,
77,07/11/19 05:30:00 AM,0.0,,,
78,07/11/19 06:00:00 AM,96.9,0.729,,
79,07/11/19 06:30:00 AM,193.8,,,
80,07/11/19 07:00:00 AM,269.1,4.150,,
81,07/11/19 07:30:00 AM,4650.0,,,
82,07/11/19 08:00:00 AM,6200.0,17.041,,
83,07/11/19 08:30:00 AM,8266.7,,,
84,07/11/19 09:00:00 AM,10677.8,25.518,,
85,07/11/19 09:30:00 AM,12400.1,,,
86,07/11/19 10:00:00 AM,14466.8,29.302,,
87,07/11/19 10:30:00 AM,16533.4,,,
88,07/11/19 11:00:00 AM,18600.1,34.097,,
89,07/11/19 11:30:00 AM,18600.1,,,
90,07/11/19 12:00:00 PM,17911.2,36.351,,
91,07/11/19 12:30:00 PM,16533.4,,,
92,07/11/19 01:00:00 PM,16533.4,35.436,,
93,07/11/19 01:30:00 PM,17222.3,,,
94,07/11/19 02:00:00 PM,18600.1,34.605,,
95,07/11/19 02:30:00 PM,16533.4,,,
96,07/11/19 03:00:00 PM,20666.8,36.947,,
97,07/11/19 03:30:00 PM,19977.9,,,
98,07/11/19 04:00:00 PM,20666.8,35.703,,
99,07/11/19 04:30:00 PM,16533.4,,,
100,07/11/19 05:00:00 PM,4133.4,25.034,,
101,07/11/19 05:30:00 PM,2755.6,,,
102,07/11/19 06:00:00 PM,4477.8,20.377,,
103,07/11/19 06:30:00 PM,3616.7,,,
104,07/11/19 07:00:00 PM,2583.4,17.236,,
105,07/11/19 07:30:00 PM,1302.4,,,
106,07/11/19 08:00:00 PM,947.2,11.859,,
107,07/11/19 08:30:00 PM,64.6,,,
108,07/11/19 09:00:00 PM,0.0,6.568,,
109,07/11/19 09:30:00 PM,0.0,,,
110,07/11/19 10:00:00 PM,0.0,4.467,,
111,07/11/19 10:30:00 PM,0.0,,,
112,07/11/19 11:00:00 PM,0.0,3.736,,
113,07/11/19 11:30:00 PM,0.0,,,
114,07/12/19 12:00:00 AM,0.0,2.995,38.157,1.003
115,07/12/19 12:30:00 AM,0.0,,,
116,07/12/19 01:00:00 AM,0.0,2.677,,
117,07/12/19 01:30:00 AM,0.0,,,
118,07/12/19 02:00:00 AM,0.0,2.249,,
119,07/12/19 02:30:00 AM,0.0,,,
120,07/12/19 03:00:00 AM,0.0,1.872,,
121,07/12/19 03:30:00 AM,0.0,,,
122,07/12/19 04:00:00 AM,0.0,1.602,,
123,07/12/19 04:30:00 AM,0.0,,,
124,07/12/19 05:00:00 AM,0.0,1.166,,
125,07/12/19 05:30:00 AM,0.0,,,
126,07/12/19 06:00:00 AM,139.9,1.166,,
127,07/12/19 06:30:00 AM,258.3,,,
128,07/12/19 07:00:00 AM,355.2,4.680,,
129,07/12/19 07:30:00 AM,4133.4,,,
130,07/12/19 08:00:00 AM,5511.1,17.422,,
131,07/12/19 08:30:00 AM,8266.7,,,
132,07/12/19 09:00:00 AM,8611.2,26.695,,
133,07/12/19 09:30:00 AM,12400.1,,,
134,07/12/19 10:00:00 AM,14466.8,29.482,,
135,07/12/19 10:30:00 AM,17222.3,,,
136,07/12/19 11:00:00 AM,13089.0,29.556,,
137,07/12/19 11:30:00 AM,19977.9,,,
138,07/12/19 12:00:00 PM,4822.3,29.245,,
139,07/12/19 12:30:00 PM,5511.1,,,
140,07/12/19 01:00:00 PM,6200.0,28.750,,
141,07/12/19 01:30:00 PM,22044.6,,,
142,07/12/19 02:00:00 PM,23422.4,38.046,,
143,07/12/19 02:30:00 PM,21355.7,,,
144,07/12/19 03:00:00 PM,20666.8,37.001,,
145,07/12/19 03:30:00 PM,18600.1,,,
146,07/12/19 04:00:00 PM,16533.4,35.971,,
147,07/12/19 04:30:00 PM,16533.4,,,
148,07/12/19 05:00:00 PM,13089.0,32.149,,
149,07/12/19 05:30:00 PM,10677.8,,,
150,07/12/19 06:00:00 PM,8611.2,25.471,,
151,07/12/19 06:30:00 PM,6200.0,,,
152,07/12/19 07:00:00 PM,2927.8,17.950,,
153,07/12/19 07:30:00 PM,731.9,,,
154,07/12/19 08:00:00 PM,279.9,11.325,,
155,07/12/19 08:30:00 PM,139.9,,,
156,07/12/19 09:00:00 PM,0.0,7.327,,
157,07/12/19 09:30:00 PM,0.0,,,
158,07/12/19 10:00:00 PM,0.0,5.192,,
159,07/12/19 10:30:00 PM,0.0,,,
160,07/12/19 11:00:00 PM,0.0,4.311,,
161,07/12/19 11:30:00 PM,0.0,,,
162,07/13/19 12:00:00 AM,0.0,3.736,39.276,1.872
163,07/13/19 12:30:00 AM,0.0,,,
164,07/13/19 01:00:00 AM,0.0,3.261,,
165,07/13/19 01:30:00 AM,0.0,,,
166,07/13/19 02:00:00 AM,0.0,2.889,,
167,07/13/19 02:30:00 AM,0.0,,,
168,07/13/19 03:00:00 AM,0.0,2.410,,
169,07/13/19 03:30:00 AM,0.0,,,
170,07/13/19 04:00:00 AM,0.0,2.087,,
171,07/13/19 04:30:00 AM,0.0,,,
172,07/13/19 05:00:00 AM,0.0,1.926,,
173,07/13/19 05:30:00 AM,0.0,,,
174,07/13/19 06:00:00 AM,96.9,2.141,,
175,07/13/19 06:30:00 AM,172.2,,,
176,07/13/19 07:00:00 AM,279.9,5.306,,
177,07/13/19 07:30:00 AM,4133.4,,,
178,07/13/19 08:00:00 AM,5511.1,16.994,,
179,07/13/19 08:30:00 AM,7577.8,,,
180,07/13/19 09:00:00 AM,10333.4,25.433,,
181,07/13/19 09:30:00 AM,12400.1,,,
182,07/13/19 10:00:00 AM,13777.9,30.364,,
183,07/13/19 10:30:00 AM,16533.4,,,
184,07/13/19 11:00:00 AM,18600.1,37.014,,
185,07/13/19 11:30:00 AM,16533.4,,,
186,07/13/19 12:00:00 PM,20666.8,38.056,,
187,07/13/19 12:30:00 PM,17222.3,,,
188,07/13/19 01:00:00 PM,19977.9,35.934,,
189,07/13/19 01:30:00 PM,9300.1,,,
190,07/13/19 02:00:00 PM,15155.7,32.845,,
191,07/13/19 02:30:00 PM,20666.8,,,
192,07/13/19 03:00:00 PM,8266.7,31.584,,
193,07/13/19 03:30:00 PM,7233.4,,,
194,07/13/19 04:00:00 PM,7233.4,25.426,,
195,07/13/19 04:30:00 PM,5511.1,,,
196,07/13/19 05:00:00 PM,4477.8,21.091,,
197,07/13/19 05:30:00 PM,4650.0,,,
198,07/13/19 06:00:00 PM,6200.0,21.142,,
199,07/13/19 06:30:00 PM,2927.8,,,
200,07/13/19 07:00:00 PM,2669.5,16.615,,
201,07/13/19 07:30:00 PM,624.3,,,
202,07/13/19 08:00:00 PM,624.3,11.236,,
203,07/13/19 08:30:00 PM,86.1,,,
204,07/13/19 09:00:00 PM,0.0,10.159,,
205,07/13/19 09:30:00 PM,0.0,,,
206,07/13/19 10:00:00 PM,0.0,7.079,,
207,07/13/19 10:30:00 PM,0.0,,,
208,07/13/19 11:00:00 PM,0.0,6.318,,
209,07/13/19 11:30:00 PM,0.0,,,
210,07/14/19 12:00:00 AM,0.0,5.244,34.691,3.788
211,07/14/19 12:30:00 AM,0.0,,,
212,07/14/19 01:00:00 AM,0.0,4.882,,
213,07/14/19 01:30:00 AM,0.0,,,
214,07/14/19 02:00:00 AM,0.0,4.259,,
215,07/14/19 02:30:00 AM,0.0,,,
216,07/14/19 03:00:00 AM,0.0,4.050,,
217,07/14/19 03:30:00 AM,0.0,,,
218,07/14/19 04:00:00 AM,0.0,3.841,,
219,07/14/19 04:30:00 AM,0.0,,,
220,07/14/19 05:00:00 AM,0.0,4.206,,
221,07/14/19 05:30:00 AM,0.0,,,
222,07/14/19 06:00:00 AM,139.9,5.603,,
223,07/14/19 06:30:00 AM,441.3,,,
224,07/14/19 07:00:00 AM,1550.0,8.777,,
225,07/14/19 07:30:00 AM,1194.8,,,
226,07/14/19 08:00:00 AM,2325.0,12.153,,
227,07/14/19 08:30:00 AM,3961.1,,,
228,07/14/19 09:00:00 AM,5511.1,17.046,,
229,07/14/19 09:30:00 AM,3272.2,,,
230,07/14/19 10:00:00 AM,13777.9,25.619,,
231,07/14/19 10:30:00 AM,3100.0,,,
232,07/14/19 11:00:00 AM,22044.6,30.083,,
233,07/14/19 11:30:00 AM,15155.7,,,
234,07/14/19 12:00:00 PM,20666.8,29.415,,
235,07/14/19 12:30:00 PM,10333.4,,,
236,07/14/19 01:00:00 PM,14466.8,32.759,,
237,07/14/19 01:30:00 PM,19977.9,,,
238,07/14/19 02:00:00 PM,12400.1,33.074,,
239,07/14/19 02:30:00 PM,21355.7,,,
240,07/14/19 03:00:00 PM,14466.8,29.279,,
241,07/14/19 03:30:00 PM,17222.3,,,
242,07/14/19 04:00:00 PM,15155.7,33.285,,
243,07/14/19 04:30:00 PM,13777.9,,,
244,07/14/19 05:00:00 PM,12400.1,28.507,,
245,07/14/19 05:30:00 PM,6544.5,,,
246,07/14/19 06:00:00 PM,2669.5,20.568,,
247,07/14/19 06:30:00 PM,3100.0,,,
248,07/14/19 07:00:00 PM,688.9,17.757,,
249,07/14/19 07:30:00 PM,1550.0,,,
250,07/14/19 08:00:00 PM,656.6,12.926,,
251,07/14/19 08:30:00 PM,75.3,,,
252,07/14/19 09:00:00 PM,0.0,9.718,,
253,07/14/19 09:30:00 PM,0.0,,,
254,07/14/19 10:00:00 PM,0.0,7.780,,
255,07/14/19 10:30:00 PM,0.0,,,
