"Plot Title: Hobo21-SN10793185"
"#","Date Time, GMT-06:00","Intensity, Lux (LGR S/N: 10793185, SEN S/N: 10793185)","Avg: Hourly Temperature, °C (LGR S/N: 10793185)","Max: Daily Temperature, °C (LGR S/N: 10793185)","Min: Daily Temperature, °C (LGR S/N: 10793185)"
1,07/09/19 12:00:00 AM,,,35.756,1.872
2,07/09/19 04:00:00 PM,18600.1,34.178,,
3,07/09/19 04:30:00 PM,16533.4,,,
4,07/09/19 05:00:00 PM,15155.7,29.453,,
5,07/09/19 05:30:00 PM,13089.0,,,
6,07/09/19 06:00:00 PM,11711.2,27.174,,
7,07/09/19 06:30:00 PM,10677.8,,,
8,07/09/19 07:00:00 PM,538.2,14.158,,
9,07/09/19 07:30:00 PM,430.6,,,
10,07/09/19 08:00:00 PM,247.6,7.478,,
11,07/09/19 08:30:00 PM,64.6,,,
12,07/09/19 09:00:00 PM,0.0,4.414,,
13,07/09/19 09:30:00 PM,0.0,,,
14,07/09/19 10:00:00 PM,0.0,3.102,,
15,07/09/19 10:30:00 PM,0.0,,,
16,07/09/19 11:00:00 PM,0.0,2.087,,
17,07/09/19 11:30:00 PM,0.0,,,
18,07/10/19 12:00:00 AM,0.0,1.330,47.892,-1.228
19,07/10/19 12:30:00 AM,0.0,,,
20,07/10/19 01:00:00 AM,0.0,0.673,,
21,07/10/19 01:30:00 AM,0.0,,,
22,07/10/19 02:00:00 AM,0.0,0.121,,
23,07/10/19 02:30:00 AM,0.0,,,
24,07/10/19 03:00:00 AM,0.0,-0.326,,
25,07/10/19 03:30:00 AM,0.0,,,
26,07/10/19 04:00:00 AM,0.0,-0.661,,
27,07/10/19 04:30:00 AM,0.0,,,
28,07/10/19 05:00:00 AM,0.0,-1.057,,
29,07/10/19 05:30:00 AM,0.0,,,
30,07/10/19 06:00:00 AM,161.5,-1.001,,
31,07/10/19 06:30:00 AM,301.4,,,
32,07/10/19 07:00:00 AM,419.8,3.984,,
33,07/10/19 07:30:00 AM,11711.2,,,
34,07/10/19 08:00:00 AM,13089.0,18.807,,
35,07/10/19 08:30:00 AM,16533.4,,,
36,07/10/19 09:00:00 AM,33066.9,29.177,,
37,07/10/19 09:30:00 AM,37200.2,,,
38,07/10/19 10:00:00 AM,41333.6,35.497,,
39,07/10/19 10:30:00 AM,42711.4,,,
40,07/10/19 11:00:00 AM,37200.2,39.656,,
41,07/10/19 11:30:00 AM,35822.5,,,
42,07/10/19 12:00:00 PM,35822.5,44.966,,
43,07/10/19 12:30:00 PM,30311.3,,,
44,07/10/19 01:00:00 PM,28933.5,47.110,,
45,07/10/19 01:30:00 PM,30311.3,,,
46,07/10/19 02:00:00 PM,24800.2,47.695,,
47,07/10/19 02:30:00 PM,23422.4,,,
48,07/10/19 03:00:00 PM,21355.7,43.067,,
49,07/10/19 03:30:00 PM,20666.8,,,
50,07/10/19 04:00:00 PM,18600.1,37.893,,
51,07/10/19 04:30:00 PM,17222.3,,,
52,07/10/19 05:00:00 PM,15155.7,33.277,,
53,07/10/19 05:30:00 PM,13777.9,,,
54,07/10/19 06:00:00 PM,11711.2,30.612,,
55,07/10/19 06:30:00 PM,10677.8,,,
56,07/10/19 07:00:00 PM,527.4,16.462,,
57,07/10/19 07:30:00 PM,409.0,,,
58,07/10/19 08:00:00 PM,301.4,9.567,,
59,07/10/19 08:30:00 PM,150.7,,,
60,07/10/19 09:00:00 PM,0.0,6.571,,
61,07/10/19 09:30:00 PM,0.0,,,
62,07/10/19 10:00:00 PM,0.0,5.140,,
63,07/10/19 10:30:00 PM,0.0,,,
64,07/10/19 11:00:00 PM,0.0,4.102,,
65,07/10/19 11:30:00 PM,0.0,,,
66,07/11/19 12:00:00 AM,0.0,3.313,49.225,0.121
67,07/11/19 12:30:00 AM,0.0,,,
68,07/11/19 01:00:00 AM,0.0,2.623,,
69,07/11/19 01:30:00 AM,0.0,,,
70,07/11/19 02:00:00 AM,0.0,2.196,,
71,07/11/19 02:30:00 AM,0.0,,,
72,07/11/19 03:00:00 AM,0.0,1.601,,
73,07/11/19 03:30:00 AM,0.0,,,
74,07/11/19 04:00:00 AM,0.0,0.948,,
75,07/11/19 04:30:00 AM,0.0,,,
76,07/11/19 05:00:00 AM,0.0,0.453,,
77,07/11/19 05:30:00 AM,0.0,,,
78,07/11/19 06:00:00 AM,172.2,0.397,,
79,07/11/19 06:30:00 AM,344.4,,,
80,07/11/19 07:00:00 AM,473.6,5.549,,
81,07/11/19 07:30:00 AM,10677.8,,,
82,07/11/19 08:00:00 AM,14466.8,19.713,,
83,07/11/19 08:30:00 AM,16533.4,,,
84,07/11/19 09:00:00 AM,33066.9,29.623,,
85,07/11/19 09:30:00 AM,37200.2,,,
86,07/11/19 10:00:00 AM,41333.6,35.703,,
87,07/11/19 10:30:00 AM,39955.8,,,
88,07/11/19 11:00:00 AM,38578.0,41.102,,
89,07/11/19 11:30:00 AM,35822.5,,,
90,07/11/19 12:00:00 PM,35822.5,46.282,,
91,07/11/19 12:30:00 PM,31689.1,,,
92,07/11/19 01:00:00 PM,30311.3,48.296,,
93,07/11/19 01:30:00 PM,30311.3,,,
94,07/11/19 02:00:00 PM,27555.7,45.611,,
95,07/11/19 02:30:00 PM,22044.6,,,
96,07/11/19 03:00:00 PM,24800.2,46.339,,
97,07/11/19 03:30:00 PM,23422.4,,,
98,07/11/19 04:00:00 PM,26178.0,41.587,,
99,07/11/19 04:30:00 PM,20666.8,,,
100,07/11/19 05:00:00 PM,5166.7,28.759,,
101,07/11/19 05:30:00 PM,4133.4,,,
102,07/11/19 06:00:00 PM,5511.1,22.381,,
103,07/11/19 06:30:00 PM,4994.5,,,
104,07/11/19 07:00:00 PM,3444.5,18.902,,
105,07/11/19 07:30:00 PM,1722.2,,,
106,07/11/19 08:00:00 PM,1377.8,13.309,,
107,07/11/19 08:30:00 PM,96.9,,,
108,07/11/19 09:00:00 PM,0.0,7.326,,
109,07/11/19 09:30:00 PM,0.0,,,
110,07/11/19 10:00:00 PM,0.0,4.985,,
111,07/11/19 10:30:00 PM,0.0,,,
112,07/11/19 11:00:00 PM,0.0,3.945,,
113,07/11/19 11:30:00 PM,0.0,,,
114,07/12/19 12:00:00 AM,0.0,3.208,49.905,0.784
115,07/12/19 12:30:00 AM,0.0,,,
116,07/12/19 01:00:00 AM,0.0,2.517,,
117,07/12/19 01:30:00 AM,0.0,,,
118,07/12/19 02:00:00 AM,0.0,2.356,,
119,07/12/19 02:30:00 AM,0.0,,,
120,07/12/19 03:00:00 AM,0.0,1.818,,
121,07/12/19 03:30:00 AM,0.0,,,
122,07/12/19 04:00:00 AM,0.0,1.493,,
123,07/12/19 04:30:00 AM,0.0,,,
124,07/12/19 05:00:00 AM,0.0,1.002,,
125,07/12/19 05:30:00 AM,0.0,,,
126,07/12/19 06:00:00 AM,258.3,1.111,,
127,07/12/19 06:30:00 AM,495.1,,,
128,07/12/19 07:00:00 AM,678.1,6.232,,
129,07/12/19 07:30:00 AM,9644.5,,,
130,07/12/19 08:00:00 AM,13777.9,20.477,,
131,07/12/19 08:30:00 AM,17222.3,,,
132,07/12/19 09:00:00 AM,26178.0,30.532,,
133,07/12/19 09:30:00 AM,35822.5,,,
134,07/12/19 10:00:00 AM,41333.6,35.434,,
135,07/12/19 10:30:00 AM,42711.4,,,
136,07/12/19 11:00:00 AM,30311.3,35.558,,
137,07/12/19 11:30:00 AM,31689.1,,,
138,07/12/19 12:00:00 PM,7577.8,35.732,,
139,07/12/19 12:30:00 PM,8611.2,,,
140,07/12/19 01:00:00 PM,8611.2,36.382,,
141,07/12/19 01:30:00 PM,26178.0,,,
142,07/12/19 02:00:00 PM,33066.9,49.837,,
