"Plot Title: Hobo#22-SN10793186"
"#","Date Time, GMT-06:00","Intensity, Lux (LGR S/N: 10793186, SEN S/N: 10793186)","Avg: Hourly Temperature, °C (LGR S/N: 10793186)","Max: Daily Temperature, °C (LGR S/N: 10793186)","Min: Daily Temperature, °C (LGR S/N: 10793186)"
1,07/09/19 12:00:00 AM,,,36.620,0.784
2,07/09/19 04:00:00 PM,46844.8,34.817,,
3,07/09/19 04:30:00 PM,35822.5,,,
4,07/09/19 05:00:00 PM,26178.0,29.311,,
5,07/09/19 05:30:00 PM,16533.4,,,
6,07/09/19 06:00:00 PM,11711.2,24.065,,
7,07/09/19 06:30:00 PM,2669.5,,,
8,07/09/19 07:00:00 PM,635.1,12.605,,
9,07/09/19 07:30:00 PM,484.4,,,
10,07/09/19 08:00:00 PM,279.9,5.748,,
11,07/09/19 08:30:00 PM,64.6,,,
12,07/09/19 09:00:00 PM,0.0,2.782,,
13,07/09/19 09:30:00 PM,0.0,,,
14,07/09/19 10:00:00 PM,0.0,1.818,,
15,07/09/19 10:30:00 PM,0.0,,,
16,07/09/19 11:00:00 PM,0.0,1.002,,
17,07/09/19 11:30:00 PM,0.0,,,
18,07/10/19 12:00:00 AM,0.0,0.508,43.966,-1.570
19,07/10/19 12:30:00 AM,0.0,,,
20,07/10/19 01:00:00 AM,0.0,-0.213,,
21,07/10/19 01:30:00 AM,0.0,,,
22,07/10/19 02:00:00 AM,0.0,-0.661,,
23,07/10/19 02:30:00 AM,0.0,,,
24,07/10/19 03:00:00 AM,0.0,-0.888,,
25,07/10/19 03:30:00 AM,0.0,,,
26,07/10/19 04:00:00 AM,0.0,-1.285,,
27,07/10/19 04:30:00 AM,0.0,,,
28,07/10/19 05:00:00 AM,0.0,-1.570,,
29,07/10/19 05:30:00 AM,0.0,,,
30,07/10/19 06:00:00 AM,150.7,-1.456,,
31,07/10/19 06:30:00 AM,279.9,,,
32,07/10/19 07:00:00 AM,376.7,3.051,,
33,07/10/19 07:30:00 AM,7577.8,,,
34,07/10/19 08:00:00 AM,10333.4,16.942,,
35,07/10/19 08:30:00 AM,13777.9,,,
36,07/10/19 09:00:00 AM,15155.7,27.285,,
37,07/10/19 09:30:00 AM,17911.2,,,
38,07/10/19 10:00:00 AM,20666.8,30.356,,
39,07/10/19 10:30:00 AM,23422.4,,,
40,07/10/19 11:00:00 AM,26178.0,37.549,,
41,07/10/19 11:30:00 AM,49600.3,,,
42,07/10/19 12:00:00 PM,26178.0,40.720,,
43,07/10/19 12:30:00 PM,27555.7,,,
44,07/10/19 01:00:00 PM,33066.9,42.758,,
45,07/10/19 01:30:00 PM,44089.2,,,
46,07/10/19 02:00:00 PM,57867.0,43.905,,
47,07/10/19 02:30:00 PM,68889.3,,,
48,07/10/19 03:00:00 PM,68889.3,42.284,,
49,07/10/19 03:30:00 PM,57867.0,,,
50,07/10/19 04:00:00 PM,46844.8,38.109,,
51,07/10/19 04:30:00 PM,37200.2,,,
52,07/10/19 05:00:00 PM,26178.0,32.308,,
53,07/10/19 05:30:00 PM,16533.4,,,
54,07/10/19 06:00:00 PM,12400.1,26.691,,
55,07/10/19 06:30:00 PM,3272.2,,,
56,07/10/19 07:00:00 PM,602.8,14.638,,
57,07/10/19 07:30:00 PM,462.9,,,
58,07/10/19 08:00:00 PM,344.4,7.878,,
59,07/10/19 08:30:00 PM,172.2,,,
60,07/10/19 09:00:00 PM,0.0,4.985,,
61,07/10/19 09:30:00 PM,0.0,,,
62,07/10/19 10:00:00 PM,0.0,3.682,,
63,07/10/19 10:30:00 PM,0.0,,,
64,07/10/19 11:00:00 PM,0.0,2.889,,
65,07/10/19 11:30:00 PM,0.0,,,
66,07/11/19 12:00:00 AM,0.0,2.357,45.076,-0.437
67,07/11/19 12:30:00 AM,0.0,,,
68,07/11/19 01:00:00 AM,0.0,1.764,,
69,07/11/19 01:30:00 AM,0.0,,,
70,07/11/19 02:00:00 AM,0.0,1.384,,
71,07/11/19 02:30:00 AM,0.0,,,
72,07/11/19 03:00:00 AM,0.0,0.893,,
73,07/11/19 03:30:00 AM,0.0,,,
74,07/11/19 04:00:00 AM,0.0,0.342,,
75,07/11/19 04:30:00 AM,0.0,,,
76,07/11/19 05:00:00 AM,0.0,-0.046,,
77,07/11/19 05:30:00 AM,0.0,,,
78,07/11/19 06:00:00 AM,161.5,-0.158,,
79,07/11/19 06:30:00 AM,312.2,,,
80,07/11/19 07:00:00 AM,419.8,4.478,,
81,07/11/19 07:30:00 AM,7577.8,,,
82,07/11/19 08:00:00 AM,9644.5,17.708,,
83,07/11/19 08:30:00 AM,13089.0,,,
84,07/11/19 09:00:00 AM,14466.8,27.180,,
85,07/11/19 09:30:00 AM,17911.2,,,
86,07/11/19 10:00:00 AM,20666.8,30.861,,
87,07/11/19 10:30:00 AM,22044.6,,,
88,07/11/19 11:00:00 AM,13777.9,35.414,,
89,07/11/19 11:30:00 AM,49600.3,,,
90,07/11/19 12:00:00 PM,28933.5,43.060,,
91,07/11/19 12:30:00 PM,28933.5,,,
92,07/11/19 01:00:00 PM,34444.7,44.090,,
93,07/11/19 01:30:00 PM,44089.2,,,
94,07/11/19 02:00:00 PM,57867.0,42.630,,
95,07/11/19 02:30:00 PM,49600.3,,,
96,07/11/19 03:00:00 PM,74400.5,43.299,,
97,07/11/19 03:30:00 PM,60622.6,,,
98,07/11/19 04:00:00 PM,55111.5,41.706,,
99,07/11/19 04:30:00 PM,35822.5,,,
100,07/11/19 05:00:00 PM,6200.0,26.640,,
101,07/11/19 05:30:00 PM,4305.6,,,
102,07/11/19 06:00:00 PM,6544.5,20.424,,
103,07/11/19 06:30:00 PM,5166.7,,,
104,07/11/19 07:00:00 PM,4133.4,17.236,,
105,07/11/19 07:30:00 PM,1980.6,,,
106,07/11/19 08:00:00 PM,1377.8,11.615,,
107,07/11/19 08:30:00 PM,107.6,,,
108,07/11/19 09:00:00 PM,0.0,5.650,,
109,07/11/19 09:30:00 PM,0.0,,,
110,07/11/19 10:00:00 PM,0.0,3.472,,
