"Plot Title: Hobo 27 - SN 10793179"
"#","Date Time, GMT-06:00","Intensity, Lux (LGR S/N: 10793179, SEN S/N: 10793179)","Max:  Daily Temperature, °C (LGR S/N: 10793179)","Min: Daily Temperature, °C (LGR S/N: 10793179)","Avg: Hourly Temperature, °C (LGR S/N: 10793179)"
1,07/09/19 12:00:00 AM,,26.977,1.112,
2,07/09/19 04:00:00 PM,26178.0,,,26.293
3,07/09/19 04:30:00 PM,22044.6,,,
4,07/09/19 05:00:00 PM,17222.3,,,23.773
5,07/09/19 05:30:00 PM,13777.9,,,
6,07/09/19 06:00:00 PM,9644.5,,,21.235
7,07/09/19 06:30:00 PM,2669.5,,,
8,07/09/19 07:00:00 PM,613.5,,,10.764
9,07/09/19 07:30:00 PM,473.6,,,
10,07/09/19 08:00:00 PM,269.1,,,5.495
11,07/09/19 08:30:00 PM,64.6,,,
12,07/09/19 09:00:00 PM,0.0,,,3.048
13,07/09/19 09:30:00 PM,0.0,,,
14,07/09/19 10:00:00 PM,0.0,,,2.087
15,07/09/19 10:30:00 PM,0.0,,,
16,07/09/19 11:00:00 PM,0.0,,,1.166
17,07/09/19 11:30:00 PM,0.0,,,
18,07/10/19 12:00:00 AM,0.0,35.542,-1.456,0.728
19,07/10/19 12:30:00 AM,0.0,,,
20,07/10/19 01:00:00 AM,0.0,,,0.066
21,07/10/19 01:30:00 AM,0.0,,,
22,07/10/19 02:00:00 AM,0.0,,,-0.325
23,07/10/19 02:30:00 AM,0.0,,,
24,07/10/19 03:00:00 AM,0.0,,,-0.774
25,07/10/19 03:30:00 AM,0.0,,,
26,07/10/19 04:00:00 AM,0.0,,,-0.887
27,07/10/19 04:30:00 AM,0.0,,,
28,07/10/19 05:00:00 AM,0.0,,,-1.228
29,07/10/19 05:30:00 AM,0.0,,,
30,07/10/19 06:00:00 AM,150.7,,,-1.228
31,07/10/19 06:30:00 AM,279.9,,,
32,07/10/19 07:00:00 AM,387.5,,,3.265
33,07/10/19 07:30:00 AM,9300.1,,,
34,07/10/19 08:00:00 AM,11711.2,,,18.903
35,07/10/19 08:30:00 AM,13777.9,,,
36,07/10/19 09:00:00 AM,15844.5,,,27.676
37,07/10/19 09:30:00 AM,17222.3,,,
38,07/10/19 10:00:00 AM,19289.0,,,30.106
39,07/10/19 10:30:00 AM,20666.8,,,
40,07/10/19 11:00:00 AM,23422.4,,,34.163
41,07/10/19 11:30:00 AM,71644.9,,,
42,07/10/19 12:00:00 PM,60622.6,,,34.270
43,07/10/19 12:30:00 PM,24800.2,,,
44,07/10/19 01:00:00 PM,24800.2,,,33.326
45,07/10/19 01:30:00 PM,34444.7,,,
46,07/10/19 02:00:00 PM,46844.8,,,34.852
47,07/10/19 02:30:00 PM,52355.9,,,
48,07/10/19 03:00:00 PM,42711.4,,,32.498
49,07/10/19 03:30:00 PM,34444.7,,,
50,07/10/19 04:00:00 PM,27555.7,,,29.453
51,07/10/19 04:30:00 PM,22044.6,,,
52,07/10/19 05:00:00 PM,17911.2,,,27.174
53,07/10/19 05:30:00 PM,14466.8,,,
54,07/10/19 06:00:00 PM,10333.4,,,24.356
55,07/10/19 06:30:00 PM,1980.6,,,
56,07/10/19 07:00:00 PM,592.0,,,13.152
57,07/10/19 07:30:00 PM,462.9,,,
58,07/10/19 08:00:00 PM,322.9,,,7.627
59,07/10/19 08:30:00 PM,161.5,,,
60,07/10/19 09:00:00 PM,0.0,,,5.139
61,07/10/19 09:30:00 PM,0.0,,,
62,07/10/19 10:00:00 PM,0.0,,,4.206
63,07/10/19 10:30:00 PM,0.0,,,
64,07/10/19 11:00:00 PM,0.0,,,3.313
65,07/10/19 11:30:00 PM,0.0,,,
66,07/11/19 12:00:00 AM,0.0,36.403,0.010,2.623
67,07/11/19 12:30:00 AM,0.0,,,
68,07/11/19 01:00:00 AM,0.0,,,2.141
69,07/11/19 01:30:00 AM,0.0,,,
70,07/11/19 02:00:00 AM,0.0,,,1.710
71,07/11/19 02:30:00 AM,0.0,,,
72,07/11/19 03:00:00 AM,0.0,,,1.275
73,07/11/19 03:30:00 AM,0.0,,,
74,07/11/19 04:00:00 AM,0.0,,,0.783
75,07/11/19 04:30:00 AM,0.0,,,
76,07/11/19 05:00:00 AM,0.0,,,0.343
77,07/11/19 05:30:00 AM,0.0,,,
78,07/11/19 06:00:00 AM,161.5,,,0.231
79,07/11/19 06:30:00 AM,301.4,,,
80,07/11/19 07:00:00 AM,419.8,,,4.737
81,07/11/19 07:30:00 AM,9300.1,,,
82,07/11/19 08:00:00 AM,11711.2,,,19.668
83,07/11/19 08:30:00 AM,13777.9,,,
84,07/11/19 09:00:00 AM,15844.5,,,27.668
85,07/11/19 09:30:00 AM,17222.3,,,
86,07/11/19 10:00:00 AM,19289.0,,,29.802
87,07/11/19 10:30:00 AM,20666.8,,,
88,07/11/19 11:00:00 AM,23422.4,,,34.039
89,07/11/19 11:30:00 AM,66133.8,,,
90,07/11/19 12:00:00 PM,60622.6,,,35.543
91,07/11/19 12:30:00 PM,26178.0,,,
92,07/11/19 01:00:00 PM,26178.0,,,34.534
93,07/11/19 01:30:00 PM,35822.5,,,
94,07/11/19 02:00:00 PM,49600.3,,,33.398
95,07/11/19 02:30:00 PM,39955.8,,,
96,07/11/19 03:00:00 PM,46844.8,,,34.744
97,07/11/19 03:30:00 PM,37200.2,,,
98,07/11/19 04:00:00 PM,34444.7,,,32.292
99,07/11/19 04:30:00 PM,24800.2,,,
100,07/11/19 05:00:00 PM,6200.0,,,23.438
101,07/11/19 05:30:00 PM,3961.1,,,
102,07/11/19 06:00:00 PM,6544.5,,,19.805
103,07/11/19 06:30:00 PM,5338.9,,,
104,07/11/19 07:00:00 PM,3961.1,,,16.903
105,07/11/19 07:30:00 PM,1980.6,,,
106,07/11/19 08:00:00 PM,1377.8,,,11.418
107,07/11/19 08:30:00 PM,107.6,,,
108,07/11/19 09:00:00 PM,0.0,,,5.600
109,07/11/19 09:30:00 PM,0.0,,,
110,07/11/19 10:00:00 PM,0.0,,,3.736
111,07/11/19 10:30:00 PM,0.0,,,
112,07/11/19 11:00:00 PM,0.0,,,2.996
113,07/11/19 11:30:00 PM,0.0,,,
114,07/12/19 12:00:00 AM,0.0,36.837,0.453,2.409
115,07/12/19 12:30:00 AM,0.0,,,
116,07/12/19 01:00:00 AM,0.0,,,1.872
117,07/12/19 01:30:00 AM,0.0,,,
118,07/12/19 02:00:00 AM,0.0,,,1.547
119,07/12/19 02:30:00 AM,0.0,,,
120,07/12/19 03:00:00 AM,0.0,,,1.330
121,07/12/19 03:30:00 AM,0.0,,,
122,07/12/19 04:00:00 AM,0.0,,,1.057
123,07/12/19 04:30:00 AM,0.0,,,
124,07/12/19 05:00:00 AM,0.0,,,0.618
125,07/12/19 05:30:00 AM,0.0,,,
126,07/12/19 06:00:00 AM,226.0,,,0.673
127,07/12/19 06:30:00 AM,430.6,,,
128,07/12/19 07:00:00 AM,570.5,,,5.312
129,07/12/19 07:30:00 AM,9300.1,,,
130,07/12/19 08:00:00 AM,11022.3,,,20.194
131,07/12/19 08:30:00 AM,13777.9,,,
132,07/12/19 09:00:00 AM,13089.0,,,29.159
133,07/12/19 09:30:00 AM,17222.3,,,
134,07/12/19 10:00:00 AM,19977.9,,,30.182
135,07/12/19 10:30:00 AM,22044.6,,,
136,07/12/19 11:00:00 AM,19977.9,,,29.611
137,07/12/19 11:30:00 AM,60622.6,,,
138,07/12/19 12:00:00 PM,9300.1,,,28.751
139,07/12/19 12:30:00 PM,9644.5,,,
140,07/12/19 01:00:00 PM,10677.8,,,28.157
141,07/12/19 01:30:00 PM,37200.2,,,
142,07/12/19 02:00:00 PM,55111.5,,,36.512
143,07/12/19 02:30:00 PM,55111.5,,,
144,07/12/19 03:00:00 PM,46844.8,,,34.007
145,07/12/19 03:30:00 PM,35822.5,,,
146,07/12/19 04:00:00 PM,28933.5,,,32.137
147,07/12/19 04:30:00 PM,24800.2,,,
148,07/12/19 05:00:00 PM,19289.0,,,29.511
149,07/12/19 05:30:00 PM,14466.8,,,
150,07/12/19 06:00:00 PM,10333.4,,,24.067
151,07/12/19 06:30:00 PM,2669.5,,,
152,07/12/19 07:00:00 PM,4650.0,,,17.616
153,07/12/19 07:30:00 PM,1151.7,,,
154,07/12/19 08:00:00 PM,452.1,,,10.641
155,07/12/19 08:30:00 PM,215.3,,,
156,07/12/19 09:00:00 PM,0.0,,,6.570
157,07/12/19 09:30:00 PM,0.0,,,
158,07/12/19 10:00:00 PM,0.0,,,4.519
159,07/12/19 10:30:00 PM,0.0,,,
160,07/12/19 11:00:00 PM,0.0,,,3.682
161,07/12/19 11:30:00 PM,0.0,,,
162,07/13/19 12:00:00 AM,0.0,38.157,1.439,3.102
163,07/13/19 12:30:00 AM,0.0,,,
164,07/13/19 01:00:00 AM,0.0,,,2.623
165,07/13/19 01:30:00 AM,0.0,,,
166,07/13/19 02:00:00 AM,0.0,,,2.357
167,07/13/19 02:30:00 AM,0.0,,,
168,07/13/19 03:00:00 AM,0.0,,,1.872
169,07/13/19 03:30:00 AM,0.0,,,
170,07/13/19 04:00:00 AM,0.0,,,1.602
171,07/13/19 04:30:00 AM,0.0,,,
172,07/13/19 05:00:00 AM,0.0,,,1.439
173,07/13/19 05:30:00 AM,0.0,,,
174,07/13/19 06:00:00 AM,150.7,,,1.656
175,07/13/19 06:30:00 AM,269.1,,,
176,07/13/19 07:00:00 AM,441.3,,,5.937
177,07/13/19 07:30:00 AM,9300.1,,,
178,07/13/19 08:00:00 AM,11022.3,,,19.905
179,07/13/19 08:30:00 AM,13777.9,,,
180,07/13/19 09:00:00 AM,15844.5,,,27.683
181,07/13/19 09:30:00 AM,17222.3,,,
182,07/13/19 10:00:00 AM,19289.0,,,31.324
183,07/13/19 10:30:00 AM,21355.7,,,
184,07/13/19 11:00:00 AM,23422.4,,,36.351
185,07/13/19 11:30:00 AM,46844.8,,,
186,07/13/19 12:00:00 PM,68889.3,,,37.011
187,07/13/19 12:30:00 PM,26178.0,,,
188,07/13/19 01:00:00 PM,30311.3,,,35.286
189,07/13/19 01:30:00 PM,15844.5,,,
190,07/13/19 02:00:00 PM,28933.5,,,32.340
