"Plot Title: Hobo29-SN10793181"
"#","Date Time, GMT-06:00","Intensity, Lux (LGR S/N: 10793181, SEN S/N: 10793181)","Avg: Hourly Temperature, °C (LGR S/N: 10793181)","Max: Daily Temperature, °C (LGR S/N: 10793181)","Min: Daily Temperature, °C (LGR S/N: 10793181)"
1,07/09/19 12:00:00 AM,,,39.502,2.195
2,07/09/19 04:00:00 PM,17222.3,38.608,,
3,07/09/19 04:30:00 PM,15844.5,,,
4,07/09/19 05:00:00 PM,14466.8,33.395,,
5,07/09/19 05:30:00 PM,11022.3,,,
6,07/09/19 06:00:00 PM,10333.4,27.916,,
7,07/09/19 06:30:00 PM,8266.7,,,
8,07/09/19 07:00:00 PM,6544.5,17.556,,
9,07/09/19 07:30:00 PM,301.4,,,
10,07/09/19 08:00:00 PM,183.0,7.577,,
11,07/09/19 08:30:00 PM,43.1,,,
12,07/09/19 09:00:00 PM,0.0,4.466,,
13,07/09/19 09:30:00 PM,0.0,,,
14,07/09/19 10:00:00 PM,0.0,3.208,,
15,07/09/19 10:30:00 PM,0.0,,,
16,07/09/19 11:00:00 PM,0.0,2.249,,
17,07/09/19 11:30:00 PM,0.0,,,
18,07/10/19 12:00:00 AM,0.0,1.601,44.828,-1.228
19,07/10/19 12:30:00 AM,0.0,,,
20,07/10/19 01:00:00 AM,0.0,0.783,,
21,07/10/19 01:30:00 AM,0.0,,,
22,07/10/19 02:00:00 AM,0.0,0.343,,
23,07/10/19 02:30:00 AM,0.0,,,
24,07/10/19 03:00:00 AM,0.0,0.009,,
25,07/10/19 03:30:00 AM,0.0,,,
26,07/10/19 04:00:00 AM,0.0,-0.550,,
27,07/10/19 04:30:00 AM,0.0,,,
28,07/10/19 05:00:00 AM,0.0,-1.114,,
29,07/10/19 05:30:00 AM,0.0,,,
30,07/10/19 06:00:00 AM,86.1,-1.001,,
31,07/10/19 06:30:00 AM,172.2,,,
32,07/10/19 07:00:00 AM,269.1,0.230,,
33,07/10/19 07:30:00 AM,559.7,,,
34,07/10/19 08:00:00 AM,645.8,4.405,,
35,07/10/19 08:30:00 AM,1011.8,,,
36,07/10/19 09:00:00 AM,2755.6,16.724,,
37,07/10/19 09:30:00 AM,22044.6,,,
38,07/10/19 10:00:00 AM,26178.0,32.102,,
39,07/10/19 10:30:00 AM,30311.3,,,
40,07/10/19 11:00:00 AM,37200.2,40.944,,
41,07/10/19 11:30:00 AM,42711.4,,,
42,07/10/19 12:00:00 PM,42711.4,44.090,,
43,07/10/19 12:30:00 PM,37200.2,,,
44,07/10/19 01:00:00 PM,28933.5,44.459,,
45,07/10/19 01:30:00 PM,23422.4,,,
46,07/10/19 02:00:00 PM,22044.6,44.089,,
47,07/10/19 02:30:00 PM,20666.8,,,
48,07/10/19 03:00:00 PM,19977.9,44.150,,
49,07/10/19 03:30:00 PM,18600.1,,,
50,07/10/19 04:00:00 PM,17911.2,41.525,,
51,07/10/19 04:30:00 PM,16533.4,,,
52,07/10/19 05:00:00 PM,14466.8,35.735,,
53,07/10/19 05:30:00 PM,11711.2,,,
54,07/10/19 06:00:00 PM,10333.4,30.159,,
55,07/10/19 06:30:00 PM,8266.7,,,
56,07/10/19 07:00:00 PM,6544.5,19.389,,
57,07/10/19 07:30:00 PM,279.9,,,
58,07/10/19 08:00:00 PM,215.3,9.469,,
59,07/10/19 08:30:00 PM,118.4,,,
60,07/10/19 09:00:00 PM,0.0,6.521,,
61,07/10/19 09:30:00 PM,0.0,,,
62,07/10/19 10:00:00 PM,0.0,5.089,,
63,07/10/19 10:30:00 PM,0.0,,,
64,07/10/19 11:00:00 PM,0.0,4.258,,
65,07/10/19 11:30:00 PM,0.0,,,
66,07/11/19 12:00:00 AM,0.0,3.419,45.577,0.343
67,07/11/19 12:30:00 AM,0.0,,,
68,07/11/19 01:00:00 AM,0.0,2.890,,
69,07/11/19 01:30:00 AM,0.0,,,
70,07/11/19 02:00:00 AM,0.0,2.410,,
71,07/11/19 02:30:00 AM,0.0,,,
72,07/11/19 03:00:00 AM,0.0,1.818,,
73,07/11/19 03:30:00 AM,0.0,,,
74,07/11/19 04:00:00 AM,0.0,1.166,,
75,07/11/19 04:30:00 AM,0.0,,,
76,07/11/19 05:00:00 AM,0.0,0.508,,
77,07/11/19 05:30:00 AM,0.0,,,
78,07/11/19 06:00:00 AM,86.1,0.508,,
79,07/11/19 06:30:00 AM,193.8,,,
80,07/11/19 07:00:00 AM,290.6,1.600,,
81,07/11/19 07:30:00 AM,592.0,,,
82,07/11/19 08:00:00 AM,699.7,6.213,,
83,07/11/19 08:30:00 AM,1097.9,,,
84,07/11/19 09:00:00 AM,3272.2,17.160,,
85,07/11/19 09:30:00 AM,22044.6,,,
86,07/11/19 10:00:00 AM,26178.0,32.346,,
87,07/11/19 10:30:00 AM,30311.3,,,
88,07/11/19 11:00:00 AM,37200.2,39.419,,
89,07/11/19 11:30:00 AM,42711.4,,,
90,07/11/19 12:00:00 PM,42711.4,44.089,,
91,07/11/19 12:30:00 PM,38578.0,,,
92,07/11/19 01:00:00 PM,30311.3,44.581,,
93,07/11/19 01:30:00 PM,23422.4,,,
94,07/11/19 02:00:00 PM,22044.6,43.343,,
95,07/11/19 02:30:00 PM,20666.8,,,
96,07/11/19 03:00:00 PM,22044.6,45.076,,
97,07/11/19 03:30:00 PM,20666.8,,,
98,07/11/19 04:00:00 PM,22044.6,44.529,,
99,07/11/19 04:30:00 PM,19289.0,,,
100,07/11/19 05:00:00 PM,3788.9,27.976,,
101,07/11/19 05:30:00 PM,2927.8,,,
102,07/11/19 06:00:00 PM,4477.8,21.235,,
103,07/11/19 06:30:00 PM,3788.9,,,
104,07/11/19 07:00:00 PM,2755.6,17.569,,
105,07/11/19 07:30:00 PM,1345.5,,,
106,07/11/19 08:00:00 PM,871.9,12.491,,
107,07/11/19 08:30:00 PM,75.3,,,
108,07/11/19 09:00:00 PM,0.0,7.076,,
109,07/11/19 09:30:00 PM,0.0,,,
110,07/11/19 10:00:00 PM,0.0,5.037,,
111,07/11/19 10:30:00 PM,0.0,,,
112,07/11/19 11:00:00 PM,0.0,3.892,,
113,07/11/19 11:30:00 PM,0.0,,,
114,07/12/19 12:00:00 AM,0.0,2.889,46.722,0.674
115,07/12/19 12:30:00 AM,0.0,,,
