"Plot Title: Hobo 3 - S/N10369065"
"#","Date Time, GMT-06:00","Intensity, Lux (LGR S/N: 10369065, SEN S/N: 10369065)","Avg: Daily Temperature, °C (LGR S/N: 10369065)","Max: Hourly Temperature, °C (LGR S/N: 10369065)","Min: Hourly Temperature, °C (LGR S/N: 10369065)"
1,07/09/19 12:00:00 AM,,15.039,,
2,07/09/19 04:00:00 PM,27555.7,,38.490,33.848
3,07/09/19 04:30:00 PM,22044.6,,,
4,07/09/19 05:00:00 PM,19289.0,,30.963,28.159
5,07/09/19 05:30:00 PM,15155.7,,,
6,07/09/19 06:00:00 PM,13089.0,,26.195,24.351
7,07/09/19 06:30:00 PM,9644.5,,,
8,07/09/19 07:00:00 PM,613.5,,17.094,9.275
9,07/09/19 07:30:00 PM,473.6,,,
10,07/09/19 08:00:00 PM,269.1,,7.381,5.860
11,07/09/19 08:30:00 PM,64.6,,,
12,07/09/19 09:00:00 PM,0.0,,4.623,3.788
13,07/09/19 09:30:00 PM,0.0,,,
14,07/09/19 10:00:00 PM,0.0,,3.472,2.837
15,07/09/19 10:30:00 PM,0.0,,,
16,07/09/19 11:00:00 PM,0.0,,2.410,1.872
17,07/09/19 11:30:00 PM,0.0,,,
18,07/10/19 12:00:00 AM,0.0,18.334,1.656,1.330
19,07/10/19 12:30:00 AM,0.0,,,
20,07/10/19 01:00:00 AM,0.0,,1.003,0.784
21,07/10/19 01:30:00 AM,0.0,,,
22,07/10/19 02:00:00 AM,0.0,,0.453,0.232
23,07/10/19 02:30:00 AM,0.0,,,
24,07/10/19 03:00:00 AM,0.0,,0.232,-0.213
25,07/10/19 03:30:00 AM,0.0,,,
26,07/10/19 04:00:00 AM,0.0,,-0.325,-0.437
27,07/10/19 04:30:00 AM,0.0,,,
28,07/10/19 05:00:00 AM,0.0,,-0.549,-0.662
29,07/10/19 05:30:00 AM,0.0,,,
30,07/10/19 06:00:00 AM,150.7,,-0.437,-0.887
31,07/10/19 06:30:00 AM,279.9,,,
32,07/10/19 07:00:00 AM,376.7,,7.983,0.121
33,07/10/19 07:30:00 AM,9300.1,,,
34,07/10/19 08:00:00 AM,12400.1,,21.091,16.141
35,07/10/19 08:30:00 AM,14466.8,,,
36,07/10/19 09:00:00 AM,18600.1,,29.552,25.222
37,07/10/19 09:30:00 AM,23422.4,,,
38,07/10/19 10:00:00 AM,28933.5,,36.620,33.118
39,07/10/19 10:30:00 AM,37200.2,,,
40,07/10/19 11:00:00 AM,39955.8,,42.282,41.341
41,07/10/19 11:30:00 AM,39955.8,,,
42,07/10/19 12:00:00 PM,38578.0,,43.723,43.238
43,07/10/19 12:30:00 PM,34444.7,,,
44,07/10/19 01:00:00 PM,31689.1,,43.359,40.185
45,07/10/19 01:30:00 PM,33066.9,,,
46,07/10/19 02:00:00 PM,34444.7,,44.457,40.992
47,07/10/19 02:30:00 PM,38578.0,,,
48,07/10/19 03:00:00 PM,37200.2,,45.326,44.334
49,07/10/19 03:30:00 PM,33066.9,,,
50,07/10/19 04:00:00 PM,27555.7,,41.458,37.274
51,07/10/19 04:30:00 PM,22044.6,,,
52,07/10/19 05:00:00 PM,19977.9,,34.268,31.166
53,07/10/19 05:30:00 PM,15844.5,,,
54,07/10/19 06:00:00 PM,13089.0,,29.352,27.075
55,07/10/19 06:30:00 PM,10677.8,,,
56,07/10/19 07:00:00 PM,581.3,,18.711,11.625
57,07/10/19 07:30:00 PM,452.1,,,
58,07/10/19 08:00:00 PM,333.7,,9.669,7.983
59,07/10/19 08:30:00 PM,183.0,,,
60,07/10/19 09:00:00 PM,0.0,,6.370,5.757
61,07/10/19 09:30:00 PM,0.0,,,
62,07/10/19 10:00:00 PM,0.0,,5.141,4.727
63,07/10/19 10:30:00 PM,0.0,,,
64,07/10/19 11:00:00 PM,0.0,,4.311,3.893
65,07/10/19 11:30:00 PM,0.0,,,
66,07/11/19 12:00:00 AM,0.0,18.942,3.472,3.049
67,07/11/19 12:30:00 AM,0.0,,,
68,07/11/19 01:00:00 AM,0.0,,2.730,2.517
69,07/11/19 01:30:00 AM,0.0,,,
70,07/11/19 02:00:00 AM,0.0,,2.303,1.872
71,07/11/19 02:30:00 AM,0.0,,,
72,07/11/19 03:00:00 AM,0.0,,1.872,1.330
73,07/11/19 03:30:00 AM,0.0,,,
74,07/11/19 04:00:00 AM,0.0,,0.893,0.674
75,07/11/19 04:30:00 AM,0.0,,,
76,07/11/19 05:00:00 AM,0.0,,0.343,0.121
77,07/11/19 05:30:00 AM,0.0,,,
78,07/11/19 06:00:00 AM,161.5,,0.674,0.010
79,07/11/19 06:30:00 AM,312.2,,,
80,07/11/19 07:00:00 AM,430.6,,9.669,1.330
81,07/11/19 07:30:00 AM,9300.1,,,
82,07/11/19 08:00:00 AM,12400.1,,22.046,16.713
83,07/11/19 08:30:00 AM,14466.8,,,
84,07/11/19 09:00:00 AM,16533.4,,29.352,25.319
85,07/11/19 09:30:00 AM,23422.4,,,
86,07/11/19 10:00:00 AM,28933.5,,35.756,33.743
87,07/11/19 10:30:00 AM,37200.2,,,
88,07/11/19 11:00:00 AM,39955.8,,44.089,39.389
89,07/11/19 11:30:00 AM,41333.6,,,
90,07/11/19 12:00:00 PM,38578.0,,45.452,44.704
91,07/11/19 12:30:00 PM,34444.7,,,
92,07/11/19 01:00:00 PM,33066.9,,43.966,42.282
93,07/11/19 01:30:00 PM,34444.7,,,
94,07/11/19 02:00:00 PM,37200.2,,42.639,41.692
95,07/11/19 02:30:00 PM,33066.9,,,
96,07/11/19 03:00:00 PM,42711.4,,46.850,46.210
97,07/11/19 03:30:00 PM,35822.5,,,
98,07/11/19 04:00:00 PM,34444.7,,45.326,40.992
99,07/11/19 04:30:00 PM,23422.4,,,
100,07/11/19 05:00:00 PM,5511.1,,28.655,26.097
101,07/11/19 05:30:00 PM,4305.6,,,
102,07/11/19 06:00:00 PM,6200.0,,21.760,20.805
103,07/11/19 06:30:00 PM,5166.7,,,
104,07/11/19 07:00:00 PM,3961.1,,19.472,16.427
105,07/11/19 07:30:00 PM,1980.6,,,
106,07/11/19 08:00:00 PM,1377.8,,14.038,10.748
107,07/11/19 08:30:00 PM,107.6,,,
108,07/11/19 09:00:00 PM,0.0,,7.682,6.268
109,07/11/19 09:30:00 PM,0.0,,,
110,07/11/19 10:00:00 PM,0.0,,5.244,4.623
