"Plot Title: 1031723 Plot 5"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 1031723, SEN S/N: 1031723)","Max: Temperature, °C (LGR S/N: 1031723)","Coupler Attached (LGR S/N: 1031723)","Host Connected (LGR S/N: 1031723)","Stopped (LGR S/N: 1031723)","End Of File (LGR S/N: 1031723)"
1,07/12/19 12:00:00 AM,,28.456,,,,
2,07/12/19 06:00:00 PM,28.357,,,,,
3,07/12/19 06:05:00 PM,28.456,,,,,
4,07/12/19 06:10:00 PM,28.357,,,,,
5,07/12/19 06:15:00 PM,28.159,,,,,
6,07/12/19 06:20:00 PM,27.764,,,,,
7,07/12/19 06:25:00 PM,27.272,,,,,
8,07/12/19 06:30:00 PM,26.781,,,,,
9,07/12/19 06:35:00 PM,26.390,,,,,
10,07/12/19 06:40:00 PM,25.902,,,,,
11,07/12/19 06:45:00 PM,25.513,,,,,
12,07/12/19 06:50:00 PM,24.931,,,,,
13,07/12/19 06:55:00 PM,24.545,,,,,
14,07/12/19 07:00:00 PM,24.158,,,,,
15,07/12/19 07:05:00 PM,23.773,,,,,
16,07/12/19 07:10:00 PM,23.292,,,,,
17,07/12/19 07:15:00 PM,22.812,,,,,
18,07/12/19 07:20:00 PM,22.238,,,,,
19,07/12/19 07:25:00 PM,21.760,,,,,
20,07/12/19 07:30:00 PM,21.282,,,,,
21,07/12/19 07:35:00 PM,21.091,,,,,
22,07/12/19 07:40:00 PM,20.710,,,,,
23,07/12/19 07:45:00 PM,20.138,,,,,
24,07/12/19 07:50:00 PM,19.758,,,,,
25,07/12/19 07:55:00 PM,19.472,,,,,
26,07/12/19 08:00:00 PM,18.996,,,,,
27,07/12/19 08:05:00 PM,18.426,,,,,
28,07/12/19 08:10:00 PM,16.237,,,,,
29,07/12/19 08:15:00 PM,14.996,,,,,
30,07/12/19 08:20:00 PM,14.900,,,,,
31,07/12/19 08:25:00 PM,15.187,,,,,
32,07/12/19 08:30:00 PM,15.473,,,,,
33,07/12/19 08:35:00 PM,15.569,,,,,
34,07/12/19 08:40:00 PM,15.473,,,,,
35,07/12/19 08:45:00 PM,15.187,,,,,
36,07/12/19 08:50:00 PM,14.900,,,,,
37,07/12/19 08:55:00 PM,14.517,,,,,
38,07/12/19 09:00:00 PM,14.230,,,,,
39,07/12/19 09:05:00 PM,13.846,,,,,
40,07/12/19 09:10:00 PM,13.461,,,,,
41,07/12/19 09:15:00 PM,13.076,,,,,
42,07/12/19 09:20:00 PM,12.690,,,,,
43,07/12/19 09:25:00 PM,12.304,,,,,
44,07/12/19 09:30:00 PM,11.916,,,,,
45,07/12/19 09:35:00 PM,11.528,,,,,
46,07/12/19 09:40:00 PM,11.139,,,,,
47,07/12/19 09:45:00 PM,10.846,,,,,
48,07/12/19 09:50:00 PM,10.455,,,,,
49,07/12/19 09:55:00 PM,10.063,,,,,
50,07/12/19 10:00:00 PM,9.571,,,,,
51,07/12/19 10:05:00 PM,9.176,,,,,
52,07/12/19 10:10:00 PM,8.680,,,,,
53,07/12/19 10:15:00 PM,8.382,,,,,
54,07/12/19 10:20:00 PM,8.282,,,,,
55,07/12/19 10:25:00 PM,8.282,,,,,
56,07/12/19 10:30:00 PM,8.282,,,,,
57,07/12/19 10:35:00 PM,8.282,,,,,
58,07/12/19 10:40:00 PM,8.282,,,,,
59,07/12/19 10:45:00 PM,8.382,,,,,
60,07/12/19 10:50:00 PM,8.382,,,,,
61,07/12/19 10:55:00 PM,8.382,,,,,
62,07/12/19 11:00:00 PM,8.382,,,,,
63,07/12/19 11:05:00 PM,8.382,,,,,
64,07/12/19 11:10:00 PM,8.382,,,,,
65,07/12/19 11:15:00 PM,8.382,,,,,
66,07/12/19 11:20:00 PM,8.382,,,,,
67,07/12/19 11:25:00 PM,8.382,,,,,
68,07/12/19 11:30:00 PM,8.282,,,,,
69,07/12/19 11:35:00 PM,8.282,,,,,
70,07/12/19 11:40:00 PM,8.282,,,,,
71,07/12/19 11:45:00 PM,8.282,,,,,
72,07/12/19 11:50:00 PM,8.282,,,,,
73,07/12/19 11:55:00 PM,8.282,,,,,
74,07/13/19 12:00:00 AM,8.382,28.555,,,,
75,07/13/19 12:05:00 AM,8.382,,,,,
76,07/13/19 12:10:00 AM,8.382,,,,,
77,07/13/19 12:15:00 AM,8.382,,,,,
78,07/13/19 12:20:00 AM,8.382,,,,,
79,07/13/19 12:25:00 AM,8.382,,,,,
80,07/13/19 12:30:00 AM,8.382,,,,,
81,07/13/19 12:35:00 AM,8.382,,,,,
82,07/13/19 12:40:00 AM,8.382,,,,,
83,07/13/19 12:45:00 AM,8.382,,,,,
