"Plot Title: HoboDC102-SN2006529"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 2006529, SEN S/N: 2006529)","Max: Daily Temperature, °C (LGR S/N: 2006529)","Coupler Attached (LGR S/N: 2006529)","Host Connected (LGR S/N: 2006529)","Stopped (LGR S/N: 2006529)","End Of File (LGR S/N: 2006529)"
1,07/12/19 12:00:00 AM,,31.370,,,,
2,07/12/19 06:00:00 PM,31.268,,,,,
3,07/12/19 06:05:00 PM,31.268,,,,,
4,07/12/19 06:10:00 PM,31.370,,,,,
5,07/12/19 06:15:00 PM,31.064,,,,,
6,07/12/19 06:20:00 PM,30.659,,,,,
7,07/12/19 06:25:00 PM,30.255,,,,,
8,07/12/19 06:30:00 PM,29.652,,,,,
9,07/12/19 06:35:00 PM,28.953,,,,,
10,07/12/19 06:40:00 PM,28.258,,,,,
11,07/12/19 06:45:00 PM,27.567,,,,,
12,07/12/19 06:50:00 PM,26.879,,,,,
13,07/12/19 06:55:00 PM,26.195,,,,,
14,07/12/19 07:00:00 PM,25.513,,,,,
15,07/12/19 07:05:00 PM,24.835,,,,,
16,07/12/19 07:10:00 PM,24.062,,,,,
17,07/12/19 07:15:00 PM,23.388,,,,,
18,07/12/19 07:20:00 PM,22.717,,,,,
19,07/12/19 07:25:00 PM,22.046,,,,,
20,07/12/19 07:30:00 PM,21.378,,,,,
21,07/12/19 07:35:00 PM,20.710,,,,,
22,07/12/19 07:40:00 PM,19.948,,,,,
23,07/12/19 07:45:00 PM,19.282,,,,,
24,07/12/19 07:50:00 PM,18.521,,,,,
25,07/12/19 07:55:00 PM,17.950,,,,,
26,07/12/19 08:00:00 PM,17.284,,,,,
27,07/12/19 08:05:00 PM,16.713,,,,,
28,07/12/19 08:10:00 PM,16.141,,,,,
29,07/12/19 08:15:00 PM,15.091,,,,,
30,07/12/19 08:20:00 PM,14.421,,,,,
31,07/12/19 08:25:00 PM,13.942,,,,,
32,07/12/19 08:30:00 PM,13.558,,,,,
33,07/12/19 08:35:00 PM,13.173,,,,,
34,07/12/19 08:40:00 PM,12.787,,,,,
35,07/12/19 08:45:00 PM,12.497,,,,,
36,07/12/19 08:50:00 PM,12.110,,,,,
