"Plot Title: Hobo#1-SN10369064"
"#","Date Time, GMT-06:00","Intensity, Lux (LGR S/N: 10369064, SEN S/N: 10369064)","Avg: Hourly Temperature, °C (LGR S/N: 10369064)","Max: Daily Temperature, °C (LGR S/N: 10369064)","Min: Daily Temperature, °C (LGR S/N: 10369064)","Coupler Attached (LGR S/N: 10369064)","Stopped (LGR S/N: 10369064)","End Of File (LGR S/N: 10369064)"
1,07/09/19 12:00:00 AM,,,36.620,19.187,,,
2,07/09/19 04:00:00 PM,10.8,30.662,,,,,
3,07/09/19 04:30:00 PM,10.8,,,,,,
4,07/09/19 05:00:00 PM,0.0,35.070,,,,,
5,07/09/19 05:30:00 PM,0.0,,,,,,
6,07/09/19 06:00:00 PM,0.0,35.655,,,,,
7,07/09/19 06:30:00 PM,0.0,,,,,,
8,07/09/19 07:00:00 PM,0.0,31.122,,,,,
9,07/09/19 07:30:00 PM,0.0,,,,,,
10,07/09/19 08:00:00 PM,0.0,27.372,,,,,
11,07/09/19 08:30:00 PM,0.0,,,,,,
12,07/09/19 09:00:00 PM,0.0,24.738,,,,,
13,07/09/19 09:30:00 PM,0.0,,,,,,
14,07/09/19 10:00:00 PM,0.0,20.377,,,,,
15,07/09/19 10:30:00 PM,0.0,,,,,,
16,07/09/19 11:00:00 PM,0.0,19.329,,,,,
17,07/09/19 11:30:00 PM,0.0,,,,,,
18,07/10/19 12:00:00 AM,0.0,18.806,37.274,17.760,,,
19,07/10/19 12:30:00 AM,0.0,,,,,,
20,07/10/19 01:00:00 AM,0.0,18.616,,,,,
21,07/10/19 01:30:00 AM,0.0,,,,,,
22,07/10/19 02:00:00 AM,0.0,18.473,,,,,
23,07/10/19 02:30:00 AM,0.0,,,,,,
24,07/10/19 03:00:00 AM,0.0,18.284,,,,,
25,07/10/19 03:30:00 AM,0.0,,,,,,
26,07/10/19 04:00:00 AM,0.0,18.188,,,,,
27,07/10/19 04:30:00 AM,0.0,,,,,,
28,07/10/19 05:00:00 AM,0.0,18.092,,,,,
29,07/10/19 05:30:00 AM,0.0,,,,,,
30,07/10/19 06:00:00 AM,0.0,17.997,,,,,
31,07/10/19 06:30:00 AM,0.0,,,,,,
32,07/10/19 07:00:00 AM,0.0,17.855,,,,,
33,07/10/19 07:30:00 AM,0.0,,,,,,
34,07/10/19 08:00:00 AM,0.0,17.807,,,,,
35,07/10/19 08:30:00 AM,0.0,,,,,,
36,07/10/19 09:00:00 AM,10.8,18.758,,,,,
37,07/10/19 09:30:00 AM,21.5,,,,,,
38,07/10/19 10:00:00 AM,0.0,21.569,,,,,
39,07/10/19 10:30:00 AM,10.8,,,,,,
40,07/10/19 11:00:00 AM,0.0,25.566,,,,,
41,07/10/19 11:30:00 AM,10.8,,,,,,
42,07/10/19 12:00:00 PM,96.9,27.952,,,,,
43,07/10/19 12:30:00 PM,118.4,,,,,,
44,07/10/19 01:00:00 PM,161.5,31.480,,,,,
45,07/10/19 01:30:00 PM,312.2,,,,,,
46,07/10/19 02:00:00 PM,861.1,35.248,,,,,
47,07/10/19 02:30:00 PM,0.0,,,,,,
48,07/10/19 03:00:00 PM,32.3,33.695,,,,,
49,07/10/19 03:30:00 PM,32.3,,,,,,
50,07/10/19 04:00:00 PM,32.3,33.483,,,,,
51,07/10/19 04:30:00 PM,21.5,,,,,,
52,07/10/19 05:00:00 PM,21.5,34.322,,,,,
53,07/10/19 05:30:00 PM,0.0,,,,,,
54,07/10/19 06:00:00 PM,0.0,31.676,,,,,
55,07/10/19 06:30:00 PM,10.8,,,,,,
56,07/10/19 07:00:00 PM,21.5,31.472,,,,,
57,07/10/19 07:30:00 PM,10.8,,,,,,
58,07/10/19 08:00:00 PM,0.0,30.459,,,,,
59,07/10/19 08:30:00 PM,0.0,,,,,,
60,07/10/19 09:00:00 PM,0.0,27.912,,,,,
61,07/10/19 09:30:00 PM,0.0,,,,,,
62,07/10/19 10:00:00 PM,0.0,26.488,,,,,
63,07/10/19 10:30:00 PM,0.0,,,,,,
64,07/10/19 11:00:00 PM,0.0,25.319,,,,,
65,07/10/19 11:30:00 PM,0.0,,,,,,
66,07/11/19 12:00:00 AM,0.0,24.159,32.394,16.332,,,
67,07/11/19 12:30:00 AM,0.0,,,,,,
68,07/11/19 01:00:00 AM,0.0,23.100,,,,,
69,07/11/19 01:30:00 AM,0.0,,,,,,
70,07/11/19 02:00:00 AM,0.0,21.951,,,,,
71,07/11/19 02:30:00 AM,0.0,,,,,,
72,07/11/19 03:00:00 AM,0.0,20.948,,,,,
73,07/11/19 03:30:00 AM,0.0,,,,,,
74,07/11/19 04:00:00 AM,0.0,19.996,,,,,
75,07/11/19 04:30:00 AM,0.0,,,,,,
76,07/11/19 05:00:00 AM,0.0,19.044,,,,,
77,07/11/19 05:30:00 AM,0.0,,,,,,
78,07/11/19 06:00:00 AM,0.0,18.140,,,,,
79,07/11/19 06:30:00 AM,0.0,,,,,,
80,07/11/19 07:00:00 AM,0.0,17.380,,,,,
81,07/11/19 07:30:00 AM,0.0,,,,,,
82,07/11/19 08:00:00 AM,0.0,16.761,,,,,
83,07/11/19 08:30:00 AM,0.0,,,,,,
84,07/11/19 09:00:00 AM,0.0,16.380,,,,,
85,07/11/19 09:30:00 AM,0.0,,,,,,
86,07/11/19 10:00:00 AM,0.0,17.094,,,,,
87,07/11/19 10:30:00 AM,0.0,,,,,,
88,07/11/19 11:00:00 AM,0.0,18.140,,,,,
89,07/11/19 11:30:00 AM,21.5,,,,,,
90,07/11/19 12:00:00 PM,32.3,20.187,,,,,
91,07/11/19 12:30:00 PM,0.0,,,,,,
92,07/11/19 01:00:00 PM,0.0,22.525,,,,,
93,07/11/19 01:30:00 PM,0.0,,,,,,
94,07/11/19 02:00:00 PM,0.0,23.148,,,,,
95,07/11/19 02:30:00 PM,0.0,,,,,,
96,07/11/19 03:00:00 PM,0.0,23.148,,,,,
97,07/11/19 03:30:00 PM,0.0,,,,,,
98,07/11/19 04:00:00 PM,64.6,25.516,,,,,
99,07/11/19 04:30:00 PM,64.6,,,,,,
100,07/11/19 05:00:00 PM,43.1,29.857,,,,,
101,07/11/19 05:30:00 PM,53.8,,,,,,
102,07/11/19 06:00:00 PM,43.1,32.291,,,,,
103,07/11/19 06:30:00 PM,32.3,,,,,,
104,07/11/19 07:00:00 PM,0.0,31.320,,,,,
105,07/11/19 07:30:00 PM,0.0,,,,,,
106,07/11/19 08:00:00 PM,0.0,29.653,,,,,
107,07/11/19 08:30:00 PM,0.0,,,,,,
108,07/11/19 09:00:00 PM,0.0,28.060,,,,,
109,07/11/19 09:30:00 PM,0.0,,,,,,
110,07/11/19 10:00:00 PM,0.0,26.488,,,,,
111,07/11/19 10:30:00 PM,0.0,,,,,,
112,07/11/19 11:00:00 PM,0.0,24.932,,,,,
113,07/11/19 11:30:00 PM,0.0,,,,,,
114,07/12/19 12:00:00 AM,0.0,23.532,32.704,15.855,,,
115,07/12/19 12:30:00 AM,0.0,,,,,,
116,07/12/19 01:00:00 AM,0.0,22.190,,,,,
117,07/12/19 01:30:00 AM,0.0,,,,,,
118,07/12/19 02:00:00 AM,0.0,20.996,,,,,
119,07/12/19 02:30:00 AM,0.0,,,,,,
120,07/12/19 03:00:00 AM,0.0,19.948,,,,,
121,07/12/19 03:30:00 AM,0.0,,,,,,
122,07/12/19 04:00:00 AM,0.0,19.044,,,,,
123,07/12/19 04:30:00 AM,0.0,,,,,,
124,07/12/19 05:00:00 AM,0.0,18.140,,,,,
125,07/12/19 05:30:00 AM,0.0,,,,,,
126,07/12/19 06:00:00 AM,0.0,17.380,,,,,
127,07/12/19 06:30:00 AM,0.0,,,,,,
128,07/12/19 07:00:00 AM,0.0,16.713,,,,,
129,07/12/19 07:30:00 AM,0.0,,,,,,
130,07/12/19 08:00:00 AM,0.0,16.142,,,,,
131,07/12/19 08:30:00 AM,0.0,,,,,,
132,07/12/19 09:00:00 AM,0.0,15.903,,,,,
133,07/12/19 09:30:00 AM,0.0,,,,,,
134,07/12/19 10:00:00 AM,32.3,17.427,,,,,
135,07/12/19 10:30:00 AM,32.3,,,,,,
136,07/12/19 11:00:00 AM,236.8,23.636,,,,,
137,07/12/19 11:30:00 AM,570.5,,,,,,
138,07/12/19 12:00:00 PM,86.1,29.305,,,,,
139,07/12/19 12:30:00 PM,258.3,,,,,,
140,07/12/19 01:00:00 PM,0.0,29.302,,,,,
