"Plot Title: Hobo#11-SN10542017"
"#","Date Time, GMT-06:00","Intensity, Lux (LGR S/N: 10542017, SEN S/N: 10542017)","Avg: Hourly Temperature, °C (LGR S/N: 10542017)","Max: Daily Temperature, °C (LGR S/N: 10542017)","Min: Daily Temperature, °C (LGR S/N: 10542017)"
1,07/09/19 12:00:00 AM,,,40.876,19.662
2,07/09/19 04:00:00 PM,322.9,35.686,,
3,07/09/19 04:30:00 PM,279.9,,,
4,07/09/19 05:00:00 PM,107.6,40.761,,
5,07/09/19 05:30:00 PM,0.0,,,
6,07/09/19 06:00:00 PM,0.0,34.393,,
7,07/09/19 06:30:00 PM,0.0,,,
8,07/09/19 07:00:00 PM,0.0,28.907,,
9,07/09/19 07:30:00 PM,0.0,,,
10,07/09/19 08:00:00 PM,0.0,25.952,,
11,07/09/19 08:30:00 PM,0.0,,,
12,07/09/19 09:00:00 PM,0.0,23.822,,
13,07/09/19 09:30:00 PM,0.0,,,
14,07/09/19 10:00:00 PM,0.0,20.758,,
15,07/09/19 10:30:00 PM,0.0,,,
16,07/09/19 11:00:00 PM,0.0,19.805,,
17,07/09/19 11:30:00 PM,0.0,,,
18,07/10/19 12:00:00 AM,0.0,19.377,37.494,18.521
19,07/10/19 12:30:00 AM,0.0,,,
20,07/10/19 01:00:00 AM,0.0,19.424,,
21,07/10/19 01:30:00 AM,0.0,,,
22,07/10/19 02:00:00 AM,0.0,19.187,,
23,07/10/19 02:30:00 AM,0.0,,,
24,07/10/19 03:00:00 AM,0.0,19.044,,
25,07/10/19 03:30:00 AM,0.0,,,
26,07/10/19 04:00:00 AM,0.0,18.948,,
27,07/10/19 04:30:00 AM,0.0,,,
28,07/10/19 05:00:00 AM,0.0,18.854,,
29,07/10/19 05:30:00 AM,0.0,,,
30,07/10/19 06:00:00 AM,0.0,18.758,,
31,07/10/19 06:30:00 AM,0.0,,,
32,07/10/19 07:00:00 AM,0.0,18.616,,
33,07/10/19 07:30:00 AM,0.0,,,
34,07/10/19 08:00:00 AM,0.0,18.569,,
35,07/10/19 08:30:00 AM,0.0,,,
36,07/10/19 09:00:00 AM,0.0,18.758,,
37,07/10/19 09:30:00 AM,21.5,,,
38,07/10/19 10:00:00 AM,0.0,21.044,,
39,07/10/19 10:30:00 AM,10.8,,,
40,07/10/19 11:00:00 AM,0.0,24.160,,
41,07/10/19 11:30:00 AM,0.0,,,
42,07/10/19 12:00:00 PM,118.4,27.855,,
43,07/10/19 12:30:00 PM,269.1,,,
44,07/10/19 01:00:00 PM,183.0,32.087,,
45,07/10/19 01:30:00 PM,96.9,,,
46,07/10/19 02:00:00 PM,936.5,36.252,,
47,07/10/19 02:30:00 PM,0.0,,,
48,07/10/19 03:00:00 PM,10.8,33.069,,
49,07/10/19 03:30:00 PM,10.8,,,
50,07/10/19 04:00:00 PM,10.8,32.963,,
51,07/10/19 04:30:00 PM,0.0,,,
52,07/10/19 05:00:00 PM,0.0,33.380,,
53,07/10/19 05:30:00 PM,0.0,,,
54,07/10/19 06:00:00 PM,0.0,31.268,,
55,07/10/19 06:30:00 PM,0.0,,,
56,07/10/19 07:00:00 PM,0.0,31.268,,
57,07/10/19 07:30:00 PM,0.0,,,
58,07/10/19 08:00:00 PM,0.0,30.307,,
59,07/10/19 08:30:00 PM,0.0,,,
60,07/10/19 09:00:00 PM,0.0,27.814,,
61,07/10/19 09:30:00 PM,0.0,,,
62,07/10/19 10:00:00 PM,0.0,26.439,,
63,07/10/19 10:30:00 PM,0.0,,,
64,07/10/19 11:00:00 PM,0.0,25.222,,
65,07/10/19 11:30:00 PM,0.0,,,
66,07/11/19 12:00:00 AM,0.0,24.110,31.778,16.332
67,07/11/19 12:30:00 AM,0.0,,,
68,07/11/19 01:00:00 AM,0.0,23.005,,
69,07/11/19 01:30:00 AM,0.0,,,
70,07/11/19 02:00:00 AM,0.0,21.951,,
71,07/11/19 02:30:00 AM,0.0,,,
72,07/11/19 03:00:00 AM,0.0,20.901,,
73,07/11/19 03:30:00 AM,0.0,,,
74,07/11/19 04:00:00 AM,0.0,19.900,,
75,07/11/19 04:30:00 AM,0.0,,,
76,07/11/19 05:00:00 AM,0.0,19.044,,
77,07/11/19 05:30:00 AM,0.0,,,
78,07/11/19 06:00:00 AM,0.0,18.140,,
79,07/11/19 06:30:00 AM,0.0,,,
80,07/11/19 07:00:00 AM,0.0,17.380,,
81,07/11/19 07:30:00 AM,0.0,,,
82,07/11/19 08:00:00 AM,0.0,16.808,,
83,07/11/19 08:30:00 AM,0.0,,,
84,07/11/19 09:00:00 AM,0.0,16.427,,
85,07/11/19 09:30:00 AM,0.0,,,
86,07/11/19 10:00:00 AM,0.0,17.046,,
87,07/11/19 10:30:00 AM,0.0,,,
88,07/11/19 11:00:00 AM,0.0,18.046,,
89,07/11/19 11:30:00 AM,0.0,,,
90,07/11/19 12:00:00 PM,0.0,19.900,,
91,07/11/19 12:30:00 PM,0.0,,,
92,07/11/19 01:00:00 PM,0.0,22.238,,
93,07/11/19 01:30:00 PM,0.0,,,
94,07/11/19 02:00:00 PM,0.0,22.956,,
95,07/11/19 02:30:00 PM,0.0,,,
96,07/11/19 03:00:00 PM,0.0,22.956,,
97,07/11/19 03:30:00 PM,0.0,,,
98,07/11/19 04:00:00 PM,10.8,25.079,,
99,07/11/19 04:30:00 PM,21.5,,,
100,07/11/19 05:00:00 PM,10.8,29.256,,
101,07/11/19 05:30:00 PM,21.5,,,
102,07/11/19 06:00:00 PM,10.8,31.676,,
103,07/11/19 06:30:00 PM,0.0,,,
104,07/11/19 07:00:00 PM,0.0,30.913,,
105,07/11/19 07:30:00 PM,0.0,,,
106,07/11/19 08:00:00 PM,0.0,29.402,,
107,07/11/19 08:30:00 PM,0.0,,,
108,07/11/19 09:00:00 PM,0.0,27.863,,
109,07/11/19 09:30:00 PM,0.0,,,
110,07/11/19 10:00:00 PM,0.0,26.293,,
111,07/11/19 10:30:00 PM,0.0,,,
112,07/11/19 11:00:00 PM,0.0,24.835,,
113,07/11/19 11:30:00 PM,0.0,,,
114,07/12/19 12:00:00 AM,0.0,23.436,32.600,15.855
115,07/12/19 12:30:00 AM,0.0,,,
116,07/12/19 01:00:00 AM,0.0,22.142,,
117,07/12/19 01:30:00 AM,0.0,,,
118,07/12/19 02:00:00 AM,0.0,20.996,,
119,07/12/19 02:30:00 AM,0.0,,,
120,07/12/19 03:00:00 AM,0.0,19.900,,
121,07/12/19 03:30:00 AM,0.0,,,
122,07/12/19 04:00:00 AM,0.0,18.949,,
123,07/12/19 04:30:00 AM,0.0,,,
124,07/12/19 05:00:00 AM,0.0,18.140,,
125,07/12/19 05:30:00 AM,0.0,,,
126,07/12/19 06:00:00 AM,0.0,17.380,,
127,07/12/19 06:30:00 AM,0.0,,,
128,07/12/19 07:00:00 AM,0.0,16.713,,
129,07/12/19 07:30:00 AM,0.0,,,
130,07/12/19 08:00:00 AM,0.0,16.142,,
131,07/12/19 08:30:00 AM,0.0,,,
132,07/12/19 09:00:00 AM,0.0,15.903,,
133,07/12/19 09:30:00 AM,0.0,,,
134,07/12/19 10:00:00 AM,10.8,17.380,,
135,07/12/19 10:30:00 AM,10.8,,,
