"Plot Title: Hobo#17-#10542018"
"#","Date Time, GMT-06:00","Intensity, Lux (LGR S/N: 10542018, SEN S/N: 10542018)","Avg: Hourly Temperature, °C (LGR S/N: 10542018)","Max: Daily Temperature, °C (LGR S/N: 10542018)","Min: Daily Temperature, °C (LGR S/N: 10542018)"
1,07/09/19 12:00:00 AM,,,34.796,18.616
2,07/09/19 04:00:00 PM,53.8,30.256,,
3,07/09/19 04:30:00 PM,43.1,,,
4,07/09/19 05:00:00 PM,32.3,33.853,,
5,07/09/19 05:30:00 PM,0.0,,,
6,07/09/19 06:00:00 PM,0.0,33.175,,
7,07/09/19 06:30:00 PM,0.0,,,
8,07/09/19 07:00:00 PM,0.0,29.455,,
9,07/09/19 07:30:00 PM,0.0,,,
10,07/09/19 08:00:00 PM,0.0,26.196,,
11,07/09/19 08:30:00 PM,0.0,,,
12,07/09/19 09:00:00 PM,0.0,23.869,,
13,07/09/19 09:30:00 PM,0.0,,,
14,07/09/19 10:00:00 PM,0.0,19.329,,
15,07/09/19 10:30:00 PM,0.0,,,
16,07/09/19 11:00:00 PM,0.0,18.711,,
17,07/09/19 11:30:00 PM,0.0,,,
18,07/10/19 12:00:00 AM,0.0,18.378,42.878,17.379
19,07/10/19 12:30:00 AM,0.0,,,
20,07/10/19 01:00:00 AM,0.0,18.188,,
21,07/10/19 01:30:00 AM,0.0,,,
22,07/10/19 02:00:00 AM,0.0,17.997,,
23,07/10/19 02:30:00 AM,0.0,,,
24,07/10/19 03:00:00 AM,0.0,17.902,,
25,07/10/19 03:30:00 AM,0.0,,,
26,07/10/19 04:00:00 AM,0.0,17.807,,
27,07/10/19 04:30:00 AM,0.0,,,
28,07/10/19 05:00:00 AM,0.0,17.665,,
29,07/10/19 05:30:00 AM,0.0,,,
30,07/10/19 06:00:00 AM,0.0,17.617,,
31,07/10/19 06:30:00 AM,0.0,,,
32,07/10/19 07:00:00 AM,0.0,17.475,,
33,07/10/19 07:30:00 AM,0.0,,,
34,07/10/19 08:00:00 AM,0.0,17.427,,
35,07/10/19 08:30:00 AM,10.8,,,
36,07/10/19 09:00:00 AM,172.2,20.331,,
37,07/10/19 09:30:00 AM,549.0,,,
38,07/10/19 10:00:00 AM,21.5,23.100,,
39,07/10/19 10:30:00 AM,86.1,,,
40,07/10/19 11:00:00 AM,64.6,26.785,,
41,07/10/19 11:30:00 AM,53.8,,,
42,07/10/19 12:00:00 PM,538.2,30.386,,
43,07/10/19 12:30:00 PM,516.7,,,
