"Plot Title: Hobo#2-SN10369061"
"#","Date Time, GMT-06:00","Intensity, Lux (LGR S/N: 10369061, SEN S/N: 10369061)","Avg: Hourly Temperature, °C (LGR S/N: 10369061)","Max: Daily Temperature, °C (LGR S/N: 10369061)","Min: Daily Temperature, °C (LGR S/N: 10369061)","End Of File (LGR S/N: 10369061)"
1,07/09/19 12:00:00 AM,,,40.300,19.377,
2,07/09/19 04:00:00 PM,516.7,34.883,,,
3,07/09/19 04:30:00 PM,398.3,,,,
4,07/09/19 05:00:00 PM,118.4,40.185,,,
5,07/09/19 05:30:00 PM,0.0,,,,
6,07/09/19 06:00:00 PM,0.0,33.507,,,
7,07/09/19 06:30:00 PM,0.0,,,,
8,07/09/19 07:00:00 PM,0.0,27.865,,,
9,07/09/19 07:30:00 PM,0.0,,,,
10,07/09/19 08:00:00 PM,0.0,25.078,,,
11,07/09/19 08:30:00 PM,0.0,,,,
12,07/09/19 09:00:00 PM,0.0,23.244,,,
13,07/09/19 09:30:00 PM,0.0,,,,
14,07/09/19 10:00:00 PM,0.0,20.662,,,
15,07/09/19 10:30:00 PM,0.0,,,,
16,07/09/19 11:00:00 PM,0.0,19.567,,,
17,07/09/19 11:30:00 PM,0.0,,,,
18,07/10/19 12:00:00 AM,0.0,19.091,35.222,18.140,
19,07/10/19 12:30:00 AM,0.0,,,,
20,07/10/19 01:00:00 AM,0.0,18.996,,,
21,07/10/19 01:30:00 AM,0.0,,,,
22,07/10/19 02:00:00 AM,0.0,18.854,,,
23,07/10/19 02:30:00 AM,0.0,,,,
24,07/10/19 03:00:00 AM,0.0,18.663,,,
25,07/10/19 03:30:00 AM,0.0,,,,
26,07/10/19 04:00:00 AM,0.0,18.569,,,
27,07/10/19 04:30:00 AM,0.0,,,,
28,07/10/19 05:00:00 AM,0.0,18.426,,,
29,07/10/19 05:30:00 AM,0.0,,,,
30,07/10/19 06:00:00 AM,0.0,18.378,,,
31,07/10/19 06:30:00 AM,0.0,,,,
32,07/10/19 07:00:00 AM,0.0,18.284,,,
33,07/10/19 07:30:00 AM,0.0,,,,
34,07/10/19 08:00:00 AM,0.0,18.188,,,
35,07/10/19 08:30:00 AM,0.0,,,,
36,07/10/19 09:00:00 AM,32.3,18.473,,,
37,07/10/19 09:30:00 AM,43.1,,,,
38,07/10/19 10:00:00 AM,0.0,20.662,,,
39,07/10/19 10:30:00 AM,0.0,,,,
40,07/10/19 11:00:00 AM,0.0,23.775,,,
41,07/10/19 11:30:00 AM,0.0,,,,
42,07/10/19 12:00:00 PM,161.5,28.011,,,
43,07/10/19 12:30:00 PM,333.7,,,,
44,07/10/19 01:00:00 PM,312.2,32.191,,,
45,07/10/19 01:30:00 PM,86.1,,,,
46,07/10/19 02:00:00 PM,570.5,34.798,,,
47,07/10/19 02:30:00 PM,0.0,,,,
48,07/10/19 03:00:00 PM,21.5,32.913,,,
49,07/10/19 03:30:00 PM,10.8,,,,
50,07/10/19 04:00:00 PM,10.8,32.911,,,
51,07/10/19 04:30:00 PM,10.8,,,,
52,07/10/19 05:00:00 PM,10.8,33.380,,,
53,07/10/19 05:30:00 PM,0.0,,,,
54,07/10/19 06:00:00 PM,0.0,31.268,,,
55,07/10/19 06:30:00 PM,10.8,,,,
56,07/10/19 07:00:00 PM,21.5,31.166,,,
57,07/10/19 07:30:00 PM,10.8,,,,
58,07/10/19 08:00:00 PM,0.0,30.157,,,
59,07/10/19 08:30:00 PM,0.0,,,,
60,07/10/19 09:00:00 PM,0.0,27.616,,,
61,07/10/19 09:30:00 PM,0.0,,,,
62,07/10/19 10:00:00 PM,0.0,26.195,,,
63,07/10/19 10:30:00 PM,0.0,,,,
64,07/10/19 11:00:00 PM,0.0,25.028,,,
65,07/10/19 11:30:00 PM,0.0,,,,
66,07/11/19 12:00:00 AM,0.0,23.869,31.778,16.237,
67,07/11/19 12:30:00 AM,0.0,,,,
68,07/11/19 01:00:00 AM,0.0,22.812,,,
69,07/11/19 01:30:00 AM,0.0,,,,
70,07/11/19 02:00:00 AM,0.0,21.759,,,
71,07/11/19 02:30:00 AM,0.0,,,,
72,07/11/19 03:00:00 AM,0.0,20.758,,,
73,07/11/19 03:30:00 AM,0.0,,,,
74,07/11/19 04:00:00 AM,0.0,19.710,,,
75,07/11/19 04:30:00 AM,0.0,,,,
76,07/11/19 05:00:00 AM,0.0,18.854,,,
77,07/11/19 05:30:00 AM,0.0,,,,
