"Plot Title: Hobo#4-SN10369048"
"#","Date Time, GMT-06:00","Intensity, Lux (LGR S/N: 10369048, SEN S/N: 10369048)","Max: Daily Temperature, °C (LGR S/N: 10369048)","Min: Daily Temperature, °C (LGR S/N: 10369048)","Avg: Hourly Temperature, °C (LGR S/N: 10369048)"
1,07/09/19 12:00:00 AM,,40.530,19.377,
2,07/09/19 04:00:00 PM,129.2,,,35.099
3,07/09/19 04:30:00 PM,107.6,,,
4,07/09/19 05:00:00 PM,32.3,,,40.472
5,07/09/19 05:30:00 PM,0.0,,,
6,07/09/19 06:00:00 PM,0.0,,,33.925
7,07/09/19 06:30:00 PM,0.0,,,
8,07/09/19 07:00:00 PM,0.0,,,28.162
9,07/09/19 07:30:00 PM,0.0,,,
10,07/09/19 08:00:00 PM,0.0,,,25.271
11,07/09/19 08:30:00 PM,0.0,,,
12,07/09/19 09:00:00 PM,0.0,,,23.340
13,07/09/19 09:30:00 PM,0.0,,,
14,07/09/19 10:00:00 PM,0.0,,,20.662
15,07/09/19 10:30:00 PM,0.0,,,
16,07/09/19 11:00:00 PM,0.0,,,19.567
17,07/09/19 11:30:00 PM,0.0,,,
18,07/10/19 12:00:00 AM,0.0,37.714,18.140,19.091
19,07/10/19 12:30:00 AM,0.0,,,
20,07/10/19 01:00:00 AM,0.0,,,18.996
21,07/10/19 01:30:00 AM,0.0,,,
22,07/10/19 02:00:00 AM,0.0,,,18.758
23,07/10/19 02:30:00 AM,0.0,,,
24,07/10/19 03:00:00 AM,0.0,,,18.616
25,07/10/19 03:30:00 AM,0.0,,,
26,07/10/19 04:00:00 AM,0.0,,,18.569
27,07/10/19 04:30:00 AM,0.0,,,
28,07/10/19 05:00:00 AM,0.0,,,18.426
29,07/10/19 05:30:00 AM,0.0,,,
30,07/10/19 06:00:00 AM,0.0,,,18.378
31,07/10/19 06:30:00 AM,0.0,,,
32,07/10/19 07:00:00 AM,0.0,,,18.236
33,07/10/19 07:30:00 AM,0.0,,,
34,07/10/19 08:00:00 AM,0.0,,,18.188
35,07/10/19 08:30:00 AM,0.0,,,
36,07/10/19 09:00:00 AM,21.5,,,18.616
37,07/10/19 09:30:00 AM,10.8,,,
38,07/10/19 10:00:00 AM,0.0,,,21.188
39,07/10/19 10:30:00 AM,0.0,,,
40,07/10/19 11:00:00 AM,0.0,,,24.741
41,07/10/19 11:30:00 AM,0.0,,,
42,07/10/19 12:00:00 PM,2411.1,,,28.046
43,07/10/19 12:30:00 PM,86.1,,,
44,07/10/19 01:00:00 PM,96.9,,,31.885
45,07/10/19 01:30:00 PM,236.8,,,
46,07/10/19 02:00:00 PM,688.9,,,35.886
47,07/10/19 02:30:00 PM,0.0,,,
48,07/10/19 03:00:00 PM,96.9,,,33.380
49,07/10/19 03:30:00 PM,86.1,,,
50,07/10/19 04:00:00 PM,86.1,,,33.744
51,07/10/19 04:30:00 PM,86.1,,,
52,07/10/19 05:00:00 PM,75.3,,,34.114
53,07/10/19 05:30:00 PM,10.8,,,
54,07/10/19 06:00:00 PM,0.0,,,31.625
55,07/10/19 06:30:00 PM,43.1,,,
56,07/10/19 07:00:00 PM,86.1,,,31.523
57,07/10/19 07:30:00 PM,43.1,,,
58,07/10/19 08:00:00 PM,0.0,,,30.158
59,07/10/19 08:30:00 PM,0.0,,,
60,07/10/19 09:00:00 PM,0.0,,,27.616
61,07/10/19 09:30:00 PM,0.0,,,
62,07/10/19 10:00:00 PM,0.0,,,26.390
63,07/10/19 10:30:00 PM,0.0,,,
64,07/10/19 11:00:00 PM,0.0,,,25.222
65,07/10/19 11:30:00 PM,0.0,,,
66,07/11/19 12:00:00 AM,0.0,32.704,16.332,24.062
67,07/11/19 12:30:00 AM,0.0,,,
68,07/11/19 01:00:00 AM,0.0,,,22.956
69,07/11/19 01:30:00 AM,0.0,,,
70,07/11/19 02:00:00 AM,0.0,,,21.855
71,07/11/19 02:30:00 AM,0.0,,,
72,07/11/19 03:00:00 AM,0.0,,,20.805
73,07/11/19 03:30:00 AM,0.0,,,
74,07/11/19 04:00:00 AM,0.0,,,19.805
75,07/11/19 04:30:00 AM,0.0,,,
76,07/11/19 05:00:00 AM,0.0,,,18.901
77,07/11/19 05:30:00 AM,0.0,,,
78,07/11/19 06:00:00 AM,0.0,,,18.046
79,07/11/19 06:30:00 AM,0.0,,,
80,07/11/19 07:00:00 AM,0.0,,,17.284
81,07/11/19 07:30:00 AM,0.0,,,
82,07/11/19 08:00:00 AM,0.0,,,16.713
83,07/11/19 08:30:00 AM,0.0,,,
84,07/11/19 09:00:00 AM,0.0,,,16.380
85,07/11/19 09:30:00 AM,0.0,,,
86,07/11/19 10:00:00 AM,10.8,,,17.380
87,07/11/19 10:30:00 AM,21.5,,,
88,07/11/19 11:00:00 AM,21.5,,,18.378
89,07/11/19 11:30:00 AM,75.3,,,
90,07/11/19 12:00:00 PM,86.1,,,20.663
91,07/11/19 12:30:00 PM,0.0,,,
92,07/11/19 01:00:00 PM,0.0,,,22.860
93,07/11/19 01:30:00 PM,0.0,,,
94,07/11/19 02:00:00 PM,0.0,,,23.340
95,07/11/19 02:30:00 PM,0.0,,,
96,07/11/19 03:00:00 PM,0.0,,,23.244
97,07/11/19 03:30:00 PM,0.0,,,
98,07/11/19 04:00:00 PM,193.8,,,26.149
99,07/11/19 04:30:00 PM,172.2,,,
100,07/11/19 05:00:00 PM,129.2,,,30.664
101,07/11/19 05:30:00 PM,161.5,,,
102,07/11/19 06:00:00 PM,129.2,,,32.704
103,07/11/19 06:30:00 PM,107.6,,,
104,07/11/19 07:00:00 PM,0.0,,,31.218
105,07/11/19 07:30:00 PM,0.0,,,
106,07/11/19 08:00:00 PM,0.0,,,29.552
107,07/11/19 08:30:00 PM,0.0,,,
108,07/11/19 09:00:00 PM,0.0,,,27.863
109,07/11/19 09:30:00 PM,0.0,,,
110,07/11/19 10:00:00 PM,0.0,,,26.293
111,07/11/19 10:30:00 PM,0.0,,,
112,07/11/19 11:00:00 PM,0.0,,,24.738
113,07/11/19 11:30:00 PM,0.0,,,
114,07/12/19 12:00:00 AM,0.0,32.497,15.855,23.340
115,07/12/19 12:30:00 AM,0.0,,,
116,07/12/19 01:00:00 AM,0.0,,,21.998
117,07/12/19 01:30:00 AM,0.0,,,
118,07/12/19 02:00:00 AM,0.0,,,20.805
119,07/12/19 02:30:00 AM,0.0,,,
120,07/12/19 03:00:00 AM,0.0,,,19.805
121,07/12/19 03:30:00 AM,0.0,,,
122,07/12/19 04:00:00 AM,0.0,,,18.854
123,07/12/19 04:30:00 AM,0.0,,,
124,07/12/19 05:00:00 AM,0.0,,,18.046
125,07/12/19 05:30:00 AM,0.0,,,
126,07/12/19 06:00:00 AM,0.0,,,17.284
127,07/12/19 06:30:00 AM,0.0,,,
128,07/12/19 07:00:00 AM,0.0,,,16.570
129,07/12/19 07:30:00 AM,0.0,,,
130,07/12/19 08:00:00 AM,0.0,,,16.046
131,07/12/19 08:30:00 AM,0.0,,,
132,07/12/19 09:00:00 AM,0.0,,,15.855
133,07/12/19 09:30:00 AM,0.0,,,
134,07/12/19 10:00:00 AM,150.7,,,17.997
135,07/12/19 10:30:00 AM,139.9,,,
136,07/12/19 11:00:00 AM,613.5,,,24.890
137,07/12/19 11:30:00 AM,1097.9,,,
138,07/12/19 12:00:00 PM,193.8,,,30.156
139,07/12/19 12:30:00 PM,161.5,,,
140,07/12/19 01:00:00 PM,0.0,,,29.254
141,07/12/19 01:30:00 PM,0.0,,,
142,07/12/19 02:00:00 PM,0.0,,,26.650
143,07/12/19 02:30:00 PM,0.0,,,
144,07/12/19 03:00:00 PM,0.0,,,25.273
145,07/12/19 03:30:00 PM,26178.0,,,
146,07/12/19 04:00:00 PM,10.8,,,24.063
147,07/12/19 04:30:00 PM,10.8,,,
148,07/12/19 05:00:00 PM,53.8,,,23.485
149,07/12/19 05:30:00 PM,21.5,,,
150,07/12/19 06:00:00 PM,0.0,,,30.919
151,07/12/19 06:30:00 PM,0.0,,,
152,07/12/19 07:00:00 PM,0.0,,,32.087
153,07/12/19 07:30:00 PM,0.0,,,
154,07/12/19 08:00:00 PM,0.0,,,29.755
155,07/12/19 08:30:00 PM,0.0,,,
156,07/12/19 09:00:00 PM,0.0,,,26.734
157,07/12/19 09:30:00 PM,0.0,,,
158,07/12/19 10:00:00 PM,0.0,,,24.496
159,07/12/19 10:30:00 PM,0.0,,,
160,07/12/19 11:00:00 PM,0.0,,,23.485
161,07/12/19 11:30:00 PM,0.0,,,
162,07/13/19 12:00:00 AM,0.0,33.953,9.077,22.716
163,07/13/19 12:30:00 AM,0.0,,,
164,07/13/19 01:00:00 AM,0.0,,,21.951
165,07/13/19 01:30:00 AM,0.0,,,
166,07/13/19 02:00:00 AM,0.0,,,21.139
167,07/13/19 02:30:00 AM,0.0,,,
168,07/13/19 03:00:00 AM,0.0,,,20.328
169,07/13/19 03:30:00 AM,0.0,,,
170,07/13/19 04:00:00 AM,0.0,,,19.472
171,07/13/19 04:30:00 AM,0.0,,,
172,07/13/19 05:00:00 AM,0.0,,,18.711
173,07/13/19 05:30:00 AM,0.0,,,
174,07/13/19 06:00:00 AM,0.0,,,17.997
175,07/13/19 06:30:00 AM,0.0,,,
176,07/13/19 07:00:00 AM,0.0,,,17.332
177,07/13/19 07:30:00 AM,0.0,,,
178,07/13/19 08:00:00 AM,0.0,,,16.808
179,07/13/19 08:30:00 AM,0.0,,,
180,07/13/19 09:00:00 AM,0.0,,,16.475
181,07/13/19 09:30:00 AM,0.0,,,
182,07/13/19 10:00:00 AM,0.0,,,17.759
183,07/13/19 10:30:00 AM,139.9,,,
184,07/13/19 11:00:00 AM,172.2,,,24.738
185,07/13/19 11:30:00 AM,0.0,,,
186,07/13/19 12:00:00 PM,0.0,,,26.684
187,07/13/19 12:30:00 PM,10.8,,,
188,07/13/19 01:00:00 PM,236.8,,,31.903
189,07/13/19 01:30:00 PM,43.1,,,
190,07/13/19 02:00:00 PM,32.3,,,31.527
191,07/13/19 02:30:00 PM,10.8,,,
192,07/13/19 03:00:00 PM,0.0,,,27.820
193,07/13/19 03:30:00 PM,7233.4,,,
194,07/13/19 04:00:00 PM,7233.4,,,21.855
195,07/13/19 04:30:00 PM,6544.5,,,
196,07/13/19 05:00:00 PM,3100.0,,,19.235
197,07/13/19 05:30:00 PM,5511.1,,,
198,07/13/19 06:00:00 PM,4305.6,,,19.900
199,07/13/19 06:30:00 PM,2755.6,,,
200,07/13/19 07:00:00 PM,4305.6,,,18.378
201,07/13/19 07:30:00 PM,1141.0,,,
202,07/13/19 08:00:00 PM,452.1,,,12.545
203,07/13/19 08:30:00 PM,118.4,,,
204,07/13/19 09:00:00 PM,0.0,,,12.304
205,07/13/19 09:30:00 PM,0.0,,,
206,07/13/19 10:00:00 PM,0.0,,,10.992
207,07/13/19 10:30:00 PM,0.0,,,
208,07/13/19 11:00:00 PM,0.0,,,9.127
209,07/13/19 11:30:00 PM,0.0,,,
210,07/14/19 12:00:00 AM,0.0,37.494,1.439,5.239
211,07/14/19 12:30:00 AM,0.0,,,
