"Plot Title: Hobo#8-SN10542007"
"#","Date Time, GMT-06:00","Intensity, Lux (LGR S/N: 10542007, SEN S/N: 10542007)","Avg: Hourly Temperature, °C (LGR S/N: 10542007)","Max: Daily Temperature, °C (LGR S/N: 10542007)","Min: Daily Temperature, °C (LGR S/N: 10542007)"
1,07/09/19 12:00:00 AM,,,40.415,19.187
2,07/09/19 04:00:00 PM,150.7,34.883,,
3,07/09/19 04:30:00 PM,118.4,,,
4,07/09/19 05:00:00 PM,43.1,40.243,,
5,07/09/19 05:30:00 PM,0.0,,,
6,07/09/19 06:00:00 PM,0.0,33.405,,
7,07/09/19 06:30:00 PM,0.0,,,
8,07/09/19 07:00:00 PM,0.0,27.619,,
9,07/09/19 07:30:00 PM,0.0,,,
10,07/09/19 08:00:00 PM,0.0,24.787,,
11,07/09/19 08:30:00 PM,0.0,,,
12,07/09/19 09:00:00 PM,0.0,23.005,,
13,07/09/19 09:30:00 PM,0.0,,,
14,07/09/19 10:00:00 PM,0.0,20.234,,
15,07/09/19 10:30:00 PM,0.0,,,
16,07/09/19 11:00:00 PM,0.0,19.329,,
17,07/09/19 11:30:00 PM,0.0,,,
18,07/10/19 12:00:00 AM,0.0,18.901,39.050,17.855
19,07/10/19 12:30:00 AM,0.0,,,
20,07/10/19 01:00:00 AM,0.0,18.711,,
21,07/10/19 01:30:00 AM,0.0,,,
22,07/10/19 02:00:00 AM,0.0,18.569,,
23,07/10/19 02:30:00 AM,0.0,,,
24,07/10/19 03:00:00 AM,0.0,18.426,,
25,07/10/19 03:30:00 AM,0.0,,,
26,07/10/19 04:00:00 AM,0.0,18.331,,
27,07/10/19 04:30:00 AM,0.0,,,
28,07/10/19 05:00:00 AM,0.0,18.188,,
29,07/10/19 05:30:00 AM,0.0,,,
30,07/10/19 06:00:00 AM,0.0,18.092,,
31,07/10/19 06:30:00 AM,0.0,,,
32,07/10/19 07:00:00 AM,0.0,17.950,,
33,07/10/19 07:30:00 AM,0.0,,,
34,07/10/19 08:00:00 AM,0.0,17.902,,
35,07/10/19 08:30:00 AM,0.0,,,
36,07/10/19 09:00:00 AM,0.0,18.854,,
37,07/10/19 09:30:00 AM,21.5,,,
38,07/10/19 10:00:00 AM,0.0,21.808,,
39,07/10/19 10:30:00 AM,0.0,,,
40,07/10/19 11:00:00 AM,0.0,25.517,,
41,07/10/19 11:30:00 AM,0.0,,,
42,07/10/19 12:00:00 PM,75.3,31.063,,
43,07/10/19 12:30:00 PM,376.7,,,
44,07/10/19 01:00:00 PM,150.7,33.755,,
45,07/10/19 01:30:00 PM,118.4,,,
46,07/10/19 02:00:00 PM,645.8,35.928,,
47,07/10/19 02:30:00 PM,0.0,,,
48,07/10/19 03:00:00 PM,64.6,33.172,,
49,07/10/19 03:30:00 PM,86.1,,,
50,07/10/19 04:00:00 PM,75.3,33.640,,
51,07/10/19 04:30:00 PM,75.3,,,
52,07/10/19 05:00:00 PM,75.3,33.904,,
53,07/10/19 05:30:00 PM,10.8,,,
54,07/10/19 06:00:00 PM,0.0,31.523,,
55,07/10/19 06:30:00 PM,53.8,,,
56,07/10/19 07:00:00 PM,107.6,31.421,,
57,07/10/19 07:30:00 PM,64.6,,,
58,07/10/19 08:00:00 PM,10.8,30.107,,
59,07/10/19 08:30:00 PM,0.0,,,
60,07/10/19 09:00:00 PM,0.0,27.616,,
61,07/10/19 09:30:00 PM,0.0,,,
62,07/10/19 10:00:00 PM,0.0,26.293,,
63,07/10/19 10:30:00 PM,0.0,,,
64,07/10/19 11:00:00 PM,0.0,25.125,,
65,07/10/19 11:30:00 PM,0.0,,,
66,07/11/19 12:00:00 AM,0.0,24.014,32.394,16.332
67,07/11/19 12:30:00 AM,0.0,,,
68,07/11/19 01:00:00 AM,0.0,22.909,,
69,07/11/19 01:30:00 AM,0.0,,,
70,07/11/19 02:00:00 AM,0.0,21.855,,
71,07/11/19 02:30:00 AM,0.0,,,
72,07/11/19 03:00:00 AM,0.0,20.805,,
73,07/11/19 03:30:00 AM,0.0,,,
74,07/11/19 04:00:00 AM,0.0,19.900,,
75,07/11/19 04:30:00 AM,0.0,,,
76,07/11/19 05:00:00 AM,0.0,18.949,,
77,07/11/19 05:30:00 AM,0.0,,,
78,07/11/19 06:00:00 AM,0.0,18.140,,
79,07/11/19 06:30:00 AM,0.0,,,
80,07/11/19 07:00:00 AM,0.0,17.380,,
81,07/11/19 07:30:00 AM,0.0,,,
82,07/11/19 08:00:00 AM,0.0,16.761,,
83,07/11/19 08:30:00 AM,0.0,,,
84,07/11/19 09:00:00 AM,0.0,16.427,,
85,07/11/19 09:30:00 AM,0.0,,,
86,07/11/19 10:00:00 AM,32.3,17.474,,
87,07/11/19 10:30:00 AM,32.3,,,
88,07/11/19 11:00:00 AM,43.1,18.331,,
89,07/11/19 11:30:00 AM,107.6,,,
90,07/11/19 12:00:00 PM,172.2,20.616,,
91,07/11/19 12:30:00 PM,0.0,,,
