"Plot Title: DRC - 2"
"#","Date Time, GMT-06:00","Intensity, Lux (LGR S/N: 2006534, SEN S/N: 2006534)","Max: Daily Temperature, °C (LGR S/N: 2006534)","Min: Daily Temperature, °C (LGR S/N: 2006534)","Avg: Hourly Temperature, °C (LGR S/N: 2006534)","Host Connected (LGR S/N: 2006534)","Coupler Attached (LGR S/N: 2006534)","Stopped (LGR S/N: 2006534)","End Of File (LGR S/N: 2006534)"
1,07/01/21 12:00:00 AM,,33.222,5.037,,,,,
2,07/01/21 02:00:00 PM,44089.2,,,32.654,,,,
3,07/01/21 02:30:00 PM,8266.7,,,,,,,
4,07/01/21 03:00:00 PM,13777.9,,,27.718,,,,
5,07/01/21 03:30:00 PM,15155.7,,,,,,,
6,07/01/21 04:00:00 PM,11711.2,,,23.165,,,,
7,07/01/21 04:30:00 PM,12400.1,,,,,,,
8,07/01/21 05:00:00 PM,12400.1,,,19.091,,,,
9,07/01/21 05:30:00 PM,3444.5,,,,,,,
10,07/01/21 06:00:00 PM,2927.8,,,18.569,,,,
11,07/01/21 06:30:00 PM,1463.9,,,,,,,
12,07/01/21 07:00:00 PM,516.7,,,14.181,,,,
13,07/01/21 07:30:00 PM,914.9,,,,,,,
14,07/01/21 08:00:00 PM,635.1,,,10.647,,,,
15,07/01/21 08:30:00 PM,139.9,,,,,,,
16,07/01/21 09:00:00 PM,0.0,,,7.732,,,,
17,07/01/21 09:30:00 PM,0.0,,,,,,,
18,07/01/21 10:00:00 PM,0.0,,,6.317,,,,
19,07/01/21 10:30:00 PM,0.0,,,,,,,
20,07/01/21 11:00:00 PM,0.0,,,5.244,,,,
21,07/01/21 11:30:00 PM,0.0,,,,,,,
22,07/02/21 12:00:00 AM,0.0,33.014,2.730,5.037,,,,
23,07/02/21 12:30:00 AM,0.0,,,,,,,
24,07/02/21 01:00:00 AM,0.0,,,4.258,,,,
25,07/02/21 01:30:00 AM,0.0,,,,,,,
26,07/02/21 02:00:00 AM,0.0,,,3.788,,,,
27,07/02/21 02:30:00 AM,0.0,,,,,,,
28,07/02/21 03:00:00 AM,0.0,,,3.261,,,,
29,07/02/21 03:30:00 AM,0.0,,,,,,,
30,07/02/21 04:00:00 AM,0.0,,,2.837,,,,
31,07/02/21 04:30:00 AM,0.0,,,,,,,
32,07/02/21 05:00:00 AM,0.0,,,2.943,,,,
33,07/02/21 05:30:00 AM,0.0,,,,,,,
34,07/02/21 06:00:00 AM,129.2,,,3.155,,,,
35,07/02/21 06:30:00 AM,215.3,,,,,,,
36,07/02/21 07:00:00 AM,279.9,,,7.690,,,,
37,07/02/21 07:30:00 AM,5511.1,,,,,,,
