"Plot Title: Hobo #28"
"#","Date Time, GMT-06:00","Intensity, Lux (LGR S/N: 10793180, SEN S/N: 10793180)","Avg: Hourly Temperature, °C (LGR S/N: 10793180)","Max: Daily Temperature, °C (LGR S/N: 10793180)","Min: Daily Temperature, °C (LGR S/N: 10793180)","Bad Battery (LGR S/N: 10793180)","Host Connected (LGR S/N: 10793180)","Coupler Attached (LGR S/N: 10793180)","Stopped (LGR S/N: 10793180)","End Of File (LGR S/N: 10793180)"
1,07/01/21 12:00:00 AM,,,39.163,6.166,,,,,
2,07/01/21 02:00:00 PM,24800.2,37.729,,,,,,,
3,07/01/21 02:30:00 PM,5166.7,,,,,,,,
4,07/01/21 03:00:00 PM,20666.8,34.902,,,,,,,
5,07/01/21 03:30:00 PM,17911.2,,,,,,,,
6,07/01/21 04:00:00 PM,12400.1,30.553,,,,,,,
7,07/01/21 04:30:00 PM,12400.1,,,,,,,,
8,07/01/21 05:00:00 PM,10677.8,24.018,,,,,,,
9,07/01/21 05:30:00 PM,2152.8,,,,,,,,
10,07/01/21 06:00:00 PM,2066.7,21.522,,,,,,,
11,07/01/21 06:30:00 PM,1033.3,,,,,,,,
12,07/01/21 07:00:00 PM,312.2,15.903,,,,,,,
13,07/01/21 07:30:00 PM,592.0,,,,,,,,
14,07/01/21 08:00:00 PM,376.7,12.252,,,,,,,
15,07/01/21 08:30:00 PM,75.3,,,,,,,,
16,07/01/21 09:00:00 PM,0.0,9.126,,,,,,,
17,07/01/21 09:30:00 PM,0.0,,,,,,,,
18,07/01/21 10:00:00 PM,0.0,7.480,,,,,,,
19,07/01/21 10:30:00 PM,0.0,,,,,,,,
20,07/01/21 11:00:00 PM,0.0,6.268,,,,,,,
21,07/01/21 11:30:00 PM,0.0,,,,,,,,
22,07/02/21 12:00:00 AM,0.0,6.064,40.645,3.367,,,,,
23,07/02/21 12:30:00 AM,0.0,,,,,,,,
24,07/02/21 01:00:00 AM,0.0,5.140,,,,,,,
25,07/02/21 01:30:00 AM,0.0,,,,,,,,
26,07/02/21 02:00:00 AM,0.0,4.675,,,,,,,
27,07/02/21 02:30:00 AM,0.0,,,,,,,,
28,07/02/21 03:00:00 AM,0.0,4.050,,,,,,,
29,07/02/21 03:30:00 AM,0.0,,,,,,,,
30,07/02/21 04:00:00 AM,0.0,3.736,,,,,,,
31,07/02/21 04:30:00 AM,0.0,,,,,,,,
32,07/02/21 05:00:00 AM,0.0,3.525,,,,,,,
33,07/02/21 05:30:00 AM,0.0,,,,,,,,
34,07/02/21 06:00:00 AM,64.6,3.945,,,,,,,
35,07/02/21 06:30:00 AM,107.6,,,,,,,,
36,07/02/21 07:00:00 AM,150.7,6.833,,,,,,,
37,07/02/21 07:30:00 AM,3961.1,,,,,,,,
38,07/02/21 08:00:00 AM,4994.5,15.711,,,,,,,
39,07/02/21 08:30:00 AM,5338.9,,,,,,,,
40,07/02/21 09:00:00 AM,6200.0,20.283,,,,,,,
41,07/02/21 09:30:00 AM,9644.5,,,,,,,,
42,07/02/21 10:00:00 AM,10677.8,27.962,,,,,,,
43,07/02/21 10:30:00 AM,12400.1,,,,,,,,
44,07/02/21 11:00:00 AM,2927.8,22.148,,,,,,,
45,07/02/21 11:30:00 AM,2755.6,,,,,,,,
46,07/02/21 12:00:00 PM,4650.0,28.197,,,,,,,
47,07/02/21 12:30:00 PM,5511.1,,,,,,,,
48,07/02/21 01:00:00 PM,3444.5,27.401,,,,,,,
49,07/02/21 01:30:00 PM,22044.6,,,,,,,,
50,07/02/21 02:00:00 PM,24800.2,40.587,,,,,,,
51,07/02/21 02:30:00 PM,22044.6,,,,,,,,
52,07/02/21 03:00:00 PM,23422.4,37.692,,,,,,,
53,07/02/21 03:30:00 PM,15844.5,,,,,,,,
54,07/02/21 04:00:00 PM,9644.5,32.770,,,,,,,
55,07/02/21 04:30:00 PM,12400.1,,,,,,,,
56,07/02/21 05:00:00 PM,10333.4,30.261,,,,,,,
57,07/02/21 05:30:00 PM,1808.3,,,,,,,,
58,07/02/21 06:00:00 PM,731.9,21.716,,,,,,,
59,07/02/21 06:30:00 PM,1550.0,,,,,,,,
60,07/02/21 07:00:00 PM,764.2,17.617,,,,,,,
61,07/02/21 07:30:00 PM,1054.9,,,,,,,,
62,07/02/21 08:00:00 PM,559.7,15.424,,,,,,,
63,07/02/21 08:30:00 PM,301.4,,,,,,,,
64,07/02/21 09:00:00 PM,0.0,11.524,,,,,,,
65,07/02/21 09:30:00 PM,0.0,,,,,,,,
66,07/02/21 10:00:00 PM,0.0,8.480,,,,,,,
67,07/02/21 10:30:00 PM,0.0,,,,,,,,
68,07/02/21 11:00:00 PM,0.0,6.825,,,,,,,
69,07/02/21 11:30:00 PM,0.0,,,,,,,,
