"Plot Title: Hobo 3 - S/N10369065"
"#","Date Time, GMT-06:00","Intensity, Lux (LGR S/N: 10369065, SEN S/N: 10369065)","Avg: Daily Temperature, °C (LGR S/N: 10369065)","Max: Hourly Temperature, °C (LGR S/N: 10369065)","Min: Hourly Temperature, °C (LGR S/N: 10369065)","Coupler Attached (LGR S/N: 10369065)","Host Connected (LGR S/N: 10369065)","Stopped (LGR S/N: 10369065)","End Of File (LGR S/N: 10369065)"
1,07/01/21 12:00:00 AM,,17.333,,,,,,
2,07/01/21 02:00:00 PM,20666.8,,32.600,32.600,,,,
3,07/01/21 02:30:00 PM,4477.8,,,,,,,
4,07/01/21 03:00:00 PM,14466.8,,30.154,28.258,,,,
5,07/01/21 03:30:00 PM,11711.2,,,,,,,
6,07/01/21 04:00:00 PM,5338.9,,27.468,21.473,,,,
7,07/01/21 04:30:00 PM,9300.1,,,,,,,
8,07/01/21 05:00:00 PM,8611.2,,21.282,18.996,,,,
9,07/01/21 05:30:00 PM,1636.1,,,,,,,
10,07/01/21 06:00:00 PM,1722.2,,20.043,19.853,,,,
11,07/01/21 06:30:00 PM,818.1,,,,,,,
12,07/01/21 07:00:00 PM,333.7,,16.523,16.141,,,,
13,07/01/21 07:30:00 PM,538.2,,,,,,,
14,07/01/21 08:00:00 PM,301.4,,12.207,9.965,,,,
15,07/01/21 08:30:00 PM,64.6,,,,,,,
16,07/01/21 09:00:00 PM,0.0,,8.182,7.682,,,,
17,07/01/21 09:30:00 PM,0.0,,,,,,,
18,07/01/21 10:00:00 PM,0.0,,6.775,5.962,,,,
19,07/01/21 10:30:00 PM,0.0,,,,,,,
20,07/01/21 11:00:00 PM,0.0,,5.347,5.141,,,,
21,07/01/21 11:30:00 PM,0.0,,,,,,,
22,07/02/21 12:00:00 AM,0.0,14.656,5.141,5.037,,,,
23,07/02/21 12:30:00 AM,0.0,,,,,,,
24,07/02/21 01:00:00 AM,0.0,,4.311,3.788,,,,
25,07/02/21 01:30:00 AM,0.0,,,,,,,
26,07/02/21 02:00:00 AM,0.0,,3.893,3.578,,,,
27,07/02/21 02:30:00 AM,0.0,,,,,,,
28,07/02/21 03:00:00 AM,0.0,,3.261,2.837,,,,
29,07/02/21 03:30:00 AM,0.0,,,,,,,
30,07/02/21 04:00:00 AM,0.0,,2.837,2.624,,,,
31,07/02/21 04:30:00 AM,0.0,,,,,,,
32,07/02/21 05:00:00 AM,0.0,,2.837,2.517,,,,
33,07/02/21 05:30:00 AM,0.0,,,,,,,
34,07/02/21 06:00:00 AM,43.1,,2.943,2.624,,,,
35,07/02/21 06:30:00 AM,75.3,,,,,,,
36,07/02/21 07:00:00 AM,107.6,,4.311,3.049,,,,
37,07/02/21 07:30:00 AM,269.1,,,,,,,
38,07/02/21 08:00:00 AM,3100.0,,15.760,10.161,,,,
39,07/02/21 08:30:00 AM,4650.0,,,,,,,
40,07/02/21 09:00:00 AM,4822.3,,20.996,17.189,,,,
41,07/02/21 09:30:00 AM,2238.9,,,,,,,
42,07/02/21 10:00:00 AM,8611.2,,27.862,25.805,,,,
43,07/02/21 10:30:00 AM,9644.5,,,,,,,
44,07/02/21 11:00:00 AM,2325.0,,22.046,18.901,,,,
45,07/02/21 11:30:00 AM,2238.9,,,,,,,
46,07/02/21 12:00:00 PM,3788.9,,30.457,21.664,,,,
47,07/02/21 12:30:00 PM,7577.8,,,,,,,
48,07/02/21 01:00:00 PM,2755.6,,28.655,19.377,,,,
49,07/02/21 01:30:00 PM,22044.6,,,,,,,
50,07/02/21 02:00:00 PM,20666.8,,35.542,34.268,,,,
51,07/02/21 02:30:00 PM,15155.7,,,,,,,
52,07/02/21 03:00:00 PM,15844.5,,33.743,30.356,,,,
53,07/02/21 03:30:00 PM,12400.1,,,,,,,
54,07/02/21 04:00:00 PM,2755.6,,28.258,25.319,,,,
55,07/02/21 04:30:00 PM,9644.5,,,,,,,
56,07/02/21 05:00:00 PM,8266.7,,24.738,23.388,,,,
57,07/02/21 05:30:00 PM,1550.0,,,,,,,
58,07/02/21 06:00:00 PM,624.3,,20.996,19.853,,,,
59,07/02/21 06:30:00 PM,1334.7,,,,,,,
60,07/02/21 07:00:00 PM,635.1,,18.521,17.379,,,,
61,07/02/21 07:30:00 PM,925.7,,,,,,,
62,07/02/21 08:00:00 PM,495.1,,16.141,13.558,,,,
63,07/02/21 08:30:00 PM,236.8,,,,,,,
64,07/02/21 09:00:00 PM,0.0,,11.819,9.373,,,,
65,07/02/21 09:30:00 PM,0.0,,,,,,,
66,07/02/21 10:00:00 PM,0.0,,7.882,6.775,,,,
67,07/02/21 10:30:00 PM,0.0,,,,,,,
68,07/02/21 11:00:00 PM,0.0,,5.860,5.244,,,,
69,07/02/21 11:30:00 PM,0.0,,,,,,,
70,07/03/21 12:00:00 AM,0.0,14.918,5.037,4.623,,,,
71,07/03/21 12:30:00 AM,0.0,,,,,,,
72,07/03/21 01:00:00 AM,0.0,,4.311,3.893,,,,
73,07/03/21 01:30:00 AM,0.0,,,,,,,
74,07/03/21 02:00:00 AM,0.0,,3.472,3.261,,,,
75,07/03/21 02:30:00 AM,0.0,,,,,,,
76,07/03/21 03:00:00 AM,0.0,,3.155,3.049,,,,
77,07/03/21 03:30:00 AM,0.0,,,,,,,
78,07/03/21 04:00:00 AM,0.0,,2.837,2.624,,,,
79,07/03/21 04:30:00 AM,0.0,,,,,,,
80,07/03/21 05:00:00 AM,0.0,,2.517,2.303,,,,
81,07/03/21 05:30:00 AM,0.0,,,,,,,
82,07/03/21 06:00:00 AM,43.1,,2.837,2.303,,,,
83,07/03/21 06:30:00 AM,86.1,,,,,,,
84,07/03/21 07:00:00 AM,366.0,,5.244,3.578,,,,
85,07/03/21 07:30:00 AM,290.6,,,,,,,
86,07/03/21 08:00:00 AM,3444.5,,15.760,10.357,,,,
87,07/03/21 08:30:00 AM,5166.7,,,,,,,
88,07/03/21 09:00:00 AM,4477.8,,23.004,18.616,,,,
89,07/03/21 09:30:00 AM,6200.0,,,,,,,
90,07/03/21 10:00:00 AM,7233.4,,27.665,25.805,,,,
91,07/03/21 10:30:00 AM,8266.7,,,,,,,
92,07/03/21 11:00:00 AM,8611.2,,28.655,27.272,,,,
93,07/03/21 11:30:00 AM,10333.4,,,,,,,
94,07/03/21 12:00:00 PM,12400.1,,32.291,30.760,,,,
95,07/03/21 12:30:00 PM,2927.8,,,,,,,
96,07/03/21 01:00:00 PM,3961.1,,30.760,30.558,,,,
97,07/03/21 01:30:00 PM,22044.6,,,,,,,
98,07/03/21 02:00:00 PM,2927.8,,23.677,22.238,,,,
99,07/03/21 02:30:00 PM,3272.2,,,,,,,
100,07/03/21 03:00:00 PM,14466.8,,34.691,31.166,,,,
101,07/03/21 03:30:00 PM,11711.2,,,,,,,
102,07/03/21 04:00:00 PM,9300.1,,31.778,25.805,,,,
103,07/03/21 04:30:00 PM,8266.7,,,,,,,
104,07/03/21 05:00:00 PM,1463.9,,25.513,24.255,,,,
105,07/03/21 05:30:00 PM,5511.1,,,,,,,
106,07/03/21 06:00:00 PM,4650.0,,23.581,23.388,,,,
107,07/03/21 06:30:00 PM,4305.6,,,,,,,
108,07/03/21 07:00:00 PM,3272.2,,23.004,15.378,,,,
109,07/03/21 07:30:00 PM,161.5,,,,,,,
110,07/03/21 08:00:00 PM,107.6,,11.139,9.176,,,,
111,07/03/21 08:30:00 PM,43.1,,,,,,,
112,07/03/21 09:00:00 PM,0.0,,7.381,6.370,,,,
113,07/03/21 09:30:00 PM,0.0,,,,,,,
114,07/03/21 10:00:00 PM,0.0,,5.860,5.347,,,,
115,07/03/21 10:30:00 PM,0.0,,,,,,,
116,07/03/21 11:00:00 PM,0.0,,5.037,4.727,,,,
117,07/03/21 11:30:00 PM,0.0,,,,,,,
118,07/04/21 12:00:00 AM,0.0,16.918,4.415,4.311,,,,
119,07/04/21 12:30:00 AM,0.0,,,,,,,
120,07/04/21 01:00:00 AM,0.0,,4.102,3.788,,,,
121,07/04/21 01:30:00 AM,0.0,,,,,,,
122,07/04/21 02:00:00 AM,0.0,,3.683,3.367,,,,
123,07/04/21 02:30:00 AM,0.0,,,,,,,
124,07/04/21 03:00:00 AM,0.0,,3.261,3.155,,,,
125,07/04/21 03:30:00 AM,0.0,,,,,,,
126,07/04/21 04:00:00 AM,0.0,,3.049,2.943,,,,
127,07/04/21 04:30:00 AM,0.0,,,,,,,
128,07/04/21 05:00:00 AM,0.0,,2.837,2.624,,,,
129,07/04/21 05:30:00 AM,0.0,,,,,,,
130,07/04/21 06:00:00 AM,43.1,,2.943,2.943,,,,
131,07/04/21 06:30:00 AM,86.1,,,,,,,
132,07/04/21 07:00:00 AM,129.2,,4.831,3.367,,,,
133,07/04/21 07:30:00 AM,290.6,,,,,,,
134,07/04/21 08:00:00 AM,3616.7,,18.331,10.553,,,,
135,07/04/21 08:30:00 AM,4822.3,,,,,,,
136,07/04/21 09:00:00 AM,4477.8,,23.100,20.901,,,,
137,07/04/21 09:30:00 AM,5166.7,,,,,,,
138,07/04/21 10:00:00 AM,7577.8,,30.760,24.158,,,,
139,07/04/21 10:30:00 AM,8611.2,,,,,,,
140,07/04/21 11:00:00 AM,8611.2,,29.652,29.452,,,,
141,07/04/21 11:30:00 AM,10333.4,,,,,,,
142,07/04/21 12:00:00 PM,11711.2,,33.535,29.452,,,,
143,07/04/21 12:30:00 PM,2755.6,,,,,,,
144,07/04/21 01:00:00 PM,22044.6,,37.274,33.848,,,,
145,07/04/21 01:30:00 PM,22044.6,,,,,,,
146,07/04/21 02:00:00 PM,20666.8,,41.108,37.714,,,,
147,07/04/21 02:30:00 PM,17222.3,,,,,,,
148,07/04/21 03:00:00 PM,15155.7,,36.728,36.511,,,,
149,07/04/21 03:30:00 PM,11711.2,,,,,,,
150,07/04/21 04:00:00 PM,10333.4,,31.472,30.154,,,,
151,07/04/21 04:30:00 PM,8611.2,,,,,,,
152,07/04/21 05:00:00 PM,7577.8,,32.086,30.659,,,,
153,07/04/21 05:30:00 PM,7233.4,,,,,,,
154,07/04/21 06:00:00 PM,5511.1,,27.370,22.621,,,,
155,07/04/21 06:30:00 PM,968.8,,,,,,,
156,07/04/21 07:00:00 PM,3100.0,,24.158,17.855,,,,
157,07/04/21 07:30:00 PM,193.8,,,,,,,
158,07/04/21 08:00:00 PM,193.8,,13.558,11.431,,,,
159,07/04/21 08:30:00 PM,43.1,,,,,,,
160,07/04/21 09:00:00 PM,0.0,,9.373,7.782,,,,
161,07/04/21 09:30:00 PM,0.0,,,,,,,
162,07/04/21 10:00:00 PM,0.0,,6.978,6.370,,,,
163,07/04/21 10:30:00 PM,0.0,,,,,,,
164,07/04/21 11:00:00 PM,0.0,,5.962,5.552,,,,
165,07/04/21 11:30:00 PM,0.0,,,,,,,
