"Plot Title: KCA2020-09"
"#","Date Time, GMT-06:00","Max: Temperature, °C (LGR S/N: 10731658)","Min: Temperature, °C (LGR S/N: 10731658)","Avg: Temperature, °C (LGR S/N: 10731658)","Coupler Attached (LGR S/N: 10731658)","Host Connected (LGR S/N: 10731658)","Stopped (LGR S/N: 10731658)","End Of File (LGR S/N: 10731658)"
1,07/01/21 12:00:00 AM,37.824,6.268,,,,,
2,07/01/21 02:00:00 PM,,,37.276,,,,
3,07/01/21 03:00:00 PM,,,32.343,,,,
4,07/01/21 04:00:00 PM,,,29.258,,,,
5,07/01/21 05:00:00 PM,,,23.728,,,,
6,07/01/21 06:00:00 PM,,,22.429,,,,
7,07/01/21 07:00:00 PM,,,18.569,,,,
8,07/01/21 08:00:00 PM,,,13.024,,,,
9,07/01/21 09:00:00 PM,,,9.669,,,,
10,07/01/21 10:00:00 PM,,,7.881,,,,
11,07/01/21 11:00:00 PM,,,6.471,,,,
12,07/02/21 12:00:00 AM,39.843,3.155,6.217,,,,
13,07/02/21 01:00:00 AM,,,5.140,,,,
14,07/02/21 02:00:00 AM,,,4.571,,,,
15,07/02/21 03:00:00 AM,,,3.892,,,,
16,07/02/21 04:00:00 AM,,,3.419,,,,
17,07/02/21 05:00:00 AM,,,3.313,,,,
18,07/02/21 06:00:00 AM,,,3.472,,,,
19,07/02/21 07:00:00 AM,,,4.205,,,,
20,07/02/21 08:00:00 AM,,,12.435,,,,
21,07/02/21 09:00:00 AM,,,26.845,,,,
22,07/02/21 10:00:00 AM,,,34.595,,,,
23,07/02/21 11:00:00 AM,,,23.697,,,,
24,07/02/21 12:00:00 PM,,,30.188,,,,
25,07/02/21 01:00:00 PM,,,29.465,,,,
26,07/02/21 02:00:00 PM,,,39.166,,,,
27,07/02/21 03:00:00 PM,,,34.770,,,,
28,07/02/21 04:00:00 PM,,,30.725,,,,
29,07/02/21 05:00:00 PM,,,27.569,,,,
30,07/02/21 06:00:00 PM,,,23.245,,,,
31,07/02/21 07:00:00 PM,,,19.901,,,,
32,07/02/21 08:00:00 PM,,,15.949,,,,
33,07/02/21 09:00:00 PM,,,11.913,,,,
34,07/02/21 10:00:00 PM,,,8.629,,,,
35,07/02/21 11:00:00 PM,,,6.825,,,,
36,07/03/21 12:00:00 AM,43.723,2.943,5.757,,,,
37,07/03/21 01:00:00 AM,,,4.986,,,,
38,07/03/21 02:00:00 AM,,,4.154,,,,
39,07/03/21 03:00:00 AM,,,3.736,,,,
40,07/03/21 04:00:00 AM,,,3.366,,,,
41,07/03/21 05:00:00 AM,,,3.049,,,,
42,07/03/21 06:00:00 AM,,,3.155,,,,
43,07/03/21 07:00:00 AM,,,4.776,,,,
44,07/03/21 08:00:00 AM,,,12.921,,,,
45,07/03/21 09:00:00 AM,,,28.854,,,,
46,07/03/21 10:00:00 AM,,,35.760,,,,
47,07/03/21 11:00:00 AM,,,38.334,,,,
48,07/03/21 12:00:00 PM,,,42.299,,,,
49,07/03/21 01:00:00 PM,,,37.330,,,,
