"Plot Title: KCA2020-11"
"#","Date Time, GMT-06:00","Max: Daily Temperature, °C (LGR S/N: 10731642)","Min: Daily Temperature, °C (LGR S/N: 10731642)","Avg: Hourly Temperature, °C (LGR S/N: 10731642)","Coupler Attached (LGR S/N: 10731642)","Host Connected (LGR S/N: 10731642)","Stopped (LGR S/N: 10731642)","End Of File (LGR S/N: 10731642)"
1,07/01/21 12:00:00 AM,37.604,5.962,,,,,
2,07/01/21 02:00:00 PM,,,36.627,,,,
3,07/01/21 03:00:00 PM,,,33.744,,,,
4,07/01/21 04:00:00 PM,,,29.281,,,,
5,07/01/21 05:00:00 PM,,,22.767,,,,
6,07/01/21 06:00:00 PM,,,21.139,,,,
7,07/01/21 07:00:00 PM,,,15.473,,,,
8,07/01/21 08:00:00 PM,,,11.913,,,,
9,07/01/21 09:00:00 PM,,,9.077,,,,
10,07/01/21 10:00:00 PM,,,7.430,,,,
11,07/01/21 11:00:00 PM,,,6.166,,,,
12,07/02/21 12:00:00 AM,38.268,3.367,6.114,,,,
13,07/02/21 01:00:00 AM,,,5.037,,,,
14,07/02/21 02:00:00 AM,,,4.726,,,,
15,07/02/21 03:00:00 AM,,,3.577,,,,
16,07/02/21 04:00:00 AM,,,3.367,,,,
17,07/02/21 05:00:00 AM,,,3.525,,,,
18,07/02/21 06:00:00 AM,,,3.682,,,,
19,07/02/21 07:00:00 AM,,,6.824,,,,
20,07/02/21 08:00:00 AM,,,15.280,,,,
21,07/02/21 09:00:00 AM,,,21.381,,,,
22,07/02/21 10:00:00 AM,,,28.605,,,,
23,07/02/21 11:00:00 AM,,,22.104,,,,
24,07/02/21 12:00:00 PM,,,27.809,,,,
25,07/02/21 01:00:00 PM,,,26.606,,,,
26,07/02/21 02:00:00 PM,,,37.936,,,,
27,07/02/21 03:00:00 PM,,,35.738,,,,
28,07/02/21 04:00:00 PM,,,30.313,,,,
29,07/02/21 05:00:00 PM,,,28.114,,,,
30,07/02/21 06:00:00 PM,,,20.758,,,,
31,07/02/21 07:00:00 PM,,,16.856,,,,
32,07/02/21 08:00:00 PM,,,14.611,,,,
33,07/02/21 09:00:00 PM,,,11.037,,,,
34,07/02/21 10:00:00 PM,,,8.381,,,,
35,07/02/21 11:00:00 PM,,,6.623,,,,
36,07/03/21 12:00:00 AM,37.935,2.624,5.911,,,,
37,07/03/21 01:00:00 AM,,,5.037,,,,
38,07/03/21 02:00:00 AM,,,3.945,,,,
39,07/03/21 03:00:00 AM,,,3.577,,,,
40,07/03/21 04:00:00 AM,,,3.155,,,,
41,07/03/21 05:00:00 AM,,,2.677,,,,
42,07/03/21 06:00:00 AM,,,3.155,,,,
43,07/03/21 07:00:00 AM,,,7.438,,,,
44,07/03/21 08:00:00 AM,,,15.664,,,,
45,07/03/21 09:00:00 AM,,,23.307,,,,
46,07/03/21 10:00:00 AM,,,29.505,,,,
47,07/03/21 11:00:00 AM,,,30.715,,,,
48,07/03/21 12:00:00 PM,,,37.660,,,,
49,07/03/21 01:00:00 PM,,,34.797,,,,
50,07/03/21 02:00:00 PM,,,25.756,,,,
51,07/03/21 03:00:00 PM,,,36.789,,,,
52,07/03/21 04:00:00 PM,,,33.066,,,,
53,07/03/21 05:00:00 PM,,,28.357,,,,
54,07/03/21 06:00:00 PM,,,23.918,,,,
55,07/03/21 07:00:00 PM,,,14.513,,,,
56,07/03/21 08:00:00 PM,,,10.452,,,,
57,07/03/21 09:00:00 PM,,,7.531,,,,
58,07/03/21 10:00:00 PM,,,6.063,,,,
59,07/03/21 11:00:00 PM,,,5.449,,,,
60,07/04/21 12:00:00 AM,45.829,3.155,4.986,,,,
61,07/04/21 01:00:00 AM,,,4.258,,,,
62,07/04/21 02:00:00 AM,,,4.050,,,,
63,07/04/21 03:00:00 AM,,,3.525,,,,
64,07/04/21 04:00:00 AM,,,3.577,,,,
65,07/04/21 05:00:00 AM,,,3.366,,,,
66,07/04/21 06:00:00 AM,,,3.366,,,,
67,07/04/21 07:00:00 AM,,,7.036,,,,
68,07/04/21 08:00:00 AM,,,17.377,,,,
69,07/04/21 09:00:00 AM,,,22.960,,,,
70,07/04/21 10:00:00 AM,,,28.724,,,,
71,07/04/21 11:00:00 AM,,,32.655,,,,
72,07/04/21 12:00:00 PM,,,35.913,,,,
73,07/04/21 01:00:00 PM,,,42.822,,,,
74,07/04/21 02:00:00 PM,,,45.515,,,,
75,07/04/21 03:00:00 PM,,,43.179,,,,
76,07/04/21 04:00:00 PM,,,37.227,,,,
77,07/04/21 05:00:00 PM,,,37.935,,,,
78,07/04/21 06:00:00 PM,,,27.421,,,,
79,07/04/21 07:00:00 PM,,,17.378,,,,
80,07/04/21 08:00:00 PM,,,13.122,,,,
81,07/04/21 09:00:00 PM,,,9.272,,,,
82,07/04/21 10:00:00 PM,,,7.430,,,,
83,07/04/21 11:00:00 PM,,,6.420,,,,
84,07/05/21 12:00:00 AM,34.163,3.367,5.654,,,,
85,07/05/21 01:00:00 AM,,,4.934,,,,
86,07/05/21 02:00:00 AM,,,4.363,,,,
87,07/05/21 03:00:00 AM,,,4.207,,,,
88,07/05/21 04:00:00 AM,,,3.736,,,,
89,07/05/21 05:00:00 AM,,,3.472,,,,
90,07/05/21 06:00:00 AM,,,3.735,,,,
