"Plot Title: KCA2020-12"
"#","Date Time, GMT-06:00","Max: Temperature, °C (LGR S/N: 10733245)","Min: Temperature, °C (LGR S/N: 10733245)","Avg: Temperature, °C (LGR S/N: 10733245)","Coupler Attached (LGR S/N: 10733245)","Host Connected (LGR S/N: 10733245)","Stopped (LGR S/N: 10733245)","End Of File (LGR S/N: 10733245)"
1,07/01/21 12:00:00 AM,39.615,5.860,,,,,
2,07/01/21 12:00:00 PM,,,28.586,,,,
3,07/01/21 01:00:00 PM,,,36.627,,,,
4,07/01/21 02:00:00 PM,,,37.069,,,,
5,07/01/21 03:00:00 PM,,,37.329,,,,
6,07/01/21 04:00:00 PM,,,32.739,,,,
7,07/01/21 05:00:00 PM,,,24.357,,,,
8,07/01/21 06:00:00 PM,,,21.377,,,,
9,07/01/21 07:00:00 PM,,,16.189,,,,
10,07/01/21 08:00:00 PM,,,12.348,,,,
11,07/01/21 09:00:00 PM,,,9.373,,,,
12,07/01/21 10:00:00 PM,,,7.531,,,,
13,07/01/21 11:00:00 PM,,,6.064,,,,
14,07/02/21 12:00:00 AM,42.282,3.155,5.911,,,,
15,07/02/21 01:00:00 AM,,,4.830,,,,
16,07/02/21 02:00:00 AM,,,4.363,,,,
17,07/02/21 03:00:00 AM,,,3.630,,,,
18,07/02/21 04:00:00 AM,,,3.314,,,,
19,07/02/21 05:00:00 AM,,,3.208,,,,
20,07/02/21 06:00:00 AM,,,3.419,,,,
21,07/02/21 07:00:00 AM,,,7.309,,,,
22,07/02/21 08:00:00 AM,,,17.664,,,,
23,07/02/21 09:00:00 AM,,,23.200,,,,
24,07/02/21 10:00:00 AM,,,30.360,,,,
25,07/02/21 11:00:00 AM,,,24.038,,,,
26,07/02/21 12:00:00 PM,,,29.497,,,,
27,07/02/21 01:00:00 PM,,,27.127,,,,
28,07/02/21 02:00:00 PM,,,38.449,,,,
29,07/02/21 03:00:00 PM,,,40.219,,,,
30,07/02/21 04:00:00 PM,,,34.389,,,,
31,07/02/21 05:00:00 PM,,,31.189,,,,
32,07/02/21 06:00:00 PM,,,22.334,,,,
33,07/02/21 07:00:00 PM,,,18.140,,,,
34,07/02/21 08:00:00 PM,,,15.615,,,,
35,07/02/21 09:00:00 PM,,,11.573,,,,
36,07/02/21 10:00:00 PM,,,8.579,,,,
37,07/02/21 11:00:00 PM,,,6.825,,,,
38,07/03/21 12:00:00 AM,42.282,2.943,5.910,,,,
39,07/03/21 01:00:00 AM,,,4.934,,,,
40,07/03/21 02:00:00 AM,,,4.207,,,,
41,07/03/21 03:00:00 AM,,,3.841,,,,
42,07/03/21 04:00:00 AM,,,3.419,,,,
43,07/03/21 05:00:00 AM,,,2.996,,,,
44,07/03/21 06:00:00 AM,,,3.260,,,,
45,07/03/21 07:00:00 AM,,,7.874,,,,
46,07/03/21 08:00:00 AM,,,17.569,,,,
47,07/03/21 09:00:00 AM,,,24.950,,,,
48,07/03/21 10:00:00 AM,,,31.574,,,,
