"Plot Title: KCA2020-16"
"#","Date Time, GMT-06:00","Max: Daily Temperature, °C (LGR S/N: 10733244)","Min: Daily Temperature, °C (LGR S/N: 10733244)","Avg: Hourly Temperature, °C (LGR S/N: 10733244)","Coupler Attached (LGR S/N: 10733244)","Host Connected (LGR S/N: 10733244)","Stopped (LGR S/N: 10733244)","End Of File (LGR S/N: 10733244)"
1,07/01/21 12:00:00 AM,36.620,5.860,,,,,
2,07/01/21 02:00:00 PM,,,36.027,,,,
3,07/01/21 03:00:00 PM,,,32.807,,,,
4,07/01/21 04:00:00 PM,,,28.180,,,,
5,07/01/21 05:00:00 PM,,,22.143,,,,
6,07/01/21 06:00:00 PM,,,21.186,,,,
7,07/01/21 07:00:00 PM,,,15.139,,,,
8,07/01/21 08:00:00 PM,,,11.427,,,,
9,07/01/21 09:00:00 PM,,,8.580,,,,
10,07/01/21 10:00:00 PM,,,7.128,,,,
11,07/01/21 11:00:00 PM,,,5.962,,,,
12,07/02/21 12:00:00 AM,37.274,3.367,5.860,,,,
13,07/02/21 01:00:00 AM,,,4.779,,,,
14,07/02/21 02:00:00 AM,,,4.415,,,,
15,07/02/21 03:00:00 AM,,,3.788,,,,
16,07/02/21 04:00:00 AM,,,3.367,,,,
17,07/02/21 05:00:00 AM,,,3.472,,,,
18,07/02/21 06:00:00 AM,,,3.630,,,,
19,07/02/21 07:00:00 AM,,,6.925,,,,
20,07/02/21 08:00:00 AM,,,15.661,,,,
21,07/02/21 09:00:00 AM,,,22.052,,,,
22,07/02/21 10:00:00 AM,,,29.052,,,,
23,07/02/21 11:00:00 AM,,,21.910,,,,
24,07/02/21 12:00:00 PM,,,28.209,,,,
25,07/02/21 01:00:00 PM,,,26.013,,,,
26,07/02/21 02:00:00 PM,,,37.001,,,,
27,07/02/21 03:00:00 PM,,,34.874,,,,
28,07/02/21 04:00:00 PM,,,29.357,,,,
29,07/02/21 05:00:00 PM,,,27.128,,,,
30,07/02/21 06:00:00 PM,,,21.521,,,,
31,07/02/21 07:00:00 PM,,,16.808,,,,
32,07/02/21 08:00:00 PM,,,14.562,,,,
33,07/02/21 09:00:00 PM,,,10.646,,,,
34,07/02/21 10:00:00 PM,,,7.781,,,,
35,07/02/21 11:00:00 PM,,,6.420,,,,
36,07/03/21 12:00:00 AM,38.826,3.049,5.449,,,,
37,07/03/21 01:00:00 AM,,,4.779,,,,
38,07/03/21 02:00:00 AM,,,4.154,,,,
39,07/03/21 03:00:00 AM,,,3.788,,,,
40,07/03/21 04:00:00 AM,,,3.314,,,,
41,07/03/21 05:00:00 AM,,,3.049,,,,
42,07/03/21 06:00:00 AM,,,3.313,,,,
43,07/03/21 07:00:00 AM,,,7.588,,,,
44,07/03/21 08:00:00 AM,,,15.521,,,,
45,07/03/21 09:00:00 AM,,,24.275,,,,
46,07/03/21 10:00:00 AM,,,30.208,,,,
47,07/03/21 11:00:00 AM,,,31.328,,,,
48,07/03/21 12:00:00 PM,,,38.215,,,,
49,07/03/21 01:00:00 PM,,,34.532,,,,
50,07/03/21 02:00:00 PM,,,25.222,,,,
51,07/03/21 03:00:00 PM,,,36.034,,,,
52,07/03/21 04:00:00 PM,,,31.726,,,,
53,07/03/21 05:00:00 PM,,,27.322,,,,
54,07/03/21 06:00:00 PM,,,24.499,,,,
55,07/03/21 07:00:00 PM,,,14.366,,,,
56,07/03/21 08:00:00 PM,,,9.864,,,,
57,07/03/21 09:00:00 PM,,,7.380,,,,
58,07/03/21 10:00:00 PM,,,6.012,,,,
59,07/03/21 11:00:00 PM,,,5.398,,,,
60,07/04/21 12:00:00 AM,45.201,3.261,4.934,,,,
61,07/04/21 01:00:00 AM,,,4.519,,,,
62,07/04/21 02:00:00 AM,,,4.102,,,,
63,07/04/21 03:00:00 AM,,,3.736,,,,
64,07/04/21 04:00:00 AM,,,3.630,,,,
65,07/04/21 05:00:00 AM,,,3.314,,,,
66,07/04/21 06:00:00 AM,,,3.525,,,,
67,07/04/21 07:00:00 AM,,,7.082,,,,
68,07/04/21 08:00:00 AM,,,17.520,,,,
69,07/04/21 09:00:00 AM,,,23.682,,,,
70,07/04/21 10:00:00 AM,,,29.240,,,,
71,07/04/21 11:00:00 AM,,,33.121,,,,
72,07/04/21 12:00:00 PM,,,36.335,,,,
73,07/04/21 01:00:00 PM,,,42.288,,,,
74,07/04/21 02:00:00 PM,,,44.340,,,,
75,07/04/21 03:00:00 PM,,,41.459,,,,
76,07/04/21 04:00:00 PM,,,35.441,,,,
77,07/04/21 05:00:00 PM,,,35.971,,,,
78,07/04/21 06:00:00 PM,,,26.762,,,,
79,07/04/21 07:00:00 PM,,,16.996,,,,
80,07/04/21 08:00:00 PM,,,12.302,,,,
81,07/04/21 09:00:00 PM,,,8.926,,,,
82,07/04/21 10:00:00 PM,,,7.330,,,,
83,07/04/21 11:00:00 PM,,,6.318,,,,
84,07/05/21 12:00:00 AM,34.268,3.683,5.552,,,,
85,07/05/21 01:00:00 AM,,,5.037,,,,
86,07/05/21 02:00:00 AM,,,4.623,,,,
87,07/05/21 03:00:00 AM,,,4.311,,,,
