"Plot Title: KCA2020-13"
"#","Date Time, GMT-06:00","Max: Temperature, °C (LGR S/N: 10733246)","Min: Temperature, °C (LGR S/N: 10733246)","Avg: Temperature, °C (LGR S/N: 10733246)","Coupler Attached (LGR S/N: 10733246)","Host Connected (LGR S/N: 10733246)","Stopped (LGR S/N: 10733246)","End Of File (LGR S/N: 10733246)"
1,07/01/21 12:00:00 AM,29.652,5.347,,,,,
2,07/01/21 02:00:00 PM,,,29.302,,,,
3,07/01/21 03:00:00 PM,,,27.079,,,,
4,07/01/21 04:00:00 PM,,,23.064,,,,
5,07/01/21 05:00:00 PM,,,19.424,,,,
6,07/01/21 06:00:00 PM,,,18.235,,,,
7,07/01/21 07:00:00 PM,,,14.133,,,,
8,07/01/21 08:00:00 PM,,,10.843,,,,
9,07/01/21 09:00:00 PM,,,8.182,,,,
10,07/01/21 10:00:00 PM,,,6.724,,,,
11,07/01/21 11:00:00 PM,,,5.501,,,,
12,07/02/21 12:00:00 AM,30.154,3.155,5.347,,,,
13,07/02/21 01:00:00 AM,,,4.519,,,,
14,07/02/21 02:00:00 AM,,,4.103,,,,
15,07/02/21 03:00:00 AM,,,3.577,,,,
16,07/02/21 04:00:00 AM,,,3.261,,,,
17,07/02/21 05:00:00 AM,,,3.261,,,,
18,07/02/21 06:00:00 AM,,,3.419,,,,
19,07/02/21 07:00:00 AM,,,6.076,,,,
20,07/02/21 08:00:00 AM,,,14.463,,,,
21,07/02/21 09:00:00 AM,,,20.807,,,,
22,07/02/21 10:00:00 AM,,,27.127,,,,
23,07/02/21 11:00:00 AM,,,20.617,,,,
24,07/02/21 12:00:00 PM,,,25.601,,,,
25,07/02/21 01:00:00 PM,,,21.433,,,,
26,07/02/21 02:00:00 PM,,,29.454,,,,
27,07/02/21 03:00:00 PM,,,28.811,,,,
28,07/02/21 04:00:00 PM,,,24.787,,,,
29,07/02/21 05:00:00 PM,,,23.918,,,,
30,07/02/21 06:00:00 PM,,,18.520,,,,
31,07/02/21 07:00:00 PM,,,16.189,,,,
32,07/02/21 08:00:00 PM,,,14.753,,,,
33,07/02/21 09:00:00 PM,,,10.745,,,,
34,07/02/21 10:00:00 PM,,,7.831,,,,
35,07/02/21 11:00:00 PM,,,6.165,,,,
36,07/03/21 12:00:00 AM,32.497,3.049,5.398,,,,
37,07/03/21 01:00:00 AM,,,4.675,,,,
38,07/03/21 02:00:00 AM,,,4.050,,,,
39,07/03/21 03:00:00 AM,,,3.736,,,,
40,07/03/21 04:00:00 AM,,,3.367,,,,
41,07/03/21 05:00:00 AM,,,3.155,,,,
42,07/03/21 06:00:00 AM,,,3.260,,,,
43,07/03/21 07:00:00 AM,,,6.688,,,,
44,07/03/21 08:00:00 AM,,,14.803,,,,
45,07/03/21 09:00:00 AM,,,22.918,,,,
46,07/03/21 10:00:00 AM,,,27.272,,,,
47,07/03/21 11:00:00 AM,,,26.831,,,,
48,07/03/21 12:00:00 PM,,,31.325,,,,
49,07/03/21 01:00:00 PM,,,28.508,,,,
50,07/03/21 02:00:00 PM,,,21.759,,,,
51,07/03/21 03:00:00 PM,,,29.412,,,,
52,07/03/21 04:00:00 PM,,,26.406,,,,
53,07/03/21 05:00:00 PM,,,24.110,,,,
54,07/03/21 06:00:00 PM,,,19.758,,,,
55,07/03/21 07:00:00 PM,,,13.697,,,,
56,07/03/21 08:00:00 PM,,,10.208,,,,
57,07/03/21 09:00:00 PM,,,7.831,,,,
58,07/03/21 10:00:00 PM,,,6.470,,,,
59,07/03/21 11:00:00 PM,,,5.603,,,,
60,07/04/21 12:00:00 AM,36.079,3.261,5.037,,,,
61,07/04/21 01:00:00 AM,,,4.571,,,,
62,07/04/21 02:00:00 AM,,,4.154,,,,
63,07/04/21 03:00:00 AM,,,3.736,,,,
64,07/04/21 04:00:00 AM,,,3.736,,,,
65,07/04/21 05:00:00 AM,,,3.472,,,,
66,07/04/21 06:00:00 AM,,,3.366,,,,
67,07/04/21 07:00:00 AM,,,6.435,,,,
68,07/04/21 08:00:00 AM,,,17.137,,,,
69,07/04/21 09:00:00 AM,,,23.296,,,,
70,07/04/21 10:00:00 AM,,,27.716,,,,
71,07/04/21 11:00:00 AM,,,30.514,,,,
72,07/04/21 12:00:00 PM,,,31.479,,,,
73,07/04/21 01:00:00 PM,,,33.850,,,,
74,07/04/21 02:00:00 PM,,,35.016,,,,
75,07/04/21 03:00:00 PM,,,33.484,,,,
76,07/04/21 04:00:00 PM,,,28.809,,,,
77,07/04/21 05:00:00 PM,,,30.255,,,,
78,07/04/21 06:00:00 PM,,,23.351,,,,
79,07/04/21 07:00:00 PM,,,17.139,,,,
80,07/04/21 08:00:00 PM,,,12.544,,,,
81,07/04/21 09:00:00 PM,,,9.569,,,,
82,07/04/21 10:00:00 PM,,,7.832,,,,
83,07/04/21 11:00:00 PM,,,6.725,,,,
84,07/05/21 12:00:00 AM,33.222,3.788,5.859,,,,
85,07/05/21 01:00:00 AM,,,5.192,,,,
86,07/05/21 02:00:00 AM,,,4.779,,,,
87,07/05/21 03:00:00 AM,,,4.363,,,,
88,07/05/21 04:00:00 AM,,,4.102,,,,
89,07/05/21 05:00:00 AM,,,3.893,,,,
90,07/05/21 06:00:00 AM,,,3.893,,,,
91,07/05/21 07:00:00 AM,,,7.247,,,,
92,07/05/21 08:00:00 AM,,,18.425,,,,
93,07/05/21 09:00:00 AM,,,22.525,,,,
94,07/05/21 10:00:00 AM,,,26.430,,,,
95,07/05/21 11:00:00 AM,,,32.296,,,,
96,07/05/21 12:00:00 PM,,,24.198,,,,
97,07/05/21 01:00:00 PM,,,21.856,,,,
98,07/05/21 02:00:00 PM,,,13.066,,,,
99,07/05/21 03:00:00 PM,,,14.132,,,,
100,07/05/21 04:00:00 PM,,,17.948,,,,
101,07/05/21 05:00:00 PM,,,15.902,,,,
102,07/05/21 06:00:00 PM,,,14.419,,,,
103,07/05/21 07:00:00 PM,,,11.088,,,,
104,07/05/21 08:00:00 PM,,,10.308,,,,
105,07/05/21 09:00:00 PM,,,9.620,,,,
106,07/05/21 10:00:00 PM,,,9.373,,,,
107,07/05/21 11:00:00 PM,,,8.928,,,,
108,07/06/21 12:00:00 AM,31.064,3.893,7.882,,,,
109,07/06/21 01:00:00 AM,,,7.682,,,,
110,07/06/21 02:00:00 AM,,,5.654,,,,
111,07/06/21 03:00:00 AM,,,4.675,,,,
112,07/06/21 04:00:00 AM,,,4.050,,,,
113,07/06/21 05:00:00 AM,,,3.946,,,,
114,07/06/21 06:00:00 AM,,,4.258,,,,
115,07/06/21 07:00:00 AM,,,6.753,,,,
116,07/06/21 08:00:00 AM,,,13.168,,,,
117,07/06/21 09:00:00 AM,,,18.425,,,,
118,07/06/21 10:00:00 AM,,,23.869,,,,
119,07/06/21 11:00:00 AM,,,26.832,,,,
120,07/06/21 12:00:00 PM,,,27.519,,,,
121,07/06/21 01:00:00 PM,,,28.129,,,,
122,07/06/21 02:00:00 PM,,,30.108,,,,
123,07/06/21 03:00:00 PM,,,24.983,,,,
124,07/06/21 04:00:00 PM,,,27.124,,,,
125,07/06/21 05:00:00 PM,,,26.146,,,,
126,07/06/21 06:00:00 PM,,,21.867,,,,
127,07/06/21 07:00:00 PM,,,15.900,,,,
128,07/06/21 08:00:00 PM,,,11.721,,,,
129,07/06/21 09:00:00 PM,,,9.570,,,,
130,07/06/21 10:00:00 PM,,,7.931,,,,
131,07/06/21 11:00:00 PM,,,6.063,,,,
132,07/07/21 12:00:00 AM,33.535,3.049,5.244,,,,
133,07/07/21 01:00:00 AM,,,4.362,,,,
134,07/07/21 02:00:00 AM,,,3.945,,,,
135,07/07/21 03:00:00 AM,,,3.577,,,,
136,07/07/21 04:00:00 AM,,,3.419,,,,
137,07/07/21 05:00:00 AM,,,3.155,,,,
138,07/07/21 06:00:00 AM,,,3.102,,,,
139,07/07/21 07:00:00 AM,,,6.082,,,,
140,07/07/21 08:00:00 AM,,,15.943,,,,
141,07/07/21 09:00:00 AM,,,22.767,,,,
142,07/07/21 10:00:00 AM,,,27.722,,,,
143,07/07/21 11:00:00 AM,,,31.224,,,,
144,07/07/21 12:00:00 PM,,,32.605,,,,
145,07/07/21 01:00:00 PM,,,32.859,,,,
146,07/07/21 02:00:00 PM,,,32.652,,,,
147,07/07/21 03:00:00 PM,,,31.787,,,,
148,07/07/21 04:00:00 PM,,,29.102,,,,
149,07/07/21 05:00:00 PM,,,25.599,,,,
150,07/07/21 06:00:00 PM,,,15.664,,,,
151,07/07/21 07:00:00 PM,,,12.978,,,,
152,07/07/21 08:00:00 PM,,,9.913,,,,
153,07/07/21 09:00:00 PM,,,7.631,,,,
154,07/07/21 10:00:00 PM,,,6.268,,,,
155,07/07/21 11:00:00 PM,,,5.449,,,,
156,07/08/21 12:00:00 AM,33.953,3.155,4.934,,,,
157,07/08/21 01:00:00 AM,,,4.258,,,,
158,07/08/21 02:00:00 AM,,,3.736,,,,
159,07/08/21 03:00:00 AM,,,3.472,,,,
160,07/08/21 04:00:00 AM,,,3.261,,,,
161,07/08/21 05:00:00 AM,,,3.261,,,,
162,07/08/21 06:00:00 AM,,,4.725,,,,
163,07/08/21 07:00:00 AM,,,8.008,,,,
164,07/08/21 08:00:00 AM,,,17.902,,,,
