"Plot Title: RMBL#9"
"#","Date Time, GMT-06:00","Max: Temperature, °C (LGR S/N: 10731648)","Min: Temperature, °C (LGR S/N: 10731648)","Avg: Temperature, °C (LGR S/N: 10731648)","Coupler Attached (LGR S/N: 10731648)","Host Connected (LGR S/N: 10731648)","Stopped (LGR S/N: 10731648)","End Of File (LGR S/N: 10731648)"
1,07/01/21 12:00:00 AM,31.268,5.860,,,,,
2,07/01/21 02:00:00 PM,,,30.510,,,,
3,07/01/21 03:00:00 PM,,,27.729,,,,
4,07/01/21 04:00:00 PM,,,23.162,,,,
5,07/01/21 05:00:00 PM,,,19.520,,,,
6,07/01/21 06:00:00 PM,,,19.377,,,,
7,07/01/21 07:00:00 PM,,,14.277,,,,
8,07/01/21 08:00:00 PM,,,11.185,,,,
9,07/01/21 09:00:00 PM,,,8.680,,,,
10,07/01/21 10:00:00 PM,,,7.078,,,,
11,07/01/21 11:00:00 PM,,,5.911,,,,
12,07/02/21 12:00:00 AM,32.394,3.472,5.706,,,,
13,07/02/21 01:00:00 AM,,,4.830,,,,
14,07/02/21 02:00:00 AM,,,4.467,,,,
15,07/02/21 03:00:00 AM,,,3.946,,,,
16,07/02/21 04:00:00 AM,,,3.736,,,,
17,07/02/21 05:00:00 AM,,,3.577,,,,
18,07/02/21 06:00:00 AM,,,3.788,,,,
19,07/02/21 07:00:00 AM,,,7.125,,,,
20,07/02/21 08:00:00 AM,,,17.188,,,,
21,07/02/21 09:00:00 AM,,,22.527,,,,
22,07/02/21 10:00:00 AM,,,28.012,,,,
23,07/02/21 11:00:00 AM,,,20.808,,,,
24,07/02/21 12:00:00 PM,,,25.113,,,,
25,07/02/21 01:00:00 PM,,,21.242,,,,
26,07/02/21 02:00:00 PM,,,31.173,,,,
27,07/02/21 03:00:00 PM,,,30.063,,,,
28,07/02/21 04:00:00 PM,,,25.223,,,,
29,07/02/21 05:00:00 PM,,,24.111,,,,
30,07/02/21 06:00:00 PM,,,20.043,,,,
31,07/02/21 07:00:00 PM,,,16.189,,,,
32,07/02/21 08:00:00 PM,,,14.753,,,,
33,07/02/21 09:00:00 PM,,,10.989,,,,
34,07/02/21 10:00:00 PM,,,8.181,,,,
35,07/02/21 11:00:00 PM,,,6.470,,,,
36,07/03/21 12:00:00 AM,33.326,3.472,5.757,,,,
37,07/03/21 01:00:00 AM,,,5.089,,,,
38,07/03/21 02:00:00 AM,,,4.415,,,,
39,07/03/21 03:00:00 AM,,,4.207,,,,
40,07/03/21 04:00:00 AM,,,3.788,,,,
41,07/03/21 05:00:00 AM,,,3.525,,,,
42,07/03/21 06:00:00 AM,,,3.682,,,,
43,07/03/21 07:00:00 AM,,,7.539,,,,
44,07/03/21 08:00:00 AM,,,16.855,,,,
45,07/03/21 09:00:00 AM,,,24.029,,,,
46,07/03/21 10:00:00 AM,,,27.814,,,,
47,07/03/21 11:00:00 AM,,,26.937,,,,
48,07/03/21 12:00:00 PM,,,30.107,,,,
49,07/03/21 01:00:00 PM,,,28.208,,,,
50,07/03/21 02:00:00 PM,,,21.999,,,,
51,07/03/21 03:00:00 PM,,,30.792,,,,
52,07/03/21 04:00:00 PM,,,26.566,,,,
53,07/03/21 05:00:00 PM,,,24.208,,,,
54,07/03/21 06:00:00 PM,,,21.951,,,,
55,07/03/21 07:00:00 PM,,,13.842,,,,
56,07/03/21 08:00:00 PM,,,10.698,,,,
57,07/03/21 09:00:00 PM,,,8.131,,,,
58,07/03/21 10:00:00 PM,,,6.977,,,,
59,07/03/21 11:00:00 PM,,,6.115,,,,
60,07/04/21 12:00:00 AM,37.935,3.683,5.603,,,,
61,07/04/21 01:00:00 AM,,,4.986,,,,
62,07/04/21 02:00:00 AM,,,4.623,,,,
63,07/04/21 03:00:00 AM,,,4.258,,,,
64,07/04/21 04:00:00 AM,,,4.154,,,,
65,07/04/21 05:00:00 AM,,,3.945,,,,
66,07/04/21 06:00:00 AM,,,3.841,,,,
67,07/04/21 07:00:00 AM,,,8.020,,,,
68,07/04/21 08:00:00 AM,,,19.999,,,,
69,07/04/21 09:00:00 AM,,,24.887,,,,
70,07/04/21 10:00:00 AM,,,28.457,,,,
71,07/04/21 11:00:00 AM,,,28.710,,,,
72,07/04/21 12:00:00 PM,,,30.520,,,,
73,07/04/21 01:00:00 PM,,,33.700,,,,
74,07/04/21 02:00:00 PM,,,36.631,,,,
75,07/04/21 03:00:00 PM,,,34.113,,,,
76,07/04/21 04:00:00 PM,,,28.761,,,,
77,07/04/21 05:00:00 PM,,,30.558,,,,
78,07/04/21 06:00:00 PM,,,24.119,,,,
79,07/04/21 07:00:00 PM,,,17.139,,,,
80,07/04/21 08:00:00 PM,,,13.027,,,,
81,07/04/21 09:00:00 PM,,,9.914,,,,
82,07/04/21 10:00:00 PM,,,8.381,,,,
83,07/04/21 11:00:00 PM,,,7.079,,,,
84,07/05/21 12:00:00 AM,33.014,4.102,6.319,,,,
85,07/05/21 01:00:00 AM,,,5.603,,,,
86,07/05/21 02:00:00 AM,,,5.192,,,,
87,07/05/21 03:00:00 AM,,,4.830,,,,
88,07/05/21 04:00:00 AM,,,4.415,,,,
89,07/05/21 05:00:00 AM,,,4.207,,,,
90,07/05/21 06:00:00 AM,,,4.311,,,,
91,07/05/21 07:00:00 AM,,,8.577,,,,
92,07/05/21 08:00:00 AM,,,20.907,,,,
93,07/05/21 09:00:00 AM,,,23.436,,,,
94,07/05/21 10:00:00 AM,,,27.320,,,,
95,07/05/21 11:00:00 AM,,,32.192,,,,
96,07/05/21 12:00:00 PM,,,24.103,,,,
97,07/05/21 01:00:00 PM,,,22.142,,,,
98,07/05/21 02:00:00 PM,,,12.965,,,,
99,07/05/21 03:00:00 PM,,,14.180,,,,
100,07/05/21 04:00:00 PM,,,18.282,,,,
101,07/05/21 05:00:00 PM,,,16.236,,,,
102,07/05/21 06:00:00 PM,,,14.322,,,,
103,07/05/21 07:00:00 PM,,,11.137,,,,
104,07/05/21 08:00:00 PM,,,10.406,,,,
105,07/05/21 09:00:00 PM,,,9.669,,,,
106,07/05/21 10:00:00 PM,,,9.521,,,,
107,07/05/21 11:00:00 PM,,,9.077,,,,
108,07/06/21 12:00:00 AM,31.880,4.207,8.082,,,,
109,07/06/21 01:00:00 AM,,,7.882,,,,
110,07/06/21 02:00:00 AM,,,5.859,,,,
111,07/06/21 03:00:00 AM,,,5.089,,,,
112,07/06/21 04:00:00 AM,,,4.363,,,,
113,07/06/21 05:00:00 AM,,,4.207,,,,
114,07/06/21 06:00:00 AM,,,4.623,,,,
115,07/06/21 07:00:00 AM,,,7.697,,,,
116,07/06/21 08:00:00 AM,,,15.614,,,,
117,07/06/21 09:00:00 AM,,,20.806,,,,
118,07/06/21 10:00:00 AM,,,23.581,,,,
119,07/06/21 11:00:00 AM,,,25.659,,,,
120,07/06/21 12:00:00 PM,,,26.393,,,,
121,07/06/21 01:00:00 PM,,,27.938,,,,
122,07/06/21 02:00:00 PM,,,31.219,,,,
123,07/06/21 03:00:00 PM,,,25.567,,,,
124,07/06/21 04:00:00 PM,,,27.665,,,,
125,07/06/21 05:00:00 PM,,,26.439,,,,
126,07/06/21 06:00:00 PM,,,23.396,,,,
127,07/06/21 07:00:00 PM,,,15.852,,,,
128,07/06/21 08:00:00 PM,,,12.109,,,,
129,07/06/21 09:00:00 PM,,,10.160,,,,
130,07/06/21 10:00:00 PM,,,8.530,,,,
131,07/06/21 11:00:00 PM,,,6.623,,,,
132,07/07/21 12:00:00 AM,34.374,3.472,5.808,,,,
133,07/07/21 01:00:00 AM,,,4.829,,,,
134,07/07/21 02:00:00 AM,,,4.258,,,,
135,07/07/21 03:00:00 AM,,,4.050,,,,
136,07/07/21 04:00:00 AM,,,3.893,,,,
137,07/07/21 05:00:00 AM,,,3.630,,,,
