"Plot Title: HOBO31-10793176"
"#","Date Time, GMT-06:00","Intensity, Lux (LGR S/N: 10793176, SEN S/N: 10793176)","Avg: Hourly Temperature, °C (LGR S/N: 10793176)","Max: Daily Temperature, °C (LGR S/N: 10793176)","Min: Daily Temperature, °C (LGR S/N: 10793176)","Coupler Attached (LGR S/N: 10793176)","Host Connected (LGR S/N: 10793176)","Stopped (LGR S/N: 10793176)","End Of File (LGR S/N: 10793176)"
1,06/28/21 12:00:00 AM,,,28.555,4.311,,,,
2,06/28/21 12:00:00 PM,12400.1,25.205,,,,,,
3,06/28/21 12:30:00 PM,13089.0,,,,,,,
4,06/28/21 01:00:00 PM,11711.2,24.511,,,,,,
5,06/28/21 01:30:00 PM,13089.0,,,,,,,
6,06/28/21 02:00:00 PM,13777.9,19.330,,,,,,
7,06/28/21 02:30:00 PM,8266.7,,,,,,,
8,06/28/21 03:00:00 PM,10333.4,20.905,,,,,,
9,06/28/21 03:30:00 PM,7577.8,,,,,,,
10,06/28/21 04:00:00 PM,2238.9,13.408,,,,,,
11,06/28/21 04:30:00 PM,1463.9,,,,,,,
12,06/28/21 05:00:00 PM,473.6,8.977,,,,,,
13,06/28/21 05:30:00 PM,818.1,,,,,,,
14,06/28/21 06:00:00 PM,775.0,8.680,,,,,,
15,06/28/21 06:30:00 PM,1313.2,,,,,,,
16,06/28/21 07:00:00 PM,1550.0,9.027,,,,,,
17,06/28/21 07:30:00 PM,1377.8,,,,,,,
18,06/28/21 08:00:00 PM,1463.9,8.579,,,,,,
19,06/28/21 08:30:00 PM,355.2,,,,,,,
20,06/28/21 09:00:00 PM,0.0,6.062,,,,,,
21,06/28/21 09:30:00 PM,0.0,,,,,,,
22,06/28/21 10:00:00 PM,0.0,4.726,,,,,,
23,06/28/21 10:30:00 PM,0.0,,,,,,,
24,06/28/21 11:00:00 PM,0.0,4.311,,,,,,
25,06/28/21 11:30:00 PM,0.0,,,,,,,
26,06/29/21 12:00:00 AM,0.0,5.552,35.756,5.552,,,,
27,06/29/21 12:30:00 AM,0.0,,,,,,,
28,06/29/21 01:00:00 AM,0.0,5.859,,,,,,
29,06/29/21 01:30:00 AM,0.0,,,,,,,
30,06/29/21 02:00:00 AM,0.0,5.603,,,,,,
31,06/29/21 02:30:00 AM,0.0,,,,,,,
32,06/29/21 03:00:00 AM,0.0,5.910,,,,,,
33,06/29/21 03:30:00 AM,0.0,,,,,,,
34,06/29/21 04:00:00 AM,0.0,5.962,,,,,,
35,06/29/21 04:30:00 AM,0.0,,,,,,,
36,06/29/21 05:00:00 AM,0.0,5.808,,,,,,
37,06/29/21 05:30:00 AM,0.0,,,,,,,
38,06/29/21 06:00:00 AM,150.7,6.318,,,,,,
39,06/29/21 06:30:00 AM,667.4,,,,,,,
40,06/29/21 07:00:00 AM,3100.0,8.576,,,,,,
41,06/29/21 07:30:00 AM,4477.8,,,,,,,
42,06/29/21 08:00:00 AM,7233.4,12.974,,,,,,
43,06/29/21 08:30:00 AM,9300.1,,,,,,,
44,06/29/21 09:00:00 AM,9300.1,15.139,,,,,,
45,06/29/21 09:30:00 AM,8266.7,,,,,,,
46,06/29/21 10:00:00 AM,8611.2,16.474,,,,,,
47,06/29/21 10:30:00 AM,13777.9,,,,,,,
48,06/29/21 11:00:00 AM,15844.5,21.523,,,,,,
49,06/29/21 11:30:00 AM,38578.0,,,,,,,
50,06/29/21 12:00:00 PM,28933.5,31.679,,,,,,
51,06/29/21 12:30:00 PM,31689.1,,,,,,,
52,06/29/21 01:00:00 PM,26178.0,30.634,,,,,,
53,06/29/21 01:30:00 PM,17911.2,,,,,,,
54,06/29/21 02:00:00 PM,19289.0,29.307,,,,,,
55,06/29/21 02:30:00 PM,30311.3,,,,,,,
56,06/29/21 03:00:00 PM,22044.6,18.760,,,,,,
57,06/29/21 03:30:00 PM,5166.7,,,,,,,
58,06/29/21 04:00:00 PM,10677.8,18.569,,,,,,
59,06/29/21 04:30:00 PM,6544.5,,,,,,,
