"Plot Title: HOBO32-10793182"
"#","Date Time, GMT-06:00","Intensity, Lux (LGR S/N: 10793182, SEN S/N: 10793182)","Avg: Hourly Temperature, °C (LGR S/N: 10793182)","Max: Daily Temperature, °C (LGR S/N: 10793182)","Min: Daily Temperature, °C (LGR S/N: 10793182)","Host Connected (LGR S/N: 10793182)","Coupler Attached (LGR S/N: 10793182)","Stopped (LGR S/N: 10793182)","End Of File (LGR S/N: 10793182)"
1,06/28/21 12:00:00 AM,,,36.837,4.623,,,,
2,06/28/21 11:00:00 AM,43.1,24.119,,,,,,
3,06/28/21 11:30:00 AM,16533.4,,,,,,,
4,06/28/21 12:00:00 PM,7233.4,31.564,,,,,,
5,06/28/21 12:30:00 PM,7233.4,,,,,,,
6,06/28/21 01:00:00 PM,6544.5,28.189,,,,,,
7,06/28/21 01:30:00 PM,7577.8,,,,,,,
8,06/28/21 02:00:00 PM,8611.2,22.242,,,,,,
9,06/28/21 02:30:00 PM,4822.3,,,,,,,
10,06/28/21 03:00:00 PM,6200.0,24.849,,,,,,
11,06/28/21 03:30:00 PM,4477.8,,,,,,,
12,06/28/21 04:00:00 PM,1216.3,14.893,,,,,,
13,06/28/21 04:30:00 PM,958.0,,,,,,,
14,06/28/21 05:00:00 PM,258.3,10.062,,,,,,
15,06/28/21 05:30:00 PM,419.8,,,,,,,
16,06/28/21 06:00:00 PM,430.6,9.669,,,,,,
17,06/28/21 06:30:00 PM,731.9,,,,,,,
18,06/28/21 07:00:00 PM,947.2,10.112,,,,,,
19,06/28/21 07:30:00 PM,839.6,,,,,,,
20,06/28/21 08:00:00 PM,893.4,9.471,,,,,,
21,06/28/21 08:30:00 PM,215.3,,,,,,,
22,06/28/21 09:00:00 PM,0.0,6.620,,,,,,
23,06/28/21 09:30:00 PM,0.0,,,,,,,
24,06/28/21 10:00:00 PM,0.0,5.037,,,,,,
25,06/28/21 10:30:00 PM,0.0,,,,,,,
26,06/28/21 11:00:00 PM,0.0,4.727,,,,,,
27,06/28/21 11:30:00 PM,0.0,,,,,,,
28,06/29/21 12:00:00 AM,0.0,6.115,41.928,6.064,,,,
29,06/29/21 12:30:00 AM,0.0,,,,,,,
30,06/29/21 01:00:00 AM,0.0,6.268,,,,,,
31,06/29/21 01:30:00 AM,0.0,,,,,,,
32,06/29/21 02:00:00 AM,0.0,6.115,,,,,,
33,06/29/21 02:30:00 AM,0.0,,,,,,,
34,06/29/21 03:00:00 AM,0.0,6.420,,,,,,
35,06/29/21 03:30:00 AM,0.0,,,,,,,
36,06/29/21 04:00:00 AM,0.0,6.420,,,,,,
37,06/29/21 04:30:00 AM,0.0,,,,,,,
38,06/29/21 05:00:00 AM,0.0,6.318,,,,,,
39,06/29/21 05:30:00 AM,0.0,,,,,,,
40,06/29/21 06:00:00 AM,96.9,6.825,,,,,,
41,06/29/21 06:30:00 AM,441.3,,,,,,,
42,06/29/21 07:00:00 AM,1894.5,9.614,,,,,,
43,06/29/21 07:30:00 AM,2497.2,,,,,,,
44,06/29/21 08:00:00 AM,3616.7,13.888,,,,,,
45,06/29/21 08:30:00 AM,4822.3,,,,,,,
46,06/29/21 09:00:00 AM,4994.5,16.808,,,,,,
47,06/29/21 09:30:00 AM,4994.5,,,,,,,
48,06/29/21 10:00:00 AM,4994.5,17.569,,,,,,
49,06/29/21 10:30:00 AM,6544.5,,,,,,,
50,06/29/21 11:00:00 AM,8266.7,24.166,,,,,,
51,06/29/21 11:30:00 AM,17911.2,,,,,,,
52,06/29/21 12:00:00 PM,13089.0,38.050,,,,,,
53,06/29/21 12:30:00 PM,17911.2,,,,,,,
54,06/29/21 01:00:00 PM,14466.8,36.445,,,,,,
55,06/29/21 01:30:00 PM,10333.4,,,,,,,
56,06/29/21 02:00:00 PM,12400.1,33.796,,,,,,
57,06/29/21 02:30:00 PM,24800.2,,,,,,,
58,06/29/21 03:00:00 PM,18600.1,21.537,,,,,,
59,06/29/21 03:30:00 PM,3272.2,,,,,,,
60,06/29/21 04:00:00 PM,8266.7,20.907,,,,,,
61,06/29/21 04:30:00 PM,4133.4,,,,,,,
62,06/29/21 05:00:00 PM,5511.1,20.329,,,,,,
63,06/29/21 05:30:00 PM,3788.9,,,,,,,
64,06/29/21 06:00:00 PM,2927.8,17.141,,,,,,
65,06/29/21 06:30:00 PM,3444.5,,,,,,,
66,06/29/21 07:00:00 PM,699.7,11.817,,,,,,
67,06/29/21 07:30:00 PM,107.6,,,,,,,
68,06/29/21 08:00:00 PM,43.1,8.978,,,,,,
69,06/29/21 08:30:00 PM,10.8,,,,,,,
70,06/29/21 09:00:00 PM,0.0,7.882,,,,,,
71,06/29/21 09:30:00 PM,0.0,,,,,,,
72,06/29/21 10:00:00 PM,0.0,7.531,,,,,,
73,06/29/21 10:30:00 PM,0.0,,,,,,,
74,06/29/21 11:00:00 PM,0.0,7.782,,,,,,
75,06/29/21 11:30:00 PM,0.0,,,,,,,
76,06/30/21 12:00:00 AM,0.0,7.782,38.602,2.730,,,,
77,06/30/21 12:30:00 AM,0.0,,,,,,,
78,06/30/21 01:00:00 AM,0.0,7.330,,,,,,
79,06/30/21 01:30:00 AM,0.0,,,,,,,
80,06/30/21 02:00:00 AM,0.0,7.280,,,,,,
81,06/30/21 02:30:00 AM,0.0,,,,,,,
82,06/30/21 03:00:00 AM,0.0,5.497,,,,,,
83,06/30/21 03:30:00 AM,0.0,,,,,,,
84,06/30/21 04:00:00 AM,0.0,4.467,,,,,,
85,06/30/21 04:30:00 AM,0.0,,,,,,,
86,06/30/21 05:00:00 AM,0.0,3.575,,,,,,
87,06/30/21 05:30:00 AM,0.0,,,,,,,
88,06/30/21 06:00:00 AM,172.2,3.624,,,,,,
89,06/30/21 06:30:00 AM,355.2,,,,,,,
90,06/30/21 07:00:00 AM,1722.2,8.073,,,,,,
91,06/30/21 07:30:00 AM,2238.9,,,,,,,
92,06/30/21 08:00:00 AM,2755.6,12.688,,,,,,
93,06/30/21 08:30:00 AM,5338.9,,,,,,,
94,06/30/21 09:00:00 AM,5338.9,17.189,,,,,,
95,06/30/21 09:30:00 AM,6200.0,,,,,,,
96,06/30/21 10:00:00 AM,11022.3,27.426,,,,,,
97,06/30/21 10:30:00 AM,14466.8,,,,,,,
98,06/30/21 11:00:00 AM,14466.8,32.983,,,,,,
99,06/30/21 11:30:00 AM,15155.7,,,,,,,
100,06/30/21 12:00:00 PM,8266.7,26.857,,,,,,
101,06/30/21 12:30:00 PM,13089.0,,,,,,,
102,06/30/21 01:00:00 PM,4477.8,31.380,,,,,,
103,06/30/21 01:30:00 PM,4822.3,,,,,,,
104,06/30/21 02:00:00 PM,9300.1,28.894,,,,,,
105,06/30/21 02:30:00 PM,6200.0,,,,,,,
106,06/30/21 03:00:00 PM,27555.7,36.172,,,,,,
107,06/30/21 03:30:00 PM,23422.4,,,,,,,
108,06/30/21 04:00:00 PM,5166.7,27.193,,,,,,
109,06/30/21 04:30:00 PM,5166.7,,,,,,,
110,06/30/21 05:00:00 PM,5166.7,21.712,,,,,,
111,06/30/21 05:30:00 PM,3788.9,,,,,,,
112,06/30/21 06:00:00 PM,8266.7,18.331,,,,,,
113,06/30/21 06:30:00 PM,2755.6,,,,,,,
114,06/30/21 07:00:00 PM,1313.2,13.941,,,,,,
115,06/30/21 07:30:00 PM,1463.9,,,,,,,
116,06/30/21 08:00:00 PM,322.9,11.720,,,,,,
117,06/30/21 08:30:00 PM,96.9,,,,,,,
118,06/30/21 09:00:00 PM,0.0,10.258,,,,,,
119,06/30/21 09:30:00 PM,0.0,,,,,,,
120,06/30/21 10:00:00 PM,0.0,9.373,,,,,,
121,06/30/21 10:30:00 PM,0.0,,,,,,,
122,06/30/21 11:00:00 PM,0.0,9.226,,,,,,
123,06/30/21 11:30:00 PM,0.0,,,,,,,
124,07/01/21 12:00:00 AM,0.0,9.226,41.928,4.831,,,,
125,07/01/21 12:30:00 AM,0.0,,,,,,,
126,07/01/21 01:00:00 AM,0.0,8.679,,,,,,
127,07/01/21 01:30:00 AM,0.0,,,,,,,
128,07/01/21 02:00:00 AM,0.0,5.600,,,,,,
