"Plot Title: Hobo#10-SN10542020"
"#","Date Time, GMT-06:00","Intensity, Lux (LGR S/N: 10542020, SEN S/N: 10542020)","Avg: Hourly Temperature, °C (LGR S/N: 10542020)","Max: Daily Temperature, °C (LGR S/N: 10542020)","Min: Daily Temperature, °C (LGR S/N: 10542020)","Host Connected (LGR S/N: 10542020)","Coupler Attached (LGR S/N: 10542020)","Stopped (LGR S/N: 10542020)","End Of File (LGR S/N: 10542020)"
1,06/28/21 12:00:00 AM,,,33.639,4.415,,,,
2,06/28/21 12:00:00 PM,4477.8,28.916,,,,,,
3,06/28/21 12:30:00 PM,4133.4,,,,,,,
4,06/28/21 01:00:00 PM,4305.6,30.014,,,,,,
5,06/28/21 01:30:00 PM,4822.3,,,,,,,
6,06/28/21 02:00:00 PM,6200.0,22.673,,,,,,
7,06/28/21 02:30:00 PM,2755.6,,,,,,,
8,06/28/21 03:00:00 PM,3444.5,25.140,,,,,,
9,06/28/21 03:30:00 PM,2497.2,,,,,,,
10,06/28/21 04:00:00 PM,710.4,14.893,,,,,,
11,06/28/21 04:30:00 PM,538.2,,,,,,,
12,06/28/21 05:00:00 PM,139.9,10.013,,,,,,
13,06/28/21 05:30:00 PM,236.8,,,,,,,
14,06/28/21 06:00:00 PM,236.8,9.817,,,,,,
15,06/28/21 06:30:00 PM,430.6,,,,,,,
16,06/28/21 07:00:00 PM,559.7,10.161,,,,,,
17,06/28/21 07:30:00 PM,473.6,,,,,,,
18,06/28/21 08:00:00 PM,505.9,9.569,,,,,,
19,06/28/21 08:30:00 PM,118.4,,,,,,,
20,06/28/21 09:00:00 PM,0.0,6.721,,,,,,
21,06/28/21 09:30:00 PM,0.0,,,,,,,
22,06/28/21 10:00:00 PM,0.0,4.830,,,,,,
23,06/28/21 10:30:00 PM,0.0,,,,,,,
24,06/28/21 11:00:00 PM,0.0,4.623,,,,,,
25,06/28/21 11:30:00 PM,0.0,,,,,,,
26,06/29/21 12:00:00 AM,0.0,6.217,49.225,6.166,,,,
27,06/29/21 12:30:00 AM,0.0,,,,,,,
28,06/29/21 01:00:00 AM,0.0,6.369,,,,,,
29,06/29/21 01:30:00 AM,0.0,,,,,,,
30,06/29/21 02:00:00 AM,0.0,6.268,,,,,,
31,06/29/21 02:30:00 AM,0.0,,,,,,,
32,06/29/21 03:00:00 AM,0.0,6.522,,,,,,
33,06/29/21 03:30:00 AM,0.0,,,,,,,
34,06/29/21 04:00:00 AM,0.0,6.623,,,,,,
35,06/29/21 04:30:00 AM,0.0,,,,,,,
36,06/29/21 05:00:00 AM,0.0,6.420,,,,,,
37,06/29/21 05:30:00 AM,0.0,,,,,,,
38,06/29/21 06:00:00 AM,53.8,6.977,,,,,,
39,06/29/21 06:30:00 AM,226.0,,,,,,,
40,06/29/21 07:00:00 AM,1022.6,9.713,,,,,,
41,06/29/21 07:30:00 AM,1377.8,,,,,,,
42,06/29/21 08:00:00 AM,2152.8,14.033,,,,,,
43,06/29/21 08:30:00 AM,2669.5,,,,,,,
44,06/29/21 09:00:00 AM,2755.6,17.284,,,,,,
45,06/29/21 09:30:00 AM,2755.6,,,,,,,
46,06/29/21 10:00:00 AM,2755.6,17.902,,,,,,
47,06/29/21 10:30:00 AM,3961.1,,,,,,,
48,06/29/21 11:00:00 AM,4994.5,24.317,,,,,,
49,06/29/21 11:30:00 AM,17911.2,,,,,,,
50,06/29/21 12:00:00 PM,23422.4,41.541,,,,,,
51,06/29/21 12:30:00 PM,20666.8,,,,,,,
52,06/29/21 01:00:00 PM,12400.1,40.655,,,,,,
53,06/29/21 01:30:00 PM,7233.4,,,,,,,
54,06/29/21 02:00:00 PM,8266.7,34.905,,,,,,
55,06/29/21 02:30:00 PM,14466.8,,,,,,,
56,06/29/21 03:00:00 PM,10333.4,21.543,,,,,,
57,06/29/21 03:30:00 PM,1894.5,,,,,,,
58,06/29/21 04:00:00 PM,4305.6,20.954,,,,,,
59,06/29/21 04:30:00 PM,2411.1,,,,,,,
