"Plot Title: Hobo#11-SN10542017"
"#","Date Time, GMT-06:00","Intensity, Lux (LGR S/N: 10542017, SEN S/N: 10542017)","Avg: Hourly Temperature, °C (LGR S/N: 10542017)","Max: Daily Temperature, °C (LGR S/N: 10542017)","Min: Daily Temperature, °C (LGR S/N: 10542017)","Coupler Attached (LGR S/N: 10542017)","Host Connected (LGR S/N: 10542017)","Stopped (LGR S/N: 10542017)","End Of File (LGR S/N: 10542017)"
1,06/28/21 12:00:00 AM,,,30.154,4.415,,,,
2,06/28/21 12:00:00 PM,8611.2,26.243,,,,,,
3,06/28/21 12:30:00 PM,8266.7,,,,,,,
4,06/28/21 01:00:00 PM,7233.4,25.096,,,,,,
5,06/28/21 01:30:00 PM,8611.2,,,,,,,
6,06/28/21 02:00:00 PM,12400.1,19.854,,,,,,
7,06/28/21 02:30:00 PM,5166.7,,,,,,,
8,06/28/21 03:00:00 PM,7233.4,21.959,,,,,,
9,06/28/21 03:30:00 PM,4822.3,,,,,,,
10,06/28/21 04:00:00 PM,1377.8,13.505,,,,,,
11,06/28/21 04:30:00 PM,1097.9,,,,,,,
12,06/28/21 05:00:00 PM,279.9,8.878,,,,,,
13,06/28/21 05:30:00 PM,419.8,,,,,,,
14,06/28/21 06:00:00 PM,419.8,8.829,,,,,,
15,06/28/21 06:30:00 PM,785.8,,,,,,,
16,06/28/21 07:00:00 PM,979.5,9.175,,,,,,
17,06/28/21 07:30:00 PM,828.8,,,,,,,
18,06/28/21 08:00:00 PM,882.6,8.679,,,,,,
19,06/28/21 08:30:00 PM,193.8,,,,,,,
20,06/28/21 09:00:00 PM,0.0,6.215,,,,,,
21,06/28/21 09:30:00 PM,0.0,,,,,,,
22,06/28/21 10:00:00 PM,0.0,4.726,,,,,,
23,06/28/21 10:30:00 PM,0.0,,,,,,,
24,06/28/21 11:00:00 PM,0.0,4.467,,,,,,
25,06/28/21 11:30:00 PM,0.0,,,,,,,
26,06/29/21 12:00:00 AM,0.0,5.603,35.756,5.552,,,,
27,06/29/21 12:30:00 AM,0.0,,,,,,,
28,06/29/21 01:00:00 AM,0.0,5.859,,,,,,
29,06/29/21 01:30:00 AM,0.0,,,,,,,
30,06/29/21 02:00:00 AM,0.0,5.706,,,,,,
31,06/29/21 02:30:00 AM,0.0,,,,,,,
32,06/29/21 03:00:00 AM,0.0,6.064,,,,,,
33,06/29/21 03:30:00 AM,0.0,,,,,,,
34,06/29/21 04:00:00 AM,0.0,6.064,,,,,,
35,06/29/21 04:30:00 AM,0.0,,,,,,,
36,06/29/21 05:00:00 AM,0.0,5.910,,,,,,
37,06/29/21 05:30:00 AM,0.0,,,,,,,
38,06/29/21 06:00:00 AM,96.9,6.369,,,,,,
39,06/29/21 06:30:00 AM,398.3,,,,,,,
40,06/29/21 07:00:00 AM,1722.2,8.726,,,,,,
41,06/29/21 07:30:00 AM,2411.1,,,,,,,
42,06/29/21 08:00:00 AM,3788.9,12.686,,,,,,
43,06/29/21 08:30:00 AM,4822.3,,,,,,,
44,06/29/21 09:00:00 AM,5338.9,15.377,,,,,,
45,06/29/21 09:30:00 AM,5166.7,,,,,,,
46,06/29/21 10:00:00 AM,5338.9,16.474,,,,,,
47,06/29/21 10:30:00 AM,7577.8,,,,,,,
48,06/29/21 11:00:00 AM,9644.5,21.619,,,,,,
49,06/29/21 11:30:00 AM,37200.2,,,,,,,
50,06/29/21 12:00:00 PM,28933.5,31.984,,,,,,
51,06/29/21 12:30:00 PM,37200.2,,,,,,,
52,06/29/21 01:00:00 PM,21355.7,30.829,,,,,,
53,06/29/21 01:30:00 PM,13089.0,,,,,,,
54,06/29/21 02:00:00 PM,14466.8,30.110,,,,,,
