"Plot Title: Hobo#17-#10542018"
"#","Date Time, GMT-06:00","Intensity, Lux (LGR S/N: 10542018, SEN S/N: 10542018)","Avg: Hourly Temperature, °C (LGR S/N: 10542018)","Max: Daily Temperature, °C (LGR S/N: 10542018)","Min: Daily Temperature, °C (LGR S/N: 10542018)","Coupler Attached (LGR S/N: 10542018)","Host Connected (LGR S/N: 10542018)","Stopped (LGR S/N: 10542018)","End Of File (LGR S/N: 10542018)"
1,06/28/21 12:00:00 AM,,,28.357,4.415,,,,
2,06/28/21 12:00:00 PM,10677.8,25.106,,,,,,
3,06/28/21 12:30:00 PM,11022.3,,,,,,,
4,06/28/21 01:00:00 PM,10677.8,25.096,,,,,,
5,06/28/21 01:30:00 PM,11022.3,,,,,,,
6,06/28/21 02:00:00 PM,14466.8,19.663,,,,,,
7,06/28/21 02:30:00 PM,6544.5,,,,,,,
8,06/28/21 03:00:00 PM,9300.1,21.911,,,,,,
9,06/28/21 03:30:00 PM,6544.5,,,,,,,
10,06/28/21 04:00:00 PM,1722.2,13.457,,,,,,
11,06/28/21 04:30:00 PM,1302.4,,,,,,,
12,06/28/21 05:00:00 PM,376.7,9.076,,,,,,
13,06/28/21 05:30:00 PM,613.5,,,,,,,
14,06/28/21 06:00:00 PM,592.0,8.779,,,,,,
15,06/28/21 06:30:00 PM,1001.0,,,,,,,
16,06/28/21 07:00:00 PM,1302.4,9.127,,,,,,
17,06/28/21 07:30:00 PM,1162.5,,,,,,,
18,06/28/21 08:00:00 PM,1248.6,8.778,,,,,,
19,06/28/21 08:30:00 PM,301.4,,,,,,,
20,06/28/21 09:00:00 PM,0.0,6.317,,,,,,
21,06/28/21 09:30:00 PM,0.0,,,,,,,
22,06/28/21 10:00:00 PM,0.0,4.881,,,,,,
23,06/28/21 10:30:00 PM,0.0,,,,,,,
24,06/28/21 11:00:00 PM,0.0,4.467,,,,,,
25,06/28/21 11:30:00 PM,0.0,,,,,,,
26,06/29/21 12:00:00 AM,0.0,5.655,36.187,5.655,,,,
27,06/29/21 12:30:00 AM,0.0,,,,,,,
28,06/29/21 01:00:00 AM,0.0,5.911,,,,,,
29,06/29/21 01:30:00 AM,0.0,,,,,,,
30,06/29/21 02:00:00 AM,0.0,5.706,,,,,,
31,06/29/21 02:30:00 AM,0.0,,,,,,,
32,06/29/21 03:00:00 AM,0.0,6.064,,,,,,
33,06/29/21 03:30:00 AM,0.0,,,,,,,
34,06/29/21 04:00:00 AM,0.0,6.166,,,,,,
35,06/29/21 04:30:00 AM,0.0,,,,,,,
36,06/29/21 05:00:00 AM,0.0,5.962,,,,,,
37,06/29/21 05:30:00 AM,0.0,,,,,,,
38,06/29/21 06:00:00 AM,129.2,6.470,,,,,,
39,06/29/21 06:30:00 AM,559.7,,,,,,,
40,06/29/21 07:00:00 AM,2497.2,8.824,,,,,,
41,06/29/21 07:30:00 AM,3444.5,,,,,,,
42,06/29/21 08:00:00 AM,5166.7,13.168,,,,,,
43,06/29/21 08:30:00 AM,7233.4,,,,,,,
44,06/29/21 09:00:00 AM,7233.4,15.425,,,,,,
45,06/29/21 09:30:00 AM,7233.4,,,,,,,
46,06/29/21 10:00:00 AM,7233.4,16.569,,,,,,
47,06/29/21 10:30:00 AM,11022.3,,,,,,,
48,06/29/21 11:00:00 AM,12400.1,21.476,,,,,,
49,06/29/21 11:30:00 AM,28933.5,,,,,,,
50,06/29/21 12:00:00 PM,21355.7,30.765,,,,,,
51,06/29/21 12:30:00 PM,26178.0,,,,,,,
52,06/29/21 01:00:00 PM,22044.6,31.191,,,,,,
53,06/29/21 01:30:00 PM,15155.7,,,,,,,
54,06/29/21 02:00:00 PM,17911.2,30.173,,,,,,
55,06/29/21 02:30:00 PM,31689.1,,,,,,,
56,06/29/21 03:00:00 PM,23422.4,19.238,,,,,,
57,06/29/21 03:30:00 PM,4133.4,,,,,,,
58,06/29/21 04:00:00 PM,10333.4,19.189,,,,,,
59,06/29/21 04:30:00 PM,5166.7,,,,,,,
60,06/29/21 05:00:00 PM,8266.7,18.949,,,,,,
61,06/29/21 05:30:00 PM,5166.7,,,,,,,
62,06/29/21 06:00:00 PM,3961.1,16.045,,,,,,
63,06/29/21 06:30:00 PM,4477.8,,,,,,,
64,06/29/21 07:00:00 PM,1022.6,11.234,,,,,,
65,06/29/21 07:30:00 PM,150.7,,,,,,,
66,06/29/21 08:00:00 PM,53.8,8.431,,,,,,
67,06/29/21 08:30:00 PM,21.5,,,,,,,
68,06/29/21 09:00:00 PM,0.0,7.079,,,,,,
69,06/29/21 09:30:00 PM,0.0,,,,,,,
70,06/29/21 10:00:00 PM,0.0,6.978,,,,,,
71,06/29/21 10:30:00 PM,0.0,,,,,,,
72,06/29/21 11:00:00 PM,0.0,7.179,,,,,,
73,06/29/21 11:30:00 PM,0.0,,,,,,,
74,06/30/21 12:00:00 AM,0.0,7.330,33.222,2.730,,,,
75,06/30/21 12:30:00 AM,0.0,,,,,,,
76,06/30/21 01:00:00 AM,0.0,6.927,,,,,,
77,06/30/21 01:30:00 AM,0.0,,,,,,,
78,06/30/21 02:00:00 AM,0.0,6.877,,,,,,
79,06/30/21 02:30:00 AM,0.0,,,,,,,
80,06/30/21 03:00:00 AM,0.0,5.189,,,,,,
81,06/30/21 03:30:00 AM,0.0,,,,,,,
82,06/30/21 04:00:00 AM,0.0,4.050,,,,,,
83,06/30/21 04:30:00 AM,0.0,,,,,,,
84,06/30/21 05:00:00 AM,0.0,3.416,,,,,,
85,06/30/21 05:30:00 AM,0.0,,,,,,,
86,06/30/21 06:00:00 AM,226.0,3.784,,,,,,
87,06/30/21 06:30:00 AM,516.7,,,,,,,
88,06/30/21 07:00:00 AM,2325.0,7.172,,,,,,
89,06/30/21 07:30:00 AM,2927.8,,,,,,,
90,06/30/21 08:00:00 AM,3616.7,10.988,,,,,,
91,06/30/21 08:30:00 AM,7233.4,,,,,,,
92,06/30/21 09:00:00 AM,8266.7,15.425,,,,,,
93,06/30/21 09:30:00 AM,9644.5,,,,,,,
94,06/30/21 10:00:00 AM,19289.0,25.427,,,,,,
95,06/30/21 10:30:00 AM,30311.3,,,,,,,
96,06/30/21 11:00:00 AM,30311.3,26.493,,,,,,
97,06/30/21 11:30:00 AM,17911.2,,,,,,,
98,06/30/21 12:00:00 PM,12400.1,23.541,,,,,,
99,06/30/21 12:30:00 PM,16533.4,,,,,,,
100,06/30/21 01:00:00 PM,6200.0,26.418,,,,,,
101,06/30/21 01:30:00 PM,6200.0,,,,,,,
102,06/30/21 02:00:00 PM,12400.1,24.984,,,,,,
103,06/30/21 02:30:00 PM,8611.2,,,,,,,
104,06/30/21 03:00:00 PM,28933.5,31.839,,,,,,
105,06/30/21 03:30:00 PM,22044.6,,,,,,,
106,06/30/21 04:00:00 PM,6544.5,24.526,,,,,,
107,06/30/21 04:30:00 PM,6544.5,,,,,,,
108,06/30/21 05:00:00 PM,6544.5,20.234,,,,,,
109,06/30/21 05:30:00 PM,4994.5,,,,,,,
110,06/30/21 06:00:00 PM,12400.1,17.328,,,,,,
111,06/30/21 06:30:00 PM,3444.5,,,,,,,
112,06/30/21 07:00:00 PM,1808.3,13.220,,,,,,
113,06/30/21 07:30:00 PM,2066.7,,,,,,,
114,06/30/21 08:00:00 PM,473.6,11.284,,,,,,
115,06/30/21 08:30:00 PM,139.9,,,,,,,
116,06/30/21 09:00:00 PM,0.0,10.111,,,,,,
117,06/30/21 09:30:00 PM,0.0,,,,,,,
118,06/30/21 10:00:00 PM,0.0,9.127,,,,,,
119,06/30/21 10:30:00 PM,0.0,,,,,,,
120,06/30/21 11:00:00 PM,0.0,8.978,,,,,,
121,06/30/21 11:30:00 PM,0.0,,,,,,,
122,07/01/21 12:00:00 AM,0.0,8.978,36.728,5.037,,,,
123,07/01/21 12:30:00 AM,0.0,,,,,,,
124,07/01/21 01:00:00 AM,0.0,8.381,,,,,,
125,07/01/21 01:30:00 AM,0.0,,,,,,,
126,07/01/21 02:00:00 AM,0.0,5.601,,,,,,
127,07/01/21 02:30:00 AM,0.0,,,,,,,
128,07/01/21 03:00:00 AM,0.0,7.179,,,,,,
129,07/01/21 03:30:00 AM,0.0,,,,,,,
130,07/01/21 04:00:00 AM,0.0,7.280,,,,,,
131,07/01/21 04:30:00 AM,0.0,,,,,,,
