"Plot Title: Hobo#22-SN10793186"
"#","Date Time, GMT-06:00","Intensity, Lux (LGR S/N: 10793186, SEN S/N: 10793186)","Avg: Hourly Temperature, °C (LGR S/N: 10793186)","Max: Daily Temperature, °C (LGR S/N: 10793186)","Min: Daily Temperature, °C (LGR S/N: 10793186)","Host Connected (LGR S/N: 10793186)","Coupler Attached (LGR S/N: 10793186)","Coupler Detached (LGR S/N: 10793186)","Stopped (LGR S/N: 10793186)","End Of File (LGR S/N: 10793186)"
1,06/28/21 12:00:00 AM,,,34.796,4.207,,,,,
2,06/28/21 12:00:00 PM,12400.1,30.788,,,,,,,
3,06/28/21 12:30:00 PM,12400.1,,,,,,,,
4,06/28/21 01:00:00 PM,10333.4,29.461,,,,,,,
5,06/28/21 01:30:00 PM,12400.1,,,,,,,,
6,06/28/21 02:00:00 PM,17222.3,22.578,,,,,,,
7,06/28/21 02:30:00 PM,7233.4,,,,,,,,
8,06/28/21 03:00:00 PM,9300.1,25.287,,,,,,,
9,06/28/21 03:30:00 PM,6544.5,,,,,,,,
10,06/28/21 04:00:00 PM,2066.7,14.845,,,,,,,
11,06/28/21 04:30:00 PM,1377.8,,,,,,,,
12,06/28/21 05:00:00 PM,419.8,10.161,,,,,,,
13,06/28/21 05:30:00 PM,678.1,,,,,,,,
14,06/28/21 06:00:00 PM,645.8,9.768,,,,,,,
15,06/28/21 06:30:00 PM,1151.7,,,,,,,,
16,06/28/21 07:00:00 PM,1377.8,10.062,,,,,,,
17,06/28/21 07:30:00 PM,1184.0,,,,,,,,
18,06/28/21 08:00:00 PM,1291.7,9.471,,,,,,,
19,06/28/21 08:30:00 PM,290.6,,,,,,,,
20,06/28/21 09:00:00 PM,0.0,6.416,,,,,,,
21,06/28/21 09:30:00 PM,0.0,,,,,,,,
22,06/28/21 10:00:00 PM,0.0,4.571,,,,,,,
23,06/28/21 10:30:00 PM,0.0,,,,,,,,
24,06/28/21 11:00:00 PM,0.0,4.363,,,,,,,
25,06/28/21 11:30:00 PM,0.0,,,,,,,,
26,06/29/21 12:00:00 AM,0.0,5.911,46.979,5.860,,,,,
27,06/29/21 12:30:00 AM,0.0,,,,,,,,
28,06/29/21 01:00:00 AM,0.0,6.115,,,,,,,
29,06/29/21 01:30:00 AM,0.0,,,,,,,,
30,06/29/21 02:00:00 AM,0.0,5.962,,,,,,,
31,06/29/21 02:30:00 AM,0.0,,,,,,,,
32,06/29/21 03:00:00 AM,0.0,6.268,,,,,,,
33,06/29/21 03:30:00 AM,0.0,,,,,,,,
34,06/29/21 04:00:00 AM,0.0,6.319,,,,,,,
35,06/29/21 04:30:00 AM,0.0,,,,,,,,
36,06/29/21 05:00:00 AM,0.0,6.165,,,,,,,
37,06/29/21 05:30:00 AM,0.0,,,,,,,,
38,06/29/21 06:00:00 AM,139.9,6.825,,,,,,,
39,06/29/21 06:30:00 AM,592.0,,,,,,,,
40,06/29/21 07:00:00 AM,2669.5,9.713,,,,,,,
41,06/29/21 07:30:00 AM,3961.1,,,,,,,,
42,06/29/21 08:00:00 AM,6200.0,14.464,,,,,,,
43,06/29/21 08:30:00 AM,7577.8,,,,,,,,
44,06/29/21 09:00:00 AM,8266.7,17.284,,,,,,,
45,06/29/21 09:30:00 AM,7577.8,,,,,,,,
46,06/29/21 10:00:00 AM,7577.8,17.902,,,,,,,
47,06/29/21 10:30:00 AM,12400.1,,,,,,,,
48,06/29/21 11:00:00 AM,14466.8,24.555,,,,,,,
49,06/29/21 11:30:00 AM,37200.2,,,,,,,,
50,06/29/21 12:00:00 PM,37200.2,39.392,,,,,,,
51,06/29/21 12:30:00 PM,37200.2,,,,,,,,
52,06/29/21 01:00:00 PM,28933.5,39.378,,,,,,,
53,06/29/21 01:30:00 PM,17911.2,,,,,,,,
54,06/29/21 02:00:00 PM,19977.9,36.277,,,,,,,
55,06/29/21 02:30:00 PM,24800.2,,,,,,,,
56,06/29/21 03:00:00 PM,20666.8,22.174,,,,,,,
57,06/29/21 03:30:00 PM,5166.7,,,,,,,,
58,06/29/21 04:00:00 PM,9300.1,21.437,,,,,,,
59,06/29/21 04:30:00 PM,6200.0,,,,,,,,
60,06/29/21 05:00:00 PM,7577.8,20.662,,,,,,,
61,06/29/21 05:30:00 PM,5166.7,,,,,,,,
62,06/29/21 06:00:00 PM,3961.1,17.379,,,,,,,
63,06/29/21 06:30:00 PM,4822.3,,,,,,,,
64,06/29/21 07:00:00 PM,1022.6,11.865,,,,,,,
65,06/29/21 07:30:00 PM,161.5,,,,,,,,
66,06/29/21 08:00:00 PM,75.3,8.928,,,,,,,
67,06/29/21 08:30:00 PM,32.3,,,,,,,,
68,06/29/21 09:00:00 PM,0.0,7.631,,,,,,,
69,06/29/21 09:30:00 PM,0.0,,,,,,,,
70,06/29/21 10:00:00 PM,0.0,7.481,,,,,,,
71,06/29/21 10:30:00 PM,0.0,,,,,,,,
72,06/29/21 11:00:00 PM,0.0,7.582,,,,,,,
73,06/29/21 11:30:00 PM,0.0,,,,,,,,
74,06/30/21 12:00:00 AM,0.0,7.682,40.185,2.410,,,,,
75,06/30/21 12:30:00 AM,0.0,,,,,,,,
76,06/30/21 01:00:00 AM,0.0,7.179,,,,,,,
77,06/30/21 01:30:00 AM,0.0,,,,,,,,
78,06/30/21 02:00:00 AM,0.0,7.027,,,,,,,
79,06/30/21 02:30:00 AM,0.0,,,,,,,,
80,06/30/21 03:00:00 AM,0.0,5.290,,,,,,,
81,06/30/21 03:30:00 AM,0.0,,,,,,,,
82,06/30/21 04:00:00 AM,0.0,3.997,,,,,,,
83,06/30/21 04:30:00 AM,0.0,,,,,,,,
84,06/30/21 05:00:00 AM,0.0,3.152,,,,,,,
85,06/30/21 05:30:00 AM,0.0,,,,,,,,
86,06/30/21 06:00:00 AM,258.3,3.308,,,,,,,
87,06/30/21 06:30:00 AM,527.4,,,,,,,,
88,06/30/21 07:00:00 AM,2583.4,7.971,,,,,,,
89,06/30/21 07:30:00 AM,3272.2,,,,,,,,
90,06/30/21 08:00:00 AM,4133.4,12.591,,,,,,,
91,06/30/21 08:30:00 AM,8266.7,,,,,,,,
92,06/30/21 09:00:00 AM,9300.1,17.665,,,,,,,
93,06/30/21 09:30:00 AM,11711.2,,,,,,,,
94,06/30/21 10:00:00 AM,22044.6,26.096,,,,,,,
95,06/30/21 10:30:00 AM,49600.3,,,,,,,,
96,06/30/21 11:00:00 AM,52355.9,32.611,,,,,,,
97,06/30/21 11:30:00 AM,23422.4,,,,,,,,
98,06/30/21 12:00:00 PM,13777.9,27.547,,,,,,,
99,06/30/21 12:30:00 PM,22044.6,,,,,,,,
100,06/30/21 01:00:00 PM,7233.4,31.904,,,,,,,
101,06/30/21 01:30:00 PM,6544.5,,,,,,,,
