"Plot Title: Hobo#4-SN10369048"
"#","Date Time, GMT-06:00","Intensity, Lux (LGR S/N: 10369048, SEN S/N: 10369048)","Max: Daily Temperature, °C (LGR S/N: 10369048)","Min: Daily Temperature, °C (LGR S/N: 10369048)","Avg: Hourly Temperature, °C (LGR S/N: 10369048)","Coupler Attached (LGR S/N: 10369048)","Host Connected (LGR S/N: 10369048)","Stopped (LGR S/N: 10369048)","End Of File (LGR S/N: 10369048)"
1,06/28/21 12:00:00 AM,,33.118,4.519,,,,,
2,06/28/21 12:00:00 PM,14466.8,,,29.944,,,,
3,06/28/21 12:30:00 PM,13777.9,,,,,,,
4,06/28/21 01:00:00 PM,11711.2,,,29.705,,,,
5,06/28/21 01:30:00 PM,14466.8,,,,,,,
6,06/28/21 02:00:00 PM,17222.3,,,22.768,,,,
7,06/28/21 02:30:00 PM,8266.7,,,,,,,
8,06/28/21 03:00:00 PM,10333.4,,,26.516,,,,
9,06/28/21 03:30:00 PM,7577.8,,,,,,,
10,06/28/21 04:00:00 PM,2325.0,,,15.229,,,,
11,06/28/21 04:30:00 PM,1636.1,,,,,,,
12,06/28/21 05:00:00 PM,452.1,,,10.210,,,,
13,06/28/21 05:30:00 PM,731.9,,,,,,,
14,06/28/21 06:00:00 PM,699.7,,,9.866,,,,
15,06/28/21 06:30:00 PM,1270.1,,,,,,,
16,06/28/21 07:00:00 PM,1550.0,,,10.210,,,,
17,06/28/21 07:30:00 PM,1377.8,,,,,,,
18,06/28/21 08:00:00 PM,1463.9,,,9.717,,,,
19,06/28/21 08:30:00 PM,333.7,,,,,,,
20,06/28/21 09:00:00 PM,0.0,,,6.975,,,,
21,06/28/21 09:30:00 PM,0.0,,,,,,,
22,06/28/21 10:00:00 PM,0.0,,,4.986,,,,
23,06/28/21 10:30:00 PM,0.0,,,,,,,
24,06/28/21 11:00:00 PM,0.0,,,4.726,,,,
25,06/28/21 11:30:00 PM,0.0,,,,,,,
26,06/29/21 12:00:00 AM,0.0,46.593,6.166,6.268,,,,
27,06/29/21 12:30:00 AM,0.0,,,,,,,
28,06/29/21 01:00:00 AM,0.0,,,6.471,,,,
29,06/29/21 01:30:00 AM,0.0,,,,,,,
30,06/29/21 02:00:00 AM,0.0,,,6.268,,,,
31,06/29/21 02:30:00 AM,0.0,,,,,,,
32,06/29/21 03:00:00 AM,0.0,,,6.572,,,,
33,06/29/21 03:30:00 AM,0.0,,,,,,,
34,06/29/21 04:00:00 AM,0.0,,,6.623,,,,
35,06/29/21 04:30:00 AM,0.0,,,,,,,
36,06/29/21 05:00:00 AM,0.0,,,6.420,,,,
37,06/29/21 05:30:00 AM,0.0,,,,,,,
38,06/29/21 06:00:00 AM,161.5,,,7.027,,,,
39,06/29/21 06:30:00 AM,667.4,,,,,,,
40,06/29/21 07:00:00 AM,2927.8,,,9.713,,,,
41,06/29/21 07:30:00 AM,4305.6,,,,,,,
42,06/29/21 08:00:00 AM,6200.0,,,14.369,,,,
43,06/29/21 08:30:00 AM,8611.2,,,,,,,
44,06/29/21 09:00:00 AM,9300.1,,,17.093,,,,
45,06/29/21 09:30:00 AM,8611.2,,,,,,,
46,06/29/21 10:00:00 AM,8611.2,,,17.997,,,,
47,06/29/21 10:30:00 AM,14466.8,,,,,,,
48,06/29/21 11:00:00 AM,17222.3,,,24.312,,,,
49,06/29/21 11:30:00 AM,52355.9,,,,,,,
50,06/29/21 12:00:00 PM,46844.8,,,39.175,,,,
51,06/29/21 12:30:00 PM,44089.2,,,,,,,
52,06/29/21 01:00:00 PM,30311.3,,,39.493,,,,
53,06/29/21 01:30:00 PM,19289.0,,,,,,,
54,06/29/21 02:00:00 PM,22044.6,,,35.883,,,,
55,06/29/21 02:30:00 PM,37200.2,,,,,,,
56,06/29/21 03:00:00 PM,27555.7,,,22.365,,,,
57,06/29/21 03:30:00 PM,5166.7,,,,,,,
58,06/29/21 04:00:00 PM,10677.8,,,21.678,,,,
59,06/29/21 04:30:00 PM,6544.5,,,,,,,
60,06/29/21 05:00:00 PM,9300.1,,,20.805,,,,
61,06/29/21 05:30:00 PM,6200.0,,,,,,,
62,06/29/21 06:00:00 PM,4477.8,,,17.569,,,,
63,06/29/21 06:30:00 PM,5338.9,,,,,,,
64,06/29/21 07:00:00 PM,1184.0,,,11.915,,,,
65,06/29/21 07:30:00 PM,183.0,,,,,,,
66,06/29/21 08:00:00 PM,75.3,,,9.176,,,,
67,06/29/21 08:30:00 PM,32.3,,,,,,,
68,06/29/21 09:00:00 PM,0.0,,,7.882,,,,
69,06/29/21 09:30:00 PM,0.0,,,,,,,
70,06/29/21 10:00:00 PM,0.0,,,7.682,,,,
71,06/29/21 10:30:00 PM,0.0,,,,,,,
72,06/29/21 11:00:00 PM,0.0,,,7.932,,,,
73,06/29/21 11:30:00 PM,0.0,,,,,,,
74,06/30/21 12:00:00 AM,0.0,41.692,3.049,7.932,,,,
75,06/30/21 12:30:00 AM,0.0,,,,,,,
76,06/30/21 01:00:00 AM,0.0,,,7.431,,,,
77,06/30/21 01:30:00 AM,0.0,,,,,,,
78,06/30/21 02:00:00 AM,0.0,,,7.430,,,,
79,06/30/21 02:30:00 AM,0.0,,,,,,,
80,06/30/21 03:00:00 AM,0.0,,,5.753,,,,
81,06/30/21 03:30:00 AM,0.0,,,,,,,
82,06/30/21 04:00:00 AM,0.0,,,4.623,,,,
83,06/30/21 04:30:00 AM,0.0,,,,,,,
84,06/30/21 05:00:00 AM,0.0,,,3.734,,,,
85,06/30/21 05:30:00 AM,0.0,,,,,,,
86,06/30/21 06:00:00 AM,258.3,,,3.888,,,,
87,06/30/21 06:30:00 AM,602.8,,,,,,,
88,06/30/21 07:00:00 AM,2927.8,,,8.123,,,,
89,06/30/21 07:30:00 AM,3616.7,,,,,,,
90,06/30/21 08:00:00 AM,4822.3,,,12.639,,,,
91,06/30/21 08:30:00 AM,9644.5,,,,,,,
92,06/30/21 09:00:00 AM,10333.4,,,17.855,,,,
93,06/30/21 09:30:00 AM,13777.9,,,,,,,
94,06/30/21 10:00:00 AM,24800.2,,,27.397,,,,
95,06/30/21 10:30:00 AM,55111.5,,,,,,,
96,06/30/21 11:00:00 AM,57867.0,,,31.942,,,,
97,06/30/21 11:30:00 AM,34444.7,,,,,,,
98,06/30/21 12:00:00 PM,15155.7,,,27.102,,,,
99,06/30/21 12:30:00 PM,26178.0,,,,,,,
100,06/30/21 01:00:00 PM,7577.8,,,32.519,,,,
101,06/30/21 01:30:00 PM,7233.4,,,,,,,
102,06/30/21 02:00:00 PM,16533.4,,,29.392,,,,
103,06/30/21 02:30:00 PM,10333.4,,,,,,,
104,06/30/21 03:00:00 PM,28933.5,,,39.483,,,,
105,06/30/21 03:30:00 PM,26178.0,,,,,,,
106,06/30/21 04:00:00 PM,7233.4,,,28.109,,,,
107,06/30/21 04:30:00 PM,8266.7,,,,,,,
108,06/30/21 05:00:00 PM,7233.4,,,22.047,,,,
109,06/30/21 05:30:00 PM,5511.1,,,,,,,
110,06/30/21 06:00:00 PM,11711.2,,,18.712,,,,
111,06/30/21 06:30:00 PM,4650.0,,,,,,,
112,06/30/21 07:00:00 PM,2325.0,,,14.229,,,,
113,06/30/21 07:30:00 PM,2497.2,,,,,,,
114,06/30/21 08:00:00 PM,581.3,,,12.059,,,,
115,06/30/21 08:30:00 PM,172.2,,,,,,,
116,06/30/21 09:00:00 PM,0.0,,,10.454,,,,
117,06/30/21 09:30:00 PM,0.0,,,,,,,
118,06/30/21 10:00:00 PM,0.0,,,9.570,,,,
119,06/30/21 10:30:00 PM,0.0,,,,,,,
120,06/30/21 11:00:00 PM,0.0,,,9.422,,,,
121,06/30/21 11:30:00 PM,0.0,,,,,,,
122,07/01/21 12:00:00 AM,0.0,45.703,5.244,9.373,,,,
123,07/01/21 12:30:00 AM,0.0,,,,,,,
124,07/01/21 01:00:00 AM,0.0,,,8.729,,,,
125,07/01/21 01:30:00 AM,0.0,,,,,,,
126,07/01/21 02:00:00 AM,0.0,,,5.807,,,,
127,07/01/21 02:30:00 AM,0.0,,,,,,,
128,07/01/21 03:00:00 AM,0.0,,,7.229,,,,
129,07/01/21 03:30:00 AM,0.0,,,,,,,
130,07/01/21 04:00:00 AM,0.0,,,7.531,,,,
131,07/01/21 04:30:00 AM,0.0,,,,,,,
132,07/01/21 05:00:00 AM,0.0,,,7.431,,,,
133,07/01/21 05:30:00 AM,0.0,,,,,,,
134,07/01/21 06:00:00 AM,215.3,,,7.280,,,,
135,07/01/21 06:30:00 AM,1334.7,,,,,,,
136,07/01/21 07:00:00 AM,2927.8,,,10.597,,,,
137,07/01/21 07:30:00 AM,4994.5,,,,,,,
138,07/01/21 08:00:00 AM,12400.1,,,16.235,,,,
139,07/01/21 08:30:00 AM,8266.7,,,,,,,
140,07/01/21 09:00:00 AM,8611.2,,,27.062,,,,
141,07/01/21 09:30:00 AM,35822.5,,,,,,,
142,07/01/21 10:00:00 AM,46844.8,,,35.596,,,,
143,07/01/21 10:30:00 AM,57867.0,,,,,,,
144,07/01/21 11:00:00 AM,66133.8,,,32.492,,,,
145,07/01/21 11:30:00 AM,9300.1,,,,,,,
146,07/01/21 12:00:00 PM,55111.5,,,35.364,,,,
147,07/01/21 12:30:00 PM,15844.5,,,,,,,
