"Plot Title: Hobo13"
"#","Date Time, GMT-06:00","Intensity, Lux (LGR S/N: 10542014, SEN S/N: 10542014)","Avg: Hourly Temperature, °C (LGR S/N: 10542014)","Max: Daily Temperature, °C (LGR S/N: 10542014)","Min: Daily Temperature, °C (LGR S/N: 10542014)","Coupler Attached (LGR S/N: 10542014)","Host Connected (LGR S/N: 10542014)","Stopped (LGR S/N: 10542014)","End Of File (LGR S/N: 10542014)"
1,06/28/21 12:00:00 AM,,,37.935,4.519,,,,
2,06/28/21 12:00:00 PM,12400.1,32.260,,,,,,
3,06/28/21 12:30:00 PM,12400.1,,,,,,,
4,06/28/21 01:00:00 PM,11022.3,28.996,,,,,,
5,06/28/21 01:30:00 PM,12400.1,,,,,,,
6,06/28/21 02:00:00 PM,14466.8,22.096,,,,,,
7,06/28/21 02:30:00 PM,7577.8,,,,,,,
8,06/28/21 03:00:00 PM,10333.4,25.727,,,,,,
9,06/28/21 03:30:00 PM,7233.4,,,,,,,
10,06/28/21 04:00:00 PM,1894.5,15.086,,,,,,
11,06/28/21 04:30:00 PM,1550.0,,,,,,,
12,06/28/21 05:00:00 PM,419.8,10.406,,,,,,
13,06/28/21 05:30:00 PM,667.4,,,,,,,
14,06/28/21 06:00:00 PM,667.4,9.915,,,,,,
15,06/28/21 06:30:00 PM,1141.0,,,,,,,
16,06/28/21 07:00:00 PM,1463.9,10.406,,,,,,
17,06/28/21 07:30:00 PM,1345.5,,,,,,,
18,06/28/21 08:00:00 PM,1377.8,9.766,,,,,,
19,06/28/21 08:30:00 PM,344.4,,,,,,,
20,06/28/21 09:00:00 PM,0.0,6.925,,,,,,
21,06/28/21 09:30:00 PM,0.0,,,,,,,
22,06/28/21 10:00:00 PM,0.0,5.037,,,,,,
23,06/28/21 10:30:00 PM,0.0,,,,,,,
24,06/28/21 11:00:00 PM,0.0,4.726,,,,,,
25,06/28/21 11:30:00 PM,0.0,,,,,,,
26,06/29/21 12:00:00 AM,0.0,6.268,44.457,6.166,,,,
27,06/29/21 12:30:00 AM,0.0,,,,,,,
28,06/29/21 01:00:00 AM,0.0,6.471,,,,,,
29,06/29/21 01:30:00 AM,0.0,,,,,,,
30,06/29/21 02:00:00 AM,0.0,6.420,,,,,,
31,06/29/21 02:30:00 AM,0.0,,,,,,,
32,06/29/21 03:00:00 AM,0.0,6.623,,,,,,
33,06/29/21 03:30:00 AM,0.0,,,,,,,
34,06/29/21 04:00:00 AM,0.0,6.826,,,,,,
35,06/29/21 04:30:00 AM,0.0,,,,,,,
36,06/29/21 05:00:00 AM,0.0,6.470,,,,,,
37,06/29/21 05:30:00 AM,0.0,,,,,,,
38,06/29/21 06:00:00 AM,139.9,7.077,,,,,,
39,06/29/21 06:30:00 AM,645.8,,,,,,,
40,06/29/21 07:00:00 AM,2669.5,9.811,,,,,,
41,06/29/21 07:30:00 AM,3616.7,,,,,,,
42,06/29/21 08:00:00 AM,5166.7,14.656,,,,,,
43,06/29/21 08:30:00 AM,7577.8,,,,,,,
44,06/29/21 09:00:00 AM,7577.8,17.522,,,,,,
45,06/29/21 09:30:00 AM,7577.8,,,,,,,
46,06/29/21 10:00:00 AM,8266.7,18.140,,,,,,
47,06/29/21 10:30:00 AM,11711.2,,,,,,,
48,06/29/21 11:00:00 AM,13777.9,24.848,,,,,,
49,06/29/21 11:30:00 AM,34444.7,,,,,,,
50,06/29/21 12:00:00 PM,42711.4,40.419,,,,,,
51,06/29/21 12:30:00 PM,46844.8,,,,,,,
52,06/29/21 01:00:00 PM,26178.0,37.710,,,,,,
53,06/29/21 01:30:00 PM,16533.4,,,,,,,
54,06/29/21 02:00:00 PM,20666.8,34.114,,,,,,
55,06/29/21 02:30:00 PM,33066.9,,,,,,,
56,06/29/21 03:00:00 PM,27555.7,21.735,,,,,,
57,06/29/21 03:30:00 PM,4822.3,,,,,,,
58,06/29/21 04:00:00 PM,13089.0,21.053,,,,,,
59,06/29/21 04:30:00 PM,6200.0,,,,,,,
60,06/29/21 05:00:00 PM,9644.5,20.662,,,,,,
61,06/29/21 05:30:00 PM,5511.1,,,,,,,
62,06/29/21 06:00:00 PM,4477.8,17.474,,,,,,
63,06/29/21 06:30:00 PM,4994.5,,,,,,,
64,06/29/21 07:00:00 PM,1141.0,11.962,,,,,,
65,06/29/21 07:30:00 PM,172.2,,,,,,,
66,06/29/21 08:00:00 PM,64.6,9.176,,,,,,
67,06/29/21 08:30:00 PM,32.3,,,,,,,
68,06/29/21 09:00:00 PM,0.0,7.932,,,,,,
69,06/29/21 09:30:00 PM,0.0,,,,,,,
70,06/29/21 10:00:00 PM,0.0,7.681,,,,,,
71,06/29/21 10:30:00 PM,0.0,,,,,,,
72,06/29/21 11:00:00 PM,0.0,7.882,,,,,,
73,06/29/21 11:30:00 PM,0.0,,,,,,,
74,06/30/21 12:00:00 AM,0.0,7.932,39.843,3.049,,,,
75,06/30/21 12:30:00 AM,0.0,,,,,,,
76,06/30/21 01:00:00 AM,0.0,7.431,,,,,,
77,06/30/21 01:30:00 AM,0.0,,,,,,,
78,06/30/21 02:00:00 AM,0.0,7.380,,,,,,
79,06/30/21 02:30:00 AM,0.0,,,,,,,
80,06/30/21 03:00:00 AM,0.0,5.753,,,,,,
81,06/30/21 03:30:00 AM,0.0,,,,,,,
82,06/30/21 04:00:00 AM,0.0,4.519,,,,,,
83,06/30/21 04:30:00 AM,0.0,,,,,,,
84,06/30/21 05:00:00 AM,0.0,3.734,,,,,,
85,06/30/21 05:30:00 AM,0.0,,,,,,,
86,06/30/21 06:00:00 AM,247.6,3.836,,,,,,
87,06/30/21 06:30:00 AM,559.7,,,,,,,
88,06/30/21 07:00:00 AM,2583.4,8.121,,,,,,
89,06/30/21 07:30:00 AM,3100.0,,,,,,,
90,06/30/21 08:00:00 AM,4133.4,12.784,,,,,,
91,06/30/21 08:30:00 AM,7577.8,,,,,,,
92,06/30/21 09:00:00 AM,8611.2,17.998,,,,,,
93,06/30/21 09:30:00 AM,6544.5,,,,,,,
94,06/30/21 10:00:00 AM,15844.5,28.662,,,,,,
95,06/30/21 10:30:00 AM,23422.4,,,,,,,
96,06/30/21 11:00:00 AM,27555.7,33.298,,,,,,
97,06/30/21 11:30:00 AM,26178.0,,,,,,,
98,06/30/21 12:00:00 PM,13777.9,27.010,,,,,,
99,06/30/21 12:30:00 PM,24800.2,,,,,,,
100,06/30/21 01:00:00 PM,6544.5,32.000,,,,,,
101,06/30/21 01:30:00 PM,7233.4,,,,,,,
102,06/30/21 02:00:00 PM,14466.8,28.537,,,,,,
103,06/30/21 02:30:00 PM,10333.4,,,,,,,
104,06/30/21 03:00:00 PM,34444.7,36.108,,,,,,
105,06/30/21 03:30:00 PM,34444.7,,,,,,,
106,06/30/21 04:00:00 PM,8611.2,26.941,,,,,,
107,06/30/21 04:30:00 PM,7577.8,,,,,,,
108,06/30/21 05:00:00 PM,8266.7,21.951,,,,,,
109,06/30/21 05:30:00 PM,5511.1,,,,,,,
110,06/30/21 06:00:00 PM,14466.8,18.807,,,,,,
111,06/30/21 06:30:00 PM,4133.4,,,,,,,
112,06/30/21 07:00:00 PM,1980.6,14.229,,,,,,
113,06/30/21 07:30:00 PM,2411.1,,,,,,,
114,06/30/21 08:00:00 PM,505.9,12.059,,,,,,
115,06/30/21 08:30:00 PM,150.7,,,,,,,
116,06/30/21 09:00:00 PM,0.0,10.552,,,,,,
117,06/30/21 09:30:00 PM,0.0,,,,,,,
118,06/30/21 10:00:00 PM,0.0,9.570,,,,,,
119,06/30/21 10:30:00 PM,0.0,,,,,,,
120,06/30/21 11:00:00 PM,0.0,9.472,,,,,,
121,06/30/21 11:30:00 PM,0.0,,,,,,,
122,07/01/21 12:00:00 AM,0.0,9.472,44.334,5.244,,,,
123,07/01/21 12:30:00 AM,0.0,,,,,,,
124,07/01/21 01:00:00 AM,0.0,8.779,,,,,,
125,07/01/21 01:30:00 AM,0.0,,,,,,,
126,07/01/21 02:00:00 AM,0.0,5.807,,,,,,
127,07/01/21 02:30:00 AM,0.0,,,,,,,
128,07/01/21 03:00:00 AM,0.0,7.280,,,,,,
129,07/01/21 03:30:00 AM,0.0,,,,,,,
130,07/01/21 04:00:00 AM,0.0,7.531,,,,,,
