"Plot Title: Hobo21-SN10793185"
"#","Date Time, GMT-06:00","Intensity, Lux (LGR S/N: 10793185, SEN S/N: 10793185)","Avg: Hourly Temperature, °C (LGR S/N: 10793185)","Max: Daily Temperature, °C (LGR S/N: 10793185)","Min: Daily Temperature, °C (LGR S/N: 10793185)","Coupler Attached (LGR S/N: 10793185)","Host Connected (LGR S/N: 10793185)","Stopped (LGR S/N: 10793185)","End Of File (LGR S/N: 10793185)"
1,06/28/21 12:00:00 AM,,,36.837,4.415,,,,
2,06/28/21 12:00:00 PM,11711.2,31.467,,,,,,
3,06/28/21 12:30:00 PM,12400.1,,,,,,,
4,06/28/21 01:00:00 PM,10677.8,28.247,,,,,,
5,06/28/21 01:30:00 PM,12400.1,,,,,,,
6,06/28/21 02:00:00 PM,13089.0,21.763,,,,,,
7,06/28/21 02:30:00 PM,7233.4,,,,,,,
8,06/28/21 03:00:00 PM,9644.5,24.607,,,,,,
9,06/28/21 03:30:00 PM,7233.4,,,,,,,
10,06/28/21 04:00:00 PM,1980.6,14.750,,,,,,
11,06/28/21 04:30:00 PM,1377.8,,,,,,,
12,06/28/21 05:00:00 PM,419.8,9.964,,,,,,
13,06/28/21 05:30:00 PM,699.7,,,,,,,
14,06/28/21 06:00:00 PM,667.4,9.620,,,,,,
15,06/28/21 06:30:00 PM,1173.3,,,,,,,
16,06/28/21 07:00:00 PM,1377.8,10.013,,,,,,
17,06/28/21 07:30:00 PM,1259.4,,,,,,,
18,06/28/21 08:00:00 PM,1377.8,9.521,,,,,,
19,06/28/21 08:30:00 PM,322.9,,,,,,,
20,06/28/21 09:00:00 PM,0.0,6.467,,,,,,
21,06/28/21 09:30:00 PM,0.0,,,,,,,
22,06/28/21 10:00:00 PM,0.0,4.778,,,,,,
23,06/28/21 10:30:00 PM,0.0,,,,,,,
24,06/28/21 11:00:00 PM,0.0,4.519,,,,,,
25,06/28/21 11:30:00 PM,0.0,,,,,,,
26,06/29/21 12:00:00 AM,0.0,6.013,43.601,5.962,,,,
27,06/29/21 12:30:00 AM,0.0,,,,,,,
28,06/29/21 01:00:00 AM,0.0,6.268,,,,,,
29,06/29/21 01:30:00 AM,0.0,,,,,,,
30,06/29/21 02:00:00 AM,0.0,6.064,,,,,,
31,06/29/21 02:30:00 AM,0.0,,,,,,,
32,06/29/21 03:00:00 AM,0.0,6.369,,,,,,
33,06/29/21 03:30:00 AM,0.0,,,,,,,
34,06/29/21 04:00:00 AM,0.0,6.522,,,,,,
35,06/29/21 04:30:00 AM,0.0,,,,,,,
36,06/29/21 05:00:00 AM,0.0,6.318,,,,,,
37,06/29/21 05:30:00 AM,0.0,,,,,,,
38,06/29/21 06:00:00 AM,150.7,6.875,,,,,,
39,06/29/21 06:30:00 AM,624.3,,,,,,,
40,06/29/21 07:00:00 AM,2927.8,9.614,,,,,,
41,06/29/21 07:30:00 AM,4133.4,,,,,,,
42,06/29/21 08:00:00 AM,6200.0,14.560,,,,,,
43,06/29/21 08:30:00 AM,8266.7,,,,,,,
44,06/29/21 09:00:00 AM,8611.2,17.237,,,,,,
45,06/29/21 09:30:00 AM,8266.7,,,,,,,
46,06/29/21 10:00:00 AM,8266.7,17.665,,,,,,
47,06/29/21 10:30:00 AM,12400.1,,,,,,,
48,06/29/21 11:00:00 AM,14466.8,24.409,,,,,,
49,06/29/21 11:30:00 AM,44089.2,,,,,,,
50,06/29/21 12:00:00 PM,33066.9,38.835,,,,,,
51,06/29/21 12:30:00 PM,35822.5,,,,,,,
52,06/29/21 01:00:00 PM,26178.0,37.180,,,,,,
