"Plot Title: RMBL light hobo"
"#","Date Time, GMT-06:00","Max: Daily Temperature, °C (LGR S/N: 10731654)","Avg: Hourly Temperature, °C (LGR S/N: 10731654)","End Of File (LGR S/N: 10731654)"
1,06/28/21 12:00:00 AM,29.452,,
2,06/28/21 12:00:00 PM,,25.378,
3,06/28/21 01:00:00 PM,,23.570,
4,06/28/21 02:00:00 PM,,19.648,
5,06/28/21 03:00:00 PM,,19.490,
6,06/28/21 04:00:00 PM,,12.337,
7,06/28/21 05:00:00 PM,,9.027,
8,06/28/21 06:00:00 PM,,8.953,
9,06/28/21 07:00:00 PM,,9.299,
10,06/28/21 08:00:00 PM,,8.487,
11,06/28/21 09:00:00 PM,,5.969,
12,06/28/21 10:00:00 PM,,4.588,
13,06/28/21 11:00:00 PM,,4.777,
14,06/29/21 12:00:00 AM,36.403,5.791,
15,06/29/21 01:00:00 AM,,5.877,
16,06/29/21 02:00:00 AM,,5.868,
17,06/29/21 03:00:00 AM,,6.200,
18,06/29/21 04:00:00 AM,,6.140,
19,06/29/21 05:00:00 AM,,5.936,
20,06/29/21 06:00:00 AM,,6.732,
21,06/29/21 07:00:00 AM,,9.476,
22,06/29/21 08:00:00 AM,,13.619,
23,06/29/21 09:00:00 AM,,15.218,
24,06/29/21 10:00:00 AM,,17.378,
25,06/29/21 11:00:00 AM,,25.445,
26,06/29/21 12:00:00 PM,,32.600,
27,06/29/21 01:00:00 PM,,30.493,
28,06/29/21 02:00:00 PM,,27.356,
29,06/29/21 03:00:00 PM,,18.887,
30,06/29/21 04:00:00 PM,,17.815,
31,06/29/21 05:00:00 PM,,18.378,
32,06/29/21 06:00:00 PM,,14.776,
33,06/29/21 07:00:00 PM,,10.664,
34,06/29/21 08:00:00 PM,,8.206,
35,06/29/21 09:00:00 PM,,7.121,
36,06/29/21 10:00:00 PM,,7.129,
37,06/29/21 11:00:00 PM,,7.314,
38,06/30/21 12:00:00 AM,32.600,7.389,
39,06/30/21 01:00:00 AM,,7.020,
40,06/30/21 02:00:00 AM,,6.809,
41,06/30/21 03:00:00 AM,,4.959,
42,06/30/21 04:00:00 AM,,4.258,
43,06/30/21 05:00:00 AM,,3.259,
44,06/30/21 06:00:00 AM,,4.021,
45,06/30/21 07:00:00 AM,,7.993,
46,06/30/21 08:00:00 AM,,12.155,
47,06/30/21 09:00:00 AM,,16.289,
48,06/30/21 10:00:00 AM,,27.196,
49,06/30/21 11:00:00 AM,,25.179,
50,06/30/21 12:00:00 PM,,25.773,
51,06/30/21 01:00:00 PM,,24.280,
52,06/30/21 02:00:00 PM,,24.852,
53,06/30/21 03:00:00 PM,,29.278,
54,06/30/21 04:00:00 PM,,22.576,
55,06/30/21 05:00:00 PM,,19.972,
56,06/30/21 06:00:00 PM,,15.970,
57,06/30/21 07:00:00 PM,,13.011,
58,06/30/21 08:00:00 PM,,11.049,
59,06/30/21 09:00:00 PM,,9.914,
60,06/30/21 10:00:00 PM,,9.159,
61,06/30/21 11:00:00 PM,,9.085,
62,07/01/21 12:00:00 AM,36.620,9.003,
63,07/01/21 01:00:00 AM,,7.830,
64,07/01/21 02:00:00 AM,,5.824,
65,07/01/21 03:00:00 AM,,7.221,
66,07/01/21 04:00:00 AM,,7.230,
67,07/01/21 05:00:00 AM,,7.129,
68,07/01/21 06:00:00 AM,,7.211,
69,07/01/21 07:00:00 AM,,10.392,
70,07/01/21 08:00:00 AM,,16.241,
71,07/01/21 09:00:00 AM,,25.875,
72,07/01/21 10:00:00 AM,,32.407,
73,07/01/21 11:00:00 AM,,29.561,
74,07/01/21 12:00:00 PM,,27.783,
75,07/01/21 01:00:00 PM,,26.680,
76,07/01/21 02:00:00 PM,,28.582,
77,07/01/21 03:00:00 PM,,32.898,
78,07/01/21 04:00:00 PM,,27.286,
79,07/01/21 05:00:00 PM,,23.764,
80,07/01/21 06:00:00 PM,,16.312,
81,07/01/21 07:00:00 PM,,13.156,
82,07/01/21 08:00:00 PM,,11.203,
83,07/01/21 09:00:00 PM,,9.584,
84,07/01/21 10:00:00 PM,,6.943,
85,07/01/21 11:00:00 PM,,6.445,
86,07/02/21 12:00:00 AM,37.384,6.010,
87,07/02/21 01:00:00 AM,,5.132,
88,07/02/21 02:00:00 AM,,5.269,
89,07/02/21 03:00:00 AM,,4.657,
90,07/02/21 04:00:00 AM,,4.380,
91,07/02/21 05:00:00 AM,,4.718,
92,07/02/21 06:00:00 AM,,4.622,
93,07/02/21 07:00:00 AM,,11.680,
94,07/02/21 08:00:00 AM,,21.886,
95,07/02/21 09:00:00 AM,,29.252,
96,07/02/21 10:00:00 AM,,29.947,
97,07/02/21 11:00:00 AM,,26.885,
98,07/02/21 12:00:00 PM,,23.200,
99,07/02/21 01:00:00 PM,,27.301,
100,07/02/21 02:00:00 PM,,30.272,
101,07/02/21 03:00:00 PM,,34.397,
102,07/02/21 04:00:00 PM,,28.107,
103,07/02/21 05:00:00 PM,,26.652,
104,07/02/21 06:00:00 PM,,18.955,
105,07/02/21 07:00:00 PM,,15.998,
106,07/02/21 08:00:00 PM,,14.842,
107,07/02/21 09:00:00 PM,,12.011,
108,07/02/21 10:00:00 PM,,9.007,
109,07/02/21 11:00:00 PM,,7.120,
110,07/03/21 12:00:00 AM,36.295,6.715,
111,07/03/21 01:00:00 AM,,5.654,
112,07/03/21 02:00:00 AM,,5.141,
113,07/03/21 03:00:00 AM,,4.528,
114,07/03/21 04:00:00 AM,,4.249,
115,07/03/21 05:00:00 AM,,3.507,
116,07/03/21 06:00:00 AM,,4.108,
117,07/03/21 07:00:00 AM,,11.551,
118,07/03/21 08:00:00 AM,,21.629,
119,07/03/21 09:00:00 AM,,29.191,
120,07/03/21 10:00:00 AM,,33.395,
121,07/03/21 11:00:00 AM,,32.033,
122,07/03/21 12:00:00 PM,,27.281,
123,07/03/21 01:00:00 PM,,28.288,
124,07/03/21 02:00:00 PM,,21.971,
125,07/03/21 03:00:00 PM,,31.181,
126,07/03/21 04:00:00 PM,,29.273,
127,07/03/21 05:00:00 PM,,25.765,
128,07/03/21 06:00:00 PM,,17.466,
129,07/03/21 07:00:00 PM,,14.493,
130,07/03/21 08:00:00 PM,,11.694,
131,07/03/21 09:00:00 PM,,7.998,
132,07/03/21 10:00:00 PM,,7.422,
