"Plot Title: Hobo14-10542019"
"#","Date Time, GMT-06:00","Intensity, Lux (LGR S/N: 10542019, SEN S/N: 10542019)","Avg: Hourly Temperature, °C (LGR S/N: 10542019)","Max: Daily Temperature, °C (LGR S/N: 10542019)","Min: Daily Temperature, °C (LGR S/N: 10542019)","Coupler Attached (LGR S/N: 10542019)","Host Connected (LGR S/N: 10542019)","Stopped (LGR S/N: 10542019)","End Of File (LGR S/N: 10542019)"
1,06/29/21 12:00:00 AM,,,37.494,8.282,,,,
2,06/29/21 10:00:00 AM,2755.6,15.330,,,,,,
3,06/29/21 10:30:00 AM,2927.8,,,,,,,
4,06/29/21 11:00:00 AM,3788.9,18.473,,,,,,
5,06/29/21 11:30:00 AM,5338.9,,,,,,,
6,06/29/21 12:00:00 PM,11022.3,27.624,,,,,,
7,06/29/21 12:30:00 PM,6200.0,,,,,,,
8,06/29/21 01:00:00 PM,11711.2,29.627,,,,,,
9,06/29/21 01:30:00 PM,3788.9,,,,,,,
10,06/29/21 02:00:00 PM,4650.0,29.061,,,,,,
11,06/29/21 02:30:00 PM,10677.8,,,,,,,
12,06/29/21 03:00:00 PM,7233.4,24.256,,,,,,
13,06/29/21 03:30:00 PM,5166.7,,,,,,,
14,06/29/21 04:00:00 PM,3961.1,21.760,,,,,,
15,06/29/21 04:30:00 PM,3788.9,,,,,,,
16,06/29/21 05:00:00 PM,4305.6,27.079,,,,,,
17,06/29/21 05:30:00 PM,7233.4,,,,,,,
18,06/29/21 06:00:00 PM,688.9,13.742,,,,,,
19,06/29/21 06:30:00 PM,581.3,,,,,,,
20,06/29/21 07:00:00 PM,764.2,11.284,,,,,,
21,06/29/21 07:30:00 PM,139.9,,,,,,,
22,06/29/21 08:00:00 PM,43.1,10.012,,,,,,
23,06/29/21 08:30:00 PM,10.8,,,,,,,
24,06/29/21 09:00:00 PM,0.0,8.531,,,,,,
25,06/29/21 09:30:00 PM,0.0,,,,,,,
26,06/29/21 10:00:00 PM,0.0,8.381,,,,,,
27,06/29/21 10:30:00 PM,0.0,,,,,,,
28,06/29/21 11:00:00 PM,0.0,8.531,,,,,,
29,06/29/21 11:30:00 PM,0.0,,,,,,,
30,06/30/21 12:00:00 AM,0.0,7.729,41.108,3.788,,,,
31,06/30/21 12:30:00 AM,0.0,,,,,,,
32,06/30/21 01:00:00 AM,0.0,6.115,,,,,,
33,06/30/21 01:30:00 AM,0.0,,,,,,,
34,06/30/21 02:00:00 AM,0.0,5.654,,,,,,
35,06/30/21 02:30:00 AM,0.0,,,,,,,
36,06/30/21 03:00:00 AM,0.0,5.859,,,,,,
37,06/30/21 03:30:00 AM,0.0,,,,,,,
38,06/30/21 04:00:00 AM,0.0,4.726,,,,,,
39,06/30/21 04:30:00 AM,0.0,,,,,,,
40,06/30/21 05:00:00 AM,0.0,4.571,,,,,,
41,06/30/21 05:30:00 AM,0.0,,,,,,,
42,06/30/21 06:00:00 AM,53.8,3.893,,,,,,
43,06/30/21 06:30:00 AM,172.2,,,,,,,
44,06/30/21 07:00:00 AM,183.0,5.885,,,,,,
45,06/30/21 07:30:00 AM,1377.8,,,,,,,
46,06/30/21 08:00:00 AM,3100.0,11.961,,,,,,
47,06/30/21 08:30:00 AM,2755.6,,,,,,,
48,06/30/21 09:00:00 AM,3616.7,15.709,,,,,,
49,06/30/21 09:30:00 AM,3961.1,,,,,,,
50,06/30/21 10:00:00 AM,10677.8,25.710,,,,,,
51,06/30/21 10:30:00 AM,4477.8,,,,,,,
52,06/30/21 11:00:00 AM,7233.4,22.812,,,,,,
53,06/30/21 11:30:00 AM,3616.7,,,,,,,
54,06/30/21 12:00:00 PM,4650.0,23.633,,,,,,
55,06/30/21 12:30:00 PM,4994.5,,,,,,,
56,06/30/21 01:00:00 PM,7577.8,33.262,,,,,,
57,06/30/21 01:30:00 PM,10677.8,,,,,,,
58,06/30/21 02:00:00 PM,11022.3,40.072,,,,,,
59,06/30/21 02:30:00 PM,8266.7,,,,,,,
60,06/30/21 03:00:00 PM,6200.0,39.791,,,,,,
61,06/30/21 03:30:00 PM,11711.2,,,,,,,
62,06/30/21 04:00:00 PM,11022.3,26.415,,,,,,
63,06/30/21 04:30:00 PM,2927.8,,,,,,,
64,06/30/21 05:00:00 PM,3961.1,22.621,,,,,,
65,06/30/21 05:30:00 PM,904.2,,,,,,,
66,06/30/21 06:00:00 PM,2927.8,23.055,,,,,,
67,06/30/21 06:30:00 PM,2411.1,,,,,,,
68,06/30/21 07:00:00 PM,183.0,12.594,,,,,,
69,06/30/21 07:30:00 PM,387.5,,,,,,,
70,06/30/21 08:00:00 PM,1033.3,13.124,,,,,,
71,06/30/21 08:30:00 PM,355.2,,,,,,,
72,06/30/21 09:00:00 PM,0.0,11.867,,,,,,
73,06/30/21 09:30:00 PM,0.0,,,,,,,
74,06/30/21 10:00:00 PM,0.0,10.748,,,,,,
75,06/30/21 10:30:00 PM,0.0,,,,,,,
76,06/30/21 11:00:00 PM,0.0,10.455,,,,,,
77,06/30/21 11:30:00 PM,0.0,,,,,,,
78,07/01/21 12:00:00 AM,0.0,10.112,40.071,7.782,,,,
79,07/01/21 12:30:00 AM,0.0,,,,,,,
80,07/01/21 01:00:00 AM,0.0,9.669,,,,,,
81,07/01/21 01:30:00 AM,0.0,,,,,,,
82,07/01/21 02:00:00 AM,0.0,8.630,,,,,,
83,07/01/21 02:30:00 AM,0.0,,,,,,,
84,07/01/21 03:00:00 AM,0.0,8.332,,,,,,
85,07/01/21 03:30:00 AM,0.0,,,,,,,
86,07/01/21 04:00:00 AM,0.0,7.983,,,,,,
87,07/01/21 04:30:00 AM,0.0,,,,,,,
88,07/01/21 05:00:00 AM,0.0,7.882,,,,,,
89,07/01/21 05:30:00 AM,0.0,,,,,,,
90,07/01/21 06:00:00 AM,107.6,7.832,,,,,,
91,07/01/21 06:30:00 AM,473.6,,,,,,,
92,07/01/21 07:00:00 AM,645.8,11.108,,,,,,
93,07/01/21 07:30:00 AM,3444.5,,,,,,,
94,07/01/21 08:00:00 AM,4477.8,18.616,,,,,,
95,07/01/21 08:30:00 AM,6200.0,,,,,,,
96,07/01/21 09:00:00 AM,2066.7,23.352,,,,,,
97,07/01/21 09:30:00 AM,6544.5,,,,,,,
98,07/01/21 10:00:00 AM,1463.9,22.456,,,,,,
99,07/01/21 10:30:00 AM,8611.2,,,,,,,
100,07/01/21 11:00:00 AM,2325.0,29.871,,,,,,
101,07/01/21 11:30:00 AM,11022.3,,,,,,,
102,07/01/21 12:00:00 PM,14466.8,36.221,,,,,,
103,07/01/21 12:30:00 PM,7233.4,,,,,,,
104,07/01/21 01:00:00 PM,2497.2,22.164,,,,,,
105,07/01/21 01:30:00 PM,3961.1,,,,,,,
106,07/01/21 02:00:00 PM,18600.1,39.114,,,,,,
107,07/01/21 02:30:00 PM,8266.7,,,,,,,
108,07/01/21 03:00:00 PM,13777.9,39.786,,,,,,
109,07/01/21 03:30:00 PM,11711.2,,,,,,,
110,07/01/21 04:00:00 PM,11022.3,39.109,,,,,,
111,07/01/21 04:30:00 PM,10677.8,,,,,,,
112,07/01/21 05:00:00 PM,8266.7,33.587,,,,,,
113,07/01/21 05:30:00 PM,2411.1,,,,,,,
114,07/01/21 06:00:00 PM,6544.5,30.558,,,,,,
115,07/01/21 06:30:00 PM,4822.3,,,,,,,
116,07/01/21 07:00:00 PM,1808.3,23.121,,,,,,
117,07/01/21 07:30:00 PM,688.9,,,,,,,
118,07/01/21 08:00:00 PM,366.0,16.091,,,,,,
119,07/01/21 08:30:00 PM,53.8,,,,,,,
120,07/01/21 09:00:00 PM,0.0,12.304,,,,,,
121,07/01/21 09:30:00 PM,0.0,,,,,,,
122,07/01/21 10:00:00 PM,0.0,11.575,,,,,,
123,07/01/21 10:30:00 PM,0.0,,,,,,,
124,07/01/21 11:00:00 PM,0.0,10.553,,,,,,
125,07/01/21 11:30:00 PM,0.0,,,,,,,
126,07/02/21 12:00:00 AM,0.0,10.063,38.602,3.049,,,,
127,07/02/21 12:30:00 AM,0.0,,,,,,,
128,07/02/21 01:00:00 AM,0.0,8.380,,,,,,
129,07/02/21 01:30:00 AM,0.0,,,,,,,
130,07/02/21 02:00:00 AM,0.0,6.876,,,,,,
131,07/02/21 02:30:00 AM,0.0,,,,,,,
132,07/02/21 03:00:00 AM,0.0,5.448,,,,,,
133,07/02/21 03:30:00 AM,0.0,,,,,,,
134,07/02/21 04:00:00 AM,0.0,4.207,,,,,,
135,07/02/21 04:30:00 AM,0.0,,,,,,,
