"Plot Title: Hobo#2-SN10369061"
"#","Date Time, GMT-06:00","Intensity, Lux (LGR S/N: 10369061, SEN S/N: 10369061)","Avg: Hourly Temperature, °C (LGR S/N: 10369061)","Max: Daily Temperature, °C (LGR S/N: 10369061)","Min: Daily Temperature, °C (LGR S/N: 10369061)","Coupler Attached (LGR S/N: 10369061)","Host Connected (LGR S/N: 10369061)","Stopped (LGR S/N: 10369061)","End Of File (LGR S/N: 10369061)"
1,06/29/21 12:00:00 AM,,,35.435,7.882,,,,
2,06/29/21 10:00:00 AM,1194.8,14.277,,,,,,
3,06/29/21 10:30:00 AM,1463.9,,,,,,,
4,06/29/21 11:00:00 AM,1636.1,17.093,,,,,,
5,06/29/21 11:30:00 AM,2669.5,,,,,,,
6,06/29/21 12:00:00 PM,9300.1,25.761,,,,,,
7,06/29/21 12:30:00 PM,3272.2,,,,,,,
8,06/29/21 01:00:00 PM,12400.1,27.977,,,,,,
9,06/29/21 01:30:00 PM,1894.5,,,,,,,
10,06/29/21 02:00:00 PM,2238.9,28.120,,,,,,
11,06/29/21 02:30:00 PM,7577.8,,,,,,,
12,06/29/21 03:00:00 PM,4133.4,24.159,,,,,,
13,06/29/21 03:30:00 PM,3272.2,,,,,,,
14,06/29/21 04:00:00 PM,1894.5,20.424,,,,,,
15,06/29/21 04:30:00 PM,1894.5,,,,,,,
16,06/29/21 05:00:00 PM,1980.6,24.594,,,,,,
17,06/29/21 05:30:00 PM,2152.8,,,,,,,
18,06/29/21 06:00:00 PM,355.2,13.214,,,,,,
19,06/29/21 06:30:00 PM,290.6,,,,,,,
20,06/29/21 07:00:00 PM,333.7,11.527,,,,,,
21,06/29/21 07:30:00 PM,43.1,,,,,,,
22,06/29/21 08:00:00 PM,21.5,9.668,,,,,,
23,06/29/21 08:30:00 PM,0.0,,,,,,,
24,06/29/21 09:00:00 PM,0.0,8.282,,,,,,
25,06/29/21 09:30:00 PM,0.0,,,,,,,
26,06/29/21 10:00:00 PM,0.0,8.082,,,,,,
27,06/29/21 10:30:00 PM,0.0,,,,,,,
28,06/29/21 11:00:00 PM,0.0,8.282,,,,,,
29,06/29/21 11:30:00 PM,0.0,,,,,,,
30,06/30/21 12:00:00 AM,0.0,7.579,40.761,3.893,,,,
31,06/30/21 12:30:00 AM,0.0,,,,,,,
32,06/30/21 01:00:00 AM,0.0,5.859,,,,,,
33,06/30/21 01:30:00 AM,0.0,,,,,,,
34,06/30/21 02:00:00 AM,0.0,5.603,,,,,,
35,06/30/21 02:30:00 AM,0.0,,,,,,,
36,06/30/21 03:00:00 AM,0.0,5.808,,,,,,
37,06/30/21 03:30:00 AM,0.0,,,,,,,
38,06/30/21 04:00:00 AM,0.0,4.726,,,,,,
39,06/30/21 04:30:00 AM,0.0,,,,,,,
40,06/30/21 05:00:00 AM,0.0,4.623,,,,,,
