"Plot Title: RMBL #12"
"#","Date Time, GMT-06:00","Max: Daily Temperature, °C (LGR S/N: 10731655)","Min: Daily Temperature, °C (LGR S/N: 10731655)","Avg: Hourly Temperature, °C (LGR S/N: 10731655)","Coupler Attached (LGR S/N: 10731655)","Host Connected (LGR S/N: 10731655)","Stopped (LGR S/N: 10731655)","End Of File (LGR S/N: 10731655)"
1,06/29/21 12:00:00 AM,39.502,7.582,,,,,
2,06/29/21 10:00:00 AM,,,15.664,,,,
3,06/29/21 11:00:00 AM,,,18.806,,,,
4,06/29/21 12:00:00 PM,,,28.676,,,,
5,06/29/21 01:00:00 PM,,,30.392,,,,
6,06/29/21 02:00:00 PM,,,29.019,,,,
7,06/29/21 03:00:00 PM,,,24.208,,,,
8,06/29/21 04:00:00 PM,,,21.425,,,,
9,06/29/21 05:00:00 PM,,,26.100,,,,
10,06/29/21 06:00:00 PM,,,12.784,,,,
11,06/29/21 07:00:00 PM,,,11.527,,,,
12,06/29/21 08:00:00 PM,,,9.470,,,,
13,06/29/21 09:00:00 PM,,,7.832,,,,
14,06/29/21 10:00:00 PM,,,7.782,,,,
15,06/29/21 11:00:00 PM,,,8.082,,,,
16,06/30/21 12:00:00 AM,42.401,3.261,7.175,,,,
17,06/30/21 01:00:00 AM,,,5.243,,,,
18,06/30/21 02:00:00 AM,,,5.037,,,,
19,06/30/21 03:00:00 AM,,,5.294,,,,
20,06/30/21 04:00:00 AM,,,3.945,,,,
21,06/30/21 05:00:00 AM,,,3.944,,,,
22,06/30/21 06:00:00 AM,,,3.314,,,,
23,06/30/21 07:00:00 AM,,,6.813,,,,
24,06/30/21 08:00:00 AM,,,13.361,,,,
25,06/30/21 09:00:00 AM,,,17.997,,,,
26,06/30/21 10:00:00 AM,,,32.209,,,,
27,06/30/21 11:00:00 AM,,,23.966,,,,
28,06/30/21 12:00:00 PM,,,24.067,,,,
29,06/30/21 01:00:00 PM,,,34.200,,,,
30,06/30/21 02:00:00 PM,,,40.823,,,,
31,06/30/21 03:00:00 PM,,,39.901,,,,
32,06/30/21 04:00:00 PM,,,26.461,,,,
33,06/30/21 05:00:00 PM,,,21.282,,,,
34,06/30/21 06:00:00 PM,,,21.140,,,,
35,06/30/21 07:00:00 PM,,,11.964,,,,
36,06/30/21 08:00:00 PM,,,12.593,,,,
37,06/30/21 09:00:00 PM,,,11.139,,,,
38,06/30/21 10:00:00 PM,,,10.210,,,,
39,06/30/21 11:00:00 PM,,,9.915,,,,
40,07/01/21 12:00:00 AM,44.211,7.179,9.669,,,,
41,07/01/21 01:00:00 AM,,,9.077,,,,
42,07/01/21 02:00:00 AM,,,7.982,,,,
43,07/01/21 03:00:00 AM,,,7.832,,,,
44,07/01/21 04:00:00 AM,,,7.431,,,,
45,07/01/21 05:00:00 AM,,,7.330,,,,
46,07/01/21 06:00:00 AM,,,7.531,,,,
47,07/01/21 07:00:00 AM,,,12.635,,,,
48,07/01/21 08:00:00 AM,,,22.047,,,,
49,07/01/21 09:00:00 AM,,,27.716,,,,
50,07/01/21 10:00:00 AM,,,26.707,,,,
51,07/01/21 11:00:00 AM,,,33.274,,,,
52,07/01/21 12:00:00 PM,,,39.770,,,,
53,07/01/21 01:00:00 PM,,,22.602,,,,
54,07/01/21 02:00:00 PM,,,39.967,,,,
55,07/01/21 03:00:00 PM,,,39.731,,,,
56,07/01/21 04:00:00 PM,,,36.405,,,,
57,07/01/21 05:00:00 PM,,,31.176,,,,
58,07/01/21 06:00:00 PM,,,27.272,,,,
59,07/01/21 07:00:00 PM,,,20.715,,,,
60,07/01/21 08:00:00 PM,,,14.178,,,,
61,07/01/21 09:00:00 PM,,,10.259,,,,
62,07/01/21 10:00:00 PM,,,10.306,,,,
63,07/01/21 11:00:00 PM,,,9.422,,,,
64,07/02/21 12:00:00 AM,39.729,1.764,9.324,,,,
65,07/02/21 01:00:00 AM,,,7.024,,,,
66,07/02/21 02:00:00 AM,,,5.295,,,,
67,07/02/21 03:00:00 AM,,,4.101,,,,
68,07/02/21 04:00:00 AM,,,2.784,,,,
69,07/02/21 05:00:00 AM,,,2.087,,,,
70,07/02/21 06:00:00 AM,,,2.141,,,,
71,07/02/21 07:00:00 AM,,,9.547,,,,
72,07/02/21 08:00:00 AM,,,23.397,,,,
73,07/02/21 09:00:00 AM,,,31.583,,,,
74,07/02/21 10:00:00 AM,,,37.618,,,,
75,07/02/21 11:00:00 AM,,,31.606,,,,
76,07/02/21 12:00:00 PM,,,22.342,,,,
77,07/02/21 01:00:00 PM,,,19.286,,,,
