"Plot Title: KCA2020-03"
"#","Date Time, GMT-06:00","Max: Daily Temperature, °C (LGR S/N: 10731661)","Min: Daily Temperature, °C (LGR S/N: 10731661)","Avg: Hourly Temperature, °C (LGR S/N: 10731661)","Coupler Attached (LGR S/N: 10731661)","Host Connected (LGR S/N: 10731661)","Coupler Detached (LGR S/N: 10731661)","Stopped (LGR S/N: 10731661)","End Of File (LGR S/N: 10731661)"
1,06/29/21 12:00:00 AM,30.963,6.573,,,,,,
2,06/29/21 10:00:00 AM,,,14.037,,,,,
3,06/29/21 11:00:00 AM,,,16.140,,,,,
4,06/29/21 12:00:00 PM,,,22.527,,,,,
5,06/29/21 01:00:00 PM,,,24.314,,,,,
6,06/29/21 02:00:00 PM,,,22.960,,,,,
7,06/29/21 03:00:00 PM,,,19.472,,,,,
8,06/29/21 04:00:00 PM,,,17.807,,,,,
9,06/29/21 05:00:00 PM,,,20.901,,,,,
10,06/29/21 06:00:00 PM,,,10.986,,,,,
11,06/29/21 07:00:00 PM,,,9.422,,,,,
12,06/29/21 08:00:00 PM,,,7.880,,,,,
13,06/29/21 09:00:00 PM,,,6.775,,,,,
14,06/29/21 10:00:00 PM,,,6.826,,,,,
15,06/29/21 11:00:00 PM,,,7.079,,,,,
16,06/30/21 12:00:00 AM,33.014,2.088,6.263,,,,,
17,06/30/21 01:00:00 AM,,,4.726,,,,,
18,06/30/21 02:00:00 AM,,,4.050,,,,,
19,06/30/21 03:00:00 AM,,,4.623,,,,,
20,06/30/21 04:00:00 AM,,,3.261,,,,,
21,06/30/21 05:00:00 AM,,,3.154,,,,,
22,06/30/21 06:00:00 AM,,,2.463,,,,,
23,06/30/21 07:00:00 AM,,,3.769,,,,,
24,06/30/21 08:00:00 AM,,,9.519,,,,,
25,06/30/21 09:00:00 AM,,,12.638,,,,,
26,06/30/21 10:00:00 AM,,,21.237,,,,,
27,06/30/21 11:00:00 AM,,,18.378,,,,,
28,06/30/21 12:00:00 PM,,,19.425,,,,,
29,06/30/21 01:00:00 PM,,,27.243,,,,,
30,06/30/21 02:00:00 PM,,,31.831,,,,,
31,06/30/21 03:00:00 PM,,,31.167,,,,,
32,06/30/21 04:00:00 PM,,,21.191,,,,,
33,06/30/21 05:00:00 PM,,,17.950,,,,,
34,06/30/21 06:00:00 PM,,,18.473,,,,,
35,06/30/21 07:00:00 PM,,,10.504,,,,,
36,06/30/21 08:00:00 PM,,,10.846,,,,,
37,06/30/21 09:00:00 PM,,,10.112,,,,,
38,06/30/21 10:00:00 PM,,,9.127,,,,,
39,06/30/21 11:00:00 PM,,,9.077,,,,,
40,07/01/21 12:00:00 AM,32.600,6.471,8.829,,,,,
41,07/01/21 01:00:00 AM,,,8.232,,,,,
42,07/01/21 02:00:00 AM,,,7.179,,,,,
43,07/01/21 03:00:00 AM,,,7.079,,,,,
44,07/01/21 04:00:00 AM,,,6.877,,,,,
45,07/01/21 05:00:00 AM,,,6.623,,,,,
46,07/01/21 06:00:00 AM,,,6.724,,,,,
47,07/01/21 07:00:00 AM,,,9.056,,,,,
48,07/01/21 08:00:00 AM,,,14.851,,,,,
49,07/01/21 09:00:00 AM,,,20.000,,,,,
50,07/01/21 10:00:00 AM,,,19.191,,,,,
51,07/01/21 11:00:00 AM,,,24.111,,,,,
52,07/01/21 12:00:00 PM,,,29.202,,,,,
53,07/01/21 01:00:00 PM,,,18.521,,,,,
54,07/01/21 02:00:00 PM,,,31.779,,,,,
55,07/01/21 03:00:00 PM,,,31.829,,,,,
56,07/01/21 04:00:00 PM,,,26.040,,,,,
57,07/01/21 05:00:00 PM,,,24.641,,,,,
58,07/01/21 06:00:00 PM,,,22.720,,,,,
59,07/01/21 07:00:00 PM,,,16.092,,,,,
60,07/01/21 08:00:00 PM,,,11.717,,,,,
61,07/01/21 09:00:00 PM,,,8.729,,,,,
62,07/01/21 10:00:00 PM,,,9.073,,,,,
63,07/01/21 11:00:00 PM,,,8.630,,,,,
64,07/02/21 12:00:00 AM,29.053,0.893,8.928,,,,,
65,07/02/21 01:00:00 AM,,,6.215,,,,,
66,07/02/21 02:00:00 AM,,,4.571,,,,,
67,07/02/21 03:00:00 AM,,,3.154,,,,,
68,07/02/21 04:00:00 AM,,,1.655,,,,,
69,07/02/21 05:00:00 AM,,,1.112,,,,,
70,07/02/21 06:00:00 AM,,,1.166,,,,,
71,07/02/21 07:00:00 AM,,,4.831,,,,,
72,07/02/21 08:00:00 AM,,,14.941,,,,,
73,07/02/21 09:00:00 AM,,,22.672,,,,,
74,07/02/21 10:00:00 AM,,,26.586,,,,,
75,07/02/21 11:00:00 AM,,,24.072,,,,,
76,07/02/21 12:00:00 PM,,,19.044,,,,,
77,07/02/21 01:00:00 PM,,,16.130,,,,,
78,07/02/21 02:00:00 PM,,,17.268,,,,,
79,07/02/21 03:00:00 PM,,,28.012,,,,,
80,07/02/21 04:00:00 PM,,,25.070,,,,,
81,07/02/21 05:00:00 PM,,,17.950,,,,,
82,07/02/21 06:00:00 PM,,,20.996,,,,,
83,07/02/21 07:00:00 PM,,,17.950,,,,,
84,07/02/21 08:00:00 PM,,,13.605,,,,,
85,07/02/21 09:00:00 PM,,,11.859,,,,,
86,07/02/21 10:00:00 PM,,,9.319,,,,,
87,07/02/21 11:00:00 PM,,,6.215,,,,,
88,07/03/21 12:00:00 AM,30.760,-0.102,4.517,,,,,
89,07/03/21 01:00:00 AM,,,3.471,,,,,
90,07/03/21 02:00:00 AM,,,2.677,,,,,
91,07/03/21 03:00:00 AM,,,1.601,,,,,
92,07/03/21 04:00:00 AM,,,1.002,,,,,
93,07/03/21 05:00:00 AM,,,0.395,,,,,
94,07/03/21 06:00:00 AM,,,0.618,,,,,
95,07/03/21 07:00:00 AM,,,4.522,,,,,
96,07/03/21 08:00:00 AM,,,14.316,,,,,
97,07/03/21 09:00:00 AM,,,18.187,,,,,
98,07/03/21 10:00:00 AM,,,27.363,,,,,
99,07/03/21 11:00:00 AM,,,30.155,,,,,
100,07/03/21 12:00:00 PM,,,26.970,,,,,
101,07/03/21 01:00:00 PM,,,24.547,,,,,
102,07/03/21 02:00:00 PM,,,25.040,,,,,
103,07/03/21 03:00:00 PM,,,27.089,,,,,
104,07/03/21 04:00:00 PM,,,23.540,,,,,
105,07/03/21 05:00:00 PM,,,24.883,,,,,
106,07/03/21 06:00:00 PM,,,22.003,,,,,
107,07/03/21 07:00:00 PM,,,14.512,,,,,
108,07/03/21 08:00:00 PM,,,9.763,,,,,
109,07/03/21 09:00:00 PM,,,6.825,,,,,
110,07/03/21 10:00:00 PM,,,6.216,,,,,
111,07/03/21 11:00:00 PM,,,3.942,,,,,
112,07/04/21 12:00:00 AM,38.046,-0.662,2.354,,,,,
113,07/04/21 01:00:00 AM,,,1.872,,,,,
114,07/04/21 02:00:00 AM,,,1.601,,,,,
115,07/04/21 03:00:00 AM,,,0.838,,,,,
116,07/04/21 04:00:00 AM,,,0.397,,,,,
117,07/04/21 05:00:00 AM,,,-0.437,,,,,
118,07/04/21 06:00:00 AM,,,-0.049,,,,,
119,07/04/21 07:00:00 AM,,,3.943,,,,,
120,07/04/21 08:00:00 AM,,,14.889,,,,,
121,07/04/21 09:00:00 AM,,,24.166,,,,,
122,07/04/21 10:00:00 AM,,,23.950,,,,,
123,07/04/21 11:00:00 AM,,,34.387,,,,,
124,07/04/21 12:00:00 PM,,,33.749,,,,,
125,07/04/21 01:00:00 PM,,,33.710,,,,,
126,07/04/21 02:00:00 PM,,,29.667,,,,,
127,07/04/21 03:00:00 PM,,,31.630,,,,,
128,07/04/21 04:00:00 PM,,,25.223,,,,,
129,07/04/21 05:00:00 PM,,,23.727,,,,,
130,07/04/21 06:00:00 PM,,,21.712,,,,,
131,07/04/21 07:00:00 PM,,,18.712,,,,,
132,07/04/21 08:00:00 PM,,,14.371,,,,,
133,07/04/21 09:00:00 PM,,,11.333,,,,,
134,07/04/21 10:00:00 PM,,,8.875,,,,,
135,07/04/21 11:00:00 PM,,,7.531,,,,,
136,07/05/21 12:00:00 AM,33.535,1.003,6.064,,,,,
137,07/05/21 01:00:00 AM,,,5.449,,,,,
138,07/05/21 02:00:00 AM,,,3.577,,,,,
139,07/05/21 03:00:00 AM,,,2.730,,,,,
140,07/05/21 04:00:00 AM,,,1.872,,,,,
141,07/05/21 05:00:00 AM,,,1.330,,,,,
142,07/05/21 06:00:00 AM,,,1.275,,,,,
143,07/05/21 07:00:00 AM,,,5.250,,,,,
144,07/05/21 08:00:00 AM,,,16.037,,,,,
145,07/05/21 09:00:00 AM,,,24.939,,,,,
146,07/05/21 10:00:00 AM,,,30.054,,,,,
147,07/05/21 11:00:00 AM,,,29.233,,,,,
148,07/05/21 12:00:00 PM,,,15.062,,,,,
149,07/05/21 01:00:00 PM,,,10.008,,,,,
150,07/05/21 02:00:00 PM,,,9.962,,,,,
151,07/05/21 03:00:00 PM,,,13.651,,,,,
152,07/05/21 04:00:00 PM,,,17.712,,,,,
153,07/05/21 05:00:00 PM,,,14.324,,,,,
154,07/05/21 06:00:00 PM,,,13.605,,,,,
155,07/05/21 07:00:00 PM,,,12.107,,,,,
156,07/05/21 08:00:00 PM,,,10.014,,,,,
157,07/05/21 09:00:00 PM,,,9.472,,,,,
158,07/05/21 10:00:00 PM,,,8.581,,,,,
159,07/05/21 11:00:00 PM,,,8.581,,,,,
160,07/06/21 12:00:00 AM,37.494,2.195,7.981,,,,,
161,07/06/21 01:00:00 AM,,,6.215,,,,,
162,07/06/21 02:00:00 AM,,,4.881,,,,,
163,07/06/21 03:00:00 AM,,,3.683,,,,,
164,07/06/21 04:00:00 AM,,,2.463,,,,,
165,07/06/21 05:00:00 AM,,,2.249,,,,,
166,07/06/21 06:00:00 AM,,,2.942,,,,,
167,07/06/21 07:00:00 AM,,,6.960,,,,,
168,07/06/21 08:00:00 AM,,,12.633,,,,,
169,07/06/21 09:00:00 AM,,,18.283,,,,,
170,07/06/21 10:00:00 AM,,,20.236,,,,,
171,07/06/21 11:00:00 AM,,,22.669,,,,,
172,07/06/21 12:00:00 PM,,,29.271,,,,,
173,07/06/21 01:00:00 PM,,,33.323,,,,,
174,07/06/21 02:00:00 PM,,,35.651,,,,,
175,07/06/21 03:00:00 PM,,,32.191,,,,,
176,07/06/21 04:00:00 PM,,,25.565,,,,,
177,07/06/21 05:00:00 PM,,,23.726,,,,,
178,07/06/21 06:00:00 PM,,,22.819,,,,,
179,07/06/21 07:00:00 PM,,,17.950,,,,,
180,07/06/21 08:00:00 PM,,,12.681,,,,,
181,07/06/21 09:00:00 PM,,,9.521,,,,,
182,07/06/21 10:00:00 PM,,,9.513,,,,,
183,07/06/21 11:00:00 PM,,,10.602,,,,,
184,07/07/21 12:00:00 AM,40.185,1.003,7.880,,,,,
185,07/07/21 01:00:00 AM,,,6.977,,,,,
186,07/07/21 02:00:00 AM,,,5.396,,,,,
187,07/07/21 03:00:00 AM,,,3.524,,,,,
188,07/07/21 04:00:00 AM,,,3.049,,,,,
189,07/07/21 05:00:00 AM,,,2.032,,,,,
190,07/07/21 06:00:00 AM,,,1.491,,,,,
191,07/07/21 07:00:00 AM,,,4.835,,,,,
192,07/07/21 08:00:00 AM,,,15.227,,,,,
193,07/07/21 09:00:00 AM,,,22.962,,,,,
194,07/07/21 10:00:00 AM,,,27.916,,,,,
195,07/07/21 11:00:00 AM,,,31.735,,,,,
196,07/07/21 12:00:00 PM,,,35.922,,,,,
197,07/07/21 01:00:00 PM,,,34.271,,,,,
198,07/07/21 02:00:00 PM,,,35.569,,,,,
199,07/07/21 03:00:00 PM,,,35.124,,,,,
200,07/07/21 04:00:00 PM,,,22.430,,,,,
201,07/07/21 05:00:00 PM,,,24.595,,,,,
202,07/07/21 06:00:00 PM,,,25.031,,,,,
203,07/07/21 07:00:00 PM,,,19.760,,,,,
204,07/07/21 08:00:00 PM,,,11.473,,,,,
205,07/07/21 09:00:00 PM,,,8.630,,,,,
206,07/07/21 10:00:00 PM,,,7.427,,,,,
207,07/07/21 11:00:00 PM,,,4.931,,,,,
208,07/08/21 12:00:00 AM,41.108,0.563,3.891,,,,,
209,07/08/21 01:00:00 AM,,,2.622,,,,,
210,07/08/21 02:00:00 AM,,,2.087,,,,,
211,07/08/21 03:00:00 AM,,,1.439,,,,,
212,07/08/21 04:00:00 AM,,,1.275,,,,,
213,07/08/21 05:00:00 AM,,,0.673,,,,,
214,07/08/21 06:00:00 AM,,,1.546,,,,,
215,07/08/21 07:00:00 AM,,,6.604,,,,,
216,07/08/21 08:00:00 AM,,,15.468,,,,,
217,07/08/21 09:00:00 AM,,,23.971,,,,,
218,07/08/21 10:00:00 AM,,,28.706,,,,,
219,07/08/21 11:00:00 AM,,,32.497,,,,,
220,07/08/21 12:00:00 PM,,,36.569,,,,,
221,07/08/21 01:00:00 PM,,,33.509,,,,,
222,07/08/21 02:00:00 PM,,,35.631,,,,,
223,07/08/21 03:00:00 PM,,,33.867,,,,,
224,07/08/21 04:00:00 PM,,,26.842,,,,,
225,07/08/21 05:00:00 PM,,,23.966,,,,,
226,07/08/21 06:00:00 PM,,,24.887,,,,,
227,07/08/21 07:00:00 PM,,,19.425,,,,,
228,07/08/21 08:00:00 PM,,,13.263,,,,,
229,07/08/21 09:00:00 PM,,,10.504,,,,,
230,07/08/21 10:00:00 PM,,,10.402,,,,,
231,07/08/21 11:00:00 PM,,,7.224,,,,,
232,07/09/21 12:00:00 AM,41.458,2.837,4.777,,,,,
233,07/09/21 01:00:00 AM,,,3.945,,,,,
234,07/09/21 02:00:00 AM,,,4.467,,,,,
235,07/09/21 03:00:00 AM,,,5.141,,,,,
236,07/09/21 04:00:00 AM,,,3.996,,,,,
237,07/09/21 05:00:00 AM,,,2.943,,,,,
238,07/09/21 06:00:00 AM,,,3.683,,,,,
239,07/09/21 07:00:00 AM,,,6.990,,,,,
240,07/09/21 08:00:00 AM,,,13.825,,,,,
241,07/09/21 09:00:00 AM,,,22.300,,,,,
242,07/09/21 10:00:00 AM,,,30.156,,,,,
243,07/09/21 11:00:00 AM,,,35.303,,,,,
244,07/09/21 12:00:00 PM,,,40.764,,,,,
245,07/09/21 01:00:00 PM,,,35.799,,,,,
246,07/09/21 02:00:00 PM,,,39.115,,,,,
247,07/09/21 03:00:00 PM,,,26.601,,,,,
248,07/09/21 04:00:00 PM,,,24.741,,,,,
249,07/09/21 05:00:00 PM,,,25.078,,,,,
250,07/09/21 06:00:00 PM,,,24.545,,,,,
251,07/09/21 07:00:00 PM,,,17.902,,,,,
252,07/09/21 08:00:00 PM,,,13.460,,,,,
253,07/09/21 09:00:00 PM,,,9.713,,,,,
254,07/09/21 10:00:00 PM,,,6.977,,,,,
255,07/09/21 11:00:00 PM,,,6.268,,,,,
256,07/10/21 12:00:00 AM,40.071,-1.341,4.623,,,,,
257,07/10/21 01:00:00 AM,,,3.942,,,,,
258,07/10/21 02:00:00 AM,,,2.837,,,,,
259,07/10/21 03:00:00 AM,,,1.871,,,,,
