"Plot Title: KCA2020-08"
"#","Date Time, GMT-06:00","Max: Daily Temperature, °C (LGR S/N: 10731653)","Min: Daily Temperature, °C (LGR S/N: 10731653)","Avg: Hourly Temperature, °C (LGR S/N: 10731653)","Coupler Attached (LGR S/N: 10731653)","Host Connected (LGR S/N: 10731653)","Stopped (LGR S/N: 10731653)","End Of File (LGR S/N: 10731653)"
1,06/29/21 12:00:00 AM,31.472,6.674,,,,,
2,06/29/21 10:00:00 AM,,,14.421,,,,
3,06/29/21 11:00:00 AM,,,16.759,,,,
4,06/29/21 12:00:00 PM,,,24.697,,,,
5,06/29/21 01:00:00 PM,,,25.091,,,,
6,06/29/21 02:00:00 PM,,,24.305,,,,
7,06/29/21 03:00:00 PM,,,20.758,,,,
8,06/29/21 04:00:00 PM,,,18.996,,,,
9,06/29/21 05:00:00 PM,,,24.162,,,,
10,06/29/21 06:00:00 PM,,,11.765,,,,
11,06/29/21 07:00:00 PM,,,10.307,,,,
12,06/29/21 08:00:00 PM,,,8.479,,,,
13,06/29/21 09:00:00 PM,,,6.927,,,,
14,06/29/21 10:00:00 PM,,,6.926,,,,
15,06/29/21 11:00:00 PM,,,7.179,,,,
16,06/30/21 12:00:00 AM,33.743,1.764,6.518,,,,
17,06/30/21 01:00:00 AM,,,4.569,,,,
18,06/30/21 02:00:00 AM,,,4.207,,,,
19,06/30/21 03:00:00 AM,,,4.571,,,,
20,06/30/21 04:00:00 AM,,,3.314,,,,
21,06/30/21 05:00:00 AM,,,3.154,,,,
22,06/30/21 06:00:00 AM,,,2.357,,,,
23,06/30/21 07:00:00 AM,,,4.168,,,,
24,06/30/21 08:00:00 AM,,,9.961,,,,
25,06/30/21 09:00:00 AM,,,13.794,,,,
26,06/30/21 10:00:00 AM,,,23.299,,,,
27,06/30/21 11:00:00 AM,,,19.852,,,,
28,06/30/21 12:00:00 PM,,,20.664,,,,
29,06/30/21 01:00:00 PM,,,28.086,,,,
30,06/30/21 02:00:00 PM,,,32.863,,,,
31,06/30/21 03:00:00 PM,,,33.222,,,,
32,06/30/21 04:00:00 PM,,,23.255,,,,
33,06/30/21 05:00:00 PM,,,19.758,,,,
34,06/30/21 06:00:00 PM,,,20.568,,,,
35,06/30/21 07:00:00 PM,,,11.041,,,,
36,06/30/21 08:00:00 PM,,,11.382,,,,
37,06/30/21 09:00:00 PM,,,10.406,,,,
38,06/30/21 10:00:00 PM,,,9.422,,,,
39,06/30/21 11:00:00 PM,,,9.225,,,,
40,07/01/21 12:00:00 AM,35.649,6.573,8.928,,,,
41,07/01/21 01:00:00 AM,,,8.332,,,,
42,07/01/21 02:00:00 AM,,,7.280,,,,
43,07/01/21 03:00:00 AM,,,7.079,,,,
44,07/01/21 04:00:00 AM,,,6.877,,,,
45,07/01/21 05:00:00 AM,,,6.674,,,,
46,07/01/21 06:00:00 AM,,,6.724,,,,
47,07/01/21 07:00:00 AM,,,9.152,,,,
48,07/01/21 08:00:00 AM,,,14.610,,,,
49,07/01/21 09:00:00 AM,,,21.102,,,,
50,07/01/21 10:00:00 AM,,,20.584,,,,
51,07/01/21 11:00:00 AM,,,27.148,,,,
52,07/01/21 12:00:00 PM,,,32.700,,,,
53,07/01/21 01:00:00 PM,,,19.381,,,,
54,07/01/21 02:00:00 PM,,,32.503,,,,
55,07/01/21 03:00:00 PM,,,31.371,,,,
56,07/01/21 04:00:00 PM,,,31.167,,,,
57,07/01/21 05:00:00 PM,,,28.407,,,,
58,07/01/21 06:00:00 PM,,,25.416,,,,
59,07/01/21 07:00:00 PM,,,19.236,,,,
60,07/01/21 08:00:00 PM,,,13.313,,,,
61,07/01/21 09:00:00 PM,,,9.422,,,,
62,07/01/21 10:00:00 PM,,,9.717,,,,
63,07/01/21 11:00:00 PM,,,8.630,,,,
64,07/02/21 12:00:00 AM,34.796,1.003,8.482,,,,
65,07/02/21 01:00:00 AM,,,6.619,,,,
66,07/02/21 02:00:00 AM,,,4.623,,,,
67,07/02/21 03:00:00 AM,,,3.471,,,,
68,07/02/21 04:00:00 AM,,,2.195,,,,
