"Plot Title: RMBL #5"
"#","Date Time, GMT-06:00","Max: Daily Temperature, °C (LGR S/N: 10731651)","Min: Daily Temperature, °C (LGR S/N: 10731651)","Avg: Hourly Temperature, °C (LGR S/N: 10731651)","Host Connected (LGR S/N: 10731651)","Coupler Attached (LGR S/N: 10731651)","Stopped (LGR S/N: 10731651)","End Of File (LGR S/N: 10731651)"
1,06/29/21 12:00:00 AM,30.457,6.471,,,,,
2,06/29/21 10:00:00 AM,,,14.133,,,,
3,06/29/21 11:00:00 AM,,,16.092,,,,
4,06/29/21 12:00:00 PM,,,23.103,,,,
5,06/29/21 01:00:00 PM,,,24.299,,,,
6,06/29/21 02:00:00 PM,,,23.486,,,,
7,06/29/21 03:00:00 PM,,,19.520,,,,
8,06/29/21 04:00:00 PM,,,17.950,,,,
9,06/29/21 05:00:00 PM,,,22.814,,,,
10,06/29/21 06:00:00 PM,,,11.422,,,,
11,06/29/21 07:00:00 PM,,,9.570,,,,
12,06/29/21 08:00:00 PM,,,7.929,,,,
13,06/29/21 09:00:00 PM,,,6.623,,,,
14,06/29/21 10:00:00 PM,,,6.724,,,,
15,06/29/21 11:00:00 PM,,,6.978,,,,
16,06/30/21 12:00:00 AM,34.058,1.872,6.212,,,,
17,06/30/21 01:00:00 AM,,,4.571,,,,
18,06/30/21 02:00:00 AM,,,3.945,,,,
19,06/30/21 03:00:00 AM,,,4.467,,,,
20,06/30/21 04:00:00 AM,,,3.102,,,,
21,06/30/21 05:00:00 AM,,,3.048,,,,
22,06/30/21 06:00:00 AM,,,2.141,,,,
23,06/30/21 07:00:00 AM,,,3.248,,,,
24,06/30/21 08:00:00 AM,,,9.617,,,,
25,06/30/21 09:00:00 AM,,,13.169,,,,
26,06/30/21 10:00:00 AM,,,21.287,,,,
27,06/30/21 11:00:00 AM,,,18.235,,,,
28,06/30/21 12:00:00 PM,,,19.473,,,,
29,06/30/21 01:00:00 PM,,,27.148,,,,
30,06/30/21 02:00:00 PM,,,32.308,,,,
31,06/30/21 03:00:00 PM,,,32.189,,,,
32,06/30/21 04:00:00 PM,,,20.999,,,,
33,06/30/21 05:00:00 PM,,,18.188,,,,
34,06/30/21 06:00:00 PM,,,19.473,,,,
35,06/30/21 07:00:00 PM,,,10.748,,,,
36,06/30/21 08:00:00 PM,,,10.895,,,,
37,06/30/21 09:00:00 PM,,,10.112,,,,
38,06/30/21 10:00:00 PM,,,9.077,,,,
39,06/30/21 11:00:00 PM,,,8.978,,,,
40,07/01/21 12:00:00 AM,34.163,6.370,8.829,,,,
41,07/01/21 01:00:00 AM,,,8.182,,,,
42,07/01/21 02:00:00 AM,,,7.078,,,,
43,07/01/21 03:00:00 AM,,,6.927,,,,
44,07/01/21 04:00:00 AM,,,6.775,,,,
45,07/01/21 05:00:00 AM,,,6.522,,,,
46,07/01/21 06:00:00 AM,,,6.573,,,,
47,07/01/21 07:00:00 AM,,,8.269,,,,
48,07/01/21 08:00:00 AM,,,14.706,,,,
49,07/01/21 09:00:00 AM,,,20.142,,,,
50,07/01/21 10:00:00 AM,,,19.047,,,,
51,07/01/21 11:00:00 AM,,,23.663,,,,
52,07/01/21 12:00:00 PM,,,28.796,,,,
53,07/01/21 01:00:00 PM,,,18.999,,,,
54,07/01/21 02:00:00 PM,,,31.577,,,,
55,07/01/21 03:00:00 PM,,,33.227,,,,
56,07/01/21 04:00:00 PM,,,31.676,,,,
57,07/01/21 05:00:00 PM,,,28.708,,,,
58,07/01/21 06:00:00 PM,,,25.418,,,,
59,07/01/21 07:00:00 PM,,,19.332,,,,
60,07/01/21 08:00:00 PM,,,12.105,,,,
61,07/01/21 09:00:00 PM,,,8.878,,,,
62,07/01/21 10:00:00 PM,,,8.974,,,,
63,07/01/21 11:00:00 PM,,,8.232,,,,
64,07/02/21 12:00:00 AM,31.880,0.893,8.482,,,,
65,07/02/21 01:00:00 AM,,,6.010,,,,
66,07/02/21 02:00:00 AM,,,4.467,,,,
67,07/02/21 03:00:00 AM,,,3.048,,,,
68,07/02/21 04:00:00 AM,,,1.925,,,,
69,07/02/21 05:00:00 AM,,,1.275,,,,
70,07/02/21 06:00:00 AM,,,1.166,,,,
71,07/02/21 07:00:00 AM,,,4.070,,,,
72,07/02/21 08:00:00 AM,,,13.640,,,,
73,07/02/21 09:00:00 AM,,,23.348,,,,
74,07/02/21 10:00:00 AM,,,26.884,,,,
75,07/02/21 11:00:00 AM,,,24.819,,,,
76,07/02/21 12:00:00 PM,,,19.761,,,,
77,07/02/21 01:00:00 PM,,,16.418,,,,
78,07/02/21 02:00:00 PM,,,17.079,,,,
79,07/02/21 03:00:00 PM,,,29.970,,,,
80,07/02/21 04:00:00 PM,,,30.816,,,,
81,07/02/21 05:00:00 PM,,,19.235,,,,
82,07/02/21 06:00:00 PM,,,22.816,,,,
83,07/02/21 07:00:00 PM,,,19.663,,,,
84,07/02/21 08:00:00 PM,,,13.700,,,,
85,07/02/21 09:00:00 PM,,,11.909,,,,
86,07/02/21 10:00:00 PM,,,8.777,,,,
87,07/02/21 11:00:00 PM,,,6.164,,,,
88,07/03/21 12:00:00 AM,31.370,0.121,4.622,,,,
89,07/03/21 01:00:00 AM,,,3.471,,,,
90,07/03/21 02:00:00 AM,,,2.677,,,,
91,07/03/21 03:00:00 AM,,,1.655,,,,
92,07/03/21 04:00:00 AM,,,1.003,,,,
93,07/03/21 05:00:00 AM,,,0.452,,,,
94,07/03/21 06:00:00 AM,,,0.508,,,,
95,07/03/21 07:00:00 AM,,,3.758,,,,
96,07/03/21 08:00:00 AM,,,12.816,,,,
97,07/03/21 09:00:00 AM,,,18.425,,,,
98,07/03/21 10:00:00 AM,,,27.252,,,,
99,07/03/21 11:00:00 AM,,,30.508,,,,
100,07/03/21 12:00:00 PM,,,27.764,,,,
101,07/03/21 01:00:00 PM,,,24.360,,,,
102,07/03/21 02:00:00 PM,,,25.680,,,,
103,07/03/21 03:00:00 PM,,,27.848,,,,
104,07/03/21 04:00:00 PM,,,29.122,,,,
105,07/03/21 05:00:00 PM,,,30.609,,,,
106,07/03/21 06:00:00 PM,,,25.322,,,,
107,07/03/21 07:00:00 PM,,,18.569,,,,
108,07/03/21 08:00:00 PM,,,10.156,,,,
109,07/03/21 09:00:00 PM,,,7.026,,,,
110,07/03/21 10:00:00 PM,,,6.216,,,,
111,07/03/21 11:00:00 PM,,,4.152,,,,
112,07/04/21 12:00:00 AM,37.935,-0.662,2.729,,,,
113,07/04/21 01:00:00 AM,,,1.980,,,,
114,07/04/21 02:00:00 AM,,,1.601,,,,
115,07/04/21 03:00:00 AM,,,0.784,,,,
116,07/04/21 04:00:00 AM,,,0.287,,,,
117,07/04/21 05:00:00 AM,,,-0.269,,,,
118,07/04/21 06:00:00 AM,,,-0.160,,,,
119,07/04/21 07:00:00 AM,,,3.178,,,,
120,07/04/21 08:00:00 AM,,,13.441,,,,
121,07/04/21 09:00:00 AM,,,24.653,,,,
122,07/04/21 10:00:00 AM,,,23.944,,,,
123,07/04/21 11:00:00 AM,,,34.191,,,,
124,07/04/21 12:00:00 PM,,,34.499,,,,
125,07/04/21 01:00:00 PM,,,33.131,,,,
126,07/04/21 02:00:00 PM,,,30.057,,,,
127,07/04/21 03:00:00 PM,,,33.643,,,,
128,07/04/21 04:00:00 PM,,,28.845,,,,
129,07/04/21 05:00:00 PM,,,27.912,,,,
130,07/04/21 06:00:00 PM,,,23.635,,,,
131,07/04/21 07:00:00 PM,,,21.197,,,,
132,07/04/21 08:00:00 PM,,,14.131,,,,
133,07/04/21 09:00:00 PM,,,11.284,,,,
134,07/04/21 10:00:00 PM,,,8.875,,,,
135,07/04/21 11:00:00 PM,,,7.280,,,,
136,07/05/21 12:00:00 AM,33.118,1.112,6.115,,,,
137,07/05/21 01:00:00 AM,,,5.140,,,,
138,07/05/21 02:00:00 AM,,,3.524,,,,
139,07/05/21 03:00:00 AM,,,2.730,,,,
140,07/05/21 04:00:00 AM,,,1.818,,,,
141,07/05/21 05:00:00 AM,,,1.438,,,,
142,07/05/21 06:00:00 AM,,,1.330,,,,
143,07/05/21 07:00:00 AM,,,4.489,,,,
144,07/05/21 08:00:00 AM,,,14.686,,,,
145,07/05/21 09:00:00 AM,,,25.279,,,,
146,07/05/21 10:00:00 AM,,,30.407,,,,
147,07/05/21 11:00:00 AM,,,28.831,,,,
148,07/05/21 12:00:00 PM,,,16.105,,,,
149,07/05/21 01:00:00 PM,,,9.958,,,,
150,07/05/21 02:00:00 PM,,,9.617,,,,
151,07/05/21 03:00:00 PM,,,13.698,,,,
152,07/05/21 04:00:00 PM,,,20.186,,,,
153,07/05/21 05:00:00 PM,,,14.899,,,,
154,07/05/21 06:00:00 PM,,,13.268,,,,
155,07/05/21 07:00:00 PM,,,12.204,,,,
156,07/05/21 08:00:00 PM,,,10.063,,,,
157,07/05/21 09:00:00 PM,,,9.422,,,,
158,07/05/21 10:00:00 PM,,,8.481,,,,
159,07/05/21 11:00:00 PM,,,8.581,,,,
160,07/06/21 12:00:00 AM,35.222,1.980,7.881,,,,
161,07/06/21 01:00:00 AM,,,6.113,,,,
162,07/06/21 02:00:00 AM,,,4.778,,,,
163,07/06/21 03:00:00 AM,,,3.525,,,,
164,07/06/21 04:00:00 AM,,,2.517,,,,
165,07/06/21 05:00:00 AM,,,2.141,,,,
166,07/06/21 06:00:00 AM,,,2.782,,,,
167,07/06/21 07:00:00 AM,,,6.104,,,,
168,07/06/21 08:00:00 AM,,,13.113,,,,
169,07/06/21 09:00:00 AM,,,19.235,,,,
170,07/06/21 10:00:00 AM,,,19.997,,,,
171,07/06/21 11:00:00 AM,,,22.142,,,,
172,07/06/21 12:00:00 PM,,,28.672,,,,
173,07/06/21 01:00:00 PM,,,31.099,,,,
174,07/06/21 02:00:00 PM,,,35.062,,,,
175,07/06/21 03:00:00 PM,,,33.275,,,,
176,07/06/21 04:00:00 PM,,,31.117,,,,
177,07/06/21 05:00:00 PM,,,28.804,,,,
178,07/06/21 06:00:00 PM,,,25.517,,,,
179,07/06/21 07:00:00 PM,,,19.139,,,,
180,07/06/21 08:00:00 PM,,,12.827,,,,
181,07/06/21 09:00:00 PM,,,9.274,,,,
182,07/06/21 10:00:00 PM,,,9.121,,,,
183,07/06/21 11:00:00 PM,,,9.915,,,,
184,07/07/21 12:00:00 AM,38.826,1.439,7.630,,,,
185,07/07/21 01:00:00 AM,,,6.522,,,,
186,07/07/21 02:00:00 AM,,,5.139,,,,
187,07/07/21 03:00:00 AM,,,3.630,,,,
188,07/07/21 04:00:00 AM,,,3.102,,,,
189,07/07/21 05:00:00 AM,,,2.195,,,,
190,07/07/21 06:00:00 AM,,,1.710,,,,
