"Plot Title: RMBL #6"
"#","Date Time, GMT-06:00","Max: Daily Temperature, °C (LGR S/N: 10731643)","Min: Daily Temperature, °C (LGR S/N: 10731643)","Avg: Hourly Temperature, °C (LGR S/N: 10731643)","Coupler Attached (LGR S/N: 10731643)","Host Connected (LGR S/N: 10731643)","Stopped (LGR S/N: 10731643)","End Of File (LGR S/N: 10731643)"
1,06/29/21 12:00:00 AM,27.862,6.978,,,,,
2,06/29/21 10:00:00 AM,,,13.846,,,,
3,06/29/21 11:00:00 AM,,,16.045,,,,
4,06/29/21 12:00:00 PM,,,22.191,,,,
5,06/29/21 01:00:00 PM,,,22.764,,,,
6,06/29/21 02:00:00 PM,,,23.968,,,,
7,06/29/21 03:00:00 PM,,,20.662,,,,
8,06/29/21 04:00:00 PM,,,18.235,,,,
9,06/29/21 05:00:00 PM,,,23.486,,,,
10,06/29/21 06:00:00 PM,,,11.715,,,,
11,06/29/21 07:00:00 PM,,,10.062,,,,
12,06/29/21 08:00:00 PM,,,8.380,,,,
13,06/29/21 09:00:00 PM,,,7.230,,,,
14,06/29/21 10:00:00 PM,,,7.129,,,,
15,06/29/21 11:00:00 PM,,,7.380,,,,
16,06/30/21 12:00:00 AM,34.268,2.837,6.619,,,,
17,06/30/21 01:00:00 AM,,,5.037,,,,
18,06/30/21 02:00:00 AM,,,4.571,,,,
19,06/30/21 03:00:00 AM,,,4.779,,,,
20,06/30/21 04:00:00 AM,,,3.682,,,,
21,06/30/21 05:00:00 AM,,,3.630,,,,
22,06/30/21 06:00:00 AM,,,3.049,,,,
23,06/30/21 07:00:00 AM,,,4.705,,,,
24,06/30/21 08:00:00 AM,,,10.059,,,,
25,06/30/21 09:00:00 AM,,,13.794,,,,
26,06/30/21 10:00:00 AM,,,21.048,,,,
27,06/30/21 11:00:00 AM,,,18.473,,,,
28,06/30/21 12:00:00 PM,,,19.330,,,,
29,06/30/21 01:00:00 PM,,,26.541,,,,
30,06/30/21 02:00:00 PM,,,31.479,,,,
31,06/30/21 03:00:00 PM,,,33.023,,,,
32,06/30/21 04:00:00 PM,,,21.912,,,,
33,06/30/21 05:00:00 PM,,,18.616,,,,
34,06/30/21 06:00:00 PM,,,20.092,,,,
35,06/30/21 07:00:00 PM,,,11.089,,,,
36,06/30/21 08:00:00 PM,,,11.139,,,,
37,06/30/21 09:00:00 PM,,,10.455,,,,
38,06/30/21 10:00:00 PM,,,9.521,,,,
39,06/30/21 11:00:00 PM,,,9.324,,,,
40,07/01/21 12:00:00 AM,34.058,6.775,9.077,,,,
41,07/01/21 01:00:00 AM,,,8.481,,,,
42,07/01/21 02:00:00 AM,,,7.480,,,,
43,07/01/21 03:00:00 AM,,,7.330,,,,
44,07/01/21 04:00:00 AM,,,7.079,,,,
45,07/01/21 05:00:00 AM,,,6.927,,,,
46,07/01/21 06:00:00 AM,,,6.927,,,,
47,07/01/21 07:00:00 AM,,,9.836,,,,
48,07/01/21 08:00:00 AM,,,16.665,,,,
49,07/01/21 09:00:00 AM,,,20.523,,,,
50,07/01/21 10:00:00 AM,,,18.569,,,,
51,07/01/21 11:00:00 AM,,,23.454,,,,
52,07/01/21 12:00:00 PM,,,27.780,,,,
53,07/01/21 01:00:00 PM,,,17.853,,,,
54,07/01/21 02:00:00 PM,,,31.786,,,,
55,07/01/21 03:00:00 PM,,,33.381,,,,
56,07/01/21 04:00:00 PM,,,33.535,,,,
57,07/01/21 05:00:00 PM,,,29.804,,,,
58,07/01/21 06:00:00 PM,,,26.243,,,,
59,07/01/21 07:00:00 PM,,,19.235,,,,
60,07/01/21 08:00:00 PM,,,13.506,,,,
61,07/01/21 09:00:00 PM,,,10.160,,,,
62,07/01/21 10:00:00 PM,,,9.814,,,,
63,07/01/21 11:00:00 PM,,,9.422,,,,
64,07/02/21 12:00:00 AM,34.691,1.764,9.571,,,,
65,07/02/21 01:00:00 AM,,,7.022,,,,
66,07/02/21 02:00:00 AM,,,5.397,,,,
67,07/02/21 03:00:00 AM,,,3.995,,,,
68,07/02/21 04:00:00 AM,,,2.730,,,,
69,07/02/21 05:00:00 AM,,,2.034,,,,
70,07/02/21 06:00:00 AM,,,1.926,,,,
71,07/02/21 07:00:00 AM,,,5.846,,,,
72,07/02/21 08:00:00 AM,,,16.662,,,,
73,07/02/21 09:00:00 AM,,,23.487,,,,
74,07/02/21 10:00:00 AM,,,26.442,,,,
75,07/02/21 11:00:00 AM,,,24.022,,,,
76,07/02/21 12:00:00 PM,,,18.950,,,,
77,07/02/21 01:00:00 PM,,,16.418,,,,
78,07/02/21 02:00:00 PM,,,16.935,,,,
79,07/02/21 03:00:00 PM,,,30.577,,,,
80,07/02/21 04:00:00 PM,,,34.427,,,,
81,07/02/21 05:00:00 PM,,,21.384,,,,
82,07/02/21 06:00:00 PM,,,25.133,,,,
83,07/02/21 07:00:00 PM,,,20.187,,,,
84,07/02/21 08:00:00 PM,,,14.851,,,,
85,07/02/21 09:00:00 PM,,,12.684,,,,
86,07/02/21 10:00:00 PM,,,10.403,,,,
87,07/02/21 11:00:00 PM,,,7.379,,,,
88,07/03/21 12:00:00 AM,34.796,1.003,5.653,,,,
89,07/03/21 01:00:00 AM,,,4.258,,,,
90,07/03/21 02:00:00 AM,,,3.736,,,,
91,07/03/21 03:00:00 AM,,,2.463,,,,
92,07/03/21 04:00:00 AM,,,1.818,,,,
93,07/03/21 05:00:00 AM,,,1.221,,,,
94,07/03/21 06:00:00 AM,,,1.439,,,,
95,07/03/21 07:00:00 AM,,,5.578,,,,
96,07/03/21 08:00:00 AM,,,16.279,,,,
97,07/03/21 09:00:00 AM,,,19.189,,,,
98,07/03/21 10:00:00 AM,,,27.200,,,,
99,07/03/21 11:00:00 AM,,,29.602,,,,
100,07/03/21 12:00:00 PM,,,27.255,,,,
101,07/03/21 01:00:00 PM,,,24.259,,,,
102,07/03/21 02:00:00 PM,,,25.875,,,,
103,07/03/21 03:00:00 PM,,,28.400,,,,
104,07/03/21 04:00:00 PM,,,31.230,,,,
105,07/03/21 05:00:00 PM,,,33.122,,,,
106,07/03/21 06:00:00 PM,,,26.979,,,,
107,07/03/21 07:00:00 PM,,,19.808,,,,
108,07/03/21 08:00:00 PM,,,11.718,,,,
109,07/03/21 09:00:00 PM,,,8.680,,,,
110,07/03/21 10:00:00 PM,,,7.430,,,,
111,07/03/21 11:00:00 PM,,,5.192,,,,
112,07/04/21 12:00:00 AM,35.971,0.343,3.629,,,,
113,07/04/21 01:00:00 AM,,,2.730,,,,
114,07/04/21 02:00:00 AM,,,2.356,,,,
115,07/04/21 03:00:00 AM,,,1.710,,,,
116,07/04/21 04:00:00 AM,,,1.111,,,,
117,07/04/21 05:00:00 AM,,,0.618,,,,
118,07/04/21 06:00:00 AM,,,0.727,,,,
119,07/04/21 07:00:00 AM,,,5.119,,,,
120,07/04/21 08:00:00 AM,,,17.329,,,,
121,07/04/21 09:00:00 AM,,,25.133,,,,
122,07/04/21 10:00:00 AM,,,23.991,,,,
123,07/04/21 11:00:00 AM,,,32.411,,,,
124,07/04/21 12:00:00 PM,,,33.365,,,,
125,07/04/21 01:00:00 PM,,,32.290,,,,
126,07/04/21 02:00:00 PM,,,29.772,,,,
127,07/04/21 03:00:00 PM,,,31.794,,,,
128,07/04/21 04:00:00 PM,,,31.481,,,,
129,07/04/21 05:00:00 PM,,,29.958,,,,
130,07/04/21 06:00:00 PM,,,25.184,,,,
131,07/04/21 07:00:00 PM,,,22.148,,,,
132,07/04/21 08:00:00 PM,,,15.902,,,,
133,07/04/21 09:00:00 PM,,,12.207,,,,
134,07/04/21 10:00:00 PM,,,10.111,,,,
135,07/04/21 11:00:00 PM,,,8.381,,,,
136,07/05/21 12:00:00 AM,32.394,2.195,7.481,,,,
137,07/05/21 01:00:00 AM,,,6.572,,,,
138,07/05/21 02:00:00 AM,,,4.727,,,,
139,07/05/21 03:00:00 AM,,,3.524,,,,
140,07/05/21 04:00:00 AM,,,3.101,,,,
141,07/05/21 05:00:00 AM,,,2.463,,,,
142,07/05/21 06:00:00 AM,,,2.302,,,,
143,07/05/21 07:00:00 AM,,,6.310,,,,
144,07/05/21 08:00:00 AM,,,18.759,,,,
145,07/05/21 09:00:00 AM,,,25.960,,,,
146,07/05/21 10:00:00 AM,,,30.357,,,,
147,07/05/21 11:00:00 AM,,,28.180,,,,
148,07/05/21 12:00:00 PM,,,16.009,,,,
149,07/05/21 01:00:00 PM,,,9.763,,,,
150,07/05/21 02:00:00 PM,,,10.159,,,,
151,07/05/21 03:00:00 PM,,,13.602,,,,
152,07/05/21 04:00:00 PM,,,21.904,,,,
153,07/05/21 05:00:00 PM,,,15.996,,,,
154,07/05/21 06:00:00 PM,,,14.516,,,,
155,07/05/21 07:00:00 PM,,,12.830,,,,
156,07/05/21 08:00:00 PM,,,10.308,,,,
157,07/05/21 09:00:00 PM,,,9.570,,,,
158,07/05/21 10:00:00 PM,,,8.829,,,,
159,07/05/21 11:00:00 PM,,,8.878,,,,
160,07/06/21 12:00:00 AM,35.435,2.730,8.281,,,,
161,07/06/21 01:00:00 AM,,,6.470,,,,
162,07/06/21 02:00:00 AM,,,5.294,,,,
163,07/06/21 03:00:00 AM,,,4.467,,,,
164,07/06/21 04:00:00 AM,,,3.101,,,,
165,07/06/21 05:00:00 AM,,,3.208,,,,
166,07/06/21 06:00:00 AM,,,3.471,,,,
167,07/06/21 07:00:00 AM,,,7.844,,,,
168,07/06/21 08:00:00 AM,,,13.788,,,,
169,07/06/21 09:00:00 AM,,,20.045,,,,
170,07/06/21 10:00:00 AM,,,19.805,,,,
171,07/06/21 11:00:00 AM,,,22.240,,,,
172,07/06/21 12:00:00 PM,,,28.321,,,,
173,07/06/21 01:00:00 PM,,,31.207,,,,
174,07/06/21 02:00:00 PM,,,33.326,,,,
175,07/06/21 03:00:00 PM,,,34.799,,,,
176,07/06/21 04:00:00 PM,,,34.744,,,,
177,07/06/21 05:00:00 PM,,,32.553,,,,
178,07/06/21 06:00:00 PM,,,27.569,,,,
179,07/06/21 07:00:00 PM,,,19.567,,,,
180,07/06/21 08:00:00 PM,,,13.935,,,,
181,07/06/21 09:00:00 PM,,,10.941,,,,
182,07/06/21 10:00:00 PM,,,10.590,,,,
183,07/06/21 11:00:00 PM,,,11.285,,,,
184,07/07/21 12:00:00 AM,37.055,2.195,8.527,,,,
185,07/07/21 01:00:00 AM,,,7.431,,,,
186,07/07/21 02:00:00 AM,,,6.114,,,,
187,07/07/21 03:00:00 AM,,,4.362,,,,
188,07/07/21 04:00:00 AM,,,3.788,,,,
189,07/07/21 05:00:00 AM,,,3.152,,,,
190,07/07/21 06:00:00 AM,,,2.249,,,,
191,07/07/21 07:00:00 AM,,,5.652,,,,
192,07/07/21 08:00:00 AM,,,15.897,,,,
193,07/07/21 09:00:00 AM,,,23.299,,,,
194,07/07/21 10:00:00 AM,,,27.618,,,,
195,07/07/21 11:00:00 AM,,,30.665,,,,
196,07/07/21 12:00:00 PM,,,33.957,,,,
197,07/07/21 01:00:00 PM,,,31.814,,,,
198,07/07/21 02:00:00 PM,,,33.234,,,,
199,07/07/21 03:00:00 PM,,,36.352,,,,
200,07/07/21 04:00:00 PM,,,23.487,,,,
201,07/07/21 05:00:00 PM,,,30.476,,,,
202,07/07/21 06:00:00 PM,,,28.627,,,,
203,07/07/21 07:00:00 PM,,,23.598,,,,
204,07/07/21 08:00:00 PM,,,13.311,,,,
205,07/07/21 09:00:00 PM,,,10.748,,,,
206,07/07/21 10:00:00 PM,,,8.577,,,,
207,07/07/21 11:00:00 PM,,,6.620,,,,
208,07/08/21 12:00:00 AM,37.824,1.439,5.139,,,,
209,07/08/21 01:00:00 AM,,,3.995,,,,
210,07/08/21 02:00:00 AM,,,2.943,,,,
211,07/08/21 03:00:00 AM,,,2.249,,,,
212,07/08/21 04:00:00 AM,,,1.926,,,,
213,07/08/21 05:00:00 AM,,,1.493,,,,
214,07/08/21 06:00:00 AM,,,2.141,,,,
215,07/08/21 07:00:00 AM,,,6.807,,,,
216,07/08/21 08:00:00 AM,,,16.806,,,,
217,07/08/21 09:00:00 AM,,,24.308,,,,
218,07/08/21 10:00:00 AM,,,28.755,,,,
219,07/08/21 11:00:00 AM,,,30.306,,,,
220,07/08/21 12:00:00 PM,,,33.381,,,,
221,07/08/21 01:00:00 PM,,,31.602,,,,
222,07/08/21 02:00:00 PM,,,32.592,,,,
223,07/08/21 03:00:00 PM,,,34.393,,,,
224,07/08/21 04:00:00 PM,,,28.168,,,,
225,07/08/21 05:00:00 PM,,,25.416,,,,
226,07/08/21 06:00:00 PM,,,27.197,,,,
227,07/08/21 07:00:00 PM,,,20.187,,,,
228,07/08/21 08:00:00 PM,,,14.705,,,,
229,07/08/21 09:00:00 PM,,,11.528,,,,
230,07/08/21 10:00:00 PM,,,11.380,,,,
231,07/08/21 11:00:00 PM,,,8.379,,,,
232,07/09/21 12:00:00 AM,38.490,3.683,6.114,,,,
233,07/09/21 01:00:00 AM,,,5.140,,,,
234,07/09/21 02:00:00 AM,,,5.140,,,,
235,07/09/21 03:00:00 AM,,,6.166,,,,
236,07/09/21 04:00:00 AM,,,4.776,,,,
237,07/09/21 05:00:00 AM,,,3.683,,,,
238,07/09/21 06:00:00 AM,,,4.102,,,,
