"Plot Title: RMBL #17 "
"#","Date Time, GMT-06:00","Max: Daily Temperature, °C (LGR S/N: 10731647)","Min: Daily Temperature, °C (LGR S/N: 10731647)","Avg: Hourly Temperature, °C (LGR S/N: 10731647)","Coupler Attached (LGR S/N: 10731647)","Host Connected (LGR S/N: 10731647)","Stopped (LGR S/N: 10731647)","End Of File (LGR S/N: 10731647)"
1,06/29/21 12:00:00 AM,32.086,6.573,,,,,
2,06/29/21 10:00:00 AM,,,14.086,,,,
3,06/29/21 11:00:00 AM,,,16.140,,,,
4,06/29/21 12:00:00 PM,,,23.250,,,,
5,06/29/21 01:00:00 PM,,,25.066,,,,
6,06/29/21 02:00:00 PM,,,23.197,,,,
7,06/29/21 03:00:00 PM,,,20.281,,,,
8,06/29/21 04:00:00 PM,,,18.331,,,,
9,06/29/21 05:00:00 PM,,,24.165,,,,
10,06/29/21 06:00:00 PM,,,11.425,,,,
11,06/29/21 07:00:00 PM,,,9.865,,,,
12,06/29/21 08:00:00 PM,,,8.180,,,,
13,06/29/21 09:00:00 PM,,,6.927,,,,
14,06/29/21 10:00:00 PM,,,6.876,,,,
15,06/29/21 11:00:00 PM,,,7.129,,,,
16,06/30/21 12:00:00 AM,35.542,2.195,6.466,,,,
17,06/30/21 01:00:00 AM,,,4.726,,,,
18,06/30/21 02:00:00 AM,,,4.207,,,,
19,06/30/21 03:00:00 AM,,,4.675,,,,
20,06/30/21 04:00:00 AM,,,3.419,,,,
21,06/30/21 05:00:00 AM,,,3.260,,,,
22,06/30/21 06:00:00 AM,,,2.571,,,,
23,06/30/21 07:00:00 AM,,,3.564,,,,
24,06/30/21 08:00:00 AM,,,9.567,,,,
25,06/30/21 09:00:00 AM,,,13.168,,,,
26,06/30/21 10:00:00 AM,,,21.713,,,,
27,06/30/21 11:00:00 AM,,,18.521,,,,
28,06/30/21 12:00:00 PM,,,19.473,,,,
29,06/30/21 01:00:00 PM,,,27.096,,,,
30,06/30/21 02:00:00 PM,,,33.067,,,,
31,06/30/21 03:00:00 PM,,,34.330,,,,
32,06/30/21 04:00:00 PM,,,22.729,,,,
33,06/30/21 05:00:00 PM,,,18.949,,,,
34,06/30/21 06:00:00 PM,,,18.569,,,,
35,06/30/21 07:00:00 PM,,,10.651,,,,
36,06/30/21 08:00:00 PM,,,11.138,,,,
37,06/30/21 09:00:00 PM,,,10.259,,,,
38,06/30/21 10:00:00 PM,,,9.176,,,,
39,06/30/21 11:00:00 PM,,,9.127,,,,
40,07/01/21 12:00:00 AM,35.115,6.573,8.928,,,,
41,07/01/21 01:00:00 AM,,,8.281,,,,
42,07/01/21 02:00:00 AM,,,7.179,,,,
43,07/01/21 03:00:00 AM,,,7.079,,,,
44,07/01/21 04:00:00 AM,,,6.877,,,,
45,07/01/21 05:00:00 AM,,,6.725,,,,
46,07/01/21 06:00:00 AM,,,6.674,,,,
47,07/01/21 07:00:00 AM,,,8.566,,,,
48,07/01/21 08:00:00 AM,,,14.898,,,,
49,07/01/21 09:00:00 AM,,,19.952,,,,
50,07/01/21 10:00:00 AM,,,19.143,,,,
51,07/01/21 11:00:00 AM,,,23.909,,,,
52,07/01/21 12:00:00 PM,,,29.884,,,,
53,07/01/21 01:00:00 PM,,,19.142,,,,
54,07/01/21 02:00:00 PM,,,31.939,,,,
55,07/01/21 03:00:00 PM,,,34.956,,,,
56,07/01/21 04:00:00 PM,,,34.796,,,,
57,07/01/21 05:00:00 PM,,,29.908,,,,
58,07/01/21 06:00:00 PM,,,22.725,,,,
59,07/01/21 07:00:00 PM,,,16.236,,,,
60,07/01/21 08:00:00 PM,,,12.008,,,,
61,07/01/21 09:00:00 PM,,,8.928,,,,
62,07/01/21 10:00:00 PM,,,9.172,,,,
63,07/01/21 11:00:00 PM,,,8.431,,,,
64,07/02/21 12:00:00 AM,34.058,1.330,8.729,,,,
65,07/02/21 01:00:00 AM,,,6.316,,,,
66,07/02/21 02:00:00 AM,,,4.623,,,,
67,07/02/21 03:00:00 AM,,,3.471,,,,
68,07/02/21 04:00:00 AM,,,2.195,,,,
69,07/02/21 05:00:00 AM,,,1.655,,,,
70,07/02/21 06:00:00 AM,,,1.493,,,,
71,07/02/21 07:00:00 AM,,,4.333,,,,
72,07/02/21 08:00:00 AM,,,14.120,,,,
73,07/02/21 09:00:00 AM,,,23.008,,,,
74,07/02/21 10:00:00 AM,,,27.223,,,,
75,07/02/21 11:00:00 AM,,,24.364,,,,
76,07/02/21 12:00:00 PM,,,19.235,,,,
77,07/02/21 01:00:00 PM,,,16.418,,,,
78,07/02/21 02:00:00 PM,,,17.318,,,,
79,07/02/21 03:00:00 PM,,,30.824,,,,
80,07/02/21 04:00:00 PM,,,33.692,,,,
81,07/02/21 05:00:00 PM,,,19.902,,,,
82,07/02/21 06:00:00 PM,,,20.710,,,,
83,07/02/21 07:00:00 PM,,,18.140,,,,
84,07/02/21 08:00:00 PM,,,13.797,,,,
85,07/02/21 09:00:00 PM,,,12.152,,,,
86,07/02/21 10:00:00 PM,,,9.467,,,,
87,07/02/21 11:00:00 PM,,,6.470,,,,
88,07/03/21 12:00:00 AM,33.848,0.563,4.881,,,,
89,07/03/21 01:00:00 AM,,,3.839,,,,
90,07/03/21 02:00:00 AM,,,3.049,,,,
91,07/03/21 03:00:00 AM,,,2.034,,,,
92,07/03/21 04:00:00 AM,,,1.384,,,,
93,07/03/21 05:00:00 AM,,,0.837,,,,
94,07/03/21 06:00:00 AM,,,0.893,,,,
95,07/03/21 07:00:00 AM,,,3.917,,,,
96,07/03/21 08:00:00 AM,,,13.205,,,,
97,07/03/21 09:00:00 AM,,,18.282,,,,
98,07/03/21 10:00:00 AM,,,27.872,,,,
99,07/03/21 11:00:00 AM,,,31.014,,,,
100,07/03/21 12:00:00 PM,,,28.013,,,,
101,07/03/21 01:00:00 PM,,,24.405,,,,
102,07/03/21 02:00:00 PM,,,25.384,,,,
103,07/03/21 03:00:00 PM,,,28.400,,,,
104,07/03/21 04:00:00 PM,,,30.756,,,,
105,07/03/21 05:00:00 PM,,,32.451,,,,
106,07/03/21 06:00:00 PM,,,22.060,,,,
107,07/03/21 07:00:00 PM,,,15.041,,,,
108,07/03/21 08:00:00 PM,,,10.207,,,,
109,07/03/21 09:00:00 PM,,,7.329,,,,
110,07/03/21 10:00:00 PM,,,6.471,,,,
111,07/03/21 11:00:00 PM,,,4.518,,,,
112,07/04/21 12:00:00 AM,38.938,-0.102,2.995,,,,
113,07/04/21 01:00:00 AM,,,2.249,,,,
114,07/04/21 02:00:00 AM,,,1.979,,,,
115,07/04/21 03:00:00 AM,,,1.221,,,,
116,07/04/21 04:00:00 AM,,,0.728,,,,
117,07/04/21 05:00:00 AM,,,0.176,,,,
118,07/04/21 06:00:00 AM,,,0.286,,,,
119,07/04/21 07:00:00 AM,,,3.390,,,,
120,07/04/21 08:00:00 AM,,,13.396,,,,
121,07/04/21 09:00:00 AM,,,24.120,,,,
122,07/04/21 10:00:00 AM,,,23.852,,,,
123,07/04/21 11:00:00 AM,,,34.605,,,,
124,07/04/21 12:00:00 PM,,,35.563,,,,
125,07/04/21 01:00:00 PM,,,33.450,,,,
126,07/04/21 02:00:00 PM,,,30.619,,,,
127,07/04/21 03:00:00 PM,,,34.906,,,,
128,07/04/21 04:00:00 PM,,,31.572,,,,
129,07/04/21 05:00:00 PM,,,29.252,,,,
130,07/04/21 06:00:00 PM,,,21.855,,,,
131,07/04/21 07:00:00 PM,,,18.806,,,,
132,07/04/21 08:00:00 PM,,,14.611,,,,
133,07/04/21 09:00:00 PM,,,11.576,,,,
134,07/04/21 10:00:00 PM,,,9.173,,,,
135,07/04/21 11:00:00 PM,,,7.782,,,,
136,07/05/21 12:00:00 AM,33.639,1.548,6.369,,,,
137,07/05/21 01:00:00 AM,,,5.757,,,,
138,07/05/21 02:00:00 AM,,,4.050,,,,
139,07/05/21 03:00:00 AM,,,3.049,,,,
140,07/05/21 04:00:00 AM,,,2.409,,,,
141,07/05/21 05:00:00 AM,,,1.872,,,,
142,07/05/21 06:00:00 AM,,,1.710,,,,
143,07/05/21 07:00:00 AM,,,4.598,,,,
144,07/05/21 08:00:00 AM,,,14.211,,,,
145,07/05/21 09:00:00 AM,,,24.505,,,,
146,07/05/21 10:00:00 AM,,,30.408,,,,
147,07/05/21 11:00:00 AM,,,29.382,,,,
148,07/05/21 12:00:00 PM,,,15.816,,,,
149,07/05/21 01:00:00 PM,,,10.255,,,,
150,07/05/21 02:00:00 PM,,,10.208,,,,
151,07/05/21 03:00:00 PM,,,13.843,,,,
